Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,0
AnnualSum,9.715436e6,348003.66,4.1651362e6,0.0,4.671065e7,3.8412308e6,4.3732485e6,5.070508e6,853823.2,3.6443208e6,3.6809668e7,1.4809029e6,6.216258e7,3.6636665e6,1.4161894e8,6.3896856e7,1.5881224e7,1.8655876e7,0.0,8.3205304e7,2.273306e7,3.3885132e7,62355.08,4.9790415e6,2.9276062e6,1.4354112e6,1.6160974e6,6.0473775e6,357926.75,1.5058715e6,0.0,7.237933e6,0.0,1.8771689e6,2.253865e6,0.0,9.157346e6,1.2007943e7,0.0,0.0,4.5369405e8,15216.995,19074.344,0.0,2.539758e7,3.2851358e7,9.743332e6,3.3265168e6,693778.8,611288.25,660386.1,7211.4004,1.1001338e6,204289.8,1.04550936e8,6.9180035e6,3.4257356e7,1.1473917e7,6.3203884e7,2.1378824e7,2.4941104e7,0.0,3.6988484e7,6.734516e6,8.668827e6,4.5714716e7,1.1066772e6,7.844612e6,3.82374e6,4.4829005e6,5.3304225e6,1.194889e7,5.5290955e6,973370.75,973370.75,0.0,0.0,994437.06,0.0,6.0646155e6,1.1112176e7,0.0,5.2531316e7,0.0,0.0,0.0,1.6458979e7,0.0,0.0,8.1060035e6,2.2876822e7,0.0,1.0545334e8,6.11191e7,1.2670122e7,3.534405e6,16654.797,0.0,0.0,1.8502874e9
t1,3276.9,0.0,604.8000000000001,0.0,5348.7,0.0,0.0,0.0,158.39999999999998,0.0,758.6129678742323,0.0,7560.000000000001,0.0,18438.3,7302.600000000001,3148.4700000000003,2868.6059999999998,0.0,9809.82,3295.296,0.0,0.0,729.5471049600001,738.9999999999999,278.25674839199996,301.44481075799996,1047.7886463000002,0.0,0.0,0.0,955.2528954,0.0,381.69293025600007,394.70518924199996,0.0,1989.329462865,1832.7,0.0,0.0,55233.0,1.26,0.72,0.0,2324.2949999999996,4385.286000000001,0.0,446.07988962,68.9476462,28.8451553148,65.55717117,3.7858307915,63.09273909959999,0.0,17303.940721909526,0.0,3977.554319100001,2808.5,7252.360524899999,801.1328485950002,640.9062788760001,0.0,979.06867056,1314.8592881579998,0.0,8325.000000000002,0.0,825.8870995700916,436.5,53.032500000000006,233.34300000000002,202.49999999999997,0.0,288.9,288.90000000000003,0.0,0.0,276.12,0.0,1800.0,2016.092961002332,0.0,6183.900000000001,0.0,0.0,0.0,2704.59,0.0,0.0,1298.0,0.0,0.0,0.0,763.7411173728555,0.0,0.0,0.0,0.0,0.0,194615.92151828692
t2,3041.1120772042373,0.0,604.8000000000001,0.0,5348.7,0.0,0.0,0.0,158.39999999999998,0.0,758.6129678742323,0.0,7560.000000000001,0.0,18438.3,7302.600000000001,3288.402,3148.4700000000003,0.0,11281.293,3295.296,0.0,0.0,729.5471049600001,738.9999999999999,278.25674839199996,281.56932872999994,995.399213985,0.0,0.0,0.0,955.2528954,0.0,373.018090932,325.30647465,0.0,1760.6709039149996,1832.7,0.0,0.0,55233.0,1.17,0.585,0.0,2169.342,4385.286000000001,0.0,446.07988962,68.9476462,23.6005816212,60.31259747639999,3.7858307915,48.070658361599996,0.0,17280.868503095266,0.0,3977.554319100001,2808.5,7252.360524899999,694.3151354490001,587.497422303,0.0,856.68508674,1314.8592881579998,0.0,8325.000000000002,0.0,825.8870995700916,436.5,84.852,339.408,323.99999999999994,0.0,288.9,288.90000000000003,0.0,0.0,303.732,0.0,1800.0,2016.092961002332,0.0,6183.900000000001,0.0,0.0,0.0,2884.8959999999993,0.0,0.0,1298.0,0.0,0.0,0.0,495.7621379036019,0.0,0.0,0.0,0.0,0.0,195605.35748833447
t3,2793.0027894969817,0.0,604.8000000000001,0.0,5348.7,0.0,0.0,0.0,158.39999999999998,0.0,758.6129678742323,0.0,7560.000000000001,0.0,18438.3,7302.600000000001,3078.504,3113.487,0.0,13243.257,3295.296,0.0,0.0,729.5471049600001,738.9999999999999,278.25674839199996,255.06868602599997,995.399213985,0.0,0.0,0.0,955.2528954,0.0,381.69293025600007,281.93227802999996,0.0,1737.80504802,1832.7,0.0,0.0,55233.0,1.08,0.495,0.0,2169.342,4385.286000000001,0.0,446.07988962,68.9476462,19.667151351,53.75688035939999,3.7858307915,39.057409918800005,0.0,16787.848989196013,0.0,3977.554319100001,2808.5,7252.360524899999,640.9062788760001,587.497422303,0.0,734.3015029200001,1314.8592881579998,0.0,8087.33973835253,0.0,825.8870995700916,436.5,127.278,413.6535,404.99999999999994,0.0,288.9,288.90000000000003,0.0,0.0,331.34400000000005,0.0,1800.0,2016.092961002332,0.0,6183.900000000001,0.0,0.0,0.0,3065.2019999999998,0.0,0.0,1298.0,0.0,0.0,0.0,356.8840293011628,0.0,0.0,0.0,0.0,0.0,196330.82212436007
t4,2782.857470424832,0.0,604.8000000000001,0.0,5348.7,0.0,0.0,23.660999999999998,158.39999999999998,0.0,758.6129678742323,0.0,7560.000000000001,0.0,18438.3,7302.600000000001,2903.5890000000004,3043.521,0.0,14224.239000000001,3295.296,0.0,0.0,729.5471049600001,738.9999999999999,278.25674839199996,235.19320399799997,1030.325502195,0.0,0.0,0.0,955.2528954,0.0,390.36776958,373.018090932,0.0,1989.329462865,1832.7,0.0,0.0,55233.0,1.035,0.45,0.0,2169.342,4385.286000000001,0.0,446.07988962,68.9476462,14.4225776574,41.9565895488,3.7858307915,30.044161475999996,0.0,15903.608018571398,0.0,3977.554319100001,2808.5,7252.360524899999,587.497422303,587.497422303,0.0,734.3015029200001,1314.8592881579998,0.0,7773.395227657101,0.0,825.8870995700916,436.5,169.704,434.86650000000003,567.0,0.0,288.9,288.90000000000003,0.0,0.0,358.9560000000001,0.0,1800.0,2016.092961002332,0.0,6183.900000000001,0.0,0.0,0.0,3155.3549999999996,0.0,0.0,1298.0,0.0,0.0,0.0,604.8982358254337,0.0,0.0,0.0,0.0,0.0,196760.45043422515
t5,3251.079271893638,0.0,604.8000000000001,0.0,5348.7,0.0,0.0,23.660999999999998,158.39999999999998,0.0,758.6129678742323,0.0,7560.000000000001,0.0,18438.3,7302.600000000001,3078.504,2903.5890000000004,0.0,14714.730000000001,3295.296,0.0,0.0,729.5471049600001,738.9999999999999,274.944168054,221.942882646,1100.178078615,0.0,0.0,0.0,955.2528954,0.0,386.030349918,429.40454653800003,0.0,1966.46360697,2173.7338402160276,0.0,0.0,55233.0,0.99,0.405,0.0,2014.389,4385.286000000001,0.0,446.07988962,68.9476462,11.8002908106,30.156298738199997,3.7858307915,24.035329180799998,0.0,15492.709743911208,0.0,3977.554319100001,2808.5,7252.360524899999,534.0885657299999,587.497422303,0.0,611.9179191000001,1314.8592881579998,0.0,8325.000000000002,0.0,825.8870995700916,436.5,190.91700000000003,413.6535,607.5,0.0,288.9,288.90000000000003,0.0,0.0,358.9560000000001,0.0,1800.0,2016.092961002332,0.0,6183.900000000001,0.0,0.0,0.0,3155.3549999999996,0.0,0.0,1298.0,0.0,0.0,0.0,1457.54204714731,0.0,0.0,0.0,0.0,0.0,198860.23638934796
t6,3276.9,0.0,604.8000000000001,0.0,5348.7,0.0,0.0,23.660999999999998,158.39999999999998,0.0,2265.9071139048006,0.0,7560.000000000001,0.0,18438.3,7302.600000000001,3008.538,2623.7250000000004,0.0,14714.730000000001,3295.296,0.0,0.0,729.5471049600001,738.9999999999999,278.25674839199996,231.88062365999997,1117.6412227199999,0.0,328.22643693,0.0,955.2528954,0.0,386.030349918,429.40454653800003,0.0,1760.6709039149996,3309.5272848330364,0.0,0.0,55233.0,0.99,0.315,0.0,2014.389,4385.286000000001,0.0,446.07988962,82.73717543999999,7.8668605403999985,20.9782947744,3.7858307915,18.0264968856,0.0,17439.861648923834,0.0,3977.554319100001,2988.091844717477,7252.360524899999,480.67970915700005,694.3151354490001,0.0,611.9179191000001,1314.8592881579998,0.0,8325.000000000002,0.0,825.8870995700916,436.5,190.91700000000003,403.047,607.5,0.0,288.9,288.90000000000003,0.0,0.0,358.9560000000001,0.0,1800.0,2016.092961002332,0.0,6183.900000000001,0.0,0.0,0.0,3245.5080000000003,0.0,0.0,1298.0,6655.0,0.0,15952.141252800995,3558.0424819923714,0.0,0.0,0.0,0.0,0.0,228294.38196409383
t7,3276.9,0.0,604.8000000000001,0.0,5348.7,20.285999999999998,30.429000000000002,23.660999999999998,158.39999999999998,0.0,11545.035757635325,0.0,7560.000000000001,0.0,18438.3,7302.600000000001,3253.419,2168.946,0.0,15205.221000000001,3295.296,0.0,0.0,729.5471049600001,738.9999999999999,281.56932872999994,248.44352535,1100.178078615,0.0,422.00541891,0.0,955.2528954,0.0,381.69293025600007,429.40454653800003,0.0,1646.34162444,5498.1,0.0,0.0,55233.0,0.99,0.315,0.0,2014.389,4385.286000000001,0.0,446.07988962,124.10576316,6.5557171169999995,18.356007927599997,3.992643837544876,15.022080737999998,0.0,18170.870112000004,0.0,3977.554319100001,4673.191844717478,7252.360524899999,427.270852584,801.1328485950002,0.0,489.53433528,1314.8592881579998,0.0,8325.000000000002,0.0,991.06451948411,436.5,222.73650000000004,381.83400000000006,647.9999999999999,0.0,288.9,288.90000000000003,0.0,0.0,358.9560000000001,0.0,1800.0,2016.092961002332,0.0,6183.900000000001,0.0,0.0,0.0,3245.5080000000003,0.0,0.0,1298.0,6655.0,0.0,17278.454767121984,5595.504879017703,0.0,4257.63306948435,0.0,0.0,0.0,250290.38013467944
t8,3276.9,0.0,604.8000000000001,0.0,5348.7,40.571999999999996,60.858000000000004,23.660999999999998,158.39999999999998,43.092,14373.900000000001,0.0,7560.000000000001,0.0,18438.3,7302.600000000001,3078.504,1679.184,0.0,15205.221000000001,3295.296,1439.154,0.0,729.5471049600001,738.9999999999999,281.56932872999994,274.944168054,1065.251790405,5.0662993401000005,422.00541891,0.0,955.2528954,0.0,381.69293025600007,429.40454653800003,0.0,1692.07333623,5498.1,0.0,0.0,55233.0,0.99,0.36,0.0,1859.436,4385.286000000001,91.91699999999999,446.07988962,124.10576316,5.2445736936,18.356007927599997,6.264142312444876,12.017664590399999,0.0,18170.870112000004,5093.062521493174,3977.554319100001,5055.300000000001,7252.360524899999,427.270852584,801.1328485950002,0.0,367.15075146000004,1314.8592881579998,0.0,8325.000000000002,0.0,1486.596779226165,436.5,243.9495,350.0145,688.5,0.0,288.9,288.90000000000003,0.0,0.0,358.9560000000001,0.0,1800.0,2016.092961002332,0.0,6183.900000000001,0.0,0.0,0.0,3155.3549999999996,0.0,0.0,1298.0,6655.0,0.0,17943.984977912984,6272.821180695025,12.371068573182765,4655.0,0.0,0.0,0.0,261505.51004582702
