Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,0.0016698449427012428,9.001843424932414,9.000173579989713
Fuel_cell_1.0,1.0,0,0.0009035201153081416,1.9834717463416272,1.9825682262263191
CCGT-H2_2.0,2.0,0,0.001669639173749874,14.40257300581452,14.40090336664077
Fuel_cell_2.0,2.0,0,0.0009030689379200931,2.4282731217153155,2.4273700527773956
CCGT-H2_3.0,3.0,0,0.0016696263174461865,11.934351647568768,11.932682021251322
Fuel_cell_3.0,3.0,0,0.0009034259119957167,2.4332258070657624,2.432322381153767
CCGT-H2_4.0,4.0,0,0.0016699129387079087,10.689781841307948,10.68811192836924
Fuel_cell_4.0,4.0,0,0.000903711659390571,2.190983318656967,2.1900796069975765
CCGT-H2_5.0,5.0,0,0.0016691539556468603,8.82005879012041,8.818389636164763
Fuel_cell_5.0,5.0,0,0.0009025428903715844,1.8638159081327497,1.8629133652423782
CCGT-H2_6.0,6.0,0,0.001666633738478989,15.476556771405585,15.474890137667106
Fuel_cell_6.0,6.0,0,0.000903157030829996,2.3462807727849224,2.345377615754092
CCGT-H2_7.0,7.0,0,0.001669682055390078,13.23804033132782,13.23637064927243
Fuel_cell_7.0,7.0,0,0.0009029381532756617,2.3279908763620965,2.327087938208821
CCGT-H2_8.0,8.0,0,0.00166920233180398,10.773123986453017,10.771454784121213
Fuel_cell_8.0,8.0,0,0.0009035084581248297,2.2980570586252407,2.2971535501671156
CCGT-H2_9.0,9.0,0,0.0016692735758573735,9.32215366342708,9.320484389851224
Fuel_cell_9.0,9.0,0,0.0009034480544693308,2.005440735781585,2.004537287727116
CCGT-H2_10.0,10.0,0,0.0016692074133242182,8.585144200930328,8.583474993517004
Fuel_cell_10.0,10.0,0,0.0009035002836867072,1.9657525475309128,1.964849047247226
Total,n/a,0,0.02572499793847934,134.08691955628507,134.06119455834656
