Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10
t1,0.0,0.0,0.0,3.6676152855963564,0.0,0.0,0.0,304.2705940844904,0.0,0.0,0.0,3.5196325712141503,0.0,0.0,0.0,4.0403193805844175,0.0,0.0,0.0,106.20196453104535,0.0,0.0,0.0,3.437391976463613,0.0,0.0,0.0,441.71187253395686,0.0,0.0,0.0,3.7870625749951925,0.0,0.0,0.0,5.873736140343776,0.0,0.0,0.0,21.320674812606985
t2,0.0,0.0,0.0,3.643327672904376,0.0,0.0,0.0,304.08885666667334,0.0,0.0,0.0,3.5329899172873596,0.0,0.0,0.0,3.5218944578692373,0.0,0.0,0.0,103.16619075467285,0.0,0.0,0.0,3.407344892003525,0.0,0.0,0.0,413.0945323662951,0.0,0.0,0.0,3.752652308379587,0.0,0.0,0.0,5.858169006494363,0.0,0.0,0.0,20.555315318004364
t3,0.0,0.0,0.0,3.6205556389505613,0.0,0.0,0.0,303.89544326619017,0.0,0.0,0.0,3.551648655127235,0.0,0.0,0.0,3.031933782598442,0.0,0.0,0.0,100.05047486191476,0.0,0.0,0.0,3.4609049112230243,0.0,0.0,0.0,384.602519820095,0.0,0.0,0.0,3.702389989763753,0.0,0.0,0.0,5.845019297815945,0.0,0.0,0.0,19.764278927411873
t4,0.0,0.0,0.0,3.6250977945719063,0.0,0.0,0.0,304.59702098979164,0.0,0.0,0.0,3.5822547747246825,0.0,0.0,0.0,4.216443891207317,0.0,0.0,0.0,100.50154322999632,0.0,0.0,0.0,3.554258815017376,0.0,0.0,0.0,384.4197940419589,0.0,0.0,0.0,3.7323254923987257,0.0,0.0,0.0,5.836818874740478,0.0,0.0,0.0,19.830243776774047
t5,0.0,0.0,0.0,3.634072305386725,0.0,0.0,0.0,305.5131808738293,0.0,0.0,0.0,3.6289307712570835,0.0,0.0,0.0,3.9705275850297834,0.0,0.0,0.0,101.60495911426213,0.0,0.0,0.0,3.660588904186702,0.0,0.0,0.0,385.02374090645964,0.0,0.0,0.0,3.7975951123288567,0.0,0.0,0.0,5.834114328871936,0.0,0.0,0.0,20.13023928115112
t6,0.0,0.0,0.0,3.5926903539359287,0.0,0.0,0.0,306.46304050206004,0.0,0.0,0.0,3.6332033862431414,0.0,0.0,0.0,3.9030590689588163,0.0,0.0,0.0,102.63461492991277,0.0,0.0,0.0,3.8339772120466122,0.0,0.0,0.0,386.09286106305,0.0,0.0,0.0,3.860898410152377,0.0,0.0,0.0,5.84168227476291,0.0,0.0,0.0,20.553193229203927
t7,0.0,0.0,0.0,3.624157810945256,0.0,0.0,0.0,309.296751973487,0.0,0.0,0.0,3.597848207268581,0.0,0.0,0.0,3.759687540077201,0.0,0.0,0.0,103.73536660044005,0.0,0.0,0.0,3.7678765198992346,0.0,0.0,0.0,388.55716915985664,0.0,0.0,0.0,3.8196590984815098,0.0,0.0,0.0,5.829987994869628,0.0,0.0,0.0,21.057590588544375
t8,0.0,0.0,0.0,3.6055220524311538,0.0,0.0,0.0,310.69997975998047,0.0,0.0,0.0,3.577150575462536,0.0,0.0,0.0,3.6627544716506018,0.0,0.0,0.0,104.5999228021528,0.0,0.0,0.0,3.687984473874229,0.0,0.0,0.0,390.53373361656196,0.0,0.0,0.0,3.792640946355522,0.0,0.0,0.0,5.826830346208349,0.0,0.0,0.0,21.555826311783935
t9,0.0,0.0,0.0,3.595158151744543,0.0,0.0,0.0,312.06046569897455,0.0,0.0,0.0,3.564225513477602,0.0,0.0,0.0,3.6139170870029744,0.0,0.0,0.0,105.69421153874939,0.0,0.0,0.0,3.6295761491670646,0.0,0.0,0.0,392.62253665481177,0.0,0.0,0.0,3.775185855230709,0.0,0.0,0.0,5.825734730502215,0.0,0.0,0.0,22.051945161431117
