Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10
t1,7.2760985322189615,0.35442087409313994,0.3498749858281349,0.01018592001614465,5.943306405693223,0.0,0.0,0.0,0.0,0.0,57.698770241551685,0.13504915988230495,83.95411565169155,0.07320834062477631,0.046216839093818574,8.112666776849295,0.0,0.0,0.0024280583660369545,0.0,0.0,0.0,0.5331652071597989,8.079058668254847,2.268462343897898,0.0,0.0,0.0,0.0,0.012045562382933705,0.03127908362100188,0.06774544659814986,0.5545568959964617,0.02540049514672288,0.0,0.0,0.00222235941887901,0.0,0.008914072425324448,12.201785363793517,0.18776504818332398,0.01984354239547124,61.36901342838888,0.0,0.0,0.0024593541642885823,0.0,0.0,0.0,2.0734677506574117,0.2122047142871606,0.0,0.0,0.02651368432270656,0.0,0.0,50.879570327001616,9.59234523671069,44.18502558274874,6.215526819977969,8.057850827550304,0.0,0.0,0.450595726991008,0.0,0.0,0.0,22.480872230555935,0.2039728403196841,0.10387543438290005,0.4956801633287691,0.0,0.0,0.0,0.0,13.4069126158263,3.158171029323229,0.0,0.0,0.0,0.0,0.015138976883709642,0.007239441426673885,11.72899151865462,0.07349050857905046,0.015765727876941294,0.0,0.0,0.0,0.0027963724079466835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,7.275774462133679,0.36851771337677786,0.3500524649169985,0.010186774134511401,5.943314282082183,0.0,0.0,0.0,0.0,0.0,57.69221547591814,0.13044181813443126,83.95409007468,0.07320950659468968,0.0462179479568087,8.112672159628874,0.0,0.0,0.0024293509318542425,0.0,0.0,0.0,0.5123487157458846,8.078878295902035,2.2684628544144254,0.0,0.0,0.0,0.0,0.012046213119399692,0.03448301043018279,0.07527262112582594,0.5524190900358192,0.02540128036333171,0.0,0.0,0.0022186340550183333,0.0,0.008914854402882751,12.199996873144897,0.1827250748583274,0.019843869832937455,61.36902107288848,0.0,0.0,0.0024584659431227084,0.0,0.0,0.0,2.0718189247652448,0.21221032415147853,0.0,0.0,0.02702628297890952,0.0,0.0,50.87964922980523,9.572131819568545,44.18463654428068,6.2155323052465254,8.057864601083162,0.0,0.0,0.45291298124732504,0.0,0.0,0.0,22.47402665959605,0.20249696202423248,0.10387698137714202,0.4956967059308847,0.0,0.0,0.0,0.0,13.406916302911114,3.158174249157504,0.0,0.0,0.0,0.0,0.015139070321324142,0.007239667334300332,11.728976550375135,0.0734271047898751,0.0157657353638834,0.0,0.0,0.0,0.002795829210672761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,7.275774008984175,0.3884256163520552,0.35028617898326914,0.01018764940824235,5.943321896006935,0.0,0.0,0.0,0.0,0.0,57.69097522704953,0.1290936119165748,83.95440385834934,0.07321071440658494,0.046219097503688904,8.112678015419862,0.0,0.0,0.002431644363265914,0.0,0.0,0.0,0.5072705700318566,8.078816462576349,2.2684634490027316,0.0,0.0,0.0,0.0,0.012047118104058596,0.033710977282900824,0.07440281597925551,0.5508088484935203,0.02540212521454143,0.0,0.0,0.002215433724360228,0.0,0.0089162500419077,12.199319870427159,0.18142834687253617,0.01984420282685602,61.36902867486076,0.0,0.0,0.0024587305774262194,0.0,0.0,0.0,2.0674978854583834,0.21221612745377955,0.0,0.0,0.027518278913967298,0.0,0.0,50.87702061179208,9.523729136556677,44.18411317424377,6.215537809561992,8.057877971834445,0.0,0.0,0.45433205330557264,0.0,0.0,0.0,22.471952211408123,0.20719511310193542,0.10387851717719547,0.4957134230094719,0.0,0.0,0.0,0.0,13.406918314186091,3.158115885080999,0.0,0.0,0.0,0.0,0.015139134681413554,0.0072398550264920125,11.728992741438198,0.07337690902144524,0.015765744980008694,0.0,0.0,0.0,0.002795485798729662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,7.275551474248145,0.41733735561537394,0.3505740336204086,0.010188525871721157,5.9433291912467485,0.0,0.0,0.0,0.0,0.0,57.69382697693473,0.13063453616170062,83.95504985737936,0.07321195685422864,0.04622028048178645,8.112684347963606,0.0,0.0,0.0024347436425700723,0.0,0.0,0.0,0.5140445572214353,8.078862571379668,2.2684641031882933,0.0,0.0,0.0,0.0,0.012048249575922772,0.027880276276457353,0.063868839208504,0.5496869659991918,0.025403102023064294,0.0,0.0,0.002213051869748074,0.0,0.008918377268073043,12.19876934939653,0.1840200241301817,0.019844547646523714,61.369036202690275,0.0,0.0,0.0024599928986512747,0.0,0.0,0.0,2.064184492491925,0.21222214283951388,0.0,0.0,0.028053516461313543,0.0,0.0,50.874321792293415,9.501428266563828,44.18362438763318,6.215543419463823,8.057891457689506,0.0,0.0,0.4555876414893095,0.0,0.0,0.0,22.470982106623882,0.217859632403192,0.1038800677645743,0.495730360812213,0.0,0.0,0.0,0.0,13.406926667270282,3.1580651488287486,0.0,0.0,0.0,0.0,0.015139193228160487,0.007240008205955549,11.728989558511959,0.07333936201009397,0.01576575403259362,0.0,0.0,0.0,0.002795310805346294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,7.275788257199506,0.47495313936734906,0.350935387521457,0.01018940190068422,5.94333629070235,0.0,0.0,0.0,0.0,0.0,57.70443037057901,0.13684929831644907,83.95608378413661,0.07321322765192734,0.046221491082581834,8.112691215988894,0.0,0.0,0.002438786193856995,0.0,0.0,0.0,0.5371453820054083,8.079015965654195,2.2684648184179017,0.0,0.0,0.0,0.0,0.012049594549894297,0.046701185696496506,0.0788562992755399,0.5506995988847577,0.02540419036856347,0.0,0.0,0.0022168704771232013,0.0,0.008922992078356482,12.200056594704325,0.19310627743599335,0.019844881403796186,61.36904371380372,0.0,0.0,0.0024622435479157885,0.0,0.0,0.0,2.0637817446194617,0.21222837705885078,0.0,0.0,0.028659336654325872,0.0,0.0,50.87372823598424,9.50258787112251,44.18325861311077,6.215549186406361,8.057905689304064,0.0,0.0,0.45682957321275136,0.0,0.0,0.0,22.472489922910572,0.2409476381192948,0.10388163446849724,0.49574770239874816,0.0,0.0,0.0,0.0,13.40692669741436,3.157961947909659,0.0,0.0,0.0,0.0,0.015139256116879291,0.0072401319495529635,11.728998162150985,0.07331446738157898,0.01576577586825481,0.0,0.0,0.0,0.0027953696921011874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,7.276543654171128,0.656970824232347,0.35135819160612664,0.010190245117359796,5.943343073278076,0.0,0.0,0.0,0.0,0.0,57.734260120695964,0.148715926091786,83.95747151687809,0.073214533845582,0.04622273541168766,8.112698505303298,0.0,0.0,0.002443873764757365,0.0,0.0,0.0,0.610660038462986,8.079272988415678,2.2684655653900507,0.0,0.0,0.0,0.0,0.012051106785796933,0.07641957316630424,0.09056994807484366,0.5524168246612486,0.025405272245119605,0.0,0.0,0.0022212434395863655,0.0,0.00892812320378732,12.202981840776369,0.20915768771418244,0.019845227483420456,61.36905106351797,0.0,0.0,0.0024654939675901907,0.0,0.0,0.0,2.065931193687587,0.21223478661506542,0.0,0.0,0.029318923808975644,0.0,0.0,50.8738069827732,9.52816358845015,44.18302217547498,6.21555509981836,8.057921114209122,0.0,0.0,0.45791887957740396,0.0,0.0,0.0,22.477699282517335,0.29644620877914113,0.10388319661923492,0.49576534103035036,0.0,0.0,0.0,0.0,13.406927598634958,3.157894145536514,0.0,0.0,0.0,0.0,0.015139291411949364,0.007240204428983491,11.729193345573925,0.07329885701033627,0.015765779138591163,0.0,0.0,0.0,0.0027956346108132515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,7.277434462632723,1.124547537131241,0.351799332461993,0.01019107442126505,5.943349421934644,0.0,0.0,0.0,0.0,0.0,57.78362214487307,0.16378564186067424,83.9590332513305,0.07321588424110118,0.04622402118020156,8.112705868652338,0.0,0.0,0.002449730611463801,0.0,0.0,0.0,0.6805142122040498,8.07952195037009,2.268466349049438,0.0,0.0,0.0,0.0,0.012052563628535845,0.12616777111737168,0.100218675786069,0.5546305871645166,0.025406378910245893,0.0,0.0,0.0022257159142746465,0.0,0.008933543333047517,12.205714430626006,0.22757045882219928,0.019845564282919077,61.36905810155799,0.0,0.0,0.002469017760700773,0.0,0.0,0.0,2.0744945551946756,0.21224142689774053,0.0,0.0,0.03005496634126471,0.0,0.0,50.87819460225693,100.70544001671207,44.183033892690325,6.215561184774209,8.057938268502777,0.0,0.0,0.4590342624605083,0.0,0.0,0.0,22.484101973010393,22.272372897886036,0.10388477484738917,0.49578286718440845,0.0,0.0,0.0,0.0,13.406917224316162,3.1578662183019013,0.0,0.0,0.0,0.0,0.01513932940409914,0.0072402624916035364,11.729279772105379,0.07329728905962361,0.01576579401917082,0.0,0.0,0.0,0.002796047727735046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,7.277694802467913,1.191911728221342,0.3521673384274389,0.010191859318014028,5.94335490169978,0.0,0.0,0.0,0.0,0.0,57.79649493412144,0.17795072554558702,83.96050646469915,0.07321726732283843,0.04622533897405812,8.11271308747309,0.0,0.0,0.002455737233194549,0.0,0.0,0.0,0.7497055617374297,8.079771222324725,2.268467162821889,0.0,0.0,0.0,0.0,0.01205402637525819,0.17094020706421453,0.10731815481679358,0.5569378045007993,0.025407555168270157,0.0,0.0,0.0022300837348582783,0.0,0.008939142790175917,12.20642923295386,0.2395223172012637,0.019845897531906756,61.36906446163178,0.0,0.0,0.0024719065552041737,0.0,0.0,0.0,2.0759776691756913,0.2122482424943926,0.0,0.0,0.030681604408190857,0.0,0.0,50.879564892547826,155.9951826936361,44.18390114272143,6.215567414264393,8.05795733882342,0.0,0.0,0.4600055417936141,0.0,0.0,0.0,22.484750313065117,46.18189824027086,0.10388630422728809,0.4957986646701965,0.0,0.0,0.0,0.0,13.40690859631739,3.157838026026275,0.0,0.0,0.0,0.0,0.015139371630050757,0.0072403205410512,11.729294896423136,0.073303197980344,0.01576581611931821,0.0,0.0,0.0,0.002796472017315301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,7.277571125751469,1.2070837962752847,0.35242721709997,0.010192576452578135,5.943359293054202,0.0,0.0,0.0,0.0,0.0,57.79842391812129,0.18620349112053644,83.9616728937519,0.07321865510695483,0.04622666038356883,8.112719883982392,0.0,0.0,0.002460936742543094,0.0,0.0,0.0,0.8086186263401309,8.08000893139336,2.268468012695061,0.0,0.0,0.0,0.0,0.012055483196717044,0.1879935519655264,0.11128222850511783,0.559051384407841,0.02540875998110572,0.0,0.0,0.0022339375479034813,0.0,0.008944678212652504,12.206302547866732,0.24372724422522918,0.019846231460779244,61.36906998011572,0.0,0.0,0.0024737917852554864,0.0,0.0,0.0,2.0761669536981238,0.2122550949971577,0.0,0.0,0.031241399047914804,0.0,0.0,50.880045619258425,171.15088790820204,44.18492058030349,6.215573785331356,8.057975423518727,0.0,0.0,0.4608747984635574,0.0,0.0,0.0,22.485091047296564,52.466630198497214,0.1038877697935941,0.49581288981860644,0.0,0.0,0.0,0.0,13.406909332980305,3.1577700067494288,0.0,0.0,0.0,0.0,0.015139412697325987,0.00724038196996198,11.729280741150054,0.07331436470434496,0.015765849225568854,0.0,0.0,0.0,0.0027968696332901586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
