,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10
AnnualSum,7.741853704514691e7,15646.73878774842,-35056.756257691515,0.0,0.0,0.0,33.15353609030234,2.198712629211357,1.7363943674581066e7,-3.94404913445043e6,-9.079620837641798e7,6.087289951480434e8,34340.98077335071,-1.0709243133067826e7,0.0,0.0,0.0,31.626908142530922,2.1224834129093626,3.649880097020752e7,-5.262601942520932e6,-6.384022227267501e8,2.3474535775677778e7,29830.428356650576,-40500.52101359015,0.0,0.0,0.0,29.60632882984712,2.2537285840229826,4.427822941138736e6,-915339.2779928298,-2.6962210842130397e7,4.609254593421412e7,16499.85459335914,-45913.49770514852,0.0,0.0,0.0,29.20484978323458,2.265572732071033,-2.253424334216461e7,-2.9006905407367945e6,-2.05916181620122e7,5.575142520547181e8,13148.47464958194,-3.6053119078955925e6,0.0,0.0,0.0,33.32749464599491,2.1313722942256312,-6.6850163802676745e7,-6.342406820485316e6,-4.8307121892098004e8,1.1141158960621575e7,36681.84600711721,-87337.93925978996,0.0,0.0,0.0,28.166684269330585,2.2950557499738613,-794384.568229041,-119754.27056896078,-1.0201388131877797e7,4.057103702958166e8,35522.25904903501,-86232.92250636677,0.0,0.0,0.0,34.01524906166137,2.140141034507483,1.1350704217796102e7,-1.309050196399446e6,-4.155491045687199e8,1.457528495589161e8,23833.11045845112,-35868.029320781585,0.0,0.0,0.0,34.74642972210219,2.160580691184909,1.964660409554947e7,-2.90154654250713e6,-1.6248105400673002e8,1.080494705450857e8,28336.822054016553,-32245.17612686673,0.0,0.0,0.0,34.43629782961079,2.1685445640616603,4.119104242279411e7,-4.1995158164110845e6,-1.2586443247586401e8,9.717079727786836e7,25979.17407850897,-26765.033192171428,0.0,0.0,0.0,34.764161545270454,2.1630494925218167,4.985804036760672e7,-4.831719909909835e6,-1.42167081595128e8
t1,8829.088411211296,3.3317128150556594,-1.8358103772522023,0,0,-0.0,0.0029795258390348765,0.000197319494034334,2048.95661650686,-154.63701001433867,-10727.66830490192,73422.05822348074,2.2116545755937707,-12.939865473420404,0,0,-0.0,0.002760658073827689,0.0001929698471371555,-5392.628624317321,-970.6143204888912,-67055.2561721752,4005.5743223119175,3.313384230688985,-4.26597177429254,0,0,-0.0,0.0026597189755154706,0.00020119548408793688,-1177.1394097830325,-178.44065035486403,-2649.3156928541316,9333.849190149353,0.5201167342095514,-36.315466832776956,0,0,-0.0,0.0026297443102175164,0.0002019867097002457,-6744.70145357646,-506.0961393171745,-2023.3391642044444,67553.22376653906,1.905142253833651,-7.462897543180738,0,0,-0.0,0.0027704661337854923,0.00019304555079329886,369.3392103363303,-635.3653890049972,-67288.4227520813,1487.6806558665085,10.536377248521081,-2.3897033178359934,0,0,-0.0,0.0025628026672627016,0.00020443066470333214,-356.2895911802058,-26.948485146091326,-1158.5068217917676,44315.90466611567,11.238809498141041,-1.6485500498443235,0,0,-0.0,0.0030874399704757076,0.00019375100742404658,3028.7060120071974,-227.61840055958942,-47191.27106791893,12769.064591129894,6.032284784492011,-1.1847313256532384,0,0,-0.0,0.0031166058085233947,0.00019669790628831045,3680.7300228068625,-437.1803614178279,-16036.522658080828,9716.019501516263,8.821787872557216,-1.993635602753686,0,0,-0.0,0.0031227297030865056,0.0001966812763627838,6478.945099285971,-486.2294288110727,-15716.387537123128,9716.543378414013,6.628843655061188,-2.170363864013189,0,0,-0.0,0.003139956820374915,0.00019637965518984942,8368.943705523088,-627.9508452689565,-17462.8236524797
t2,8827.682213982092,2.8248369492050793,-2.7344023865929,0,0,-0.0,0.0029727558438424357,0.00019742489291444608,1654.0872764972055,-124.64496617061792,-10357.97001069068,75213.67191260465,1.9317152023203872,-5148.353338332086,0,0,-0.0,0.002786396191049602,0.00019297973277339982,-3651.1121385830993,-717.1491769745346,-65702.33007023195,3976.978328645244,2.92802004976593,-5.039854586092325,0,0,-0.0,0.0026591806863963023,0.00020123467205695995,-1181.8155767244953,-178.4481899539972,-2614.62562011247,8349.627235222344,1.012133206414313,-2.023949638152182,0,0,-0.0,0.0026306514417684503,0.0002022882243667003,-5917.82913417746,-444.59449640448827,-1996.8456109389117,67297.20561893043,1.7813322262722218,-401.0911841828642,0,0,-0.0,0.0028061188029330783,0.00019306346289645724,-989.5726261377215,-441.73408908265026,-65470.76977481857,1378.9324473365384,6.4206826084879,-3.9041073463139697,0,0,-0.0,0.0025613895812098683,0.00020447480566190238,-219.00261695889333,-16.671824205350948,-1149.6883018277617,43854.28171185865,7.6091160946440315,-2.5629727170637757,0,0,-0.0,0.0030884543527046763,0.0001937419703539957,3207.7744894988577,-241.0511307372808,-46832.05246999379,13818.503406602958,2.97588282414736,-6.667879272483265,0,0,-0.0,0.0031072947897362755,0.0001967161463292044,2248.7951096267007,-455.1860198670772,-15608.527599363533,9406.418002592045,8.881755049146236,-2.1070212881272186,0,0,-0.0,0.0031220709785082157,0.00019668931600979795,6784.405394702933,-509.07025376591673,-15689.215077777762,9627.26298654925,6.855444475420657,-2.200042865857104,0,0,-0.0,0.0031393730401191432,0.00019638649774361583,8369.130790224866,-627.9899938628412,-17373.812100117146
t3,8828.305577051911,2.8175492661543875,-2.927499442220487,0,0,-0.0,0.0029676907302792804,0.00019745861958517117,1369.2596137436612,-103.28249871984318,-10094.777600422807,76604.11594818365,1.8956169057667358,-8256.40601311833,0,0,-0.0,0.002793168856208191,0.00019298236126800636,-2395.3592746691265,-600.2900606675344,-65357.122518709104,4015.461242477406,2.9353007265813114,-5.017696416384925,0,0,-0.0,0.002661703530376777,0.00020116840026963715,-1181.5953983921695,-178.43602757375658,-2653.349422403796,8215.722571723503,1.0231338270153763,-1.6982743098148458,0,0,-0.0,0.002631041448820242,0.00020222979312107587,-5766.622689321479,-433.26063574837906,-2026.4198087592765,67296.90912101063,1.8173613173753287,-2040.0049876480166,0,0,-0.0,0.002841473132718383,0.00019308996236013832,-1218.3862240614783,-359.0649400613213,-63685.141651650585,1285.5527643966393,3.7377618602185936,-9.428255865950211,0,0,-0.0,0.0025578794952562465,0.00020454781636774962,-140.72285302840783,-10.837434275364505,-1129.31802820636,43131.858332611286,4.716604256344262,-6.571455687438156,0,0,-0.0,0.0030924991418428706,0.00019375159880242543,3104.116693229428,-233.45250849829225,-46002.27825198503,14579.271022445719,2.873735820641473,-5.472493469382415,0,0,-0.0,0.0031063512693722717,0.0001967184086460761,1380.995514467873,-409.1962428257718,-15548.77505184343,9387.33533937803,8.926055167590473,-2.1968671655419527,0,0,-0.0,0.003121651345015836,0.0001966917125019475,6784.195328409353,-509.0575276697722,-15669.806191111524,9669.41873089512,7.0134313849248375,-2.251606113250549,0,0,-0.0,0.003139619579043981,0.00019637721614585807,8368.979913648522,-627.9789804592849,-17415.87250214427
t4,8852.116285626766,2.7216615801013795,-3.8810338649096163,0,0,-0.0,0.0029652010862877554,0.00019747572350973792,1220.362231534803,-92.12341680871043,-9979.409847023622,76685.65519518098,1.9934155567439809,-9377.089887924281,0,0,-0.0,0.0027940602798484913,0.00019298086420445435,-1338.2787651412607,-666.6477581872854,-65306.81359324628,4028.2202060809864,2.9651921363297724,-5.321539958252149,0,0,-0.0,0.002662641304235912,0.00020114208896524405,-1179.04527049039,-178.55943461402836,-2668.2011074150814,9346.022656663537,0.5419932553242759,-35.77260094477387,0,0,-0.0,0.002631134699119105,0.00020195050938359341,-6743.913260136989,-506.06207223585955,-2037.7623599769656,67294.00805614927,2.0418865857765964,-4601.410640873279,0,0,-0.0,0.0028484481135364384,0.00019309246035089495,993.3688543658141,-364.34152234485634,-63325.769149687614,1216.781077180015,3.190603078833205,-23.26163121196571,0,0,-0.0,0.0025511141210131276,0.00020476391671778648,-108.80515668960521,-8.448508795062747,-1080.19609973375,42323.60508155137,4.868214682566639,-24.313832268084667,0,0,-0.0,0.003104257728861516,0.000193830036043029,1835.0518831753366,-138.39754872650622,-44001.317886993274,15272.69267546085,2.785111596069604,-7.438090471611483,0,0,-0.0,0.003104507978067588,0.00019672364241032797,471.52739575863006,-293.8397299583581,-15445.82425208183,9510.356797633138,8.969794414073084,-2.2932722179772584,0,0,-0.0,0.0031237071647778657,0.00019666777982761923,6784.352120158886,-509.06633400068046,-15792.85126227862,9859.999066762623,7.5278327024365055,-2.3795248916091833,0,0,-0.0,0.0031407943976012294,0.00019634316817891532,8370.240544798873,-628.03989424389,-17607.603354966595
t5,8854.344589959217,2.9949697456040614,-4.084371368639077,0,0,-0.0,0.002972994527283226,0.0001974174425615756,1614.6343654747197,-121.68325974327098,-10346.390826796265,75912.25420513046,2.1484215118355454,-7733.510820046649,0,0,-0.0,0.002746926445504663,0.00019294602197591218,100.21887553093848,-554.7638229446853,-67728.09238335704,4155.29720049103,3.15066626291801,-6.072441665740795,0,0,-0.0,0.00266900330733055,0.00020095199388108122,-1180.236247631573,-178.400552867544,-2793.576979514183,9352.0808690104,0.982061871562094,-3.365689987813465,0,0,-0.0,0.002641360893775641,0.0002016843346471587,-6712.1786873069195,-504.0732228706769,-2133.514599508089,67141.72450824175,2.22530935055384,-980.9926967250186,0,0,-0.0,0.0027875791209948644,0.0001930500731920843,428.6128111070211,-198.81529434238274,-66394.46639307351,1170.5650369688915,3.2311704498785754,-22.286692466709447,0,0,-0.0,0.0025457252329675944,0.00020493245464929657,-102.77036046319188,-7.9960964089385245,-1041.6057460905984,42292.027965977184,5.357000387466509,-18.94663150267088,0,0,-0.0,0.003112599310575212,0.00019389914854750409,164.03124393887117,-13.102005251126275,-42429.35662098801,15295.06657741579,2.987299181858891,-7.653708917026675,0,0,-0.0,0.0031125113396824073,0.00019664750592296177,840.032676705571,-254.03482262041996,-15876.477683454528,9948.233509651072,8.999432121247818,-2.424555914216759,0,0,-0.0,0.0031311343033380845,0.00019658568959407535,6784.096863968695,-509.0498710458591,-16230.320421525797,10576.365768993886,7.609802153631497,-2.605411953870041,0,0,-0.0,0.003145296614165072,0.00019622081976317484,8368.419266000332,-627.9371438066174,-18321.6657024307
t6,8862.210419199022,4.267344612582959,-2.6825053047081697,0,0,-0.0,0.002987258475047687,0.00019733173695190597,2567.2089814118417,-193.09413129425218,-11238.732549323073,85577.03207050492,2.599284081241862,-13.94752971899456,0,0,-0.0,0.0026058746379650326,0.0001928328859605136,-8481.164848645003,-1026.0235954023083,-76062.28874814523,4429.501191908621,5.765656092473525,-2.07110481039735,0,0,-0.0,0.0026927903948063673,0.0002005891209483867,-997.3067526452069,-164.8113764084968,-3273.1142969694038,8480.974767336267,1.1099791736433402,-2.892099464824275,0,0,-0.0,0.002657478851601663,0.0002009654640881203,-5563.231067442965,-417.9468553899901,-2499.747523580549,67991.23917737417,2.5419116376928974,-8.284136398535882,0,0,-0.0,0.002679764926083729,0.00019294538005710583,4851.280077059922,-617.6475335874352,-72223.23673612658,1138.0770074499621,3.81816442257034,-23.39216709752533,0,0,-0.0,0.0025447977608585234,0.00020478603480296852,-61.0747489481069,-4.8765390564708415,-1053.3725263230192,42867.02712683451,6.034231981268883,-21.999220205882086,0,0,-0.0,0.003110684871089512,0.00019388536863822065,64.50401932681217,-5.802029270578651,-42908.67128423308,15242.157468801266,3.4964009100612152,-4.727782034281991,0,0,-0.0,0.003135695121158587,0.000196355213850888,2955.5399444669374,-459.79046795415024,-17737.023679123573,11142.51537716356,8.991808441715703,-2.0173325234598045,0,0,-0.0,0.003143659235056222,0.00019639983230873193,6770.933403885096,-508.10244458965917,-17413.091046909532,12492.822887981794,7.58132982247402,-2.0220780523890545,0,0,-0.0,0.003150553716573301,0.00019598030861791188,8198.173979830364,-615.234680345429,-20081.369210467477
t7,8979.251090402522,5.897102293122546,-1.8966843630630832,0,0,-0.0,0.0029936060543195807,0.00019726225181050712,3043.7795795258144,-228.9647711950282,-11799.957020373895,86337.0856888423,3.8491250480757273,-8.135551033985552,0,0,-0.0,0.0025228984873232273,0.00019274838567338577,-3771.1159448222725,-549.6023595925998,-82019.0511082384,4423.574597802473,6.367151024555382,-2.504529372371688,0,0,-0.0,0.002720286979798668,0.00020036909867043388,-504.93704966233736,-127.76106987618569,-3795.9776488337093,7997.065985183688,1.2674055680414928,-2.907000249092984,0,0,-0.0,0.0026758386845638204,0.0002004814674459769,-4742.081722134592,-356.3625325075909,-2899.0694704875996,73790.1892290241,3.2736270812925743,-4.830255165982328,0,0,-0.0,0.0026437618796370625,0.00019290503635830913,-2265.823105169318,-290.44173240639543,-74444.37030322322,1166.6782821330637,13.492232452947613,-4.161684330718193,0,0,-0.0,0.0025619481918671507,0.00020428220232455763,-0.2242292917799773,-0.4295299449115251,-1178.9593569794613,47997.36433320081,9.918724059971394,-4.480349002682638,0,0,-0.0,0.0030781506248042504,0.00019364192173110392,20.71970700452397,-2.5558459332288717,-48024.39616729313,16195.866420262435,7.934335453113146,-1.5823399941723624,0,0,-0.0,0.0031490757450843253,0.0001959700529282582,4726.870180618299,-358.38698495625385,-20574.394088640183,13015.231187716123,9.057999740975212,-2.1169548509592984,0,0,-0.0,0.0031509915224237515,0.00019619675342343404,6090.715484845178,-457.1492601317077,-18656.413782556836,14145.187157531796,7.670446924303718,-2.0870570382040725,0,0,-0.0,0.0031514662418192976,0.0001956492099513161,7706.960219887597,-578.3969922875874,-21279.133023389568
t8,9085.027179972047,6.366898012016242,-1.742946724682724,0,0,-0.0,0.0029939116153138616,0.00019726032526350612,2924.9918979560525,-220.01251096089422,-11796.884730820593,82099.64457026376,4.535728930711169,-5.249487520442136,0,0,-0.0,0.002497683578719636,0.0001927104617570272,-2894.216489623991,-496.4332814061365,-84981.29921529561,4402.850152929461,6.984557588384753,-2.570434738748202,0,0,-0.0,0.002729082985384038,0.00020033890051955483,-325.5854823654963,-114.26356014067727,-3968.6212684133748,8217.159680227058,1.3837432381674897,-2.6917307212334105,0,0,-0.0,0.002683074518009412,0.0002003514032037022,-4825.2914497359425,-362.5777126392217,-3030.9211025604263,73638.84088599563,3.6877494572755807,-4.118895405783093,0,0,-0.0,0.0026331927035765394,0.00019289731204216845,-2926.4426147069266,-221.4402460077885,-75104.22246246072,1153.048858471487,16.038399954878287,-3.0551774777174385,0,0,-0.0,0.0025791538717557533,0.00020363590970294782,176.8979533843401,-13.566117477262479,-1336.5775576646574,54618.20757897378,10.240787331706558,-3.7997357487026138,0,0,-0.0,0.0030094125520156436,0.00019340168265352513,-167.0189398757044,-14.882503702847288,-54444.90495246687,18111.065034915657,7.334662075408882,-2.0123099937589135,0,0,-0.0,0.003154050557789222,0.00019546863405269259,4726.572947008872,-358.01251750911666,-22486.475890124642,13723.650780147686,9.06037675981581,-2.2649543865407593,0,0,-0.0,0.0031533928079002854,0.00019609731895102296,6060.615155881066,-454.90927248868627,-19336.695476360084,14737.443641745089,7.7125787436938,-2.1805308759801036,0,0,-0.0,0.003150985900941557,0.0001955219955452119,7554.339454085963,-566.9641112332005,-21730.05965564641
