Zone,1,2,3,4,5,6,7,8,9,10
t1,-0.0009706312212147768,-0.00015718544629749525,-0.0037841262319898666,-0.004703037639804959,-0.00015611488706435443,-0.006712913847173447,-0.00022784224944938359,-0.0006601524193774104,-0.0006702791744286151,-0.0006086504810301383
t2,-0.0010058674527900662,-0.00016002975435366697,-0.0038332355429349678,-0.004704336028599942,-0.0001602840128467032,-0.006765540018889293,-0.00022950405111603586,-0.0006773258965731862,-0.0006714912033735452,-0.000611328768346148
t3,-0.0010308587752518837,-0.00016070290444595415,-0.0037868148066407138,-0.004639939210190898,-0.0001646770952920742,-0.006889897647074902,-0.00023396098428032743,-0.0006796538333769734,-0.000672296531874,-0.0006099065825512321
t4,-0.0010424273155711025,-0.00016074830149596047,-0.0037696772285818153,-0.0046800179267584095,-0.00016556112193878044,-0.00719870401920465,-0.0002454188287614567,-0.0006838263395820061,-0.0006671220488534399,-0.0006037101685836548
t5,-0.0010062555561718783,-0.00015522008859265808,-0.0036207415368796243,-0.004535246001422873,-0.00015809511438604358,-0.007457678272298108,-0.0002547127476759346,-0.000665582433286658,-0.0006497226248906804,-0.0005814020513746031
t6,-0.00093072599627906,-0.00013881510124538724,-0.0031310574547306442,-0.003961803403033923,-0.00014533653148142333,-0.007419146454928014,-0.0002522257849990079,-0.0006009437513327133,-0.0006094119264606902,-0.0005331260338919498
t7,-0.0008879559788924333,-0.00012884008487172496,-0.002724249954375499,-0.0034668588108911435,-0.00014087308548484578,-0.006692705422572207,-0.00022360373112005808,-0.0005220688534028868,-0.0005711374337911789,-0.0005017264115081135
t8,-0.0008877444623279178,-0.0001242709413718044,-0.002611190759647872,-0.003331319453627958,-0.00013965149561239454,-0.005953846700375682,-0.00019600647461820992,-0.00047554197157933533,-0.0005520607569890434,-0.000490648159032161
t9,-0.000873459940685481,-0.00012271471878589062,-0.0025888764904862887,-0.0033033305923741004,-0.00014099288125589535,-0.0056907883820217055,-0.0001832534587660951,-0.00045307595071575395,-0.0005468989939362941,-0.0004885625627083699
t10,-0.0008575639934512174,-0.00011882674758104093,-0.002531437773819196,-0.003237071507795315,-0.0001428880195037183,-0.005528438512167559,-0.00017494162801284406,-0.0004440550393295152,-0.0005481354378350752,-0.00048097962043472294
t11,-0.0008530064226970279,-0.0001161089227516126,-0.002558605286954044,-0.0032576571387602756,-0.00014488377290851776,-0.005554649714817685,-0.0001764030554709349,-0.00044458000885505024,-0.0005587699375204714,-0.0004835864036437209
t12,-0.0008733391394438948,-0.00011630225444090597,-0.002617471535477757,-0.003344109431434632,-0.00014853945773516785,-0.005588511864960685,-0.0001781548519640891,-0.00044921564835403316,-0.0005687927445013394,-0.0004862628495457468
