Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
BE0 0 CCGT,1,3641.0,0.05083877818463438,8.902309423989827,3649.851470645805,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 OCGT,1,3641.0,116.10825846116177,0.5402596665543973,3525.4320012053927,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 biomass,1,672.0,496.7706875854478,1.2532625779379893,176.48257499249024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 coal,1,0.0,0.0,47.965263883553014,47.965263883553014,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 nuclear,1,5943.0,0.0,1.7628583909093456,5944.762858390909,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 offwind-ac,1,1127.0,0.021927017609411806,2.5716790870595476,1129.54975206945,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 offwind-dc,1,1127.0,0.017496390311023752,3.420220688759607,1130.4027242984487,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 onwind,1,2629.0,0.03973507924274387,2.0923095670164824,2631.0525744877737,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 ror,1,176.0,0.2735458744409575,0.0,175.72645412555903,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 solar,1,4788.0,3.2535932152069704,1.429654432385342,4786.176061217178,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 CCGT,2,15971.0,0.02815143700715205,12644.8700916073,28615.841940170292,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 OCGT,2,15971.0,0.0690636508217214,5591.523504112726,21562.454440461905,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 biomass,2,8400.0,0.030953467171524147,1.9366782091460186,8401.905724741973,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 coal,2,23499.0,22557.418237150752,58.34334208278825,999.9251049320374,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 lignite,2,20487.0,20060.75104672305,90.78536326003102,517.0343165369814,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 nuclear,2,8114.0,0.0,4.788181187319069,8118.788181187319,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 offwind-ac,2,3887.0,0.017315840230812042,4.462536376436935,3891.4452205362063,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 offwind-dc,2,3887.0,0.015763079401628893,37063.637263277764,40950.621500198366,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 oil,2,4184.0,0.05439507176470288,42.81567347906488,4226.7612784073,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 onwind,2,54499.0,0.043800435138860686,0.2932534413822956,54499.24945300625,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 ror,2,3814.0,0.7098376357204699,0.0,3813.2901623642797,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 solar,2,53302.0,10006.116206808172,0.018889267179507927,43295.90268245901,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 OCGT,3,358.1050901,0.05753590244560639,130.63058484941496,488.67813904696936,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 biomass,3,810.6078944,0.02810737135182413,0.3755149125971222,810.9553019412454,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 coal,3,1478.320166,17.578717026348826,2.6310079627518865,1463.372456936403,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 offwind-ac,3,368.064482,0.020311636613253192,3.8277286249707734,371.8718989883575,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 offwind-dc,3,368.064482,0.017181051874306782,11.538130536052936,379.5854314841786,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 onwind,3,1940.349345,0.024826453509131468,1257.7750738379145,3198.0995923844057,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 solar,3,562.9221489,0.4779427207104168,1.937873967389982,564.3820801466796,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK0 0 nuclear,3,0.0,0.0,74.83597915381759,74.83597915381759,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 CCGT,4,468.8949099,0.02757541177070512,6.123428650629423,474.9907631388587,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 OCGT,4,468.8949099,0.057479375899615985,62.39400269226197,531.2314332163625,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 biomass,4,1061.392106,831.1147361112031,5.386891817399383,235.66426170619627,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 coal,4,1935.679834,1759.3702169874005,5.296301663634978,181.60591867623452,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 offwind-ac,4,481.935518,0.026524362688485757,1.0453889919458639,482.9543826292574,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 offwind-dc,4,481.935518,0.01957773630262833,4.886118735757458,486.80205899945486,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 oil,4,572.652792,0.05955300758748401,15.757253773154508,588.350492765567,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 onwind,4,2540.650655,0.02512083074054979,8281.674528984804,10822.300063154064,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 nuclear,4,0.0,0.0,58.857727521665744,58.857727521665744,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 CCGT,5,6109.0,2.6790853013873885,3.4640269796912078,6109.784941678304,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 OCGT,5,6109.0,3922.4534223753253,24.589468920582718,2211.136046545257,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 coal,5,2977.0,2868.84313608148,0.4510559896547841,108.60791990817461,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 nuclear,5,61370.0,0.0,6.112788382829972,61376.11278838283,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 offwind-ac,5,5.0,0.007780212242241351,28.06535430314169,33.05757409089945,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 offwind-dc,5,5.0,0.007541228979474401,34.54858442463975,39.54104319566027,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 oil,5,2746.0,2133.0624004986776,12.875632067564633,625.8132315688872,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 onwind,5,17217.0,0.061124017700682196,39.178164140584094,17256.11704012288,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 ror,5,9554.0,2.1078204568007934,0.0,9551.8921795432,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 solar,5,10213.0,9933.26749479002,2.6360210974849845,282.3685263074658,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 CCGT,6,495.6443218,0.025926233938397852,533.7621799893905,1029.380575555452,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 coal,6,137.8952924,0.055982878446394164,76.39690092935072,214.2362104509043,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 offwind-ac,6,145.6826026,0.01920249200341253,3.135335373428797,148.79873548142538,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 offwind-dc,6,145.6826026,0.0161735025058255,4.6325552210532015,150.29898431854735,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
