Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,0
AnnualSum,1.265951e7,345995.84,943008.0,124649.586,4.52038e7,4.1004542e6,4.620814e6,5.543793e6,859621.5,3.5693898e6,1.1691083e8,8.295662e6,5.5377788e7,1.0000462e6,607362.6,5.993887e7,1.6554498e7,1.9199126e8,490668.03,9.7073144e7,2.2952692e7,2.9443654e7,661803.7,4.1145958e6,5.598335e6,1.3226904e6,1.488347e6,9.579663e6,383950.88,440575.53,1.3556311e6,329901.47,1.1370276e6,280843.1,1.636993e6,1.9835919e6,92544.836,3.932682e7,321966.22,1.4172618e7,179601.05,169359.86,4.5499475e8,78739.99,134171.73,94020.58,2.8495342e7,3.4491624e7,250994.33,4.355097e6,516249.1,512261.5,571128.2,53947.69,4.8397195e6,216529.88,1.27622984e8,1.111945e7,3.1474038e7,6.881221e6,6.2209576e7,1.990055e7,9.501723e7,94012.234,3.4671764e7,6.890993e6,9.644521e6,5.1081336e7,3.852345e6,644079.94,3.5767652e6,4.623168e6,4.0677628e7,3.6071292e7,5.6498885e6,2.1923206e7,777793.75,44186.258,66747.62,630334.56,6464.5537,165764.38,251639.28,1.9506408e7,265612.1,184519.27,0.0,131622.61,2.7705415e6,36025.48,1.3796298e7,0.0,11219.018,8.146208e6,2.3967804e7,0.0,8.888972e7,6.0524804e7,9.772756e6,3.3181325e6,55501.004,0.0,0.0,2.099735e9
t1,3251.9484394398646,33.68464232713502,142.8282818011906,19.559322498470713,5338.640662710032,0.0,0.0,0.0,158.15380871300314,0.0,9868.094633617873,16.041792530476247,7531.503258055036,47.80373223726245,40.40157531115447,7291.8486617754,3149.1166705411824,30218.433012049863,3.3390437656257124,9806.934830842407,3294.682700282737,0.0,31.382586025326937,713.4694056262555,859.899519695919,278.3977261794696,308.02217682529584,1724.2259954549977,0.0,56.94368631901398,14.552409565912749,8.517550740969511,110.8141266634428,22.289827686067667,342.3931216746329,369.240628331066,3.0254912408555894,8440.591564829943,34.11662442854294,5448.636706431275,21.410143161703147,29.262203379820903,55227.525547586934,6.486235278054055,4.203087646912716,3.460131545787654,2327.2733051329524,4384.318510410329,0.0,896.4148419935244,156.33124081114934,28.141880539274304,66.01008808003103,34.28994112775042,315.9791468399329,0.0,22442.020423114456,1216.1664452557275,3964.5508589226592,3529.1416477644434,7246.082291496204,799.5081193961253,2578.5466597650448,120.42120354787349,977.423986951611,1313.8894381199286,0.0,9798.03309806912,27.088739322828733,114.08874118921445,431.0385479822311,51.78907038936791,1831.128332160347,564.8512094972399,0.0,5902.635330592886,247.12892608706946,4.7582603006266915,7.566698695860788,71.05613509068866,0.0,38.08957749015255,39.381810603572,5228.307745672037,38.74689051143092,37.72519953730537,0.0,32.05552714785553,566.2402424144126,3.837368573118802,2703.63936978729,0.0,0.0,1285.380744799329,386.3471652682821,0.0,3444.9777422234406,1069.1412032684261,37.96589141018015,31.146477159085045,24.23366977870275,0.0,0.0,240686.77130910804
t2,3248.494490467152,29.991028674536434,142.23460278464026,18.842592683710336,5338.452872240364,0.0,0.0,0.0,158.15380871300314,0.0,8239.586830019269,15.108775630684123,7528.920607402192,46.86954208707348,39.52917971030387,7292.013978091568,3288.9466129891152,33166.55075236095,3.32970810919133,11278.170677576825,3294.682700282737,0.0,31.106160057165685,713.7683147135662,926.864692552457,278.5320492505692,287.68208408690924,1638.0154816592233,0.0,57.03796754639107,17.78980122901607,9.482586835992866,138.02663137623,23.338503382917626,370.23948838865533,326.0447807896882,3.067919185153947,7496.483424414413,38.25267434151431,5416.997084715511,19.70214921647797,27.234863022047787,55227.29396468596,5.80769061225997,3.190446567034731,3.4434705544340454,2171.724850186304,4384.318510410329,0.0,894.9609485541425,140.56171088179,22.766547398796,60.55571011447821,35.57789661586004,240.4359332937451,0.0,22442.048449650178,1203.4206241084012,3964.209954986978,3539.046036455035,7245.948323794578,692.5250897875205,2363.3686686923706,124.96728715474407,854.8933135556409,1313.8894381199286,0.0,9754.10369143832,20.850572542467305,81.71062253470491,430.5248918613081,83.24469870426971,2663.7487663790453,904.3964624662176,0.0,5902.625371679131,247.12769519118132,4.758062798836314,5.706893794897502,78.3305759387725,0.0,38.09208747830025,39.38789615622758,5228.204005911724,38.7210554497177,37.68608594376205,0.0,32.966746586144595,572.9994300789871,3.834086177586289,2883.982725497782,0.0,0.0,1257.0147965387384,21.013117608807374,0.0,3067.784982336279,803.36487708038,11.87885537305973,9.527945722766347,4.63573809325779,0.0,0.0,242112.72302013042
t3,3248.532342419743,30.886997169671538,142.33821711702632,18.609770630784674,5338.483301849445,0.0,0.0,0.0,158.15380871300314,0.0,8236.009023717032,14.910258107929286,7529.266835203095,46.81290652980897,39.471244482188425,7292.219558978361,3078.8707026805237,32797.99036716067,3.330271644964975,13240.063625404344,3294.682700282737,0.0,30.861779664118636,713.739950529661,987.9771606408333,278.55052753557874,260.3902860842355,1638.0344888359712,0.0,57.06435838285695,17.46769243449566,9.32115972706562,136.75648198528327,23.329467585081716,378.9278991418341,282.2581719936234,3.064082134195808,7399.103521675577,38.16911341875104,5407.456478829196,19.361349021802447,26.936950841306796,55227.330093736186,5.269769514961139,2.5973931822522744,3.4408960019009056,2171.7167227608193,4384.318510410329,0.0,891.3028282323263,125.68138174668302,18.749790847857632,53.79556357724819,36.75801975393155,195.1184369299321,0.0,22439.822407373686,611.6302592133418,3963.9334703964637,3533.087697534103,7245.906911500904,639.04944285794,2363.301767064149,127.55696362834097,732.4510538497939,1313.8894381199286,0.0,9749.603868711778,21.062140280473354,80.5517771565105,430.59518128174045,125.74723539149066,3247.0393489847875,1131.0398598689724,0.0,5902.6373732008715,247.13101796922297,4.9844353639065355,5.475506125216914,85.60639265853654,0.0,38.09370538152372,39.39046696471547,5228.150382823698,38.71219460670305,37.67413118121075,0.0,34.339572154793956,559.469269581891,3.834466819051856,3064.3307590057707,0.0,0.0,1255.5393296741272,18.57128566850726,0.0,3041.275119111223,679.9615989185444,11.610521948891554,9.036501009300736,4.710423236145052,0.0,0.0,243402.2855358655
t4,3248.2457845830304,32.3410688575372,142.34080765527622,18.46419430112704,5338.48289515062,0.0,0.0,22.700984188418794,158.15380871300314,0.0,8235.278247389251,15.031383588782035,7528.3562912379575,46.69761778462006,39.36242245922625,7292.156344915774,2903.7385982776323,32060.805061715953,3.3336946403131584,14220.954708228546,3294.682700282737,0.0,31.054586400516996,713.7363076280998,958.3287189919165,278.5458672939072,239.90608252903627,1695.592096989067,0.0,57.08726441463055,13.19416842540938,7.9845753073392425,107.23755344435023,22.307143322696152,360.42394801155484,354.9943423071233,3.0177905201724475,8447.83654019723,33.88928270513568,5373.062308684216,19.47068544874898,26.738151614149665,55227.36789123065,4.984765469162259,2.3045333424863683,3.4408191355038578,2171.671189039849,4384.318510410329,0.0,857.4562559866008,105.04138874034109,13.264338851514914,41.43970499919753,37.83210615569998,149.64366465884578,0.0,22426.742138585072,415.3266053708595,3962.598768736885,2375.913604418618,7245.530629941403,585.2772632647566,2362.9253363761773,129.14809418304074,732.1249826857651,1313.8894381199286,0.0,9717.58542847725,21.862705056777873,80.17451149726315,430.6122312238997,168.25899305672692,3413.6296932327746,1584.2790256039607,0.0,5902.66334510127,247.1401646273337,4.985485937195606,6.87545786710289,92.88449072592158,0.0,38.09802135264873,39.39405751731104,5228.148493249709,38.71484120918327,37.683069006506706,0.0,35.25685377361859,600.0585909794122,3.836129890817649,3154.5073539070004,0.0,0.0,1197.8585319140407,15.626947198926054,0.0,3154.47993538422,733.3468961773852,10.683015262196951,8.208996321164143,2.3073189951036905,0.0,0.0,243862.93664245447
t5,3250.39151247155,36.69388696884121,142.73720653076302,18.903252899121465,5338.591186564355,0.0,0.0,22.7216922590046,158.15380871300314,0.0,8244.270464143126,15.85147022396524,7529.661243993472,46.899607617326495,39.557419224729784,7292.060395412523,3078.8594027110767,30586.64104244495,3.3476115219813773,14711.486534146761,3294.682700282737,0.0,31.940345676038053,713.7607170442103,978.428546615442,275.2150038035914,226.2665729574136,1810.73209222152,0.0,57.104042253625714,16.291765592658898,8.971496464232223,109.73134814891058,22.729504310231057,381.59310896398506,429.8826458633093,3.0470188449485005,8371.47833204844,36.65044919905714,5417.688474284211,20.593370127797165,27.36500062699779,55227.534037620666,4.752762636945271,2.037962695910687,3.453996728445607,2016.4223280210279,4384.318510410329,0.0,871.0715920295897,105.2011580155176,10.650949322115842,29.517220540548898,38.960528461171236,119.46262878771462,0.0,22425.813144111264,412.63210451390603,3963.1303451594895,2055.578499512745,7245.791572864582,531.8640760239596,2362.92299339521,130.42418854064022,609.7552736031996,1313.8894381199286,0.0,9750.191938966405,24.398048992511026,80.7588995911863,430.7573389425979,189.56772787491448,3247.0428775049113,1697.6347037383612,0.0,5902.68105902389,247.1433780619533,4.758811576976068,7.33964171444991,92.88468261283566,0.0,38.09887681442608,39.395686930743544,5228.23780448303,38.74852097593859,37.72432029024307,0.0,35.261106641588974,627.1236149374782,3.83893760113918,3154.5137780866157,0.0,0.0,1256.5784810784717,20.811362188281933,0.0,3593.2435727980196,1425.529506357404,11.438523794473248,9.323397532432445,3.173508179218958,0.0,0.0,243814.3656915813
t6,3256.8413350157575,55.24054460691513,143.68741741095232,20.08887719063845,5338.874539707971,0.0,0.0,22.81020382380212,158.15380871300314,0.0,18985.9748199128,17.705083795415813,7533.872360730109,47.995817394992336,40.589741605128594,7292.5816250215785,3009.132595952153,27638.591247891523,3.366967413832721,14711.80486246645,3294.682700282737,0.0,35.246196701649396,714.0458200218476,1279.9471083577416,278.6958433944985,236.6362966870343,1839.6494710321185,0.0,57.198604901640756,34.1159690433327,11.065600768727066,160.771050092896,23.823282870616325,383.6397516915756,431.38021801617106,3.090952094463657,7496.814517606915,39.14528755926489,5453.576805060659,23.468175982204578,30.09941885365997,55227.91895330612,4.871653046169641,1.5469190338298398,3.4763414963600465,2016.7273201234289,4384.318510410329,0.0,887.5639629257134,114.91054695161203,6.845681309238116,20.232911428749624,40.05140296025021,89.37435083025277,0.0,22432.672191953727,425.3499151567573,3964.1980448657673,3213.314087250745,7246.190973302417,478.6473670499325,2793.1728694823637,131.55849429416426,609.9224310525581,1313.8894381199286,0.0,9795.149313207954,32.92961170946311,94.41622203197603,431.13772920545284,189.74229386664516,3164.038774857601,1697.8412282562354,0.0,5902.683562124838,247.14148730928534,4.5345684524579735,7.34234047855845,92.88508634920564,0.0,38.102192908527485,39.39849139526582,5228.2312773721815,38.80615092772602,37.7764882999884,0.0,35.73053092148352,627.1384124673082,3.8462588274005194,3244.694628562966,0.0,0.0,1285.3820645057258,1700.7156537069754,0.0,4800.4746124638405,3188.3111577186132,16.640181841520764,23.36347296293151,4.148446734813872,0.0,0.0,257483.76152549015
t7,3261.222708256812,128.35030690055203,144.1591942512215,20.763272415561293,5339.014638937891,19.630131062031392,29.64977257487771,22.861253240299586,158.15380871300314,0.0,25635.67729543834,20.100139121814163,7536.040326973073,49.85312282046926,42.277377763654506,7292.957559410182,3254.4332047405646,22847.633403394633,3.3917003665895433,15202.536419410257,3294.682700282737,0.0,38.197744653222074,714.3177903301349,1280.0831035506565,282.0979755791611,253.75919373239128,1810.9256246502623,0.0,57.20537133297058,56.08743811426433,12.422522096735477,179.0622556097289,24.384774764063216,379.55828766040963,431.56206430787864,3.1075916790804525,7010.067676848498,39.61288333877813,5463.451393361365,26.765050494224287,32.86345531740102,55228.01937461621,4.9453492093991525,1.5726843514247426,3.4943461166008625,2016.8579236682465,4384.318510410329,0.0,898.4020990414655,162.45786237251642,5.638598849000272,17.608900688176465,41.127427458296836,74.34518895690601,0.0,22440.5810531964,4959.112312909191,3965.7284473230416,3537.4650187710154,7246.87668997419,425.4434300341387,3223.4706810803223,132.63884661967592,487.7324668863374,1313.8894381199286,0.0,9817.485676147438,792.7777061515297,130.0817854278277,431.5761494070314,221.87401170300217,2997.8559244428884,1811.436095119589,0.0,5902.698530170582,247.14347814566352,4.5352324938522806,8.282271089136788,92.88555761801304,0.0,38.106860271670975,39.402282122593924,5228.249163400159,38.82739246528125,37.79007263088077,0.0,36.19095378514284,627.1422343502428,3.8466343688802027,3244.6937057509153,0.0,0.0,1289.2093054061595,6631.548757807592,0.0,6687.245489182967,4806.4108833143955,36.06666277899766,2586.463676122566,6.617389169332695,0.0,0.0,276767.09106499294
t8,3262.7795709063953,145.87753864775132,144.271028663277,20.881674674107117,5339.061414716126,39.81041351721611,60.00047814556641,22.863984880798768,158.15380871300314,41.87181335722478,25678.24452553113,22.544858628990223,7537.820903358576,52.63055163956157,44.61861531002309,7293.542910452559,3079.5002925377603,17688.07422637513,3.4119272298865395,15202.740702537722,3294.682700282737,1166.725514744555,40.28264513769948,714.4660408226687,1280.8305876747825,282.1181078386112,281.09204056568143,1753.385257641018,4.201432725915213,57.20912649027909,94.5603598862932,13.452501841939462,181.69155830596216,24.91510864790887,379.7272697875686,431.683703315448,3.1225085594379456,7205.018446720694,39.84574443837399,5466.736135892821,28.26763654441245,33.631471939344486,55227.98914432788,4.951874087645773,1.8518886224690603,3.502393032238778,1861.5618184675811,4384.318510410329,1.66221422595941,909.3160238170368,176.5433253727941,4.570041423392842,17.946264820644142,42.330053544677156,59.58709527186659,0.0,22447.52223084571,11613.206100058947,3967.060919169744,3539.088069442019,7247.629622286393,425.45762194821754,3223.4986277660787,133.56666445045758,365.44631822859355,1313.8894381199286,0.0,9822.802984547938,2819.1940339226076,132.28035982856954,431.64994663586634,243.14734948346015,2747.892350962282,1924.7620755997752,0.0,5902.719861090558,247.14765884135778,4.312873234677343,9.226055370972976,92.88652578599017,0.0,38.111264481943195,39.407322413910705,5228.2294519516545,38.833413954533924,37.80023760465521,0.0,36.65155535988465,627.1459733560795,3.8488650696173266,3154.520188615483,0.0,0.4658331547765058,1291.0030031167719,6633.654566409248,0.0,7389.562341230196,5496.543249494771,5763.843572977887,4289.56938542302,5.04143349889866,0.0,0.0,290041.09713278495
