Zone,1,2,3,4,5,6,7,8,9,10
t1,-0.0024224703084771743,-0.0003919807851774657,-0.009980125343915125,-0.012567951840859798,-0.0003977734875712929,-0.019609907267610856,-0.0005480635822021244,-0.0016519406750507492,-0.0016884581474687535,-0.0014764614830220172
t2,-0.0024925766326689054,-0.0003986283903972232,-0.010054211796813496,-0.012647702611921764,-0.00040885131779153257,-0.01990229397705684,-0.000553339859221752,-0.0016986763842080175,-0.0016918140676257562,-0.0014887151295346472
t3,-0.0025480185199415668,-0.000401029666494157,-0.009932804410770976,-0.012498797869495948,-0.0004189638496292072,-0.020304232183464194,-0.0005623453516446761,-0.0017040033189939681,-0.0016934191866371752,-0.001483323738893712
t4,-0.0025814004477548807,-0.00040153506918075494,-0.009885562313941334,-0.012417834599462628,-0.000421495454638256,-0.021193619774640758,-0.0005854834753373885,-0.0017146852911594011,-0.001678957590796565,-0.0014597555334504501
t5,-0.0024648657224572513,-0.0003856771498422569,-0.009503129273590961,-0.01185889845225597,-0.00040070821056187154,-0.022004607313479148,-0.0006035938695559775,-0.0016645668480474104,-0.0016261783199499787,-0.00137651785216235
t6,-0.0023064892255351553,-0.0003505196130450919,-0.008267200251635784,-0.010560878312822517,-0.00037385777894048867,-0.021888489548813787,-0.0005980620607925787,-0.001448674302422444,-0.0014887858422318824,-0.001196716950707577
t7,-0.0021902646009283777,-0.00032551300225229724,-0.0071491458599951055,-0.00933874155899403,-0.00036477093580802796,-0.020206814573968914,-0.0005411131623104782,-0.0011622296562754943,-0.001347831151671283,-0.0011318066864587273
t8,-0.0021926697937760245,-0.00031606991395879334,-0.006829003550634919,-0.008989493976616877,-0.00036192054435279977,-0.018463687136079265,-0.0004838299287130913,-0.0010695253415118513,-0.0012768588016857508,-0.0011098189775344497
t9,-0.0021595629292109177,-0.0003133514919607649,-0.006762682357780419,-0.008899393062098235,-0.00036512606058867255,-0.01756334818981748,-0.00045627083982481033,-0.0010284863047155487,-0.0012572378853471966,-0.0011059115678384729
t10,-0.002106959309010158,-0.0003000863097527206,-0.00658879148783842,-0.008604055076103817,-0.0003650725647917126,-0.01687779155104943,-0.00043384216474531796,-0.0010127583812727995,-0.0012578372564783214,-0.0010922216102492099
t11,-0.002108714575015699,-0.0002992930779472605,-0.00669027968265914,-0.008797459197574816,-0.00037190986385189027,-0.016827830291225924,-0.0004381796791826376,-0.0010096166566333365,-0.0012980187089478008,-0.0010952060531362012
t12,-0.00215759467984124,-0.0002976901460202631,-0.006843530322899305,-0.009011958184883092,-0.0003804531189070663,-0.016848267440501052,-0.00044236873747397344,-0.0010186097851662323,-0.001337057265233876,-0.0011010376049450893
t13,-0.0021858648297138393,-0.0002997036358217897,-0.006853807434181486,-0.00899347916049857,-0.0003929674754589286,-0.01693177534504922,-0.00044725346591812217,-0.0010172694655923354,-0.0013546921900063407,-0.0011037122254360817
t14,-0.002220960114167704,-0.0003041440790956359,-0.00695033034234366,-0.009096836239584362,-0.0004090869284129645,-0.017196109837846807,-0.000457076250124003,-0.0010254274006002173,-0.001369279057153769,-0.0011093069034653043
t15,-0.0022091268192818174,-0.0003025895501709472,-0.007128595709218349,-0.009200459984382514,-0.0004165157980694081,-0.017435305097383235,-0.0004596952478001592,-0.001029476376197359,-0.0013455285448971867,-0.0011081960545471386
t16,-0.002267422754520994,-0.00031654486542035776,-0.007207509871934709,-0.009383683756295424,-0.0004301812963890507,-0.01764470409792282,-0.0004687472184377223,-0.0010365888009923113,-0.001337466718103897,-0.001120923320203426
t17,-0.002209798276097249,-0.00030907050914706977,-0.0065409873688249,-0.008653001626965213,-0.00042118597672952145,-0.01732517468463847,-0.0004560883745748652,-0.0010254482879041966,-0.001302425049715369,-0.0010813766968380883
t18,-0.0020892149664649595,-0.00029969087268055957,-0.006409396934620986,-0.008493972192811944,-0.00037753280165160136,-0.01635248863001779,-0.0004275622167088155,-0.0010198569477635655,-0.0012667157732273837,-0.0010785826341172075
t19,-0.002122112479776779,-0.0003078391375844198,-0.006831391397628116,-0.008960375185034126,-0.00038245602676341113,-0.015579869879376729,-0.00040841805138137606,-0.0010407931723577432,-0.0012907930457221341,-0.0011015900989779863
t20,-0.002185886360015486,-0.0003159239377124261,-0.007206570653817044,-0.009267900429858233,-0.0003916108234227084,-0.015736495464555553,-0.0004109593458693655,-0.0010753398020995157,-0.0013016389998165797,-0.0011214316249238943
t21,-0.0023262924663167545,-0.00033596572587252195,-0.007778458974991921,-0.010014848732665173,-0.0004110348516767515,-0.016373323073492388,-0.0004376187033514776,-0.0011392392557507472,-0.0013480025750088834,-0.001167106756042745
