Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,0
Sum,64.35094,109.444405,14.398915,0.05045058,3.846528,0.0,0.0,0.0,0.0,0.0,369.8652,575.4984,416.86002,0.088722885,0.08612805,8.388494,0.0,0.0,6.7271185,0.0,0.0,0.0,87.83331,33.87352,0.05529864,0.0,0.0,0.0,0.0,0.25642115,18.98401,74.11454,16.426088,0.08140138,0.0,0.0,1.092855,0.0,0.23343462,62.177,87.73013,0.05093755,29.995277,0.0,0.0,1.1172367,0.0,0.0,0.0,31.493704,0.051644925,0.0,0.0,0.4290872,0.0,0.0,502.5339,1598.8392,159.88387,0.052127488,0.46054426,0.0,0.0,0.7624127,0.0,0.0,0.0,266.9075,404.1209,0.08192576,0.64740396,0.0,0.0,0.0,0.0,11.07529,61.25329,0.0,0.0,0.0,0.0,0.04990122,0.22655597,14.042697,5.3474097,0.050112423,0.0,0.0,0.0,0.27609473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5042.212
t1,0.008377582252199409,0.051581848726854305,0.006372611137667123,3.864046152169615e-5,0.0001973866676021379,0.0,0.0,0.0,0.0,0.0,0.1565844913298234,0.07183383068181029,0.012117440110532713,3.876589618379665e-5,3.752937728900727e-5,0.00022864676352942352,0.0,0.0,0.00024109555274264618,0.0,0.0,0.0,0.13835578357995293,0.007227320325069755,3.972735082654286e-5,0.0,0.0,0.0,0.0,0.00017179296243178603,0.755283008268923,0.16208462212075286,0.0252311295120304,3.9641761383470223e-5,0.0,0.0,0.00024404991871963296,0.0,0.00023339885957786554,0.020276262000933666,0.07884271454134788,4.057047512145658e-5,0.00017366790060462618,0.0,0.0,0.00025470705324876245,0.0,0.0,0.0,0.007410110709532824,3.1587950844649206e-5,0.0,0.0,0.00015460375716366375,0.0,0.0,0.006501942823040595,0.042399296239277434,0.005849547777550157,3.154737928362511e-5,7.261631556969669e-5,0.0,0.0,0.00015719465934145506,0.0,0.0,0.0,0.009182646178666211,0.0485733583765518,3.900472292013824e-5,0.00018433804156294578,0.0,0.0,0.0,0.0,0.006504017303020187,0.053797056355292305,0.0,0.0,0.0,0.0,4.122919998412442e-5,0.0001320330050536804,0.006732475564991751,0.0043650660583147965,4.011711238424466e-5,0.0,0.0,0.0,0.00027286777876616753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.688620922897793
t2,0.011929856928059795,0.05960030805329659,0.006437756093374474,3.814023310649173e-5,0.0001966849999498137,0.0,0.0,0.0,0.0,0.0,0.09810533223275553,0.07396190059489016,0.011640058174130233,3.869248530001368e-5,3.74666073532471e-5,0.00022297913264275317,0.0,0.0,0.00024108764145775791,0.0,0.0,0.0,0.08536284473306532,0.007000329601577763,3.993885582194087e-5,0.0,0.0,0.0,0.0,0.00017124763023949527,0.009448978445390076,0.04492852384711342,0.01557586187216083,3.9463543485013854e-5,0.0,0.0,0.00023237127415077924,0.0,0.00022228684532629736,0.03556957852181761,0.08237865485282857,4.035501077151117e-5,0.00017332541339583804,0.0,0.0,0.00025331910570598553,0.0,0.0,0.0,0.010676824495326264,3.2020361736416905e-5,0.0,0.0,0.0001507564788180574,0.0,0.0,0.009887028224085572,0.08011822644040295,0.005878096899426288,3.107670669321821e-5,7.275294925032949e-5,0.0,0.0,0.00014780249517174485,0.0,0.0,0.0,0.04028952774338527,0.06981777241728067,3.8797005535749215e-5,0.00018464635960101623,0.0,0.0,0.0,0.0,0.006457215300634448,0.05365417962593069,0.0,0.0,0.0,0.0,4.103377016013619e-5,0.00013165849737411416,0.006814587256248268,0.004371988743476656,4.065215651037926e-5,0.0,0.0,0.0,0.00027566161937246967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8329996482755879
t3,0.011305433359190448,0.05616494245624405,0.00631006727838496,3.8049507907769283e-5,0.00019500740124248436,0.0,0.0,0.0,0.0,0.0,0.036994683958935105,0.0665035182930927,0.011038164126334522,3.869665474776209e-5,3.746452369518382e-5,0.00022132768137823932,0.0,0.0,0.0002396146651098611,0.0,0.0,0.0,0.07150088888368977,0.006864383756450335,3.9951904868802565e-5,0.0,0.0,0.0,0.0,0.00017027002739384588,0.013805845317751135,0.051410038587947196,0.014259826078761364,3.940431581896601e-5,0.0,0.0,0.0002312418808977686,0.0,0.000218349262693516,0.023239478302515142,0.07071938881883143,4.019305297223442e-5,0.00016967490554259076,0.0,0.0,0.00025067571664631787,0.0,0.0,0.0,0.014401874559400013,3.1963213512218606e-5,0.0,0.0,0.000146863694043214,0.0,0.0,0.013176343815295467,0.11341673998561257,0.005634330148864833,3.089734123460847e-5,7.055913667651806e-5,0.0,0.0,0.00014053255394981355,0.0,0.0,0.0,0.024744090637459415,0.06303687122772736,3.8648768314799755e-5,0.00018178146083910074,0.0,0.0,0.0,0.0,0.006430611958592961,0.05349968805045417,0.0,0.0,0.0,0.0,4.093822989126811e-5,0.00013124043135686936,0.006797984486293311,0.0043642966194634494,4.063110782342834e-5,0.0,0.0,0.0,0.00027541161234010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7486788797581889
t4,0.010255082922013974,0.051884984042423504,0.006172315003054228,3.814542666804217e-5,0.0001936462918022974,0.0,0.0,0.0,0.0,0.0,0.022969212993705603,0.06076630143161227,0.010480955896166301,3.856231817412375e-5,3.7338720358285094e-5,0.00021834792601490487,0.0,0.0,0.0002372519921678688,0.0,0.0,0.0,0.06281017141917376,0.006717310767510747,3.989500087576246e-5,0.0,0.0,0.0,0.0,0.00016888068875022913,0.02006770927461836,0.06307286930662084,0.013208857426260406,3.9200216141229966e-5,0.0,0.0,0.00022944105195283002,0.0,0.0002141608689133637,0.01705288290613824,0.06229639657104749,4.010131002612012e-5,0.00016565225858447148,0.0,0.0,0.00024795106251010603,0.0,0.0,0.0,0.02236032490044864,3.1930297249556906e-5,0.0,0.0,0.0001434477391219422,0.0,0.0,0.020552447018223927,0.10586074578756137,0.005182236903962745,3.0805394256545014e-5,6.828182603372493e-5,0.0,0.0,0.0001331492726580502,0.0,0.0,0.0,0.018164158626115354,0.05637381531912975,3.8591181903026086e-5,0.00017948331771707216,0.0,0.0,0.0,0.0,0.0064150052648896,0.05343746752270976,0.0,0.0,0.0,0.0,4.091768672132492e-5,0.00013099303259031506,0.006746836597015413,0.004353594739156448,4.060242180629e-5,0.0,0.0,0.0,0.0002749045747289886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7102233645172852
t5,0.008049394092029873,0.04620834531489011,0.005997964134470532,3.827636397355277e-5,0.00019170754075559362,0.0,0.0,0.0,0.0,0.0,0.01617223830291209,0.05444855122962453,0.009880998846541535,3.833823730403901e-5,3.712772166882177e-5,0.00021352479907320326,0.0,0.0,0.00023440586539773565,0.0,0.0,0.0,0.05601976085906548,0.00657323031923053,3.990765251438891e-5,0.0,0.0,0.0,0.0,0.0001673379342622967,0.00934178673174551,0.03981540362595372,0.010104690906560427,3.8952217165183855e-5,0.0,0.0,0.00021993968866512232,0.0,0.00020443172361411989,0.011036263083946484,0.05411968118266787,3.988462234611255e-5,0.00016285292636754035,0.0,0.0,0.0002447833001363483,0.0,0.0,0.0,0.01087286660160397,3.1823537476877265e-5,0.0,0.0,0.0001397229783873191,0.0,0.0,0.012952778161690938,0.06388202514966658,0.004489633879246646,3.0536830526642366e-5,6.610776181822357e-5,0.0,0.0,0.0001253317417939917,0.0,0.0,0.0,0.011249146623745133,0.04889915765618835,3.853738479624752e-5,0.0001771817762756017,0.0,0.0,0.0,0.0,0.00642330436254154,0.053462971281664745,0.0,0.0,0.0,0.0,4.090667639111077e-5,0.00013086949879640575,0.006651108494047715,0.004342338441561358,4.060125733293979e-5,0.0,0.0,0.0,0.00027449542218137073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5539612247406165
t6,0.006554949573975919,0.04240283839522785,0.0058780002121142485,3.804458290819149e-5,0.0001927697835873695,0.0,0.0,0.0,0.0,0.0,0.011831156465932718,0.04997214389633876,0.009460428030769658,3.851717032952858e-5,3.7283007443013716e-5,0.00021292879762442018,0.0,0.0,0.00023349508032878834,0.0,0.0,0.0,0.050968669563618604,0.00645818156272126,3.939889099646246e-5,0.0,0.0,0.0,0.0,0.00016635467834513848,0.00828844249899009,0.03650167158086551,0.009075308229533577,3.87306072215441e-5,0.0,0.0,0.00021520813240064583,0.0,0.0002002381659104262,0.008208256072858182,0.0490995967829346,4.012351971874404e-5,0.0001656573115310682,0.0,0.0,0.00024407809120907204,0.0,0.0,0.0,0.00738038262501876,3.1543753852222893e-5,0.0,0.0,0.00013484105809341177,0.0,0.0,0.009328370140682917,0.04860201023952328,0.003907188665697572,3.053709541925879e-5,6.687114375206615e-5,0.0,0.0,0.00011855247510177278,0.0,0.0,0.0,0.007352589177833635,0.04311360045738779,3.851645888871031e-5,0.00017599979093117714,0.0,0.0,0.0,0.0,0.006456059408919234,0.05354048345534386,0.0,0.0,0.0,0.0,4.096865241060902e-5,0.0001315665319108981,0.006596149624147816,0.004332935119402087,4.048661018683662e-5,0.0,0.0,0.0,0.00027391550631893346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4882560386762582
t7,0.006465298479456793,0.043432042772499596,0.005904169944241108,3.812086859994053e-5,0.0001934043743583392,0.0,0.0,0.0,0.0,0.0,0.009690523250215688,0.049222465232897535,0.009186834182712466,3.8288804243408696e-5,3.707357229646354e-5,0.0002072668490827845,0.0,0.0,0.00023246672474638597,0.0,0.0,0.0,0.05074672259721628,0.0064314610526977406,3.941438224701343e-5,0.0,0.0,0.0,0.0,0.00016538546664639396,0.00914221419346158,0.04096391153249483,0.008983512442889113,3.887387870449097e-5,0.0,0.0,0.000216423485300156,0.0,0.0001979008316260487,0.007945075644352973,0.050378697104721065,4.015381294159393e-5,0.0001687629019457665,0.0,0.0,0.00024467485074653714,0.0,0.0,0.0,0.005078610866757377,3.14760617808614e-5,0.0,0.0,0.00012932677467086627,0.0,0.0,0.007731169747122867,0.04169358452404557,0.002125444288758172,3.0356224564333795e-5,6.561117184667837e-5,0.0,0.0,0.00010814853196368684,0.0,0.0,0.0,0.0059258426860999336,0.040728657372426744,3.848409748089975e-5,0.00017475219074487627,0.0,0.0,0.0,0.0,0.006454863924690949,0.053523794677091924,0.0,0.0,0.0,0.0,4.09257105049758e-5,0.00013153452152537838,0.006695856768709114,0.004336427092743697,4.0700791928228154e-5,0.0,0.0,0.0,0.00027514445008741006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47571185170888663
t8,0.006999944987127764,0.04940698144083095,0.0060370739639925885,3.833824421708539e-5,0.00019499694726466852,0.0,0.0,0.0,0.0,0.0,0.009881336704197923,0.051744131109291415,0.00926351011401039,3.839614552370944e-5,3.717102917971751e-5,0.00020682352015285527,0.0,0.0,0.00023400310322980506,0.0,0.0,0.0,0.05192700675044695,0.006441762352599905,3.94338946882309e-5,0.0,0.0,0.0,0.0,0.00016486473347714772,0.010256661304883365,0.04557519707916814,0.00910186634185663,3.871757597958384e-5,0.0,0.0,0.00021691928564531354,0.0,0.00019666518982358746,0.008727032140996195,0.05594610482226966,4.011246101717197e-5,0.00017369329270099765,0.0,0.0,0.00024613810540450237,0.0,0.0,0.0,0.0040775021231473346,3.132270326074227e-5,0.0,0.0,0.0001252588110416975,0.0,0.0,0.006583463594969033,0.04125031053118137,0.0016475126493888186,3.0307634519557264e-5,6.46476839103681e-5,0.0,0.0,0.00010008503001720008,0.0,0.0,0.0,0.006403671214881657,0.042418196154838245,3.8592292294453506e-5,0.00017591610772029915,0.0,0.0,0.0,0.0,0.006453137964369827,0.05349254447400575,0.0,0.0,0.0,0.0,4.092347416724877e-5,0.00013131734452379978,0.006733654880291503,0.004335212784924056,4.0619439628651786e-5,0.0,0.0,0.0,0.0002750542197713949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4976241337528292
