Region,Resource,Zone,Cluster,AnnualSum
BE0 0,BE0 0 CCGT,1,1,7.864226e8
BE0 0,BE0 0 OCGT,1,1,629911.75
BE0 0,BE0 0 biomass,1,1,2.080374e8
BE0 0,BE0 0 coal,1,1,171180.6
BE0 0,BE0 0 nuclear,1,1,1.963213e9
BE0 0,BE0 0 offwind-ac,1,1,1.4144814e8
BE0 0,BE0 0 offwind-dc,1,1,3.7313734e8
BE0 0,BE0 0 onwind,1,1,1.9744968e8
BE0 0,BE0 0 ror,1,1,3.954664e7
BE0 0,BE0 0 solar,1,1,2.7944056e7
DE0 0,DE0 0 CCGT,2,1,1.2048333e10
DE0 0,DE0 0 OCGT,2,1,1.7296118e6
DE0 0,DE0 0 biomass,2,1,3.1252052e9
DE0 0,DE0 0 coal,2,1,339379.5
DE0 0,DE0 0 lignite,2,1,314952.5
DE0 0,DE0 0 nuclear,2,1,3.4467244e9
DE0 0,DE0 0 offwind-ac,2,1,5.383266e8
DE0 0,DE0 0 offwind-dc,2,1,4.344843e9
DE0 0,DE0 0 oil,2,1,102810.625
DE0 0,DE0 0 onwind,2,1,3.1650977e9
DE0 0,DE0 0 ror,2,1,1.0612977e9
DE0 0,DE0 0 solar,2,1,1.2134596e9
DK0 0,DK0 0 OCGT,3,1,1.0517903e8
DK0 0,DK0 0 biomass,3,1,2.9343677e8
DK0 0,DK0 0 coal,3,1,340007.72
DK0 0,DK0 0 offwind-ac,3,1,4.346255e7
DK0 0,DK0 0 offwind-dc,3,1,4.9662452e7
DK0 0,DK0 0 onwind,3,1,3.378688e8
DK0 0,DK0 0 solar,3,1,1.8099104e7
BE0 0,DK0 0 nuclear,3,1,3.6147174e8
DK3 0,DK3 0 CCGT,4,1,1.0984843e8
DK3 0,DK3 0 OCGT,4,1,571095.06
DK3 0,DK3 0 biomass,4,1,3.22655e8
DK3 0,DK3 0 coal,4,1,206752.97
DK3 0,DK3 0 offwind-ac,4,1,4.7700788e7
DK3 0,DK3 0 offwind-dc,4,1,5.847117e7
DK3 0,DK3 0 oil,4,1,82956.07
DK3 0,DK3 0 onwind,4,1,7.6667104e8
BE0 0,DK3 0 nuclear,4,1,1.0349028e6
FR0 0,FR0 0 CCGT,5,1,1.5913749e8
FR0 0,FR0 0 OCGT,5,1,322214.84
FR0 0,FR0 0 coal,5,1,163474.2
FR0 0,FR0 0 nuclear,5,1,1.6953295e10
FR0 0,FR0 0 offwind-ac,5,1,560014.4
FR0 0,FR0 0 offwind-dc,5,1,9.1711597e8
FR0 0,FR0 0 oil,5,1,67974.33
FR0 0,FR0 0 onwind,5,1,1.1946291e9
FR0 0,FR0 0 ror,5,1,1.1276876e9
FR0 0,FR0 0 solar,5,1,796717.0
GB4 0,GB4 0 CCGT,6,1,2.98994e8
