Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0,Total
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,0
AnnualSum,0.0,0.0,0.0,2126.3547,0.0,0.0,0.0,188294.3,0.0,0.0,0.0,3086.274,0.0,0.0,0.0,2730.7424,0.0,0.0,0.0,85946.45,0.0,0.0,0.0,2110.701,0.0,0.0,0.0,177450.19,0.0,0.0,0.0,2868.1445,0.0,0.0,0.0,8686.384,0.0,0.0,0.0,39516.906,512816.44
t1,0.0,0.0,0.0,0.058437611027882,0.0,0.0,0.0,0.06966693268039757,0.0,0.0,0.0,0.304859023698102,0.0,0.0,0.0,0.14278616517620848,0.0,0.0,0.0,0.06937095197499556,0.0,0.0,0.0,0.04175327643697832,0.0,0.0,0.0,0.07109973769274716,0.0,0.0,0.0,0.08393121424501813,0.0,0.0,0.0,0.0725082454907204,0.0,0.0,0.0,0.055098881434568946,0.9695120398576187
t2,0.0,0.0,0.0,0.060155910790479494,0.0,0.0,0.0,0.07056959699511743,0.0,0.0,0.0,0.21989045630478177,0.0,0.0,0.0,0.13953924361911874,0.0,0.0,0.0,0.07022686223806393,0.0,0.0,0.0,0.044262919258421074,0.0,0.0,0.0,0.06946306520479494,0.0,0.0,0.0,0.08513137899829297,0.0,0.0,0.0,0.07264021219278939,0.0,0.0,0.0,0.055191022524526206,0.8870706681263859
t3,0.0,0.0,0.0,0.061075968241618074,0.0,0.0,0.0,0.07253041085972059,0.0,0.0,0.0,0.19535988471268362,0.0,0.0,0.0,0.1370346601186385,0.0,0.0,0.0,0.0705846248318987,0.0,0.0,0.0,0.04240158340253047,0.0,0.0,0.0,0.06753298227279916,0.0,0.0,0.0,0.08931465589888596,0.0,0.0,0.0,0.07273510700895404,0.0,0.0,0.0,0.055230300842695555,0.8638001781904245
t4,0.0,0.0,0.0,0.06875577410998443,0.0,0.0,0.0,0.07338860421912655,0.0,0.0,0.0,0.19182975569956015,0.0,0.0,0.0,0.1398301230566293,0.0,0.0,0.0,0.07017616715586954,0.0,0.0,0.0,0.05363200271026094,0.0,0.0,0.0,0.0588493868611214,0.0,0.0,0.0,0.09777953228275627,0.0,0.0,0.0,0.07360373039716947,0.0,0.0,0.0,0.055338131210206316,0.8831832077026844
t5,0.0,0.0,0.0,0.13438315473597623,0.0,0.0,0.0,0.07412121104266978,0.0,0.0,0.0,0.19823587362932138,0.0,0.0,0.0,0.13991045895413565,0.0,0.0,0.0,0.06883008176014563,0.0,0.0,0.0,0.05267061878781991,0.0,0.0,0.0,3.9657824891694657,0.0,0.0,0.0,0.09725366638713438,0.0,0.0,0.0,0.07369206726063801,0.0,0.0,0.0,0.05837082130334616,4.863250443030653
t6,0.0,0.0,0.0,0.27360222625714214,0.0,0.0,0.0,7.4117497378522605,0.0,0.0,0.0,0.12348142735489241,0.0,0.0,0.0,0.12249467664233722,0.0,0.0,0.0,5.271618820069204,0.0,0.0,0.0,0.05601430781529405,0.0,0.0,0.0,37.852083041457604,0.0,0.0,0.0,0.09363086459681974,0.0,0.0,0.0,0.07395632908341812,0.0,0.0,0.0,0.4032750005187313,51.681906431647704
t7,0.0,0.0,0.0,0.04792947823879064,0.0,0.0,0.0,56.48444011818747,0.0,0.0,0.0,0.19112313190968283,0.0,0.0,0.0,0.17813296718208843,0.0,0.0,0.0,13.356464003330467,0.0,0.0,0.0,0.0639074941800772,0.0,0.0,0.0,54.69824738966274,0.0,0.0,0.0,0.09216208935355219,0.0,0.0,0.0,0.10889908240930128,0.0,0.0,0.0,9.495528838314584,134.71683459276875
t8,0.0,0.0,0.0,0.05721298595743918,0.0,0.0,0.0,54.844995982185516,0.0,0.0,0.0,0.10632194688625811,0.0,0.0,0.0,0.17458417854298197,0.0,0.0,0.0,9.224743804580447,0.0,0.0,0.0,0.8616857954794075,0.0,0.0,0.0,54.58595767003522,0.0,0.0,0.0,0.07999468863293645,0.0,0.0,0.0,0.10836429146103956,0.0,0.0,0.0,9.480515365684806,129.52437670944605
t9,0.0,0.0,0.0,0.0590944345277106,0.0,0.0,0.0,54.37242866301598,0.0,0.0,0.0,0.08933948454877365,0.0,0.0,0.0,0.1745048564438371,0.0,0.0,0.0,9.806655848480345,0.0,0.0,0.0,0.016690943262240382,0.0,0.0,0.0,0.03005414993498577,0.0,0.0,0.0,0.10974481449214665,0.0,0.0,0.0,0.1084230993102631,0.0,0.0,0.0,9.474703500368255,74.24163979438451
t10,0.0,0.0,0.0,0.053914716932912235,0.0,0.0,0.0,19.706391604660453,0.0,0.0,0.0,0.07079990919890064,0.0,0.0,0.0,0.12325622462300535,0.0,0.0,0.0,4.480093683765764,0.0,0.0,0.0,0.0173352325799748,0.0,0.0,0.0,0.030671332796797523,0.0,0.0,0.0,0.09373467309707155,0.0,0.0,0.0,0.07418366761524572,0.0,0.0,0.0,3.336114236550166,27.98649528182029
t11,0.0,0.0,0.0,0.053481796374512856,0.0,0.0,0.0,19.43383347900531,0.0,0.0,0.0,0.07562079696237221,0.0,0.0,0.0,0.1284224360397309,0.0,0.0,0.0,4.71171270899934,0.0,0.0,0.0,0.01723130500035839,0.0,0.0,0.0,0.02912477797112129,0.0,0.0,0.0,0.09118783109935537,0.0,0.0,0.0,0.07406445786212638,0.0,0.0,0.0,3.336342258317499,27.951021847631722
t12,0.0,0.0,0.0,0.05381923913578273,0.0,0.0,0.0,18.90796551570785,0.0,0.0,0.0,0.07600900947434899,0.0,0.0,0.0,0.12278284023276079,0.0,0.0,0.0,4.916812777371986,0.0,0.0,0.0,0.022560207512610644,0.0,0.0,0.0,17.06550295571543,0.0,0.0,0.0,0.09248571038206015,0.0,0.0,0.0,0.07345969246094974,0.0,0.0,0.0,3.3351058635269917,44.66650381152077
t13,0.0,0.0,0.0,0.05412148930547872,0.0,0.0,0.0,18.38751841586902,0.0,0.0,0.0,0.07698679475549539,0.0,0.0,0.0,0.12316066618690542,0.0,0.0,0.0,13.660213572756815,0.0,0.0,0.0,0.3289669539439341,0.0,0.0,0.0,49.51701112238161,0.0,0.0,0.0,0.09412947622363715,0.0,0.0,0.0,0.07334808069445566,0.0,0.0,0.0,3.3348147511475874,85.65027132326496
t14,0.0,0.0,0.0,0.05218917132201847,0.0,0.0,0.0,17.83386555663203,0.0,0.0,0.0,0.07662915219050659,0.0,0.0,0.0,0.12283998664259886,0.0,0.0,0.0,13.686522797685233,0.0,0.0,0.0,0.30599660914248317,0.0,0.0,0.0,48.409527990742916,0.0,0.0,0.0,0.0952152919350084,0.0,0.0,0.0,0.07315770221879957,0.0,0.0,0.0,3.3340807777927846,83.99002503630437
t15,0.0,0.0,0.0,0.05297810890640825,0.0,0.0,0.0,17.380702496190285,0.0,0.0,0.0,0.07520762222252732,0.0,0.0,0.0,0.12185851816846639,0.0,0.0,0.0,14.152359333676404,0.0,0.0,0.0,0.43961898439356906,0.0,0.0,0.0,47.82526475462937,0.0,0.0,0.0,0.09549310567017524,0.0,0.0,0.0,0.07273071986338954,0.0,0.0,0.0,3.3325206123747204,83.54873425609532
t16,0.0,0.0,0.0,0.5410779898644301,0.0,0.0,0.0,51.067332863322264,0.0,0.0,0.0,0.1087270894696179,0.0,0.0,0.0,0.17365653124748828,0.0,0.0,0.0,25.204013263843024,0.0,0.0,0.0,0.24378734602347749,0.0,0.0,0.0,54.230671735069514,0.0,0.0,0.0,0.0784229777448105,0.0,0.0,0.0,0.10633917289110073,0.0,0.0,0.0,9.467387062492646,141.22141603196837
t17,0.0,0.0,0.0,0.08936796959595537,0.0,0.0,0.0,50.46926671618764,0.0,0.0,0.0,0.09667985505065928,0.0,0.0,0.0,0.16561708530594377,0.0,0.0,0.0,25.236939912928666,0.0,0.0,0.0,0.001287141562448825,0.0,0.0,0.0,0.004306866133666717,0.0,0.0,0.0,0.09713544228166619,0.0,0.0,0.0,0.10568083555459945,0.0,0.0,0.0,9.465469615200389,85.73175143980163
t18,0.0,0.0,0.0,0.054778983654235336,0.0,0.0,0.0,48.70493231407603,0.0,0.0,0.0,0.09228653699469405,0.0,0.0,0.0,0.16605252122270758,0.0,0.0,0.0,11.862598866085964,0.0,0.0,0.0,0.0018051738829123313,0.0,0.0,0.0,0.001883981012411596,0.0,0.0,0.0,0.09614615381299337,0.0,0.0,0.0,0.10617225623005913,0.0,0.0,0.0,9.467370518101013,70.55402730507303
t19,0.0,0.0,0.0,0.04784475741432385,0.0,0.0,0.0,48.15132735835527,0.0,0.0,0.0,0.08998333522855613,0.0,0.0,0.0,0.17241495823130434,0.0,0.0,0.0,13.945400524557373,0.0,0.0,0.0,0.0011125745863244105,0.0,0.0,0.0,0.0009884503889356973,0.0,0.0,0.0,0.10576443251802183,0.0,0.0,0.0,0.10683994513306697,0.0,0.0,0.0,9.473388613557365,72.09506494997053
t20,0.0,0.0,0.0,0.05466618558407739,0.0,0.0,0.0,4.717689365633578,0.0,0.0,0.0,0.1280018892625089,0.0,0.0,0.0,0.11679333120874745,0.0,0.0,0.0,5.256947037108874,0.0,0.0,0.0,0.0016759877046785025,0.0,0.0,0.0,0.0018898383654495606,0.0,0.0,0.0,0.07369981819409062,0.0,0.0,0.0,0.07277105075669109,0.0,0.0,0.0,0.36006433777194713,10.784198841590639
t21,0.0,0.0,0.0,0.2356339102920075,0.0,0.0,0.0,4.5523617897809086,0.0,0.0,0.0,0.17738194081448022,0.0,0.0,0.0,0.12416558812568582,0.0,0.0,0.0,5.735948946974758,0.0,0.0,0.0,0.010740870705426404,0.0,0.0,0.0,0.01430171473594909,0.0,0.0,0.0,0.08811634794421225,0.0,0.0,0.0,0.07328582945509471,0.0,0.0,0.0,0.37584090863386255,11.387777847462385
t22,0.0,0.0,0.0,0.20268864786293703,0.0,0.0,0.0,4.301659922446482,0.0,0.0,0.0,0.16402009936691478,0.0,0.0,0.0,0.12203372664345816,0.0,0.0,0.0,5.747197740019882,0.0,0.0,0.0,0.2823910901165756,0.0,0.0,0.0,53.842815138667255,0.0,0.0,0.0,0.08384687608624815,0.0,0.0,0.0,0.07304245153279919,0.0,0.0,0.0,0.39779678767941534,65.21749248042195
t23,0.0,0.0,0.0,0.18826850324029804,0.0,0.0,0.0,4.385020628446249,0.0,0.0,0.0,0.1778182646405171,0.0,0.0,0.0,0.12616250329674952,0.0,0.0,0.0,5.768311523253472,0.0,0.0,0.0,0.1430318363171236,0.0,0.0,0.0,53.82905044407027,0.0,0.0,0.0,0.08271395013368935,0.0,0.0,0.0,0.0726660188390063,0.0,0.0,0.0,0.4488898942359984,65.22193356647338
t24,0.0,0.0,0.0,0.061727031064402485,0.0,0.0,0.0,0.06561041693730735,0.0,0.0,0.0,0.08764759529315905,0.0,0.0,0.0,0.10960536574302386,0.0,0.0,0.0,0.07173178608424831,0.0,0.0,0.0,0.0627598987506162,0.0,0.0,0.0,0.0663037494466394,0.0,0.0,0.0,0.08414665502030504,0.0,0.0,0.0,0.07217397348837024,0.0,0.0,0.0,0.054976544955838876,0.7366830167839108
t25,0.0,0.0,0.0,0.07175844026419946,0.0,0.0,0.0,0.06528226310313509,0.0,0.0,0.0,0.09271683069757358,0.0,0.0,0.0,0.11191470072496078,0.0,0.0,0.0,0.07180504028597001,0.0,0.0,0.0,0.062112272558212625,0.0,0.0,0.0,0.0687225070439784,0.0,0.0,0.0,0.08283446484536078,0.0,0.0,0.0,0.07217905900147963,0.0,0.0,0.0,0.05502590000125026,0.7543514785261206
t26,0.0,0.0,0.0,0.07058592391589905,0.0,0.0,0.0,0.06321349946607548,0.0,0.0,0.0,0.10038156098591806,0.0,0.0,0.0,0.11545148080083303,0.0,0.0,0.0,0.07176730088806386,0.0,0.0,0.0,0.05495274472121449,0.0,0.0,0.0,0.06664839807275345,0.0,0.0,0.0,0.08177533981609612,0.0,0.0,0.0,0.07222569217465269,0.0,0.0,0.0,0.0549928135483729,0.7519947543898791
t27,0.0,0.0,0.0,0.06757553217123179,0.0,0.0,0.0,0.06460647252642977,0.0,0.0,0.0,0.10013072911972996,0.0,0.0,0.0,0.11007709147947703,0.0,0.0,0.0,0.0719084763134401,0.0,0.0,0.0,0.04736436466466922,0.0,0.0,0.0,0.06618060636724775,0.0,0.0,0.0,0.08062243614829409,0.0,0.0,0.0,0.07186031837034254,0.0,0.0,0.0,0.05492234568016525,0.7352483728410276
