,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
AnnualSum,35503.64410921272,0.0,0.0,2126.3547037397993,-2126.3547037396324,0.0,21870.88860468348,0.0,5824.97996502588,-51549.55262474269,939180.1410763992,0.0,0.0,188294.30440428996,-188294.30440428274,0.0,58750.97533799129,0.0,102975.78304135372,-894955.3332489197,53990.69719892476,0.0,0.0,3086.2738132792724,-3086.2738132792715,0.0,-13983.333331766367,0.0,21603.81655560892,-18403.547187421824,16068.32988551484,0.0,0.0,2730.742320883101,-2730.7423208830905,0.0,254.46751733566737,0.0,2267.6139432126956,-14055.183335510135,365608.45676236664,0.0,0.0,85946.45502139542,-85946.45502138966,0.0,-253.61542247409415,0.0,6345.948654197633,-359008.892561572,20375.99059259129,0.0,0.0,2110.700969996409,-2110.7009699961523,0.0,4963.089639808249,0.0,7780.010860854169,-17559.069247418025,772515.3657135683,0.0,0.0,177450.182999921,-177450.18299993972,0.0,-1104.9752193671984,0.0,56149.3485817444,-715261.0417883105,79792.17757325793,0.0,0.0,2868.1446016940095,-2868.144601694008,0.0,105652.93245666198,0.0,24764.152318910485,-160680.95758688188,223770.48467271624,0.0,0.0,8686.38412019868,-8686.384120198674,0.0,-160035.47362419602,0.0,680.0554457210847,-63054.95547867127,146673.86685072875,0.0,0.0,39516.90721550916,-39516.90721550895,0.0,-16114.955958654362,0.0,689.2166620167899,-129869.69410593016
t1,4.326668686520755,0,0,0.2563431280091944,-0.058437611027882,0.0,7.773823669101001,0,0.08063832843323795,-12.21775953,116.96758024597983,0,0,95.53327914658294,-0.06966693268039757,0.0,-0.26831743555838455,0,0.04951041015690378,-212.1133646,0.7034088252438868,0,0,0.0945649511371774,-0.304859023698102,0.0,3.9041639702113997,0,0.03545396772455359,-4.361824741,0.7549158299255705,0,0,0.1556317417237671,-0.14278616517620848,0.0,2.5874803168292027,0,0.024022690132497523,-3.331219019,39.91801007087668,0,0,41.419343902577744,-0.06937095197499556,0.0,3.860970671268598,0,0.04025561857833099,-85.08869806,2.618051839577423,0,0,0.1982247244356134,-0.04175327643697832,0.0,1.393288547663485,0,0.006136797069703413,-4.161675024,90.99165003516842,0,0,54.2642375452762,-0.07109973769274716,0.0,24.34774904789299,0,0.008516476462252802,-169.5240204,10.585498903394257,0,0,0.24312422425253938,-0.08393121424501813,0.0,27.400729034119188,0,0.062426983351057036,-38.08299395,0.9911376391874686,0,0,0.09944720587195371,-0.0725082454907204,0.0,14.112262525299421,0,0.1856840406982946,-14.94465507,12.859690137023083,0,0,16.431770801456402,-0.055098881434568946,0.0,1.65315755649925,0,0.10910323937440863,-30.78041636
t2,4.330928253617946,0,0,0.2179190694819575,-0.060155910790479494,0.0,7.809627835415499,0,0.08055970355510597,-12.21775953,116.975914839222,0,0,95.52878073922284,-0.07056959699511743,0.0,-0.27344011121950107,0,0.04732125606015962,-212.1133646,0.697437373468834,0,0,0.10893779203786501,-0.21989045630478177,0.0,3.8071526132823523,0,0.03181256731442507,-4.361824741,0.755262362118231,0,0,0.15845255027847271,-0.13953924361911874,0.0,2.580012326802612,0,0.022968962410365917,-3.331219019,39.92434517973475,0,0,41.54288313909192,-0.07022686223806393,0.0,3.7308725104227833,0,0.039175892841479744,-85.08869806,2.6229878174478394,0,0,0.12202269384388863,-0.044262919258421074,0.0,1.4696564894338382,0,0.008729043297278255,-4.161675024,90.99697828123745,0,0,54.83417166732407,-0.06946306520479494,0.0,23.77190291614728,0,0.009569385341101943,-169.5240204,10.585518849577074,0,0,0.2302512191771264,-0.08513137899829297,0.0,27.41383045629621,0,0.061475181882277186,-38.08299395,0.9911200780099965,0,0,0.09912475561654167,-0.07264021219278939,0.0,14.112824766445295,0,0.18577430370921258,-14.94465507,12.870154173030663,0,0,16.4492628054089,-0.055191022524526206,0.0,1.6242251358331914,0,0.10803471757843604,-30.78041636
t3,4.330861036524707,0,0,0.1985831014249892,-0.061075968241618074,0.0,7.830001738283762,0,0.08061036382202402,-12.21775953,116.97642697375309,0,0,95.54500163122164,-0.07253041085972059,0.0,-0.2894649436168393,0,0.04606863632841313,-212.1133646,0.6938832637612143,0,0,0.11594765310344234,-0.19535988471268362,0.0,3.7782697608499833,0,0.03091603783213834,-4.361824741,0.7551885918910811,0,0,0.1615695263183726,-0.1370346601186385,0.0,2.5741615180619473,0,0.022665942982920316,-3.331219019,39.92477309023675,0,0,41.62784130436944,-0.0705846248318987,0.0,3.645570308655013,0,0.038902004259471296,-85.08869806,2.627719540365172,0,0,0.132175164566685,-0.04240158340253047,0.0,1.4519330819146374,0,0.007751165274125995,-4.161675024,90.9984383595103,0,0,55.287905372423765,-0.06753298227279916,0.0,23.31472774092642,0,0.009518076417405008,-169.5240204,10.58510382845514,0,0,0.22249763638431858,-0.08931465589888596,0.0,27.425586477114585,0,0.060879321885447944,-38.08299395,0.9906335025955388,0,0,0.09811743691913823,-0.07273510700895404,0.0,14.114378117781486,0,0.18573886611736917,-14.94465507,12.864195000925667,0,0,16.47948328260011,-0.055230300842695555,0.0,1.6001836115560346,0,0.10821522006938195,-30.78041636
t4,4.326515161464771,0,0,0.15452830526263717,-0.06875577410998443,0.0,5.448816279378165,0,0.08689633382575931,-9.774207624,116.96922888349133,0,0,53.13116103367942,-0.07338860421912655,0.0,-0.28993989880726656,0,0.04636969997285874,-169.6906917,0.6915240997432313,0,0,0.11226720523683582,-0.19182975569956015,0.0,2.909098680839216,0,0.031600422949882814,-3.489459793,0.754182451286725,0,0,0.1538111718204585,-0.1398301230566293,0.0,1.9196425191224002,0,0.022830790003102945,-2.664975215,39.91956478962747,0,0,24.653246524945207,-0.07017616715586954,0.0,3.607404922594735,0,0.03908160584180776,-68.07095845,2.6258654541260023,0,0,0.06965327578337026,-0.05363200271026094,0.0,0.6973616210596352,0,0.009908315088912717,-3.329340019,90.9966179551768,0,0,22.698116452208687,-0.0588493868611214,0.0,21.99283731123382,0,0.009506017587944521,-135.6192163,10.583955883902181,0,0,0.1550263059100557,-0.09777953228275627,0.0,19.886980329958117,0,0.06178781331773123,-30.46639516,0.9894421462857841,0,0,0.09872228765919122,-0.07360373039716947,0.0,11.126967091394256,0,0.18580372077224575,-11.95572406,12.842290168155687,0,0,10.318122817261742,-0.055338131210206316,0.0,1.6296519152378233,0,0.11039366527519193,-24.62433309
t5,4.319075653381133,0,0,0.07154470072080604,-0.13438315473597623,0.0,3.193225456469357,0,0.11880692366549905,-7.330655718,116.95230423206795,0,0,10.722798076023446,-0.07412121104266978,0.0,-0.2824580234438661,0,0.05050425943200634,-127.2680188,0.6902504474476796,0,0,0.10661946033797687,-0.19823587362932138,0.0,2.0530812147717743,0,0.03462038975826556,-2.617094845,0.7524138564410803,0,0,0.14754003293136891,-0.13991045895413565,0.0,1.2620241684885687,0,0.023336172737059735,-1.998731412,39.90809097405982,0,0,7.902438142357043,-0.06883008176014563,0.0,3.3527682710646425,0,0.04124845155146771,-51.05321884,2.6265445660103413,0,0,0.07151399919136418,-0.05267061878781991,0.0,-0.13824545178954808,0,0.010137466454525911,-2.497005014,90.98772227606028,0,0,0.07159128444946732,-3.9657824891694657,0.0,14.631390386082565,0,0.010509243256540766,-101.7144122,10.583711832274005,0,0,0.16202337726617155,-0.09725366638713438,0.0,12.264065570577113,0,0.06275072956030603,-22.84979637,0.9873417960599066,0,0,0.09728167052411771,-0.07369206726063801,0.0,8.141915783646642,0,0.18605412380019953,-8.966793045,12.797241861724293,0,0,4.44604089067349,-0.05837082130334616,0.0,1.4055041658844702,0,0.12216627280904535,-18.46824981
t6,4.318927606115579,0,0,0.0593877040053715,-0.27360222625714214,0.0,1.0024754661190767,0,0.22008472381305827,-4.887103812,116.87483274623584,0,0,0.059893117476587945,-7.4117497378522605,0.0,-22.603244286759626,0,2.0743859749305993,-84.84534585,0.686944986891653,0,0,0.10230892635733632,-0.12348142735489241,0.0,1.233231543972753,0,0.1542741196970328,-1.744729896,0.7475149555110816,0,0,0.1441144082480435,-0.12249467664233722,0.0,0.5942732665915151,0,0.03092033153850459,-1.332487608,39.876085732740044,0,0,0.05496632137111385,-5.271618820069204,0.0,-0.030013226714719215,0,0.5939407631573969,-34.03547923,2.6244354871316298,0,0,0.0532520443594297,-0.05601430781529405,0.0,-0.9443548050579318,0,0.01264839544800445,-1.664670009,90.98044211149444,0,0,0.0705397964971266,-37.852083041457604,0.0,14.621523862546345,0,0.010814564912261798,-67.80960815,10.583771623914613,0,0,0.184954267424691,-0.09363086459681974,0.0,4.622024988973065,0,0.06392242154573569,-15.23319758,0.9839489722254411,0,0,0.09541286710086185,-0.07395632908341812,0.0,5.15890803863158,0,0.1864515047046375,-5.97786203,12.688525119465186,0,0,0.06650881665206934,-0.4032750005187313,0.0,0.13644415838215698,0,0.17603653981079154,-12.31216654
t7,4.332516901287505,0,0,0.23166617090871788,-0.04792947823879064,0.0,25.628949631824636,0,28.923427258612236,-1.221775953,116.85280507069994,0,0,0.06103629592699739,-56.48444011818747,0.0,-36.04719806847079,0,3.170866705795307,-21.21133646,0.6874202751230182,0,0,0.07905544478144844,-0.19112313190968283,0.0,0.08619954283083503,0,0.22536964265578932,-0.436182474,0.7443696355798832,0,0,0.11063084690341123,-0.17813296718208843,0.0,-0.31118698784167287,0,0.03255861128969165,-0.333121902,39.86555571813793,0,0,0.0591869670154924,-13.356464003330467,0.0,-0.013554270727429377,0,18.045854590925707,-8.508869806,2.6247066188323886,0,0,0.0494729054343516,-0.0639074941800772,0.0,-2.178219531950067,0,0.01588498196673841,-0.416167502,90.9131662292255,0,0,0.006966672834844102,-54.69824738966274,0.0,-19.203553677700945,0,0.06592978054037471,-16.95240204,10.580693159267284,0,0,0.12811808139867092,-0.09216208935355219,0.0,-6.090383448218467,0,0.7179662939241256,-3.808299395,0.9781764870063586,0,0,0.06787239638875661,-0.10889908240930128,0.0,0.74829058912273,0,0.19097486893871468,-1.494465507,12.652599390523484,0,0,0.054225623589899026,-9.495528838314584,0.0,0.05655386142271085,0,0.18980838705167835,-3.078041636
t8,4.338397225334054,0,0,0.16182874255730764,-0.05721298595743918,0.0,25.917638567169906,0,29.13887558193398,-1.221775953,116.83746239675457,0,0,0.0706520948819878,-54.844995982185516,0.0,-37.275310632938286,0,3.5764714023445947,-21.21133646,0.6925828081773064,0,0,0.09436440276003001,-0.10632194688625811,0.0,6.685097391724379,0,6.929540167605591,-0.436182474,0.7435238763285825,0,0,0.11240721851984026,-0.17458417854298197,0.0,-0.31600575100340333,0,0.03221924913222457,-0.333121902,39.85907157430463,0,0,0.056623008842357034,-9.224743804580447,0.0,-0.010023082961934656,0,22.1720578754348,-8.508869806,2.6205527188636606,0,0,0.03172135570288346,-0.8616857954794075,0.0,-0.44430746013017736,0,0.9301133027870732,-0.416167502,90.95255650934315,0,0,0.010192241960380658,-54.58595767003522,0.0,-1.6489968362027323,0,17.775392190904547,-16.95240204,10.57926051851108,0,0,0.13159425697205174,-0.07999468863293645,0.0,-6.1662327798325345,0,0.656327897847808,-3.808299395,0.9764869616257664,0,0,0.06747313118526145,-0.10836429146103956,0.0,0.7500306485891934,0,0.19116092876934665,-1.494465507,12.6394810453892,0,0,0.05420906418636379,-9.480515365684806,0.0,0.05567472620100244,0,0.19080781992189313,-3.078041636
