Time_Index,HSC_elec_price_z1,HSC_elec_price_z2,HSC_elec_price_z3
1,54.5,60.0,42.0
2,54.5,60.0,42.0
3,54.5,60.0,42.0
4,54.5,60.0,42.0
5,54.5,60.0,42.0
6,54.5,60.0,42.0
7,54.5,60.0,42.0
8,54.5,60.0,42.0
9,54.5,60.0,42.0
10,54.5,60.0,42.0
11,54.5,60.0,42.0
12,54.5,60.0,42.0
13,54.5,60.0,42.0
14,54.5,60.0,42.0
15,54.5,60.0,42.0
16,54.5,60.0,42.0
17,54.5,60.0,42.0
18,54.5,60.0,42.0
19,54.5,60.0,42.0
20,54.5,60.0,42.0
21,54.5,60.0,42.0
22,54.5,60.0,42.0
23,54.5,60.0,42.0
24,54.5,60.0,42.0
25,54.5,60.0,42.0
26,54.5,60.0,42.0
27,54.5,60.0,42.0
28,54.5,60.0,42.0
29,54.5,60.0,42.0
30,54.5,60.0,42.0
31,54.5,60.0,42.0
32,54.5,60.0,42.0
33,54.5,60.0,42.0
34,54.5,60.0,42.0
35,54.5,60.0,42.0
36,54.5,60.0,42.0
37,54.5,60.0,42.0
38,54.5,60.0,42.0
39,54.5,60.0,42.0
40,54.5,60.0,42.0
41,54.5,60.0,42.0
42,54.5,60.0,42.0
43,54.5,60.0,42.0
44,54.5,60.0,42.0
45,54.5,60.0,42.0
46,54.5,60.0,42.0
47,54.5,60.0,42.0
48,54.5,60.0,42.0
49,54.5,60.0,42.0
50,54.5,60.0,42.0
51,54.5,60.0,42.0
52,54.5,60.0,42.0
53,54.5,60.0,42.0
54,54.5,60.0,42.0
55,54.5,60.0,42.0
56,54.5,60.0,42.0
57,54.5,60.0,42.0
58,54.5,60.0,42.0
59,54.5,60.0,42.0
60,54.5,60.0,42.0
61,54.5,60.0,42.0
62,54.5,60.0,42.0
63,54.5,60.0,42.0
64,54.5,60.0,42.0
65,54.5,60.0,42.0
66,54.5,60.0,42.0
67,54.5,60.0,42.0
68,54.5,60.0,42.0
69,54.5,60.0,42.0
70,54.5,60.0,42.0
71,54.5,60.0,42.0
72,54.5,60.0,42.0
73,54.5,60.0,42.0
74,54.5,60.0,42.0
75,54.5,60.0,42.0
76,54.5,60.0,42.0
77,54.5,60.0,42.0
78,54.5,60.0,42.0
79,54.5,60.0,42.0
80,54.5,60.0,42.0
81,54.5,60.0,42.0
82,54.5,60.0,42.0
83,54.5,60.0,42.0
84,54.5,60.0,42.0
85,54.5,60.0,42.0
86,54.5,60.0,42.0
87,54.5,60.0,42.0
88,54.5,60.0,42.0
89,54.5,60.0,42.0
90,54.5,60.0,42.0
91,54.5,60.0,42.0
92,54.5,60.0,42.0
93,54.5,60.0,42.0
94,54.5,60.0,42.0
95,54.5,60.0,42.0
96,54.5,60.0,42.0
97,54.5,60.0,42.0
98,54.5,60.0,42.0
99,54.5,60.0,42.0
100,54.5,60.0,42.0
101,54.5,60.0,42.0
102,54.5,60.0,42.0
103,54.5,60.0,42.0
104,54.5,60.0,42.0
105,54.5,60.0,42.0
106,54.5,60.0,42.0
107,54.5,60.0,42.0
108,54.5,60.0,42.0
109,54.5,60.0,42.0
110,54.5,60.0,42.0
111,54.5,60.0,42.0
112,54.5,60.0,42.0
113,54.5,60.0,42.0
114,54.5,60.0,42.0
115,54.5,60.0,42.0
116,54.5,60.0,42.0
117,54.5,60.0,42.0
118,54.5,60.0,42.0
119,54.5,60.0,42.0
120,54.5,60.0,42.0
121,54.5,60.0,42.0
122,54.5,60.0,42.0
123,54.5,60.0,42.0
124,54.5,60.0,42.0
125,54.5,60.0,42.0
126,54.5,60.0,42.0
127,54.5,60.0,42.0
128,54.5,60.0,42.0
129,54.5,60.0,42.0
130,54.5,60.0,42.0
131,54.5,60.0,42.0
132,54.5,60.0,42.0
133,54.5,60.0,42.0
134,54.5,60.0,42.0
135,54.5,60.0,42.0
136,54.5,60.0,42.0
137,54.5,60.0,42.0
138,54.5,60.0,42.0
139,54.5,60.0,42.0
140,54.5,60.0,42.0
141,54.5,60.0,42.0
142,54.5,60.0,42.0
143,54.5,60.0,42.0
144,54.5,60.0,42.0
145,54.5,60.0,42.0
146,54.5,60.0,42.0
147,54.5,60.0,42.0
148,54.5,60.0,42.0
149,54.5,60.0,42.0
150,54.5,60.0,42.0
151,54.5,60.0,42.0
152,54.5,60.0,42.0
153,54.5,60.0,42.0
154,54.5,60.0,42.0
155,54.5,60.0,42.0
156,54.5,60.0,42.0
157,54.5,60.0,42.0
158,54.5,60.0,42.0
159,54.5,60.0,42.0
160,54.5,60.0,42.0
161,54.5,60.0,42.0
162,54.5,60.0,42.0
163,54.5,60.0,42.0
164,54.5,60.0,42.0
165,54.5,60.0,42.0
166,54.5,60.0,42.0
167,54.5,60.0,42.0
168,54.5,60.0,42.0
169,54.5,60.0,42.0
170,54.5,60.0,42.0
171,54.5,60.0,42.0
172,54.5,60.0,42.0
173,54.5,60.0,42.0
174,54.5,60.0,42.0
175,54.5,60.0,42.0
176,54.5,60.0,42.0
177,54.5,60.0,42.0
178,54.5,60.0,42.0
179,54.5,60.0,42.0
180,54.5,60.0,42.0
181,54.5,60.0,42.0
182,54.5,60.0,42.0
183,54.5,60.0,42.0
184,54.5,60.0,42.0
185,54.5,60.0,42.0
186,54.5,60.0,42.0
187,54.5,60.0,42.0
188,54.5,60.0,42.0
189,54.5,60.0,42.0
190,54.5,60.0,42.0
191,54.5,60.0,42.0
192,54.5,60.0,42.0
193,54.5,60.0,42.0
194,54.5,60.0,42.0
195,54.5,60.0,42.0
196,54.5,60.0,42.0
197,54.5,60.0,42.0
198,54.5,60.0,42.0
199,54.5,60.0,42.0
