Biorefinery,Zone,Biomass_type,BioH2_Production,BioH2_yield_tonne_per_tonne,BioElectricity_Production,BioElectricity_yield_MWh_per_tonne,BioDiesel_Production,BioDiesel_yield_MMBtu_per_tonne,BioGasoline_Production,BioGasoline_yield_MMBtu_per_tonne,BioEthanol_Production,BioEthanol_yield_MMBtu_per_tonne,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,H2_consumption_tonne_per_tonne,CO2_emissions_tonne_per_tonne,CO2_capture_tonne_per_tonne,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption,Ref_capacity_tonne_per_hr,Ref_CAPEX_per_yr_s1,Ref_CAPEX_per_yr_s2,Ref_CAPEX_per_yr_s3,Ref_CAPEX_per_yr_s4,Ref_CAPEX_per_yr_s5,Ref_CAPEX_per_yr_s6,Ref_CAPEX_per_yr_s7,Ref_CAPEX_per_yr_s8,Ref_CAPEX_per_yr_s9,Ref_Fixed_OM_per_yr,MGA,Resource_Type
SE_Bio_Hydrogen_Herb_CCS,1,1,1,0.061216633,0,0,0,0,0,0,0,0,3.36E+05,2.16E+05,31.058,0,0,0.009,1.56,0,100000,0,1,83.33333333,1315594.837,2023992.057,8.40E+06,0,0,1.47E+07,0,517242.4145,1.02E+06,1.80E+07,1,Bio_Hydrogen_Herb_CCS
MIDAT_Bio_Hydrogen_Herb_CCS,2,1,1,0.061216633,0,0,0,0,0,0,0,0,3.36E+05,2.16E+05,31.058,0,0,0.009,1.56,0,100000,0,1,83.33333333,1315594.837,2023992.057,8.40E+06,0,0,1.47E+07,0,517242.4145,1.02E+06,1.80E+07,1,Bio_Hydrogen_Herb_CCS
NE_Bio_Hydrogen_Herb_CCS,3,1,1,0.061216633,0,0,0,0,0,0,0,0,3.36E+05,2.16E+05,31.058,0,0,0.009,1.56,0,100000,0,1,83.33333333,1315594.837,2023992.057,8.40E+06,0,0,1.47E+07,0,517242.4145,1.02E+06,1.80E+07,1,Bio_Hydrogen_Herb_CCS
SE_Bio_Electricity_Combustion_Plant_Herb_CCS,1,1,0,0,1,0.724430556,0,0,0,0,0,0,2.38E+05,2.16E+05,30.846,0,0,0.009,1.38,0,100000,0,1,83.33333333,1315594.837,2023992.057,14955052.42,0,0,0,0,0,1517994.042,1.80E+07,1,Bio_Electricity_Combustion_Plant_Herb_CCS
MIDAT_Bio_Electricity_Combustion_Plant_Herb_CCS,2,1,0,0,1,0.724430556,0,0,0,0,0,0,2.38E+05,2.16E+05,30.846,0,0,0.009,1.38,0,100000,0,1,83.33333333,1315594.837,2023992.057,14955052.42,0,0,0,0,0,1517994.042,1.80E+07,1,Bio_Electricity_Combustion_Plant_Herb_CCS
NE_Bio_Electricity_Combustion_Plant_Herb_CCS,3,1,0,0,1,0.724430556,0,0,0,0,0,0,2.38E+05,2.16E+05,30.846,0,0,0.009,1.38,0,100000,0,1,83.33333333,1315594.837,2023992.057,14955052.42,0,0,0,0,0,1517994.042,1.80E+07,1,Bio_Electricity_Combustion_Plant_Herb_CCS
SE_Bio_Electricity_Combustion_Plant_Wood_CCS,1,2,0,0,1,0.724430556,0,0,0,0,0,0,2.38E+05,2.16E+05,30.846,0,0,0.009,1.38,0,100000,0,1,83.33333333,1315594.837,2023992.057,14955052.42,0,0,0,0,0,1517994.042,1.80E+07,1,Bio_Electricity_Combustion_Plant_Wood_CCS
MIDAT_Bio_Electricity_Combustion_Plant_Wood_CCS,2,2,0,0,1,0.724430556,0,0,0,0,0,0,2.38E+05,2.16E+05,30.846,0,0,0.009,1.38,0,100000,0,1,83.33333333,1315594.837,2023992.057,14955052.42,0,0,0,0,0,1517994.042,1.80E+07,1,Bio_Electricity_Combustion_Plant_Wood_CCS
NE_Bio_Electricity_Combustion_Plant_Wood_CCS,3,2,0,0,1,0.724430556,0,0,0,0,0,0,2.38E+05,2.16E+05,30.846,0,0,0.009,1.38,0,100000,0,1,83.33333333,1315594.837,2023992.057,14955052.42,0,0,0,0,0,1517994.042,1.80E+07,1,Bio_Electricity_Combustion_Plant_Wood_CCS
SE_Bio_Gasoline_Pyrolysis_Plant_Herb_CCS,1,1,0,0,0,0,0,0,1,3.02,0,0,4.29E+05,3.61E+05,24.698,0,0,0.011,1.22,0,100000,0,1,83.33333333,8759387.845,97826.28274,562220.0157,2991010.484,0,15775893.64,22488.80063,0,7567481.412,30104000,1,Bio_Gasoline_Pyrolysis_Plant_Herb_CCS
MIDAT_Bio_Gasoline_Pyrolysis_Plant_Herb_CCS,2,1,0,0,0,0,0,0,1,3.02,0,0,4.29E+05,3.61E+05,24.698,0,0,0.011,1.22,0,100000,0,1,83.33333333,8759387.845,97826.28274,562220.0157,2991010.484,0,15775893.64,22488.80063,0,7567481.412,30104000,1,Bio_Gasoline_Pyrolysis_Plant_Herb_CCS
NE_Bio_Gasoline_Pyrolysis_Plant_Herb_CCS,3,1,0,0,0,0,0,0,1,3.02,0,0,4.29E+05,3.61E+05,24.698,0,0,0.011,1.22,0,100000,0,1,83.33333333,8759387.845,97826.28274,562220.0157,2991010.484,0,15775893.64,22488.80063,0,7567481.412,30104000,1,Bio_Gasoline_Pyrolysis_Plant_Herb_CCS
