Conventional_ethanol_co2_per_mmbtu,Conventional_ethanol_price_per_mmbtu,Bio_ethanol_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
0.0697,20.37,0.0697,1,1569.36,881.63,315.01
,,,2,1569.36,881.63,315.01
,,,3,1569.36,881.63,315.01
,,,4,1569.36,881.63,315.01
,,,5,1569.36,881.63,315.01
,,,6,1569.36,881.63,315.01
,,,7,1569.36,881.63,315.01
,,,8,1569.36,881.63,315.01
,,,9,1569.36,881.63,315.01
,,,10,1569.36,881.63,315.01
,,,11,1569.36,881.63,315.01
,,,12,1569.36,881.63,315.01
,,,13,1569.36,881.63,315.01
,,,14,1569.36,881.63,315.01
,,,15,1569.36,881.63,315.01
,,,16,1569.36,881.63,315.01
,,,17,1569.36,881.63,315.01
,,,18,1569.36,881.63,315.01
,,,19,1569.36,881.63,315.01
,,,20,1569.36,881.63,315.01
,,,21,1569.36,881.63,315.01
,,,22,1569.36,881.63,315.01
,,,23,1569.36,881.63,315.01
,,,24,1569.36,881.63,315.01
,,,25,1569.36,881.63,315.01
,,,26,1569.36,881.63,315.01
,,,27,1569.36,881.63,315.01
,,,28,1569.36,881.63,315.01
,,,29,1569.36,881.63,315.01
,,,30,1569.36,881.63,315.01
,,,31,1569.36,881.63,315.01
,,,32,1569.36,881.63,315.01
,,,33,1569.36,881.63,315.01
,,,34,1569.36,881.63,315.01
,,,35,1569.36,881.63,315.01
,,,36,1569.36,881.63,315.01
,,,37,1569.36,881.63,315.01
,,,38,1569.36,881.63,315.01
,,,39,1569.36,881.63,315.01
,,,40,1569.36,881.63,315.01
,,,41,1569.36,881.63,315.01
,,,42,1569.36,881.63,315.01
,,,43,1569.36,881.63,315.01
,,,44,1569.36,881.63,315.01
,,,45,1569.36,881.63,315.01
,,,46,1569.36,881.63,315.01
,,,47,1569.36,881.63,315.01
,,,48,1569.36,881.63,315.01
,,,49,1569.36,881.63,315.01
,,,50,1569.36,881.63,315.01
,,,51,1569.36,881.63,315.01
,,,52,1569.36,881.63,315.01
,,,53,1569.36,881.63,315.01
,,,54,1569.36,881.63,315.01
,,,55,1569.36,881.63,315.01
,,,56,1569.36,881.63,315.01
,,,57,1569.36,881.63,315.01
