Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster,LDS.1,CCS_Rate
MIDAT_conventional_hydroelectric_1,2,0,0,0,0,1,0,0,0,-1,2821,0,0,0,-1,-1,0,0,0,0,0,0,46475.66,0,0,0,0,8.778,None,27.125,0,0,0,0,0.083,0.083,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conventional_hydroelectric,0.8,0,1,MIDAT,1,0,0
MIDAT_hydroelectric_pumped_storage_1,2,0,0,1,0,0,0,0,0,-1,5212.996,0,0,0,-1,-1,0,0,0,0,0,0,40113.418,0,0,0,0,0,None,226.652,0,0,0,0,1,1,1,0,0,0.866,0.866,0,200,0,0,0,0,0,0,0,0,0,0,0,0,hydroelectric_pumped_storage,0.95,0,0,MIDAT,1,0,0
MIDAT_natural_gas_fired_combined_cycle_1,2,1,0,0,0,0,0,0,0,0,2425.492,0,0,0,-1,-1,0,0,0,0,0,0,16291.513,0,0,4.495,0,6.851,MIDAT_reference_naturalgas,142.676,90.959,2,6,6,0.64,0.64,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,MIDAT,1,0,0
MIDAT_natural_gas_fired_combined_cycle_2,2,1,0,0,0,0,0,0,0,0,12165.1,0,0,0,-1,-1,0,0,0,0,0,0,9668.523,0,0,3.567,0,6.857,MIDAT_reference_naturalgas,608.255,90.959,2,6,6,0.64,0.64,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,MIDAT,2,0,0
MIDAT_natural_gas_fired_combined_cycle_3,2,1,0,0,0,0,0,0,0,0,705.1,0,0,0,-1,-1,0,0,0,0,0,0,9856.382,0,0,3.593,0,13.568,MIDAT_reference_naturalgas,352.55,90.959,2,6,6,0.64,0.64,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,MIDAT,3,0,0
MIDAT_natural_gas_fired_combined_cycle_4,2,1,0,0,0,0,0,0,0,0,19802.112,0,0,0,-1,-1,0,0,0,0,0,0,12182.13,0,0,3.515,0,6.672,MIDAT_reference_naturalgas,618.816,90.959,2,6,6,0.64,0.64,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,MIDAT,4,0,0
MIDAT_natural_gas_fired_combustion_turbine_1,2,1,0,0,0,0,0,0,0,0,351.204,0,0,0,-1,-1,0,0,0,0,0,0,12998.486,0,0,5.163,0,9.653,MIDAT_reference_naturalgas,16.724,117.941,3.5,1,1,0.64,0.64,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,0.93,0,0,MIDAT,1,0,0
MIDAT_natural_gas_fired_combustion_turbine_2,2,1,0,0,0,0,0,0,0,0,827.4,0,0,0,-1,-1,0,0,0,0,0,0,9959.145,0,0,5.163,0,11.704,MIDAT_reference_naturalgas,82.74,117.941,3.5,1,1,0.64,0.64,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,0.93,0,0,MIDAT,2,0,0
MIDAT_onshore_wind_turbine_1,2,0,0,0,0,0,1,0,1,0,3231.6,0,0,0,-1,-1,0,0,0,0,0,0,43000,0,0,0,0,9.21,None,161.2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,onshore_wind_turbine,0,1,1,MIDAT,1,0,0
MIDAT_small_hydroelectric_1,2,0,1,0,0,0,0,0,0,-1,263.886,0,0,0,-1,-1,0,0,0,0,0,0,46475.66,0,0,0,0,8.773,None,1.281,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,small_hydroelectric,0,1,1,MIDAT,1,0,0
MIDAT_solar_photovoltaic_1,2,0,0,0,0,0,1,0,1,0,2974.6,0,0,0,-1,-1,0,0,0,0,0,0,22887.669,0,0,0,0,9.111,None,10.593,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,solar_photovoltaic,0.8,1,1,MIDAT,1,0,0
NE_conventional_hydroelectric_1,3,0,0,0,0,1,0,0,0,-1,4724.304,0,0,0,-1,-1,0,0,0,0,0,0,46475.66,0,0,0,0,8.779,None,23.504,0,0,0,0,0.083,0.083,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conventional_hydroelectric,0.8,0,1,NE,1,0,0
NE_hydroelectric_pumped_storage_1,3,0,0,1,0,0,0,0,0,-1,3202.1,0,0,0,-1,-1,0,0,0,0,0,0,40113.418,0,0,0,0,0,None,128.084,0,0,0,0,1,1,1,0,0,0.866,0.866,0,200,0,0,0,0,0,0,0,0,0,0,0,0,hydroelectric_pumped_storage,0.95,0,0,NE,1,0,0
