region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MIDAT,MIDAT_conventional_hydroelectric_1,2,1,1,0.0,0.0,1.3110783686000001e8,0.0,0.0,0.0,0.0,0.0,0.0,3.3223616e8,0.0,0.0,0.0,0.0,0.0,3.3223616e8,1.3110783686000001e8,2.0112832314e8
MIDAT,MIDAT_hydroelectric_pumped_storage_1,2,1,2,0.0,0.0,2.09111087580328e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09111087580328e8,-2.09111087580328e8
MIDAT,MIDAT_natural_gas_fired_combined_cycle_1,2,1,3,0.0,0.0,3.951493444939601e7,0.0,6.265786708125e6,3.418872567906729e7,0.0,0.0,0.0,1.5551238e8,0.0,0.0,0.0,5.478563464642872e7,0.0,1.55512384e8,1.3475508148301703e8,2.0757302516982973e7
MIDAT,MIDAT_natural_gas_fired_combined_cycle_2,2,2,4,0.0,0.0,1.1761854914729999e8,0.0,4.6760787492000006e7,3.2180730526134956e8,0.0,0.0,0.0,1.1928282e9,0.0,0.0,0.0,5.1567928030130166e8,0.0,1.19282816e9,1.0018659222019513e9,1.9096223779804873e8
MIDAT,MIDAT_natural_gas_fired_combined_cycle_3,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT,MIDAT_natural_gas_fired_combined_cycle_4,2,4,6,0.0,0.0,2.4123190265856e8,0.0,1.8176800338e8,1.2351825740693672e9,0.0,0.0,0.0,3.9455076e9,0.0,0.0,0.0,1.979315106969081e9,0.0,3.945507584e9,3.6374975870770082e9,3.0800999692299175e8
MIDAT,MIDAT_natural_gas_fired_combustion_turbine_1,2,1,7,0.0,0.0,3.523992759609378e6,0.0,531337.6005234375,3.5564259728553547e6,0.0,0.0,0.0,1.3310742e7,0.0,0.0,0.0,5.698985561056418e6,0.0,1.3310742e7,1.331074189404459e7,0.10595541074872017
MIDAT,MIDAT_natural_gas_fired_combustion_turbine_2,2,2,8,0.0,0.0,8.240196573000001e6,0.0,383125.3763203125,3.109253469907201e6,0.0,0.0,0.0,1.7063036e7,0.0,0.0,0.0,4.982415145404851e6,0.0,1.7063036e7,1.6714990564632365e7,348045.4353676345
MIDAT,MIDAT_onshore_wind_turbine_1,2,1,9,0.0,0.0,1.389588e8,0.0,0.0,0.0,0.0,0.0,0.0,2.5612392e8,0.0,0.0,0.0,0.0,0.0,2.5612392e8,1.389588e8,1.1716512e8
MIDAT,MIDAT_small_hydroelectric_1,2,1,10,0.0,0.0,1.2264276014760002e7,0.0,0.0,0.0,0.0,0.0,0.0,1.6897154e7,0.0,0.0,0.0,0.0,0.0,1.6897154e7,1.2264276014760002e7,4.6328779852399975e6
MIDAT,MIDAT_solar_photovoltaic_1,2,1,11,0.0,0.0,6.808166020740001e7,0.0,0.0,0.0,0.0,0.0,0.0,2.576275e8,0.0,0.0,0.0,0.0,0.0,2.57627504e8,6.808166020740001e7,1.8954584379259998e8
NE,NE_conventional_hydroelectric_1,3,1,12,0.0,0.0,2.1956514644064003e8,0.0,0.0,0.0,0.0,0.0,0.0,1.721561e9,0.0,0.0,0.0,0.0,0.0,1.72156096e9,2.1956514644064003e8,1.50199581355936e9
NE,NE_hydroelectric_pumped_storage_1,3,1,13,0.0,0.0,1.284471757778e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.284471757778e8,-1.284471757778e8
NE,NE_natural_gas_fired_combined_cycle_1,3,1,14,0.0,0.0,4.001221558319999e7,0.0,1.66982630895e7,1.4927227206482434e8,0.0,0.0,0.0,7.3279885e8,0.0,0.0,0.0,1.9462260299898812e8,0.0,7.32798848e8,4.006053537365124e8,3.321934942634876e8
NE,NE_natural_gas_fired_combined_cycle_2,3,2,15,0.0,0.0,340492.6217,0.0,60154.644775390625,606439.1243554286,0.0,0.0,0.0,2.8836122e6,0.0,0.0,0.0,790681.0776701058,0.0,2.88361225e6,1.7977674685009252e6,1.0858447814990748e6
NE,NE_natural_gas_fired_combined_cycle_3,3,3,16,0.0,0.0,8145.756500000001,0.0,16425.50038330078,0.0,0.0,0.0,0.0,240734.25,0.0,0.0,0.0,0.0,0.0,240734.25,24571.256883300783,216162.99311669922
NE,NE_natural_gas_fired_combined_cycle_4,3,4,17,0.0,0.0,1.3865700365999999e7,0.0,1.343903394875e7,1.0783343096158081e8,0.0,0.0,0.0,3.840121e8,0.0,0.0,0.0,1.4059424924503464e8,0.0,3.84012096e8,2.7573241452136546e8,1.0827968147863454e8
NE,NE_natural_gas_fired_combustion_turbine_1,3,1,18,0.0,0.0,2.218131536679e6,0.0,507362.8873359375,5.321345533009819e6,0.0,0.0,0.0,2.1604564e7,0.0,0.0,0.0,6.93802073731186e6,0.0,2.1604564e7,1.4984860694336616e7,6.6197033056633845e6
NE,NE_natural_gas_fired_combustion_turbine_2,3,2,19,0.0,0.0,1.7742556205209e7,0.0,5.94904738875e6,5.794876576251464e7,0.0,0.0,0.0,2.4828053e8,0.0,0.0,0.0,7.555414999231403e7,0.0,2.48280528e8,1.5719451934878767e8,9.108600865121233e7
NE,NE_nuclear_1,3,1,20,0.0,0.0,2.4840643485750002e8,0.0,2.260403195e7,7.334845007452083e7,0.0,0.0,0.0,6.2412243e8,0.0,0.0,0.0,0.0,0.0,6.24122432e8,3.4435891688202083e8,2.7976351511797917e8
NE,NE_onshore_wind_turbine_1,3,1,21,0.0,0.0,1.571435e8,0.0,0.0,0.0,0.0,0.0,0.0,3.6885037e8,0.0,0.0,0.0,0.0,0.0,3.68850368e8,1.571435e8,2.11706868e8
NE,NE_small_hydroelectric_1,3,1,22,0.0,0.0,3.1918739677440003e7,0.0,0.0,0.0,0.0,0.0,0.0,1.5628576e8,0.0,0.0,0.0,0.0,0.0,1.5628576e8,3.1918739677440003e7,1.2436702032256e8
