,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level
Pipe,1,1,1,2,2,2
Zone,"[""z1""]","[""z2""]",NA,"[""z2""]","[""z3""]",NA
t1,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t2,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t3,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t4,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t5,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t6,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t7,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t8,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t9,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t10,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t11,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t12,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t13,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t14,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t15,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t16,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t17,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t18,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t19,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t20,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t21,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t22,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t23,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t24,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t25,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t26,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t27,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t28,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t29,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t30,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t31,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t32,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t33,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t34,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t35,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t36,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t37,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t38,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t39,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t40,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t41,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t42,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t43,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t44,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t45,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t46,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t47,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t48,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t49,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t50,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
