,Power Emissions,H2 Emissions,DAC Emissions,Biorefinery Emissions,Bioresource Emissions,DAC Capture,Biorefinery Capture,CO2 Pipeline Loss,Power Emissions,H2 Emissions,DAC Emissions,Biorefinery Emissions,Bioresource Emissions,DAC Capture,Biorefinery Capture,CO2 Pipeline Loss,Power Emissions,H2 Emissions,DAC Emissions,Biorefinery Emissions,Bioresource Emissions,DAC Capture,Biorefinery Capture,CO2 Pipeline Loss
Zone,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
AnnualSum,1.3249302034350969e7,1.6860250005149315e6,0.0,276865.43114569044,1.8446401453519776e6,0.0,-4.7990008065253004e7,0.0,2.228704952289165e7,3.5460522817705665e6,0.0,0.0,0.0,0.0,0.0,5073.93374683099,3.40539882508535e6,1.6876574101380678e6,0.0,0.0,0.0,0.0,0.0,1943.4802571509167
t1,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,4486.573323819418,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,423.89998503479086,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t2,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t3,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t4,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t5,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t6,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t7,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t8,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t9,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t10,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t11,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.7065130898826,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t12,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.7065130898826,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t13,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t14,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t15,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,0.0,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
