Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor
SE_Flex_Demand,1,4,0.0,0.0,4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,35040.0,1390.4761904761904,0.03968253968253968
SE_Electrolyzer,1,0,0.0,540.3028014418044,540.3028014418044,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.7330525406302065e6,2.130748700033659e6,0.45018488211203117
MIDAT_Electrolyzer,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NE_Electrolyzer,3,0,0.0,107.23794361678472,107.23794361678472,0,0.0,0.0,0.0,0,0.0,0.0,0.0,939404.3860830341,350467.0726107387,0.37307370265967743
SE_Large_SMR,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_Large_SMR,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NE_Large_SMR,3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SE_Large_SMR_wCCS_90pct,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_Large_SMR_wCCS_90pct,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NE_Large_SMR_wCCS_90pct,3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SE_ATR_wCCS_94pct,1,0,0.0,352.99832409284573,352.99832409284573,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0922653190533286e6,3.0011394531204645e6,0.9705310325826887
MIDAT_ATR_wCCS_94pct,2,0,0.0,773.0,773.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.77148e6,6.771480000000001e6,1.0000000000000002
NE_ATR_wCCS_90pct,3,0,0.0,372.80351349234405,372.80351349234405,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.265758778192934e6,3.262745410787342e6,0.999077284144281
SE_Above_ground_storage,1,0,0.0,3450.7445709974813,3450.7445709974813,0,0.0,9977.030011025283,9977.030011025283,0,0.0,307.4850175968563,307.4850175968563,3.022852244193794e7,1.0839415473526358e6,0.0358582378425753
MIDAT_Above_ground_storage,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NE_Above_ground_storage,3,0,0.0,726.5362144920813,726.5362144920813,0,0.0,2421.787381640271,2421.787381640271,0,0.0,74.04145710912877,74.04145710912877,6.3644572389506325e6,230443.744005203,0.036207917714472446
Total,n/a,4,0.0,6323.623368133341,6327.623368133341,0,0.0,12398.817392665555,12398.817392665555,0,0.0,381.5264747059851,381.5264747059851,5.542998070484807e7,1.683235640410052e7,-
