Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combined_cycle_4,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_naturalgas_ccs100_moderate_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,MIDAT_naturalgas_ccs100_moderate_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_naturalgas_ccs100_moderate_0,NE_offshorewind_class10_moderate_floating_1_250_1,SE_offshorewind_class10_moderate_floating_1_250_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,Total
Zone,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807623.3520507812,0.0,368542.5720214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233943.09997558594,0.0,55057.35778808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3645087890625e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17805283203125e7,0.0,0.0,0.0,0.0,5.387751953125e6,0.0,0.0,0.0,0.0,4.24066015625e6,0.0,0.0,0.0,0.0,1.4005372314453125e6,72804.32891845703,0.0,0.0,8.0754306640625e6,0.0,4.1354501953125e6,0.0,2.08218671875e7,6.53530126953125e6,0.0,497610.5041503906,3.80833935546875e6,7.4614658203125e6,3.01022119140625e6,0.0,1.1588517578125e7,0.0,1.174877685546875e6,-6.750155989720952e-11,2.69819873046875e6,0.0,0.0,2.220446049250313e-13,0.0,9.751923734283447e7
t1,544.445518708,5212.996,2425.492,12165.1,0.0,19789.43864832,271.1079397715532,827.4,603.7537553841024,50.90024951161568,0.0,2374.869406965452,3202.1,4137.142778000153,20.9,0.4995,1137.790248,160.803,1799.501,1299.7989,312.26078773490406,345.3557217226462,0.0,1710.7471566860222,6375.986,23768.392,9303.498,0.0,37.962,964.1137735593395,0.0,4566.429,2225.772,43.20624493607549,0.0,0.0,0.0,0.0,44646.68214719459,0.0,0.0,0.0,0.0,0.0,33053.01300503295,0.0,0.0,0.0,0.0,0.0,11603.118640794424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2791.6204819671357,0.0,5764.948038854057,0.0,47381.128837501106,11857.312889954324,0.0,773.77260352932,10105.080259936607,4183.484003117208,20388.22711314097,0.0,35186.843142702084,0.0,2692.9114825463644,3913.7745857220007,24245.98997458901,0.0,0.0,576.1981418232601,0.0,364841.8669777053
t2,543.893062531,5212.996,2425.492,12165.1,0.0,19802.112,271.1079397715532,827.4,682.4801983638743,50.82674191221426,0.0,2373.838441000748,3202.1,4138.4,20.9,0.4995,1138.2,160.803,1799.501,1300.124175,436.02065330558406,345.1490514026593,0.0,1711.3388492098081,6375.986,23768.392,9303.498,0.0,37.962,964.1137735593395,0.0,4566.429,2225.772,43.197977840524416,0.0,0.0,0.0,0.0,44669.21175709736,0.0,0.0,0.0,0.0,0.0,33053.01300503295,0.0,0.0,0.0,0.0,0.0,11603.118640794424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2895.1546836116518,0.0,10037.175662245294,0.0,53822.51501472188,14231.377343259528,0.0,1020.1937534395919,11158.11963212695,5749.41465319698,25937.425150657076,0.0,40996.23542577952,0.0,2674.4334406278213,2724.43869605808,27623.376945362146,0.0,0.0,384.147162401904,0.0,394472.9843303104
t3,543.2260681120001,5212.996,2425.492,12165.1,0.0,19802.112,271.1079397715532,827.4,656.0563323034511,50.764411363202214,0.0,2372.8574439994522,3202.1,4138.4,20.9,0.49982,1138.2,160.803,1799.501,1300.4494499999998,441.95105752902003,344.9496379329262,0.0,1712.614903251408,6375.986,23768.392,9303.498,0.0,37.962,964.1137735593395,0.0,4566.429,2225.772,43.20697626788961,0.0,0.0,0.0,0.0,44669.21175709736,0.0,0.0,0.0,0.0,0.0,33053.01300503295,0.0,0.0,0.0,0.0,0.0,11603.118640794424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2777.9824234173952,0.0,17495.11357867019,0.0,53693.2855118556,14601.968063576747,0.0,441.50678534592004,14086.740481916762,4647.650325576795,31236.490018326276,0.0,41551.93322706718,0.0,2291.271204341889,3107.05136599248,28443.26275303045,0.0,0.0,320.687761586643,0.0,409893.1277177193
t4,542.414886741,5212.996,2425.492,12165.1,0.0,19802.112,271.1079397715532,827.4,987.100039896775,50.6886065606994,0.0,2372.1121378004123,3202.1,4138.4,20.9,0.5,1138.2,160.803,1799.501,1300.774725,457.24415726088,344.784453167202,0.0,1713.0280589779497,6375.986,23768.392,9303.498,0.0,37.962,964.1137735593395,0.0,4567.57175,2226.329,43.21739963255714,0.0,0.0,0.0,0.0,44669.21175709736,0.0,0.0,0.0,0.0,0.0,33053.01300503295,0.0,0.0,0.0,0.0,0.0,11603.118640794424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.096224363419,0.0,0.0,0.0,0.0,4.469385236613963,0.0,0.0,0.0,0.0,352.69384579324526,36.31905369682835,0.0,0.0,3256.7113640566076,0.0,22391.357436079947,0.0,55363.155271978176,15619.401885997246,0.0,373.78511064799994,15297.051553146934,4905.582329351825,37020.708747779805,0.0,43483.40794923588,0.0,1668.489418665756,4586.54057117712,26404.036857172312,0.0,0.0,290.81697264427504,0.0,426727.7963083171
t5,541.72602393,5212.996,2425.492,12165.1,0.0,19802.112,271.1079397715532,827.4,852.529026162,50.62423241305962,0.0,2371.1233740433404,3202.1,4138.4,20.9,0.5,1138.2,160.803,1799.501,1301.1,428.34764211147,344.58391175364574,0.0,1712.703772883142,6375.986,23768.392,9303.498,0.0,37.962,964.1137735593395,0.0,4568.7145,2226.886,43.20921832946573,0.0,0.0,0.0,0.0,44669.21175709736,0.0,0.0,0.0,0.0,0.0,33053.01300503295,0.0,0.0,0.0,0.0,0.0,11603.118640794424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.830885426048896,0.0,0.0,0.0,0.0,5966.028578883368,0.0,0.0,0.0,0.0,2374.9927379852343,0.0,0.0,0.0,0.0,5434.7721070824555,1415.8580337390708,0.0,0.0,3262.362842612916,0.0,20139.778843258267,0.0,58964.89587318302,16128.865834237522,0.0,381.3234555519999,14008.463471778263,6039.3058989547935,41012.68251030671,0.0,45523.30114917382,0.0,1727.1310065965372,5501.965542504481,26060.5202496392,0.0,0.0,335.9796246574019,0.0,449671.5134634528
t6,540.9198159819999,5212.996,2425.492,12165.1,0.0,19802.112,271.1079397715532,827.4,990.462424325796,50.54889237634379,0.0,2370.1297820475797,3202.1,4138.4,20.9,0.5,1138.2,160.803,1799.501,1301.1,435.17915003850004,344.38266914873464,66.89291915039999,1712.6969938460459,6375.986,23768.392,9303.498,0.0,37.98632,964.1137735593395,0.0,4569.85725,2227.443,43.20904730345493,0.0,0.0,0.0,0.0,44669.21175709736,0.0,0.0,0.0,0.0,0.0,33053.01300503295,0.0,0.0,0.0,0.0,0.0,11603.118640794424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16281.112834876885,0.0,0.0,0.0,0.0,19870.95041626932,0.0,0.0,0.0,0.0,15075.19586917377,0.0,0.0,0.0,0.0,14033.882687645215,6129.403024829309,0.0,0.0,3575.383051142844,0.0,21347.72621604596,0.0,61334.366165832245,17013.74801410226,0.0,483.71027322830395,11956.386287965392,6810.5118674469995,42942.826604380985,0.0,46417.69156501027,0.0,2484.201370045,5698.94342544648,26152.109407527274,0.0,0.0,607.1297449136039,0.0,513808.0322063566
t7,540.23095035,5212.996,2425.492,12165.1,0.0,19802.112,271.1079397715532,827.4,932.4415062552634,50.48451796508189,404.43495706693614,2369.204153889164,3202.1,4138.4,20.9,0.5,1138.2,160.803,1799.501,1301.1,349.400510423,344.19129673837307,151.3722989856,1712.3693071558318,6375.986,23768.392,9303.498,0.0,38.0,964.1137735593395,0.0,4571.0,2228.0,43.200780207903854,174.40567961320002,0.0,0.0,0.0,44669.21175709736,0.0,0.0,0.0,0.0,0.0,33053.01300503295,0.0,0.0,0.0,0.0,0.0,11603.118640794424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72229.20756681313,0.0,0.0,0.0,0.0,26701.6597148103,0.0,0.0,0.0,0.0,29035.784933871808,0.0,0.0,0.0,0.0,19072.891869501527,8275.903865263332,0.0,0.0,4055.076806258,0.0,24535.294108260732,0.0,62981.73922424776,17405.918297155917,0.0,581.37257938608,11744.296205046696,6871.130219746,43175.54495369277,0.0,47567.369924805294,0.0,2550.9137416900003,5983.220577332881,25668.90499644388,0.0,0.0,632.5099606981979,0.0,605180.5206199302
t8,539.4197689790001,5212.996,2425.492,12165.1,0.0,19802.112,271.1079397715532,827.4,840.8650797864,50.40871316257909,793.3842987144084,2368.215390132092,3202.1,4138.4,20.9,0.5,1138.2,160.803,1799.501,1301.1,255.766519403,343.99075532481675,265.12654491119997,1712.3769058804198,6375.986,23768.392,9303.498,0.0,38.0,964.1137735593395,0.0,4571.0,2228.0,43.20097191353034,905.6654484343452,0.0,0.0,0.0,44669.21175709736,0.0,0.0,0.0,0.0,0.0,33053.01300503295,0.0,0.0,0.0,0.0,0.0,11603.118640794424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104093.88515874255,0.0,0.0,0.0,0.0,29557.863739105574,0.0,0.0,0.0,0.0,33257.983043123735,0.0,0.0,0.0,0.0,20472.976581374634,9043.969732382002,0.0,0.0,4270.154947336,0.0,23858.57254101618,0.0,65220.80906708641,16830.061723835068,0.0,849.371095906776,13010.004643679998,6379.507587038,42390.65806659863,0.0,47686.507575232004,0.0,2801.517392495,6476.72700762216,25283.743206527575,0.0,0.0,661.480932661263,0.0,649304.2595546611
