Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combined_cycle_4,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_naturalgas_ccs100_moderate_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,MIDAT_naturalgas_ccs100_moderate_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_naturalgas_ccs100_moderate_0,NE_offshorewind_class10_moderate_floating_1_250_1,SE_offshorewind_class10_moderate_floating_1_250_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,Total
Zone,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0
AnnualSum,4.229212e6,0.0,1.3557808e6,1.2539893e7,0.0,4.854494e7,0.0,74205.96,5.1449295e6,395615.0,5.5387105e6,1.985596e7,0.0,4.045934e6,13077.429,3672.9429,3.2207972e6,98269.01,1.1259735e6,9.599795e6,6.1473115e6,2.886511e6,3.0303035e6,1.4981109e7,0.0,2.8567712e7,7.2098715e6,0.0,258774.58,33919.516,0.0,2.9652454e7,1.4739015e7,378331.62,1.2741797e7,0.0,0.0,0.0,7.605171e7,0.0,0.0,0.0,0.0,0.0,5.1058376e7,0.0,0.0,0.0,0.0,0.0,2.2587138e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38834e8,0.0,0.0,0.0,0.0,8.214924e7,0.0,0.0,0.0,0.0,1.3959995e8,0.0,0.0,0.0,0.0,7.106278e7,2.369418e7,0.0,0.0,4.647524e7,0.0,1.404165e8,0.0,4.482653e8,1.7498555e8,0.0,4.652331e6,7.0961864e7,2.7344402e7,1.907574e8,0.0,2.7896355e8,0.0,2.0634606e7,3.733701e7,1.2679616e8,0.0,0.0,4.1691672e6,0.0,2.7132104e9
t1,0.0,0.0,0.0,0.0,0.0,12673.351680000002,0.0,0.0,604.3581134975999,50.951200712328,0.0,3529.0550879999996,0.0,739.9694185831028,0.0,0.5,409.752,0.0,0.0,1301.1,312.57336109600004,345.7014231457919,0.0,1838.758428,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4571.0,2228.0,43.249494430506,0.0,0.0,0.0,0.0,22580.502338626986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2794.4148968639997,0.0,5730.693653957529,0.0,47428.557394896,11669.461103434449,0.0,774.54715068,10115.195455392,4187.671674792,20953.802825348033,0.0,35222.06520791,0.0,2695.6070896359997,3917.6922780000004,25143.253637965605,0.0,0.0,576.77491674,0.0,222476.55983170794
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.1633617256,50.87761953174601,0.0,3136.937856,0.0,0.0,0.0,0.5,0.0,0.0,0.0,975.8249999999999,436.457110416,345.49454594860794,0.0,919.379214,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4571.0,2228.0,43.241219059584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2898.0527363479996,0.0,9977.536394711331,0.0,53876.39140612801,14005.913978719766,0.0,1021.2149684079999,11169.288921047999,5755.16982302,26656.937328984015,0.0,41037.272698478,0.0,2677.110551179,2727.16586192,28645.626497506833,0.0,0.0,384.53169409599997,0.0,214261.08878722848
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.7130453487999,50.815226589792005,0.0,2744.820624,0.0,0.0,0.0,0.18,0.0,0.0,0.0,650.55,442.39345098,345.29493286579196,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4571.0,2228.0,43.250226494384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2780.7631866039997,0.0,17391.160455364785,0.0,53747.0325444,14370.633543445043,0.0,441.94873408,13649.757137399662,4652.302628205,32102.999891446983,0.0,41593.526753821,0.0,2293.5647691110003,3110.16152752,29494.3782490226,0.0,0.0,321.008770357,0.0,227720.25569705584
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0881280248,50.739345906606005,0.0,2352.703392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.275,457.70185912,345.12958274995196,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,3428.25,1671.0000000000002,43.26066029285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86332867623248,0.0,0.0,0.0,0.0,363.8402054049842,0.0,0.0,0.0,3259.9713353919997,0.0,22258.311627028095,0.0,55418.573845824,15371.948472573169,0.0,0.0,15312.363917063998,4910.492822173999,38043.29306880708,0.0,43526.93488412,0.0,1670.159578244,4591.13170288,27381.162677286346,0.0,0.0,291.108080725,0.0,242104.3035142931
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.67490732038001,0.0,1960.58616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.77641853000006,344.92884059424,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2285.5,1114.0,43.252470800266,0.0,0.0,0.0,0.0,10.096358082843329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.900860269396366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1484.7438261972293,0.0,0.0,3265.628471084,0.0,20020.111548500645,0.0,59023.919792976005,15873.34113908776,0.0,0.0,14022.485957735998,6045.351250204999,42136.41137189872,0.0,45568.870019193004,0.0,1728.8598664630001,5507.473015520001,27024.93365957618,0.0,0.0,336.31594059799994,0.0,248326.16187463264
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.599491868212,0.0,1568.4689280000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.72739654527993,0.0,0.0,0.0,0.0,0.0,0.0,13.679999999999998,0.0,0.0,1142.75,557.0,43.25229960305799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16377.408951280362,0.0,0.0,0.0,0.0,17978.33779471512,0.0,0.0,0.0,0.0,2474.2618190077305,0.0,0.0,0.0,0.0,14477.402485484701,6427.617093330059,0.0,0.0,3578.9620131559996,0.0,21220.881494195615,0.0,61395.76192776,16744.204400847706,0.0,0.0,11968.354642608,0.0,44134.07386713603,0.0,46447.688595311,0.0,0.0,5704.64807352,19309.802024718236,0.0,0.0,607.737482396,0.0,292567.6207814831
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.3748811364,50.535053018099994,0.0,1176.3516960000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.535832570944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.244024232136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72656.20747895805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13982.800379751216,0.0,0.0,0.0,0.0,0.0,24389.509375723763,0.0,63044.78400825601,17130.161649888058,0.0,581.95453392,11756.052257304,0.0,44373.24789527782,0.0,47614.98490971501,0.0,2550.9137416900003,5989.209787120001,26618.826024874288,0.0,0.0,633.1431038019999,0.0,333869.83663323784
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.459172334914,794.1784771916,784.2344640000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.33509041523195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.244216129659996,906.5720204548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104709.55787004907,0.0,0.0,0.0,0.0,26742.619132938766,0.0,0.0,0.0,0.0,36189.42966075931,0.0,0.0,0.0,0.0,21119.994276808102,9483.986321006694,0.0,0.0,0.0,0.0,23716.80877811778,0.0,55823.64149494231,0.0,0.0,850.221317224,0.0,0.0,43566.588003708755,0.0,22044.000584664715,0.0,0.0,0.0,21639.62939956896,0.0,0.0,662.143075737,0.0,369471.64335605165
