,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AnnualSum,1.3568582698917296e9,0.0,0.0,7.378600819589207e7,-8.717628567567587e7,0.0,0.0,0.0,0.0,-3.0500582728306834e7,-2.116458965621256e6,-1.0381577271801788e8,0.0,0.0,-1.207035178e9,8.68720888625859e8,0.0,0.0,5.142379928101416e7,-6.075590652293731e7,0.0,0.0,0.0,0.0,1.3039280848326843e7,-3.0229762068275292e6,-1.6160731359571086e7,-3.875073665864099e6,0.0,-8.493692810000001e8,3.282442584801262e8,1.2262430031515087e6,0.0,2.3233356689173583e7,-2.744961801650943e7,0.0,0.0,0.0,0.0,1.7461301879979998e7,-906517.2412062739,-2.3721461622998364e7,-1.4893761717172503e6,0.0,-3.1659818699999994e8
t1,76581.88104382854,0.0,0.0,22529.609902770102,-0.0,0.0,-0.0,0.0,0.0,9757.106279491174,-239.75707947917363,-842.4614834634802,-0.0,-0.0,-107786.37866314714,84270.91923187379,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-3437.106279491173,-389.43444527917364,-1844.832346983,-445.00886983920424,-0.0,-78154.53729028122,38256.018599388444,215.98799077584982,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-2998.6853129771534,-170.17713606835784,-0.0,-28833.46677531878
t2,88866.91042689177,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,14221.406477015207,-349.4563639408448,-842.4614834634802,-0.0,-0.0,-101896.39905650265,85680.37593140762,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-7901.406477015207,-499.13372974084484,-1844.832346983,-445.00886983920424,-0.0,-74989.99450782937,37974.83080099505,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-3730.932576083122,-170.17713606835784,-0.0,-27604.043723043553
t3,95537.25681059842,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-16916.95040938021,-0.0,-0.0,-98281.0218818582,92763.90548738696,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-16599.3409003804,-579.5173302903261,-1844.832346983,-445.00886983920424,-0.0,-73295.20603989404,36595.402417663994,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-3556.6590996195964,-84.23281093032611,-5768.005203589455,-170.17713606835784,-0.0,-27016.328167456257
t4,101907.86397171624,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-96194.1775415178,97583.29240902652,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-21457.200462249297,-526.101015810509,-1844.832346983,-445.00886983920424,-0.0,-73310.1497141445,36456.50362100165,0.0,0.0,0.0,-4749.364121184444,0.0,-0.0,0.0,0.0,1301.2004622492984,-30.816496450509078,-5768.005203589455,-170.17713606835784,-0.0,-27039.34112595817
t5,102087.09309013738,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-24542.880421294467,-0.0,-0.0,-97204.92814948292,99101.12203385695,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-1844.832346983,-445.00886983920424,-0.0,-76159.99629767476,42890.814934750866,0.0,0.0,0.0,-9082.169621700441,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-27870.462973392612
t6,121428.69058989357,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,5274.448031746881,-129.60669072698212,-25374.401910838445,-0.0,-0.0,-101199.130020075,121458.57261076375,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,-5274.448031746881,-129.60669072698212,-1844.832346983,-445.00886983920424,-0.0,-80711.66366643469,47291.745640693356,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-29750.444660241123
t7,177167.46267725312,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-107123.84900931732,122736.97739723402,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-87394.12317537886,50147.122722507534,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-32605.82174205529
t8,184027.66361216526,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-113984.04994422947,107006.67563224395,0.0,0.0,0.0,-11496.436361684278,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-93220.39805373746,52885.664784235065,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-35344.36380378283
