Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
50000,1,1,1,50000,11,168,1200.0,1,102999.0,84477.0,30571.0
,,,,,,,24.0,2,98121.0,81764.0,29452.0
,,,,,,,24.0,3,95100.0,80248.0,28759.0
,,,,,,,864.0,4,93727.0,79706.0,28478.0
,,,,,,,936.0,5,93366.0,80187.0,28562.0
,,,,,,,1320.0,6,94907.0,81865.0,29177.0
,,,,,,,864.0,7,98355.0,84663.0,30401.0
,,,,,,,1512.0,8,103496.0,88018.0,31800.0
,,,,,,,24.0,9,111479.0,91511.0,33829.0
,,,,,,,744.0,10,119113.0,94324.0,35282.0
,,,,,,,1248.0,11,122199.0,94962.0,36110.0
,,,,,,,,12,123146.0,94418.0,36503.0
,,,,,,,,13,124605.0,93628.0,36546.0
,,,,,,,,14,125819.0,92523.0,36310.0
,,,,,,,,15,126191.0,91362.0,36023.0
,,,,,,,,16,126519.0,90948.0,36182.0
,,,,,,,,17,127567.0,92478.0,37435.0
,,,,,,,,18,130022.0,97542.0,40334.0
,,,,,,,,19,135140.0,102291.0,40416.0
,,,,,,,,20,134507.0,101842.0,39025.0
,,,,,,,,21,132014.0,101600.0,38062.0
,,,,,,,,22,128031.0,100016.0,36523.0
,,,,,,,,23,125456.0,98006.0,35237.0
,,,,,,,,24,117006.0,93479.0,32613.0
,,,,,,,,25,109296.0,89679.0,30494.0
,,,,,,,,26,105224.0,88201.0,29345.0
,,,,,,,,27,103494.0,88006.0,28814.0
,,,,,,,,28,103739.0,88994.0,28741.0
,,,,,,,,29,106492.0,91842.0,29399.0
,,,,,,,,30,114634.0,98619.0,31748.0
,,,,,,,,31,129838.0,109663.0,36254.0
,,,,,,,,32,140017.0,115467.0,38801.0
,,,,,,,,33,140678.0,114235.0,39384.0
,,,,,,,,34,141184.0,111042.0,39542.0
,,,,,,,,35,141451.0,108483.0,39630.0
,,,,,,,,36,140611.0,105844.0,39400.0
,,,,,,,,37,139623.0,103557.0,38875.0
,,,,,,,,38,138314.0,101860.0,38527.0
,,,,,,,,39,136799.0,100149.0,37974.0
,,,,,,,,40,135237.0,99049.0,37764.0
,,,,,,,,41,135218.0,100035.0,38650.0
,,,,,,,,42,138527.0,105168.0,41715.0
,,,,,,,,43,148060.0,111448.0,42997.0
,,,,,,,,44,151966.0,112146.0,42284.0
,,,,,,,,45,149210.0,110664.0,40750.0
,,,,,,,,46,143352.0,106613.0,38132.0
,,,,,,,,47,135089.0,100381.0,34843.0
,,,,,,,,48,125603.0,93861.0,31739.0
,,,,,,,,49,118317.0,89225.0,29625.0
,,,,,,,,50,115122.0,86746.0,28362.0
,,,,,,,,51,114161.0,85787.0,27796.0
,,,,,,,,52,114419.0,86031.0,27673.0
,,,,,,,,53,117411.0,88378.0,28373.0
,,,,,,,,54,125931.0,94575.0,30837.0
,,,,,,,,55,141550.0,105416.0,35533.0
,,,,,,,,56,150730.0,111352.0,38281.0
,,,,,,,,57,148750.0,110111.0,38913.0
,,,,,,,,58,144775.0,108010.0,39192.0
,,,,,,,,59,140968.0,106608.0,39305.0
,,,,,,,,60,137030.0,104844.0,39262.0
,,,,,,,,61,134287.0,103431.0,39034.0
,,,,,,,,62,132155.0,102209.0,38864.0
,,,,,,,,63,130435.0,100850.0,38544.0
,,,,,,,,64,129269.0,100132.0,38660.0
,,,,,,,,65,129488.0,103100.0,39840.0
,,,,,,,,66,133085.0,106991.0,42899.0
,,,,,,,,67,144142.0,112596.0,44070.0
,,,,,,,,68,148159.0,112570.0,43038.0
,,,,,,,,69,146262.0,110802.0,41261.0
,,,,,,,,70,141547.0,106988.0,38796.0
