t,SE_Electrolyzer_H2Gen,MIDAT_Electrolyzer_H2Gen,NE_Electrolyzer_H2Gen,SE_Large_SMR_wCCS_96pct_H2Gen,MIDAT_Large_SMR_wCCS_96pct_H2Gen,NE_Large_SMR_wCCS_96pct_H2Gen,SE_ATR_wCCS_94pct_H2Gen,MIDAT_ATR_wCCS_94pct_H2Gen,NE_ATR_wCCS_94pct_H2Gen,SE_Above_ground_storage_H2Gen,MIDAT_Above_ground_storage_H2Gen,NE_Above_ground_storage_H2Gen
1,13770.187269775497,8407.870316059933,2105.048055609815,3216.8070704445036,2.297919835651466e-12,8.742937167701194e-13,2.9607286226885275e-13,2.664177526269257e-13,2.2412440610950021e-13,3.4815546041789684e-13,3.214048474148908e-13,3.2473412727373965e-13
2,13770.187269775497,8407.870316059933,2105.048055609815,3216.807070444648,2.29937030947941e-12,8.758740627056992e-13,2.9799663169972843e-13,2.67659213877603e-13,2.2477898753826137e-13,3.435502400325191e-13,3.1753501767525957e-13,3.2146886533152273e-13
3,13770.187269775495,8407.870316059933,2105.048055609815,3216.807070444195,2.299704332508407e-12,8.756977276620933e-13,2.9924299453426956e-13,2.684435374252156e-13,2.2499650193425672e-13,3.417608633017061e-13,3.1599327218619603e-13,3.2099180061449584e-13
4,13770.187269775497,8407.870316059933,2105.048055609815,3216.8070704444535,2.299536508239626e-12,8.742893586592057e-13,3.0002618471350666e-13,2.6891998517259115e-13,2.2487132413466224e-13,3.409297607920341e-13,3.1553346615762106e-13,3.220551233157084e-13
5,13770.187269775497,8407.870316059933,2105.048055609815,3216.8070704443794,2.2987412117086703e-12,8.713898693225047e-13,3.002773320894649e-13,2.6904587075801223e-13,2.2437682642870738e-13,3.418633408143044e-13,3.1631821167500774e-13,3.2564724959132215e-13
6,13770.187269775497,8407.870316059933,2105.048055609815,3216.8070704444285,2.2975152224510633e-12,8.659595896221389e-13,3.001017248447044e-13,2.688982987475476e-13,2.233691049639217e-13,3.445188763011104e-13,3.1988198154132553e-13,2.8681721477127796e-13
7,13770.187269775497,8407.870316059933,2105.048055609815,3216.8070704444117,2.2962563241579815e-12,8.635526664808561e-13,2.997375286727936e-13,2.686568801556677e-13,2.2280528848567162e-13,3.4715761521127797e-13,3.2182049948934933e-13,2.7533652596937417e-13
8,13770.187269775495,8407.870316059933,2105.048055609815,3216.807070443934,2.2945511570612107e-12,8.623800765913224e-13,2.9911007257528005e-13,2.682633477912806e-13,2.2240270957411073e-13,3.515085304750271e-13,3.245833366474956e-13,2.704679656829783e-13
9,13770.187269775497,8407.870316059933,2105.0480556098146,3216.8070704445454,2.2885708978231384e-12,8.617863513963116e-13,2.9743544703055473e-13,2.671520107518538e-13,2.2206610833812164e-13,2.69468456396698e-13,2.4894529131828254e-13,2.878088400438902e-13
10,13770.187269775495,8407.870316059933,2105.0480556098146,3216.8070704444613,2.2865495513975927e-12,8.617117468976391e-13,2.9631453463460195e-13,2.6648287029748063e-13,2.2179890728961649e-13,2.78787041986636e-13,2.5588343755733384e-13,2.7453664112048395e-13
