t,MIDAT_conventional_hydroelectric_1_PowerGen,MIDAT_hydroelectric_pumped_storage_1_PowerGen,MIDAT_natural_gas_fired_combined_cycle_1_PowerGen,MIDAT_natural_gas_fired_combined_cycle_2_PowerGen,MIDAT_natural_gas_fired_combined_cycle_3_PowerGen,MIDAT_natural_gas_fired_combined_cycle_4_PowerGen,MIDAT_natural_gas_fired_combustion_turbine_1_PowerGen,MIDAT_natural_gas_fired_combustion_turbine_2_PowerGen,MIDAT_nuclear_1_PowerGen,MIDAT_nuclear_2_PowerGen,MIDAT_onshore_wind_turbine_1_PowerGen,MIDAT_small_hydroelectric_1_PowerGen,MIDAT_solar_photovoltaic_1_PowerGen,NE_conventional_hydroelectric_1_PowerGen,NE_hydroelectric_pumped_storage_1_PowerGen,NE_natural_gas_fired_combined_cycle_1_PowerGen,NE_natural_gas_fired_combined_cycle_2_PowerGen,NE_natural_gas_fired_combined_cycle_3_PowerGen,NE_natural_gas_fired_combustion_turbine_1_PowerGen,NE_natural_gas_fired_combustion_turbine_2_PowerGen,NE_nuclear_1_PowerGen,NE_nuclear_2_PowerGen,NE_onshore_wind_turbine_1_PowerGen,NE_small_hydroelectric_1_PowerGen,NE_solar_photovoltaic_1_PowerGen,SE_conventional_hydroelectric_1_PowerGen,SE_hydroelectric_pumped_storage_1_PowerGen,SE_natural_gas_fired_combined_cycle_1_PowerGen,SE_natural_gas_fired_combined_cycle_2_PowerGen,SE_natural_gas_fired_combined_cycle_3_PowerGen,SE_natural_gas_fired_combined_cycle_4_PowerGen,SE_natural_gas_fired_combustion_turbine_1_PowerGen,SE_natural_gas_fired_combustion_turbine_2_PowerGen,SE_nuclear_1_PowerGen,SE_nuclear_2_PowerGen,SE_small_hydroelectric_1_PowerGen,SE_solar_photovoltaic_1_PowerGen,SE_naturalgas_ccccsavgcf_conservative_0_PowerGen,SE_naturalgas_ccavgcf_moderate_0_PowerGen,SE_naturalgas_ctavgcf_moderate_0_PowerGen,SE_battery_moderate_0_PowerGen,SE_nuclear_mid_0_PowerGen,MIDAT_naturalgas_ccccsavgcf_conservative_0_PowerGen,MIDAT_naturalgas_ccavgcf_moderate_0_PowerGen,MIDAT_naturalgas_ctavgcf_moderate_0_PowerGen,MIDAT_battery_moderate_0_PowerGen,MIDAT_nuclear_mid_0_PowerGen,NE_naturalgas_ccccsavgcf_conservative_0_PowerGen,NE_naturalgas_ccavgcf_moderate_0_PowerGen,NE_naturalgas_ctavgcf_moderate_0_PowerGen,NE_battery_moderate_0_PowerGen,NE_nuclear_mid_0_PowerGen,NE_offshorewind_class10_moderate_floating_1_1_PowerGen,SE_utilitypv_class1_moderate_70_0_2_1_PowerGen,SE_utilitypv_class1_moderate_70_0_2_2_PowerGen,SE_utilitypv_class1_moderate_70_0_2_3_PowerGen,SE_utilitypv_class1_moderate_70_0_2_4_PowerGen,SE_utilitypv_class1_moderate_70_0_2_5_PowerGen,SE_utilitypv_class1_moderate_70_0_2_6_PowerGen,SE_utilitypv_class1_moderate_70_0_2_7_PowerGen,SE_utilitypv_class1_moderate_70_0_2_8_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_1_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_2_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_3_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_4_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_5_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_6_PowerGen,MIDAT_utilitypv_class1_moderate_70_0_2_7_PowerGen,NE_utilitypv_class1_moderate_70_0_2_1_PowerGen,NE_utilitypv_class1_moderate_70_0_2_2_PowerGen,NE_utilitypv_class1_moderate_70_0_2_3_PowerGen,NE_utilitypv_class1_moderate_70_0_2_4_PowerGen,NE_utilitypv_class1_moderate_70_0_2_5_PowerGen,NE_utilitypv_class1_moderate_70_0_2_6_PowerGen,NE_utilitypv_class1_moderate_70_0_2_7_PowerGen,SE_landbasedwind_class4_moderate_70_1_PowerGen,SE_landbasedwind_class4_moderate_70_2_PowerGen,SE_landbasedwind_class4_moderate_70_3_PowerGen,SE_landbasedwind_class4_moderate_70_4_PowerGen,SE_landbasedwind_class4_moderate_70_5_PowerGen,SE_landbasedwind_class4_moderate_70_6_PowerGen,SE_landbasedwind_class4_moderate_70_7_PowerGen,SE_landbasedwind_class4_moderate_70_8_PowerGen,MIDAT_landbasedwind_class4_moderate_70_1_PowerGen,MIDAT_landbasedwind_class4_moderate_70_2_PowerGen,MIDAT_landbasedwind_class4_moderate_70_3_PowerGen,MIDAT_landbasedwind_class4_moderate_70_4_PowerGen,MIDAT_landbasedwind_class4_moderate_70_5_PowerGen,MIDAT_landbasedwind_class4_moderate_70_6_PowerGen,MIDAT_landbasedwind_class4_moderate_70_7_PowerGen,NE_landbasedwind_class4_moderate_70_1_PowerGen,NE_landbasedwind_class4_moderate_70_2_PowerGen,NE_landbasedwind_class4_moderate_70_3_PowerGen,NE_landbasedwind_class4_moderate_70_4_PowerGen,NE_landbasedwind_class4_moderate_70_5_PowerGen,NE_landbasedwind_class4_moderate_70_6_PowerGen,NE_landbasedwind_class4_moderate_70_7_PowerGen
1,306.7474389369629,0.0,1.7926294900009658e-15,2.0033090220830188e-15,1.119084625896764e-15,1.9099628476618063e-15,1.0850521241190125e-15,1.1762877609863655e-15,1830.0000000010275,13327.655999996758,2255.9046863411977,79.374311322516,0.0,449.3006,0.0,1.6476107006164793e-15,1.8219978073336592e-15,7.482917767166888e-16,1.0854576334075576e-15,1.1880548605853633e-15,2546.7750000012797,1578.5250000006504,2082.8275598259975,489.59551936467403,0.0,1503.070488108313,0.0,1.901059606412722e-15,1.827573466296843e-15,2.072979970342024e-15,1.418724942199708e-15,1.145387317525444e-15,1.1397009142755563e-15,28568.22024513573,2227.999999999981,81.66486484503,0.0,1.2550473747874597e-13,2.29742647056197e-15,1.3004399789469049e-15,2.0436695058937084e-14,1.559970685287582e-13,1.2570849720048814e-13,2.2804807438152767e-15,1.2948528775652848e-15,1.907131504949233e-14,1.4302125532421248e-13,1.265924512175766e-13,2.30944238895635e-15,1.3065325104091649e-15,1.8908684136826105e-14,9.915622449400107e-14,21629.13006897024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0147710037532291e-13,14899.034006685999,55074.53622577451,6.324391240973879e-14,3.4005091439364066e-13,3.363825709589486e-14,1.2364968549563367e-13,5.449963313527737e-14,1057.8538315359976,14747.244211775998,6032.893274230997,17546.052075733,49192.45720178,6.524873330479925e-14,12915.368160316692,4.0867152956246766e-14,5.944370316720743e-14,19924.105679416643,3.357930573581748e-14,9.515433166157132e-14,7.507769657635102e-14,3.2770144330304405e-14
2,306.74743893696376,0.0,1.7873176160168094e-15,1.996787786205079e-15,1.1171657565989017e-15,1.903984059286887e-15,1.0823099874003708e-15,1.173262883315053e-15,1220.0000000043428,8885.104000004778,2217.7916806811977,79.46631743335199,0.0,449.30059999999764,0.0,1.643954348431652e-15,1.8179628854226093e-15,7.474943687072216e-16,1.0828722429748219e-15,1.1850460836348834e-15,1697.8500000012887,1052.3500000032336,2044.8098730704976,489.766967825962,0.0,1503.0704881083127,0.0,1.895297415253303e-15,1.8215031662012233e-15,2.065473850720012e-15,1.4150061493152595e-15,1.1425818113737882e-15,1.1369506484794583e-15,25915.7833023233,2227.9999999999955,81.794334694845,0.0,1.0609755506810746e-13,2.2868039412401908e-15,1.3053366744966407e-15,3.703428409555661e-12,1.4332677599531233e-13,1.0600119712458331e-13,2.269624185985349e-15,1.2999146924436288e-15,3.915142463362634e-12,1.3047115024009955e-13,1.0815527570360658e-13,2.299270667094605e-15,1.3106187082145792e-15,3.753001726139123e-12,9.234254549773038e-14,23167.11024526673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.979473671008007e-14,14984.024646905997,54541.35282368434,6.015231092761827e-14,3.522447121608049e-13,3.310397695480342e-14,1.2470994839792963e-13,5.302233568328172e-14,1040.7886340559978,14380.885073855998,5925.237885534998,17519.429113472408,47614.919401613995,6.240813684005446e-14,13020.276431947654,3.998907967483032e-14,5.786973782562642e-14,19611.313095079036,3.4900020812454243e-14,9.21745754136207e-14,7.568587464223489e-14,3.211641224804475e-14
3,306.74743893696365,0.0,1.783949411517298e-15,1.9922630321245334e-15,1.1157384058181116e-15,1.899732471591575e-15,1.0810957319279466e-15,1.1719890236689295e-15,1220.000000001739,8885.104000002102,2178.1573605419976,79.56521879637599,0.0,449.3005999999972,0.0,1.6424142449285119e-15,1.816094600807515e-15,7.470441835709587e-16,1.0816211042321246e-15,1.183713508950129e-15,1697.8500000008266,1052.3500000003196,2003.4212243519974,489.925350614692,0.0,1503.070488108313,0.0,1.8914048032717882e-15,1.8179340015847884e-15,2.060518987689378e-15,1.4124871626927182e-15,1.1414133353695558e-15,1.1357930843179652e-15,25517.476869031096,2227.9999999999773,81.92244361649,0.0,9.819184376649724e-14,2.2800816139841517e-15,1.3066481314035628e-15,3.6710427918061674e-12,1.3665377736928028e-13,9.783941025493882e-14,2.262301681432528e-15,1.3010936390826007e-15,3.87993528269842e-12,1.237838406189532e-13,1.033700451938634e-13,2.2946753449138667e-15,1.3099508830473389e-15,3.680657868578332e-12,8.984602529466678e-14,18890.17769843826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84401250611247e-14,14953.313354412,54413.357070229446,5.788444505512394e-14,3.5245177183310787e-13,3.2524751454015824e-14,1.2642839389452947e-13,5.103774394131906e-14,954.7539597679977,14265.740648951998,5629.405954306998,17539.341707342577,45783.83723206799,5.943695521277075e-14,13160.442856699074,3.868923924724498e-14,5.6684203173058815e-14,19289.281834323865,3.565703720429229e-14,8.827569215217092e-14,7.603292703463892e-14,3.156813773859634e-14
4,306.74743893696416,0.0,1.782751025673582e-15,1.9910911494754883e-15,1.1155055188464184e-15,1.8987411541974164e-15,1.081435392787695e-15,1.1717366544099833e-15,1220.0000000012162,8885.10400000122,2137.4938630559977,79.66365601791598,0.0,449.30059999999725,0.0,1.644134031123299e-15,1.8183224534244936e-15,7.475792247843269e-16,1.083053505942869e-15,1.1851837521430635e-15,1697.850000004099,1052.3500000030579,1923.7139371484975,490.10121271474605,0.0,1503.070488108313,0.0,1.8902492186730035e-15,1.8165774936037534e-15,2.0592231790153823e-15,1.4120491140077221e-15,1.1417910087243247e-15,1.1355771792503703e-15,26377.39298896998,2227.9999999999586,82.03456425603501,0.0,9.537831271904366e-14,2.2781530075024648e-15,1.3026807007243224e-15,3.6309417823647376e-12,1.3380023289753565e-13,9.481768976775183e-14,2.2606665079779972e-15,1.2966143955067309e-15,3.826158453311239e-12,1.2114483429880956e-13,1.0782460497661212e-13,2.299543383892216e-15,1.308734719671672e-15,3.724850071369027e-12,9.127546017651138e-14,12123.108388106575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.476090064152893e-14,15040.957584537999,54133.83296846383,5.707469202372862e-14,3.3589261627143114e-13,3.1963407289382726e-14,1.2792044799587866e-13,4.784372920691417e-14,832.6323560159977,13907.833899863997,4933.507330942997,17618.745813257865,44489.341999414,5.712505689730955e-14,13157.089535708723,3.661490305550489e-14,5.6449629246467535e-14,18283.05439062215,3.526907238366781e-14,8.424914639380018e-14,7.441158732703341e-14,3.029242394770561e-14
5,306.74743893696376,0.0,1.782805839748417e-15,1.9912206166527184e-15,1.1155771233966355e-15,1.898876899370735e-15,1.081475836093762e-15,1.1715603966579428e-15,1220.0000000006758,8885.104000003786,2120.018918192398,79.753820305824,0.0,449.3005999999998,0.0,1.6477605329958153e-15,1.8224565501508845e-15,7.483764032973461e-16,1.085660969220217e-15,1.1882760492134386e-15,2546.7750000010187,1578.5250000015792,1838.0749981044976,490.264383830048,0.0,1503.0704881083127,0.0,1.8904290914422673e-15,1.816758734760191e-15,2.0596710898117174e-15,1.4123389101509996e-15,1.1419213349875665e-15,1.1355168133684956e-15,28260.539743736008,2227.9999999999814,82.15575808324,0.0,9.582457643686184e-14,2.277986680058138e-15,1.3055607948876103e-15,3.6015282099970303e-12,1.3349911046539704e-13,9.492981233135065e-14,2.260304268579204e-15,1.2998909057319637e-15,3.747642726188066e-12,1.211272672394303e-13,1.2591180238750997e-13,2.309602714036426e-15,1.3096584171983652e-15,3.7279987566828555e-12,9.716304792438082e-14,8624.92082905548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.332755838884407e-14,15019.551768239997,54173.862490582294,5.500090484791784e-14,3.2107785934970956e-13,3.123937931317309e-14,1.2791599170490941e-13,4.476236446839966e-14,797.8378458879977,14125.067760048,4170.116530401998,17575.044650203152,44055.676789142,5.5923214504422564e-14,13258.167407927494,3.4449649841363834e-14,5.5643057244811574e-14,17171.119945183196,3.209988172221039e-14,8.023352960366771e-14,7.011358573764741e-14,2.9226059124377347e-14
6,306.7474389369637,0.0,1.7847348205738206e-15,1.9936749949485712e-15,1.116424222448491e-15,1.90103988958137e-15,1.0818757621105945e-15,1.1719729182658444e-15,1220.0000000027085,8885.104000003219,2083.671403475997,79.863684148368,0.0,841.8474399999998,0.0,1.6580452296155014e-15,1.8358680356309987e-15,7.50554779619363e-16,1.0961001895703086e-15,1.200461281238989e-15,3395.700000000014,2104.7000000000035,1747.3885806045,490.42755494535,0.0,1503.070488108313,0.0,1.892561332985681e-15,1.8190074425926127e-15,2.0624969577944976e-15,1.4137103954284826e-15,1.1423778741226857e-15,1.1359851311916813e-15,32145.812073309375,2227.999999999986,82.284191368595,0.0,9.958644615487057e-14,2.2810529803171186e-15,1.307491124202481e-15,3.6355141755209373e-12,1.3601839122168317e-13,9.85406311292166e-14,2.2632735446468076e-15,1.3021513338107257e-15,3.688937252234015e-12,1.2358057201066887e-13,4488.479713800305,2.3404537817856708e-15,1.3393681621377062e-15,2.287323153897716e-12,1.0955375847892551e-13,6648.760017855236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.930286461519594e-14,14919.923244512,54342.40809035211,5.181500977365789e-14,3.036384242290582e-13,3.130807713245085e-14,1.2709340151668231e-13,4.2929018549565617e-14,857.4668395599978,14257.116308039998,3557.522480335998,16994.519852830315,44458.308702357994,5.4235861419888734e-14,13196.02337220525,4.897375671953786e-14,9.45765717774515e-14,15783.101300127977,5.0187039216566604e-14,1.4427750346349205e-13,1.0849770106664259e-13,4.3112461252093904e-14
7,306.7474389369636,0.0,1.788521713465526e-15,1.998102752334325e-15,1.1177532872241808e-15,1.905113338961871e-15,1.0827264450208283e-15,1.1732486892629346e-15,1503.7670577444123,12465.634896321073,2043.1807642739975,79.95773163927599,23.269323105797397,1234.3942799999995,0.0,1.6630916538566556e-15,1.8416489356445105e-15,7.516807347890025e-16,1.0989661695685409e-15,1.204023654699266e-15,3395.7000000000853,2104.700000000011,1654.4733858804998,490.574228114272,36.89167026719998,1503.070488108313,0.0,1.8966562549722307e-15,1.822811615688469e-15,2.0676948542176083e-15,1.416206070220253e-15,1.143326920412778e-15,1.1372227830200176e-15,33632.28799999699,2227.999999999997,82.40451156288,82.43324164179727,1.0914215735827525e-13,2.2875720712706903e-15,1.3028522987206057e-15,3.577511354184136e-12,1.4276352196754664e-13,1.082022875389154e-13,2.2698166300325895e-15,1.2965733553847861e-15,3.605617925355499e-12,1.2965991141371935e-13,10847.860771814085,2.3522079958132454e-15,1.3353550049111879e-15,7.785876623639372e-13,1.120667173458219e-13,3420.770473179149,7.973141077036422e-17,1963.6201797861722,5.279649106577726e-16,0.0,0.0,3.0068925149261767e-16,2.5894100376821183e-16,0.0,1.2320822191732731e-14,1.3518309990326267e-14,7.360631236385354e-15,0.0,4.873728737373259e-16,2.345460371618965e-15,0.0,6.06303808395363e-15,1.3201626255236508e-14,2.1046971861043337e-15,2.7108057140549836e-15,3.453958428007718e-16,156.36289337718367,4.49116555008544e-16,8.501183551240198e-14,14861.257964727996,53922.804811240065,4.783003586520172e-14,3.167132901074324e-13,3.168842972323881e-14,1.278899819665762e-13,4.128305051628336e-14,864.8249655199978,14447.355101519997,3242.1741162249978,16091.81618253705,45001.39077215,5.3848574015950607e-14,12982.64284413391,3.938925469574586e-14,8.440767957390185e-14,14109.676904700978,4.373849834494827e-14,1.4272670019532623e-13,9.054156463008915e-14,3.780821361672604e-14
8,306.74743893696336,0.0,1.7950850659660807e-15,2.0060722075510147e-15,1.1202570106064782e-15,1.9125230358747793e-15,1.086065210259722e-15,1.177097824033709e-15,1923.5689179076685,14853.022473053132,2013.2946915671976,80.05433862168,285.11305114219726,1626.9411199999997,0.0,1.6677490245809945e-15,1.8473099683978756e-15,7.528898314023739e-16,1.1011655945252918e-15,1.2066024768023453e-15,3395.700000000018,2104.699999999956,1598.9758455570002,490.76042876049206,333.520886244,1503.070488108313,0.0,1.9032535543791555e-15,1.8297515605573944e-15,2.075907869052537e-15,1.4201696397928556e-15,1.1463292847505708e-15,1.1404733407740987e-15,33632.28799999625,2227.9999999999795,82.525705390085,864.7727651233976,1.3240835520007627e-13,2.299851988323543e-15,1.3036714151893776e-15,3.535911652858394e-12,1.566527321593554e-13,1.3253795967267243e-13,2.283561318945277e-15,1.2990621381894414e-15,3.583162398983558e-12,1.4210899777576628e-13,16829.367878976347,2.362181956700284e-15,1.338535733425166e-15,6.058630796944973e-13,1.1252665552578612e-13,1543.0956851949056,2.081658360352736e-15,14677.896455025251,7.280996055921317e-15,1.6702544887480279e-15,1416.8903804206166,3.3850544006166073e-15,3.0007416217794777e-15,8.65804075275826e-16,1.867600245914566e-13,1.2641221939852523e-13,7.682176437667118e-14,7.769150336572007e-16,7.902323292631731e-15,2.5052048066667397e-14,2.2529296658626093e-15,7.446259430026844e-14,1.5274090108978653e-13,2.4803413188990266e-14,3.2392077384185415e-14,6.3881245762036165e-15,1180.516938197028,4.550989108287942e-15,8.338192990021142e-14,14803.087446673997,52861.21681941685,4.252093414318983e-14,3.264453661827673e-13,3.22236804094788e-14,1.2886308733096663e-13,4.071795577476126e-14,817.2708403919978,14565.431976552,3610.662929198998,15335.703006330597,45619.25315772,5.343485441555845e-14,13008.769509590267,3.1628262264549235e-14,7.268387543199903e-14,12469.825824403608,3.9152612141873257e-14,1.4835256000135153e-13,6.966447863339335e-14,3.25741970148622e-14
9,306.74743893696626,0.0,1.809587051721516e-15,2.0244695611550872e-15,1.126372047193107e-15,1.929156565187051e-15,1.0969154981854246e-15,1.1900041229716783e-15,2439.9999999999854,17770.20800000023,1958.3515842024,80.14862726607599,555.8546704126001,2019.4879599999997,0.0,1.6704946620824216e-15,1.8502898684605075e-15,7.533977987486934e-16,1.1014556864979963e-15,1.207167180901699e-15,3395.7000000000307,2104.7000000000126,1473.5215821709999,490.92413895891804,558.1053379272,1503.0704881083152,0.0,1.9204093239544297e-15,1.844005088160013e-15,2.094010109889051e-15,1.4290654472954263e-15,1.159033625489765e-15,1.152747544129476e-15,33632.28799999914,2228.0000000000023,82.64498901991,1770.5924939178,910.923981381744,2.3342073001454125e-15,1.337298797950861e-15,2.623372575005052e-12,1.8119986577834635e-13,7.952970204909602e-12,2.315853133129606e-15,1.3313145942796823e-15,5.574694699324598e-12,1.6377211069253145e-13,18527.065533155932,2.365560545298819e-15,1.3390406244911205e-15,1454.149254811836,1.1260052608701956e-13,1000.5764978939277,4.575390794842283e-15,22090.05337867777,2.7733081841058288e-14,8.679671707551502e-15,4885.871354395724,9.110380408106112e-15,9.557425106375205e-15,3.284811359602906e-15,5.715606216954612e-13,3.2412683569483487e-13,2.4890247628930557e-13,3.5910972659403656e-15,2.8935684610775766e-14,7.711730798715161e-14,7.770104451615011e-15,1.1711802439949924e-13,2.062565982746517e-13,3.97280992642186e-14,4.844692756277799e-14,1.8863975982890347e-14,1637.2198112601488,1.0449224389782165e-14,1.571348208953593e-13,13539.48542352,49931.06583673734,6.94123339466319e-14,5.95425849998815e-13,5.706620207158117e-14,2.2449974596402407e-13,6.630860329573345e-14,821.7880447760001,14481.078932567998,4046.341911208,14392.258147518423,45330.826113246,9.320281394002112e-14,12991.040975279535,2.5140331256254997e-14,5.1692657954240185e-14,10269.954491153974,3.0051828621057406e-14,1.4908384417221904e-13,5.03509675478573e-14,2.5205299796944244e-14
10,306.7474389369665,0.0,1.8164643201580814e-15,2.033496601491908e-15,1.1293927109757684e-15,1.9375513333679417e-15,1.10113971535481e-15,1.1939916290192984e-15,2439.999999999987,17770.208000000108,1927.5146875224,80.245234511748,600.6584406662,2412.0347999999994,0.0,1.6732618273155718e-15,1.8538298341714586e-15,7.542243097158815e-16,1.1030945301099366e-15,1.2087507281016909e-15,3395.7000000000653,2104.7000000000107,1296.035359084,491.07643244493,501.90835867199996,1503.070488108315,0.0,1.928255267822076e-15,1.851464738617454e-15,2.104083719979159e-15,1.4342006517680219e-15,1.1634688592449187e-15,1.1563948029706166e-15,33632.287999997985,2228.0,82.766259314985,2029.7133206308001,9025.917597862484,2.3488269696203537e-15,1.3323129086792485e-15,2.735262372092617e-12,1.8340324146269337e-13,1.2481877493728121e-11,2.3314397291374058e-15,1.3264356997107455e-15,7733.348905622571,1.658367682826341e-13,18527.065533155932,2.3706424205385216e-15,1.339032347933273e-15,6704.450805345243,1.1244065540709305e-13,970.8914583164017,6.072269817532241e-15,22016.563230347347,3.098778851372596e-14,7.818336117146303e-15,5890.2476851444335,1.3085080775846041e-14,1.5743521538635682e-14,4.270455709326049e-15,4.4310458977865966e-13,2.4353497695901503e-13,2.2931653951982425e-13,6.2523721530576894e-15,2.886344067172278e-14,9.326394664404843e-14,1.6474118981934724e-14,1.1149903353489752e-13,1.913757253528268e-13,2.5692480318282552e-14,4.6769068966787526e-14,1.9946129202608525e-14,1323.563342083705,1.4695304985696828e-14,1.503363412710129e-13,11439.36537369,44901.87607947443,5.5517570445552566e-14,5.919940264041621e-13,4.8801057080980115e-14,1.9851655366192675e-13,5.893096356457549e-14,800.3402023119999,14014.482406632,4292.630277539,14330.734796356515,45554.013732444,8.694649472927777e-14,12931.908234056396,1.7843103899925433e-14,3.790191425748072e-14,7036.978518231104,1.9572577735361443e-14,1.4226245768513357e-13,4.645705299189462e-14,2.2742878520595008e-14
