Time_Index,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7
1,0.301496237,1,1,1,1,1,1,1,1,1,0.698076707,0.301496237,0,0.586697471,1,1,1,1,1,1,1,1,0.569935028,0.586697471,0,0.326796714,1,1,1,1,1,1,1,1,1,0.326796714,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.748018622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774288327,0.738233773,0.702397899,0.777045997,0.624911976,0.451117637,0.648994213,0.732863626,0.764345254,0.585765976,0.581259589,0.799608925,0.62596973,0.687289133,0.721165487,0.70429596,0.657263829,0.406779561,0.494418441,0.677465151,0.775552897,0.581646791
2,0.301845714,1,1,1,1,1,1,1,1,1,0.686282857,0.301845714,0,0.586902923,1,1,1,1,1,1,1,1,0.559532049,0.586902923,0,0.327314811,1,1,1,1,1,1,1,1,1,0.327314811,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8012079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760944191,0.742444983,0.695597898,0.740141611,0.64455622,0.443916346,0.654026526,0.713212587,0.752014909,0.571214056,0.570887165,0.798395663,0.605895699,0.663507062,0.727023332,0.689014794,0.63975063,0.400393446,0.506481763,0.660995352,0.781607141,0.569895496
3,0.302221382,1,1,1,1,1,1,1,1,1,0.674018245,0.302221382,0,0.587092718,1,1,1,1,1,1,1,1,0.548206656,0.587092718,0,0.327827462,1,1,1,1,1,1,1,1,1,0.327827462,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6532951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753286327,0.740923266,0.693965493,0.715070323,0.647619629,0.436877201,0.665206709,0.688902364,0.689851127,0.566640477,0.542384233,0.79930312,0.582595338,0.637609256,0.734849914,0.669360374,0.629535507,0.39381871,0.520031141,0.641062913,0.790181377,0.562449613
4,0.302595287,1,1,1,1,1,1,1,1,1,0.66143516,0.302595287,0,0.587303459,1,1,1,1,1,1,1,1,0.526395933,0.587303459,0,0.328276133,1,1,1,1,1,1,1,1,1,0.328276133,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.41926378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727631633,0.745265959,0.690400558,0.706852169,0.621991744,0.430129781,0.674154992,0.647535603,0.601612974,0.552424289,0.475335517,0.802921725,0.566122999,0.613057102,0.734662672,0.632459258,0.625961115,0.373275115,0.513818021,0.614465472,0.770937687,0.538746941
5,0.302937768,1,1,1,1,1,1,1,1,1,0.656027639,0.302937768,0,0.587498992,1,1,1,1,1,1,1,1,0.502962101,0.587498992,0,0.328761112,1,1,1,1,1,1,1,1,1,0.328761112,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.298282981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720497103,0.74420532,0.690911078,0.684454428,0.601187463,0.421450866,0.677666497,0.608508371,0.576472432,0.561052898,0.401784038,0.800930175,0.560604647,0.603046342,0.740306636,0.596728686,0.619744186,0.350573358,0.476529819,0.591364274,0.729380946,0.521583228
6,0.303355076,1,1,1,1,1,1,1,1,1,0.64478011,0.303355076,0,0.587694525,1,1,1,1,1,1,1,1,0.478147101,0.587694525,0,0.329275061,1,1,1,1,1,1,1,1,1,0.329275061,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.229939729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695064196,0.739268816,0.693060639,0.648804709,0.57909799,0.423444599,0.67863491,0.58663685,0.619556965,0.566297915,0.342761584,0.774474491,0.565728103,0.589779848,0.736836651,0.52179766,0.59976669,0.322234941,0.441000038,0.577503882,0.663855744,0.478845497
7,0.303712307,1,1,1,1,1,1,1,1,1,0.632250515,0.303712307,0.007822673,0.587870288,1,1,1,1,1,1,1,1,0.452722229,0.587870288,0.022638482,0.329756544,1,1,1,1,1,1,1,1,1,0.329756544,0.009695519,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.118303418,0.001184367,0.056839542,0.010574499,0,0,0.007422837,0.00741976,0.00E+00,0.024545938,0.030955802,0.033664473,0,0.007363776,0.01023587,0,0.037597771,0.03999629,0.032912126,0.03331648,0.007278329,0.046701423,0.013006982,0.664428979,0.736362004,0.687709192,0.601233475,0.609106099,0.429660219,0.685362355,0.565376249,0.62487353,0.57385427,0.312378275,0.733336467,0.572638775,0.586513415,0.724921956,0.436616088,0.545419769,0.288069551,0.395992021,0.574229506,0.563074499,0.43236693
8,0.30407926,1,1,1,1,1,1,1,1,1,0.623002442,0.30407926,0.095849207,0.588093418,1,1,1,1,1,1,1,1,0.437536146,0.588093418,0.204664265,0.330241523,1,1,1,1,1,1,1,1,1,0.330241523,0.101711647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.053366192,0.030908045,0.424870818,0.146467293,0.032593168,0.02953151,0.080661,0.084897631,0.019155076,0.361604015,0.28250551,0.349862757,0.014606498,0.118220426,0.1069411,0.016050579,0.304905764,0.323316927,0.269082754,0.271419425,0.112655708,0.352588902,0.116129352,0.650588141,0.733479707,0.674170137,0.535629549,0.624221738,0.436192495,0.686624535,0.556395073,0.590513613,0.578544327,0.347881581,0.698878867,0.58050102,0.57496477,0.726380811,0.363423649,0.477384905,0.254589609,0.360612785,0.593438226,0.447733884,0.38130808
9,0.304437407,1,1,1,1,1,1,1,1,1,0.606000614,0.304437407,0.186867031,0.588289597,1,1,1,1,1,1,1,1,0.403207438,0.588289597,0.342479957,0.330718858,1,1,1,1,1,1,1,1,1,0.330718858,0.208251099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.034603789,0.057971802,0.639425348,0.344676517,0.129526537,0.101833678,0.168920917,0.204613699,0.06430095,0.583126455,0.383129682,0.590517144,0.058377816,0.270377089,0.18643177,0.044317133,0.459607971,0.428768092,0.399453588,0.380525476,0.272695951,0.488993861,0.233050888,0.663493307,0.67086936,0.636800201,0.494996728,0.635244151,0.437160164,0.651042519,0.515667309,0.593777489,0.575193793,0.389858552,0.655884185,0.576830811,0.555018106,0.725390889,0.298547079,0.352792788,0.20967604,0.28721328,0.594662025,0.335204558,0.305326672
10,0.304804361,1,1,1,1,1,1,1,1,1,0.596458314,0.304804361,0.201929147,0.588472095,1,1,1,1,1,1,1,1,0.354640952,0.588472095,0.30799482,0.331204143,1,1,1,1,1,1,1,1,1,0.331204143,0.238728014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.033577166,0.073828029,0.63729808,0.382500072,0.119775897,0.122767372,0.229938633,0.311290666,0.080775459,0.454534903,0.290534811,0.546202852,0.094489712,0.272351865,0.222586254,0.082230551,0.438665942,0.398986967,0.275409264,0.368367325,0.284431825,0.395313045,0.307172246,0.637500668,0.566810295,0.572659991,0.407882558,0.632102876,0.38238377,0.579021547,0.467407008,0.578280493,0.556660407,0.413588041,0.653080442,0.579670854,0.52250116,0.722089048,0.223820604,0.270207074,0.143670139,0.200137884,0.568695623,0.312079239,0.279332974
