Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3
1666500,1,1,0,1,8760,8760,1,14771,7366,1812
,,,,,,,2,14771,7366,1812
,,,,,,,3,14771,7366,1812
,,,,,,,4,14771,7366,1812
,,,,,,,5,14771,7366,1812
,,,,,,,6,14771,7366,1812
,,,,,,,7,14771,7366,1812
,,,,,,,8,14771,7366,1812
,,,,,,,9,14771,7366,1812
,,,,,,,10,14771,7366,1812
,,,,,,,11,14771,7366,1812
,,,,,,,12,14771,7366,1812
,,,,,,,13,14771,7366,1812
,,,,,,,14,14771,7366,1812
,,,,,,,15,14771,7366,1812
,,,,,,,16,14771,7366,1812
,,,,,,,17,14771,7366,1812
,,,,,,,18,14771,7366,1812
,,,,,,,19,14771,7366,1812
,,,,,,,20,14771,7366,1812
,,,,,,,21,14771,7366,1812
,,,,,,,22,14771,7366,1812
,,,,,,,23,14771,7366,1812
,,,,,,,24,14771,7366,1812
,,,,,,,25,14771,7366,1812
,,,,,,,26,14771,7366,1812
,,,,,,,27,14771,7366,1812
,,,,,,,28,14771,7366,1812
,,,,,,,29,14771,7366,1812
,,,,,,,30,14771,7366,1812
,,,,,,,31,14771,7366,1812
,,,,,,,32,14771,7366,1812
,,,,,,,33,14771,7366,1812
,,,,,,,34,14771,7366,1812
,,,,,,,35,14771,7366,1812
,,,,,,,36,14771,7366,1812
,,,,,,,37,14771,7366,1812
,,,,,,,38,14771,7366,1812
,,,,,,,39,14771,7366,1812
,,,,,,,40,14771,7366,1812
,,,,,,,41,14771,7366,1812
,,,,,,,42,14771,7366,1812
,,,,,,,43,14771,7366,1812
,,,,,,,44,14771,7366,1812
,,,,,,,45,14771,7366,1812
,,,,,,,46,14771,7366,1812
,,,,,,,47,14771,7366,1812
,,,,,,,48,14771,7366,1812
,,,,,,,49,14771,7366,1812
,,,,,,,50,14771,7366,1812
,,,,,,,51,14771,7366,1812
,,,,,,,52,14771,7366,1812
,,,,,,,53,14771,7366,1812
,,,,,,,54,14771,7366,1812
,,,,,,,55,14771,7366,1812
,,,,,,,56,14771,7366,1812
,,,,,,,57,14771,7366,1812
,,,,,,,58,14771,7366,1812
,,,,,,,59,14771,7366,1812
,,,,,,,60,14771,7366,1812
,,,,,,,61,14771,7366,1812
,,,,,,,62,14771,7366,1812
,,,,,,,63,14771,7366,1812
,,,,,,,64,14771,7366,1812
,,,,,,,65,14771,7366,1812
,,,,,,,66,14771,7366,1812
,,,,,,,67,14771,7366,1812
,,,,,,,68,14771,7366,1812
,,,,,,,69,14771,7366,1812
,,,,,,,70,14771,7366,1812
,,,,,,,71,14771,7366,1812
,,,,,,,72,14771,7366,1812
,,,,,,,73,14771,7366,1812
,,,,,,,74,14771,7366,1812
,,,,,,,75,14771,7366,1812
,,,,,,,76,14771,7366,1812
,,,,,,,77,14771,7366,1812
,,,,,,,78,14771,7366,1812
,,,,,,,79,14771,7366,1812
,,,,,,,80,14771,7366,1812
,,,,,,,81,14771,7366,1812
,,,,,,,82,14771,7366,1812
,,,,,,,83,14771,7366,1812
,,,,,,,84,14771,7366,1812
,,,,,,,85,14771,7366,1812
,,,,,,,86,14771,7366,1812
,,,,,,,87,14771,7366,1812
,,,,,,,88,14771,7366,1812
,,,,,,,89,14771,7366,1812
,,,,,,,90,14771,7366,1812
,,,,,,,91,14771,7366,1812
,,,,,,,92,14771,7366,1812
,,,,,,,93,14771,7366,1812
,,,,,,,94,14771,7366,1812
,,,,,,,95,14771,7366,1812
,,,,,,,96,14771,7366,1812
,,,,,,,97,14771,7366,1812
,,,,,,,98,14771,7366,1812
,,,,,,,99,14771,7366,1812
,,,,,,,100,14771,7366,1812
,,,,,,,101,14771,7366,1812
,,,,,,,102,14771,7366,1812
,,,,,,,103,14771,7366,1812
,,,,,,,104,14771,7366,1812
,,,,,,,105,14771,7366,1812
,,,,,,,106,14771,7366,1812
,,,,,,,107,14771,7366,1812
,,,,,,,108,14771,7366,1812
,,,,,,,109,14771,7366,1812
,,,,,,,110,14771,7366,1812
,,,,,,,111,14771,7366,1812
,,,,,,,112,14771,7366,1812
,,,,,,,113,14771,7366,1812
,,,,,,,114,14771,7366,1812
,,,,,,,115,14771,7366,1812
,,,,,,,116,14771,7366,1812
,,,,,,,117,14771,7366,1812
,,,,,,,118,14771,7366,1812
,,,,,,,119,14771,7366,1812
,,,,,,,120,14771,7366,1812
,,,,,,,121,14771,7366,1812
,,,,,,,122,14771,7366,1812
,,,,,,,123,14771,7366,1812
,,,,,,,124,14771,7366,1812
,,,,,,,125,14771,7366,1812
,,,,,,,126,14771,7366,1812
,,,,,,,127,14771,7366,1812
,,,,,,,128,14771,7366,1812
,,,,,,,129,14771,7366,1812
,,,,,,,130,14771,7366,1812
,,,,,,,131,14771,7366,1812
,,,,,,,132,14771,7366,1812
,,,,,,,133,14771,7366,1812
,,,,,,,134,14771,7366,1812
,,,,,,,135,14771,7366,1812
,,,,,,,136,14771,7366,1812
,,,,,,,137,14771,7366,1812
,,,,,,,138,14771,7366,1812
,,,,,,,139,14771,7366,1812
,,,,,,,140,14771,7366,1812
,,,,,,,141,14771,7366,1812
,,,,,,,142,14771,7366,1812
,,,,,,,143,14771,7366,1812
,,,,,,,144,14771,7366,1812
,,,,,,,145,14771,7366,1812
,,,,,,,146,14771,7366,1812
,,,,,,,147,14771,7366,1812
,,,,,,,148,14771,7366,1812
,,,,,,,149,14771,7366,1812
