Time_Index,None,MIDAT_reference_naturalgas,NE_reference_naturalgas,NE_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,MIDAT_reference_uranium
0,0,0.05306,0.05306,0,0.05306,0,0
1,0,4.01,4.93,0.82,4.12,0.82,0.82
2,0,4.01,4.93,0.82,4.12,0.82,0.82
3,0,4.01,4.93,0.82,4.12,0.82,0.82
4,0,4.01,4.93,0.82,4.12,0.82,0.82
5,0,4.01,4.93,0.82,4.12,0.82,0.82
6,0,4.01,4.93,0.82,4.12,0.82,0.82
7,0,4.01,4.93,0.82,4.12,0.82,0.82
8,0,4.01,4.93,0.82,4.12,0.82,0.82
9,0,4.01,4.93,0.82,4.12,0.82,0.82
10,0,4.01,4.93,0.82,4.12,0.82,0.82
11,0,4.01,4.93,0.82,4.12,0.82,0.82
12,0,4.01,4.93,0.82,4.12,0.82,0.82
13,0,4.01,4.93,0.82,4.12,0.82,0.82
14,0,4.01,4.93,0.82,4.12,0.82,0.82
15,0,4.01,4.93,0.82,4.12,0.82,0.82
16,0,4.01,4.93,0.82,4.12,0.82,0.82
17,0,4.01,4.93,0.82,4.12,0.82,0.82
18,0,4.01,4.93,0.82,4.12,0.82,0.82
19,0,4.01,4.93,0.82,4.12,0.82,0.82
20,0,4.01,4.93,0.82,4.12,0.82,0.82
21,0,4.01,4.93,0.82,4.12,0.82,0.82
22,0,4.01,4.93,0.82,4.12,0.82,0.82
23,0,4.01,4.93,0.82,4.12,0.82,0.82
24,0,4.01,4.93,0.82,4.12,0.82,0.82
25,0,4.01,4.93,0.82,4.12,0.82,0.82
26,0,4.01,4.93,0.82,4.12,0.82,0.82
27,0,4.01,4.93,0.82,4.12,0.82,0.82
28,0,4.01,4.93,0.82,4.12,0.82,0.82
29,0,4.01,4.93,0.82,4.12,0.82,0.82
30,0,4.01,4.93,0.82,4.12,0.82,0.82
31,0,4.01,4.93,0.82,4.12,0.82,0.82
32,0,4.01,4.93,0.82,4.12,0.82,0.82
33,0,4.01,4.93,0.82,4.12,0.82,0.82
34,0,4.01,4.93,0.82,4.12,0.82,0.82
35,0,4.01,4.93,0.82,4.12,0.82,0.82
36,0,4.01,4.93,0.82,4.12,0.82,0.82
37,0,4.01,4.93,0.82,4.12,0.82,0.82
38,0,4.01,4.93,0.82,4.12,0.82,0.82
39,0,4.01,4.93,0.82,4.12,0.82,0.82
40,0,4.01,4.93,0.82,4.12,0.82,0.82
41,0,4.01,4.93,0.82,4.12,0.82,0.82
42,0,4.01,4.93,0.82,4.12,0.82,0.82
43,0,4.01,4.93,0.82,4.12,0.82,0.82
44,0,4.01,4.93,0.82,4.12,0.82,0.82
45,0,4.01,4.93,0.82,4.12,0.82,0.82
46,0,4.01,4.93,0.82,4.12,0.82,0.82
47,0,4.01,4.93,0.82,4.12,0.82,0.82
48,0,4.01,4.93,0.82,4.12,0.82,0.82
49,0,4.01,4.93,0.82,4.12,0.82,0.82
50,0,4.01,4.93,0.82,4.12,0.82,0.82
51,0,4.01,4.93,0.82,4.12,0.82,0.82
52,0,4.01,4.93,0.82,4.12,0.82,0.82
53,0,4.01,4.93,0.82,4.12,0.82,0.82
54,0,4.01,4.93,0.82,4.12,0.82,0.82
55,0,4.01,4.93,0.82,4.12,0.82,0.82
56,0,4.01,4.93,0.82,4.12,0.82,0.82
57,0,4.01,4.93,0.82,4.12,0.82,0.82
58,0,4.01,4.93,0.82,4.12,0.82,0.82
59,0,4.01,4.93,0.82,4.12,0.82,0.82
60,0,4.01,4.93,0.82,4.12,0.82,0.82
61,0,4.01,4.93,0.82,4.12,0.82,0.82
62,0,4.01,4.93,0.82,4.12,0.82,0.82
63,0,4.01,4.93,0.82,4.12,0.82,0.82
64,0,4.01,4.93,0.82,4.12,0.82,0.82
65,0,4.01,4.93,0.82,4.12,0.82,0.82
66,0,4.01,4.93,0.82,4.12,0.82,0.82
67,0,4.01,4.93,0.82,4.12,0.82,0.82
68,0,4.01,4.93,0.82,4.12,0.82,0.82
69,0,4.01,4.93,0.82,4.12,0.82,0.82
70,0,4.01,4.93,0.82,4.12,0.82,0.82
71,0,4.01,4.93,0.82,4.12,0.82,0.82
72,0,4.01,4.93,0.82,4.12,0.82,0.82
73,0,4.01,4.93,0.82,4.12,0.82,0.82
74,0,4.01,4.93,0.82,4.12,0.82,0.82
75,0,4.01,4.93,0.82,4.12,0.82,0.82
76,0,4.01,4.93,0.82,4.12,0.82,0.82
77,0,4.01,4.93,0.82,4.12,0.82,0.82
78,0,4.01,4.93,0.82,4.12,0.82,0.82
79,0,4.01,4.93,0.82,4.12,0.82,0.82
80,0,4.01,4.93,0.82,4.12,0.82,0.82
81,0,4.01,4.93,0.82,4.12,0.82,0.82
82,0,4.01,4.93,0.82,4.12,0.82,0.82
83,0,4.01,4.93,0.82,4.12,0.82,0.82
84,0,4.01,4.93,0.82,4.12,0.82,0.82
85,0,4.01,4.93,0.82,4.12,0.82,0.82
86,0,4.01,4.93,0.82,4.12,0.82,0.82
87,0,4.01,4.93,0.82,4.12,0.82,0.82
88,0,4.01,4.93,0.82,4.12,0.82,0.82
89,0,4.01,4.93,0.82,4.12,0.82,0.82
90,0,4.01,4.93,0.82,4.12,0.82,0.82
91,0,4.01,4.93,0.82,4.12,0.82,0.82
92,0,4.01,4.93,0.82,4.12,0.82,0.82
93,0,4.01,4.93,0.82,4.12,0.82,0.82
94,0,4.01,4.93,0.82,4.12,0.82,0.82
95,0,4.01,4.93,0.82,4.12,0.82,0.82
96,0,4.01,4.93,0.82,4.12,0.82,0.82
97,0,4.01,4.93,0.82,4.12,0.82,0.82
98,0,4.01,4.93,0.82,4.12,0.82,0.82
99,0,4.01,4.93,0.82,4.12,0.82,0.82
100,0,4.01,4.93,0.82,4.12,0.82,0.82
101,0,4.01,4.93,0.82,4.12,0.82,0.82
102,0,4.01,4.93,0.82,4.12,0.82,0.82
103,0,4.01,4.93,0.82,4.12,0.82,0.82
104,0,4.01,4.93,0.82,4.12,0.82,0.82
105,0,4.01,4.93,0.82,4.12,0.82,0.82
106,0,4.01,4.93,0.82,4.12,0.82,0.82
107,0,4.01,4.93,0.82,4.12,0.82,0.82
108,0,4.01,4.93,0.82,4.12,0.82,0.82
109,0,4.01,4.93,0.82,4.12,0.82,0.82
110,0,4.01,4.93,0.82,4.12,0.82,0.82
111,0,4.01,4.93,0.82,4.12,0.82,0.82
112,0,4.01,4.93,0.82,4.12,0.82,0.82
113,0,4.01,4.93,0.82,4.12,0.82,0.82
114,0,4.01,4.93,0.82,4.12,0.82,0.82
