ng_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
0.05306,1,81008,99937,71160
,2,81008,99937,71160
,2,81008,99937,71160
,4,81008,99937,71160
,5,81008,99937,71160
,6,81008,99937,71160
,7,81008,99937,71160
,8,81008,99937,71160
,9,81008,99937,71160
,10,81008,99937,71160
,11,81008,99937,71160
,12,81008,99937,71160
,13,81008,99937,71160
,14,81008,99937,71160
,15,81008,99937,71160
,16,81008,99937,71160
,17,81008,99937,71160
,18,81008,99937,71160
,19,81008,99937,71160
,20,81008,99937,71160
,21,81008,99937,71160
,22,81008,99937,71160
,23,81008,99937,71160
,24,81008,99937,71160
,25,81008,99937,71160
,26,81008,99937,71160
,27,81008,99937,71160
,28,81008,99937,71160
,29,81008,99937,71160
,30,81008,99937,71160
,31,81008,99937,71160
,32,81008,99937,71160
,33,81008,99937,71160
,34,81008,99937,71160
,35,81008,99937,71160
,36,81008,99937,71160
,37,81008,99937,71160
,38,81008,99937,71160
,39,81008,99937,71160
,40,81008,99937,71160
,41,81008,99937,71160
,42,81008,99937,71160
,43,81008,99937,71160
,44,81008,99937,71160
,45,81008,99937,71160
,46,81008,99937,71160
,47,81008,99937,71160
,48,81008,99937,71160
,49,81008,99937,71160
,50,81008,99937,71160
,51,81008,99937,71160
,52,81008,99937,71160
,53,81008,99937,71160
,54,81008,99937,71160
,55,81008,99937,71160
,56,81008,99937,71160
,57,81008,99937,71160
,58,81008,99937,71160
,59,81008,99937,71160
,60,81008,99937,71160
,61,81008,99937,71160
,62,81008,99937,71160
,63,81008,99937,71160
,64,81008,99937,71160
,65,81008,99937,71160
,66,81008,99937,71160
,67,81008,99937,71160
,68,81008,99937,71160
,69,81008,99937,71160
,70,81008,99937,71160
,71,81008,99937,71160
,72,81008,99937,71160
,73,81008,99937,71160
,74,81008,99937,71160
,75,81008,99937,71160
,76,81008,99937,71160
,77,81008,99937,71160
,78,81008,99937,71160
,79,81008,99937,71160
,80,81008,99937,71160
,81,81008,99937,71160
,82,81008,99937,71160
,83,81008,99937,71160
,84,81008,99937,71160
,85,81008,99937,71160
,86,81008,99937,71160
,87,81008,99937,71160
,88,81008,99937,71160
,89,81008,99937,71160
,90,81008,99937,71160
,91,81008,99937,71160
,92,81008,99937,71160
,93,81008,99937,71160
,94,81008,99937,71160
,95,81008,99937,71160
,96,81008,99937,71160
,97,81008,99937,71160
,98,81008,99937,71160
,99,81008,99937,71160
,100,81008,99937,71160
,101,81008,99937,71160
,102,81008,99937,71160
,103,81008,99937,71160
,104,81008,99937,71160
,105,81008,99937,71160
,106,81008,99937,71160
,107,81008,99937,71160
,108,81008,99937,71160
,109,81008,99937,71160
,110,81008,99937,71160
,111,81008,99937,71160
,112,81008,99937,71160
,113,81008,99937,71160
,114,81008,99937,71160
,115,81008,99937,71160
,116,81008,99937,71160
,117,81008,99937,71160
,118,81008,99937,71160
,119,81008,99937,71160
,120,81008,99937,71160
,121,81008,99937,71160
,122,81008,99937,71160
,123,81008,99937,71160
,124,81008,99937,71160
,125,81008,99937,71160
,126,81008,99937,71160
,127,81008,99937,71160
,128,81008,99937,71160
,129,81008,99937,71160
,130,81008,99937,71160
,131,81008,99937,71160
,132,81008,99937,71160
,133,81008,99937,71160
,134,81008,99937,71160
,135,81008,99937,71160
,136,81008,99937,71160
,137,81008,99937,71160
,138,81008,99937,71160
,139,81008,99937,71160
,140,81008,99937,71160
,141,81008,99937,71160
,142,81008,99937,71160
,143,81008,99937,71160
,144,81008,99937,71160
,145,81008,99937,71160
,146,81008,99937,71160
,147,81008,99937,71160
,148,81008,99937,71160
,149,81008,99937,71160
,150,81008,99937,71160
,151,81008,99937,71160
,152,81008,99937,71160
,153,81008,99937,71160
,154,81008,99937,71160
,155,81008,99937,71160
,156,81008,99937,71160
,157,81008,99937,71160
,158,81008,99937,71160
,159,81008,99937,71160
,160,81008,99937,71160
,161,81008,99937,71160
,162,81008,99937,71160
,163,81008,99937,71160
,164,81008,99937,71160
,165,81008,99937,71160
,166,81008,99937,71160
,167,81008,99937,71160
,168,81008,99937,71160
,169,81008,99937,71160
,170,81008,99937,71160
,171,81008,99937,71160
,172,81008,99937,71160
,173,81008,99937,71160
,174,81008,99937,71160
,175,81008,99937,71160
,176,81008,99937,71160
,177,81008,99937,71160
,178,81008,99937,71160
,179,81008,99937,71160
,180,81008,99937,71160
,181,81008,99937,71160
,182,81008,99937,71160
,183,81008,99937,71160
,184,81008,99937,71160
,185,81008,99937,71160
,186,81008,99937,71160
,187,81008,99937,71160
,188,81008,99937,71160
,189,81008,99937,71160
