Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
MIDAT,MIDAT_conventional_hydroelectric_1,2,1,0.0,2.638067875017505e7,0.0,2.638067875017505e7
MIDAT,MIDAT_hydroelectric_pumped_storage_1,2,1,0.0,0.0,0.0,0.0
MIDAT,MIDAT_natural_gas_fired_combined_cycle_1,2,1,0.0,3.7545683789661634e8,0.0,3.7545683789661634e8
MIDAT,MIDAT_natural_gas_fired_combined_cycle_2,2,2,0.0,2.965583282894846e9,0.0,2.965583282894846e9
MIDAT,MIDAT_natural_gas_fired_combined_cycle_3,2,3,0.0,1.5830805976896396e8,0.0,1.5830805976896396e8
MIDAT,MIDAT_natural_gas_fired_combined_cycle_4,2,4,0.0,1.8918775283827984e9,0.0,1.8918775283827984e9
MIDAT,MIDAT_natural_gas_fired_combustion_turbine_1,2,1,0.0,1.352923057039907e9,0.0,1.352923057039907e9
MIDAT,MIDAT_natural_gas_fired_combustion_turbine_2,2,2,0.0,6.571408500164326e7,0.0,6.571408500164326e7
MIDAT,MIDAT_nuclear_1,2,1,0.0,2.275269929470129e8,0.0,2.275269929470129e8
MIDAT,MIDAT_nuclear_2,2,2,0.0,1.6570499961472597e9,0.0,1.6570499961472597e9
MIDAT,MIDAT_onshore_wind_turbine_1,2,1,0.0,0.0,0.0,0.0
MIDAT,MIDAT_small_hydroelectric_1,2,1,0.0,0.0,0.0,0.0
MIDAT,MIDAT_solar_photovoltaic_1,2,1,0.0,1.3205923752081063e8,0.0,1.3205923752081063e8
NE,NE_conventional_hydroelectric_1,3,1,0.0,0.0,3.6571992327603924e8,3.6571992327603924e8
NE,NE_hydroelectric_pumped_storage_1,3,1,0.0,0.0,0.0,0.0
NE,NE_natural_gas_fired_combined_cycle_1,3,1,0.0,0.0,6.523669144065524e8,6.523669144065524e8
NE,NE_natural_gas_fired_combined_cycle_2,3,2,0.0,0.0,2.262652761645222e9,2.262652761645222e9
NE,NE_natural_gas_fired_combined_cycle_3,3,3,0.0,0.0,2.0787504996270111e6,2.0787504996270111e6
NE,NE_natural_gas_fired_combined_cycle_4,3,4,0.0,0.0,3.155436659134741e7,3.155436659134741e7
NE,NE_natural_gas_fired_combustion_turbine_1,3,1,0.0,0.0,1.5065088655964902e8,1.5065088655964902e8
NE,NE_natural_gas_fired_combustion_turbine_2,3,2,0.0,0.0,2.495778767186117e8,2.495778767186117e8
NE,NE_nuclear_1,3,1,0.0,0.0,3.619904143164452e8,3.619904143164452e8
NE,NE_nuclear_2,3,2,0.0,0.0,2.2436647081711853e8,2.2436647081711853e8
NE,NE_onshore_wind_turbine_1,3,1,0.0,0.0,0.0,0.0
NE,NE_small_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NE,NE_solar_photovoltaic_1,3,1,0.0,0.0,5.7611651049605764e7,5.7611651049605764e7
SE,SE_conventional_hydroelectric_1,1,1,1.109321288098675e8,0.0,0.0,1.109321288098675e8
SE,SE_hydroelectric_pumped_storage_1,1,1,0.0,0.0,0.0,0.0
SE,SE_natural_gas_fired_combined_cycle_1,1,1,2.2494809213727803e9,0.0,0.0,2.2494809213727803e9
SE,SE_natural_gas_fired_combined_cycle_2,1,2,3.9788254174921566e8,0.0,0.0,3.9788254174921566e8
SE,SE_natural_gas_fired_combined_cycle_3,1,3,3.6617479942517877e9,0.0,0.0,3.6617479942517877e9
SE,SE_natural_gas_fired_combined_cycle_4,1,4,5.2237366157444155e8,0.0,0.0,5.2237366157444155e8
SE,SE_natural_gas_fired_combustion_turbine_1,1,1,2.1392687871503768e9,0.0,0.0,2.1392687871503768e9
SE,SE_natural_gas_fired_combustion_turbine_2,1,2,5.861712848461877e7,0.0,0.0,5.861712848461877e7
SE,SE_nuclear_1,1,1,2.8855418297664013e9,0.0,0.0,2.8855418297664013e9
SE,SE_nuclear_2,1,2,1.91155213582192e8,0.0,0.0,1.91155213582192e8
SE,SE_small_hydroelectric_1,1,1,0.0,0.0,0.0,0.0
SE,SE_solar_photovoltaic_1,1,1,3.59597159974833e8,0.0,0.0,3.59597159974833e8
SE,SE_naturalgas_ccccsavgcf_conservative_0,1,0,1.196868435932516e9,0.0,0.0,1.196868435932516e9
SE,SE_naturalgas_ccavgcf_moderate_0,1,0,5.2375642454403263e8,0.0,0.0,5.2375642454403263e8
SE,SE_naturalgas_ctavgcf_moderate_0,1,0,2.65767570331318e10,0.0,0.0,2.65767570331318e10
SE,SE_battery_moderate_0,1,0,-5.107055437923002e10,-0.0,-0.0,-5.107055437923002e10
SE,SE_nuclear_mid_0,1,0,0.9208668705335882,0.0,0.0,0.9208668705335882
MIDAT,MIDAT_naturalgas_ccccsavgcf_conservative_0,2,0,0.0,5.738128698790797e9,0.0,5.738128698790797e9
MIDAT,MIDAT_naturalgas_ccavgcf_moderate_0,2,0,0.0,2.3141563245945477e8,0.0,2.3141563245945477e8
MIDAT,MIDAT_naturalgas_ctavgcf_moderate_0,2,0,0.0,2.6750150434564007e10,0.0,2.6750150434564007e10
MIDAT,MIDAT_battery_moderate_0,2,0,-0.0,-4.3218204622219345e10,-0.0,-4.3218204622219345e10
MIDAT,MIDAT_nuclear_mid_0,2,0,0.0,1.4816891063286446,0.0,1.4816891063286446
NE,NE_naturalgas_ccccsavgcf_conservative_0,3,0,0.0,0.0,3.5750854523767525e8,3.5750854523767525e8
NE,NE_naturalgas_ccavgcf_moderate_0,3,0,0.0,0.0,18.615272634291347,18.615272634291347
NE,NE_naturalgas_ctavgcf_moderate_0,3,0,0.0,0.0,9.569168865862198e9,9.569168865862198e9
NE,NE_battery_moderate_0,3,0,-0.0,-0.0,-1.9064828741834103e10,-1.9064828741834103e10
NE,NE_nuclear_mid_0,3,0,0.0,0.0,1.641119165158606,1.641119165158606
NE,NE_offshorewind_class10_moderate_floating_1_1,3,1,0.0,0.0,1.2803615534242897e9,1.2803615534242897e9
SE,SE_utilitypv_class1_moderate_70_0_2_1,1,1,1.5350701016092445,0.0,0.0,1.5350701016092445
SE,SE_utilitypv_class1_moderate_70_0_2_2,1,2,1.031508091809911,0.0,0.0,1.031508091809911
SE,SE_utilitypv_class1_moderate_70_0_2_3,1,3,0.36506958234347486,0.0,0.0,0.36506958234347486
SE,SE_utilitypv_class1_moderate_70_0_2_4,1,4,2.3421171102360023e10,0.0,0.0,2.3421171102360023e10
SE,SE_utilitypv_class1_moderate_70_0_2_5,1,5,4.748789774885692e10,0.0,0.0,4.748789774885692e10
SE,SE_utilitypv_class1_moderate_70_0_2_6,1,6,0.5225450157158351,0.0,0.0,0.5225450157158351
SE,SE_utilitypv_class1_moderate_70_0_2_7,1,7,0.8232435212468235,0.0,0.0,0.8232435212468235
SE,SE_utilitypv_class1_moderate_70_0_2_8,1,8,4.708829806178951e10,0.0,0.0,4.708829806178951e10
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_1,2,1,0.0,1.189048127024855e9,0.0,1.189048127024855e9
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_2,2,2,0.0,1.2457130725722052e10,0.0,1.2457130725722052e10
