BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,9.203334764281261e9,3.2517621081026793e9,-3.841873946245434e9,0.0,0.0,0.0,0.09168796970704814,-1.2976498437861124e8,-2.2330746488331277e6,-8.474095862862142e9,6.137688351898309e9,1.3980176474967446e9,-1.651722173318501e9,0.0,0.0,0.0,0.08642879703487051,1.0124042920292191e8,-3.2433318621042175e6,-5.968995549996142e9,2.257706473130709e9,2.0768742806753504e8,-2.4537739610991216e8,0.0,0.0,0.0,0.07209045055893207,2.8524555175689325e7,-1.0102572132710901e6,-2.2395978780353575e9
t1,171445.74142930508,617491.642879303,-0.029590833610257702,0.0,0.0,0.0,9.84272434278607e-6,0.11868548980121836,-0.002419051071253141,-788381.7637,376030.3922904545,158697.61539835072,-0.02820778284869571,0.0,0.0,0.0,9.330447244010341e-6,11489.441125788191,-136.05734496842206,-544897.6731,177816.17533582431,31114.432793908338,-0.03167929650450502,0.0,0.0,0.0,7.88427957858697e-6,-11489.559811277992,-136.0549259173508,-196838.5148
t2,169361.17821291907,577073.7311982672,-0.029542010706376548,0.0,0.0,0.0,9.854202479427248e-6,0.11893694408048282,-0.00242514138420723,-745879.2906,372065.19485700276,145110.18434406538,-0.028988701153932317,0.0,0.0,0.0,9.358261166876314e-6,11489.438683685206,-136.05732508152653,-527345.0426,172554.69231755188,27707.689732768515,-0.032870574503253244,0.0,0.0,0.0,7.868867506163154e-6,-11489.557620629286,-136.05489994014232,-188170.2899
t3,168176.13492398322,552677.6958608254,-0.03023554358402379,0.0,0.0,0.0,9.84535337550501e-6,0.11925217886501109,-0.0024290851089832964,-720298.209,366447.07684785,142171.969781584,-0.028880299899850387,0.0,0.0,0.0,9.36572760390007e-6,11489.435326754403,-136.05729249068432,-518788.7041,170148.56999791518,25677.891020250092,-0.03207883600578115,0.0,0.0,0.0,7.863875731438035e-6,-11489.554578933268,-136.05486340557533,-183734.3695
t4,168247.50469632537,542450.7528601128,-0.03204810801265899,0.0,0.0,0.0,9.843093286840455e-6,0.1193599722064254,-0.0024315072375132433,-710142.6293,359986.92083733843,155102.48490872045,-0.029240029748746177,0.0,0.0,0.0,9.402157712185494e-6,11489.432689791342,-136.0572616645559,-525259.0558,169008.2600520251,26920.00899526896,-0.030218006428771926,0.0,0.0,0.0,7.866577294853264e-6,-11489.552049763548,-136.0548301573184,-183836.1775
t5,168677.7703298502,555538.397443424,-0.03237979660403091,0.0,0.0,0.0,9.889048635184492e-6,0.11934504543869551,-0.002432544129944134,-723660.5292,360344.30619850475,186785.88527432308,-0.030808144106518165,0.0,0.0,0.0,9.522168936335774e-6,11489.411325467665,-136.05701163102992,-557299.8127,186539.6077480308,17635.07347446434,-0.014095507065221967,0.0,0.0,0.0,7.878801425378268e-6,-11489.530670513104,-136.0545790869,-192082.6263
t6,303272.7408026484,473244.68393921875,-0.027402440394243534,0.0,0.0,0.0,1.0031377361496373e-5,0.10977099558682751,-0.0022766995108668363,-775961.7643,497254.937894359,114578.32348530334,-0.03961593718592331,0.0,0.0,0.0,9.737678562086137e-6,11489.87947127984,-136.06177440167352,-622003.3298,283096.77814711886,0.014327422398848412,-57134.40019227125,0.0,0.0,0.0,7.99238976806466e-6,-11489.989242275427,-136.05949770216264,-212902.3643
t7,1.184313281540751e6,0.029389951690896213,-346031.7570482501,0.0,0.0,0.0,1.0215900387576437e-5,-0.14822499710830722,-0.002953436792698717,-837725.5294,786279.3425180836,0.029410793178734115,-138673.46767883454,0.0,0.0,0.0,9.823288658935253e-6,11490.136735014123,-136.06244926868249,-657776.1067,362314.3646477561,0.030193411058333633,-111707.16017795268,0.0,0.0,0.0,8.143882051543841e-6,-11489.988510017014,-136.0594958318898,-237547.1746
t8,2.034951345015864e6,0.05795332010609605,-1.1240097990378828e6,0.0,0.0,0.0,1.0302069937373869e-5,-33311.874904323406,-409.2797677572035,-876254.9751,906857.3248797146,0.031756234911731795,-267912.0728788323,0.0,0.0,0.0,9.833314341444264e-6,43351.098458144115,-528.1687083950125,-680084.7871,373812.413475854,0.32718504056453424,-108008.65648388094,0.0,0.0,0.0,8.215574268659825e-6,-10039.223553820708,-118.88894063780893,-254229.1442
