Biorefinery,Zone,Biomass_type,Biomass_tonne_CO2_per_tonne,BioH2_Production,BioH2_yield_tonne_per_tonne,BioElectricity_Production,BioElectricity_yield_MWh_per_tonne,BioGasoline_Production,BioGasoline_yield_MMBtu_per_tonne,BioJetfuel_Production,BioJetfuel_yield_MMBtu_per_tonne,BioDiesel_Production,BioDiesel_yield_MMBtu_per_tonne,Bio_NG_Production,Bio_NG_yield_MMBtu_per_tonne,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,H2_consumption_tonne_per_tonne,etaFuel_MMBtu_per_tonne,Fuel,CO2_emissions_tonne_per_tonne,CO2_capture_tonne_per_tonne,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
SE_BECCS_Electricity_Herb,1,1,1.76022,0,0,1,1.656626506,0,0,0,0,0,0,0,0,696050.2868,193228.9157,42.93975904,0,0,0,SE_reference_naturalgas,0.2288286,1.5313914,0,1000000,0.4,0.9
MIDAT_BECCS_Electricity_Herb,2,1,1.76022,0,0,1,1.656626506,0,0,0,0,0,0,0,0,696050.2868,193228.9157,42.93975904,0,0,0,MIDAT_reference_naturalgas,0.2288286,1.5313914,0,1000000,0.4,0.9
NE_BECCS_Electricity_Herb,3,1,1.76022,0,0,1,1.656626506,0,0,0,0,0,0,0,0,696050.2868,193228.9157,42.93975904,0,0,0,NE_reference_naturalgas,0.2288286,1.5313914,0,1000000,0.4,0.9
SE_BECCS_Electricity_Wood,1,2,1.76022,0,0,1,1.656626506,0,0,0,0,0,0,0,0,696050.2868,193228.9157,42.93975904,0,0,0,SE_reference_naturalgas,0.2288286,1.5313914,0,1000000,0.4,0.9
MIDAT_BECCS_Electricity_Wood,2,2,1.76022,0,0,1,1.656626506,0,0,0,0,0,0,0,0,696050.2868,193228.9157,42.93975904,0,0,0,MIDAT_reference_naturalgas,0.2288286,1.5313914,0,1000000,0.4,0.9
NE_BECCS_Electricity_Wood,3,2,1.76022,0,0,1,1.656626506,0,0,0,0,0,0,0,0,696050.2868,193228.9157,42.93975904,0,0,0,NE_reference_naturalgas,0.2288286,1.5313914,0,1000000,0.4,0.9
SE_BECCS_H2_Herb,1,1,1.76022,1,0.078443454,0,0,0,0,0,0,0,0,0,0,532452.9904,60067.41573,38.44314607,0.083426966,0,0,SE_reference_naturalgas,0.26,1.50022,0,1000000,0.85,0.9
MIDAT_BECCS_H2_Herb,2,1,1.76022,1,0.078443454,0,0,0,0,0,0,0,0,0,0,532452.9904,60067.41573,38.44314607,0.083426966,0,0,MIDAT_reference_naturalgas,0.26,1.50022,0,1000000,0.85,0.9
NE_BECCS_H2_Herb,3,1,1.76022,1,0.078443454,0,0,0,0,0,0,0,0,0,0,532452.9904,60067.41573,38.44314607,0.083426966,0,0,NE_reference_naturalgas,0.26,1.50022,0,1000000,0.85,0.9
SE_BECCS_H2_Wood,1,2,1.76022,1,0.078443454,0,0,0,0,0,0,0,0,0,0,532452.9904,60067.41573,38.44314607,0.083426966,0,0,SE_reference_naturalgas,0.26,1.50022,0,1000000,0.85,0.9
MIDAT_BECCS_H2_Wood,2,2,1.76022,1,0.078443454,0,0,0,0,0,0,0,0,0,0,532452.9904,60067.41573,38.44314607,0.083426966,0,0,MIDAT_reference_naturalgas,0.26,1.50022,0,1000000,0.85,0.9
NE_BECCS_H2_Wood,3,2,1.76022,1,0.078443454,0,0,0,0,0,0,0,0,0,0,532452.9904,60067.41573,38.44314607,0.083426966,0,0,NE_reference_naturalgas,0.26,1.50022,0,1000000,0.85,0.9
SE_BECCS_Gasoline_Pyrolysis_Herb,1,1,2.219657356,0,0,0,0,1,8.234442526,0,0,0,0,0,0,248459.0885,361248,24.698,0,0,0,SE_reference_naturalgas,0.41748227,1.22,0,1000000,0.85,0.9
MIDAT_BECCS_Gasoline_Pyrolysis_Herb,2,1,2.219657356,0,0,0,0,1,8.234442526,0,0,0,0,0,0,248459.0885,361248,24.698,0,0,0,MIDAT_reference_naturalgas,0.41748227,1.22,0,1000000,0.85,0.9
NE_BECCS_Gasoline_Pyrolysis_Herb,3,1,2.219657356,0,0,0,0,1,8.234442526,0,0,0,0,0,0,248459.0885,361248,24.698,0,0,0,NE_reference_naturalgas,0.41748227,1.22,0,1000000,0.85,0.9
SE_BECCS_Gasoline_Pyrolysis_Wood,1,2,2.219657356,0,0,0,0,1,8.234442526,0,0,0,0,0,0,248459.0885,361248,24.698,0,0,0,SE_reference_naturalgas,0.41748227,1.22,0,1000000,0.85,0.9
MIDAT_BECCS_Gasoline_Pyrolysis_Wood,2,2,2.219657356,0,0,0,0,1,8.234442526,0,0,0,0,0,0,248459.0885,361248,24.698,0,0,0,MIDAT_reference_naturalgas,0.41748227,1.22,0,1000000,0.85,0.9
NE_BECCS_Gasoline_Pyrolysis_Wood,3,2,2.219657356,0,0,0,0,1,8.234442526,0,0,0,0,0,0,248459.0885,361248,24.698,0,0,0,NE_reference_naturalgas,0.41748227,1.22,0,1000000,0.85,0.9
SE_BECCS_Gasoline_Gasification_Herb,1,1,1.887260648,0,0,0,0,1,6.860008249,0,0,0,0,0,0,188587.4528,258216,13.78,0,0,0,SE_reference_naturalgas,0.142258065,1.26,0,1000000,0.85,0.9
MIDAT_BECCS_Gasoline_Gasification_Herb,2,1,1.887260648,0,0,0,0,1,6.860008249,0,0,0,0,0,0,188587.4528,258216,13.78,0,0,0,MIDAT_reference_naturalgas,0.142258065,1.26,0,1000000,0.85,0.9
NE_BECCS_Gasoline_Gasification_Herb,3,1,1.887260648,0,0,0,0,1,6.860008249,0,0,0,0,0,0,188587.4528,258216,13.78,0,0,0,NE_reference_naturalgas,0.142258065,1.26,0,1000000,0.85,0.9
SE_BECCS_Gasoline_Gasification_Wood,1,2,1.887260648,0,0,0,0,1,6.860008249,0,0,0,0,0,0,188587.4528,258216,13.78,0,0,0,SE_reference_naturalgas,0.142258065,1.26,0,1000000,0.85,0.9
MIDAT_BECCS_Gasoline_Gasification_Wood,2,2,1.887260648,0,0,0,0,1,6.860008249,0,0,0,0,0,0,188587.4528,258216,13.78,0,0,0,MIDAT_reference_naturalgas,0.142258065,1.26,0,1000000,0.85,0.9
NE_BECCS_Gasoline_Gasification_Wood,3,2,1.887260648,0,0,0,0,1,6.860008249,0,0,0,0,0,0,188587.4528,258216,13.78,0,0,0,NE_reference_naturalgas,0.142258065,1.26,0,1000000,0.85,0.9
SE_BECCS_FT_RCB_Herb,1,1,2.083948462,0,0,1,0.2199636,1,1.246555639,1,5.608693368,0,0,0,0,972776.8926,683306.28,0,0,0,0,SE_reference_naturalgas,0.227803167,1.363066151,0,1000000,0.85,0.9
MIDAT_BECCS_FT_RCB_Herb,2,1,2.083948462,0,0,1,0.2199636,1,1.246555639,1,5.608693368,0,0,0,0,972776.8926,683306.28,0,0,0,0,MIDAT_reference_naturalgas,0.227803167,1.363066151,0,1000000,0.85,0.9
NE_BECCS_FT_RCB_Herb,3,1,2.083948462,0,0,1,0.2199636,1,1.246555639,1,5.608693368,0,0,0,0,972776.8926,683306.28,0,0,0,0,NE_reference_naturalgas,0.227803167,1.363066151,0,1000000,0.85,0.9
SE_BECCS_FT_RCB_Wood,1,2,2.083948462,0,0,1,0.2199636,1,1.246555639,1,5.608693368,0,0,0,0,972776.8926,683306.28,0,0,0,0,SE_reference_naturalgas,0.227803167,1.363066151,0,1000000,0.85,0.9
MIDAT_BECCS_FT_RCB_Wood,2,2,2.083948462,0,0,1,0.2199636,1,1.246555639,1,5.608693368,0,0,0,0,972776.8926,683306.28,0,0,0,0,MIDAT_reference_naturalgas,0.227803167,1.363066151,0,1000000,0.85,0.9
NE_BECCS_FT_RCB_Wood,3,2,2.083948462,0,0,1,0.2199636,1,1.246555639,1,5.608693368,0,0,0,0,972776.8926,683306.28,0,0,0,0,NE_reference_naturalgas,0.227803167,1.363066151,0,1000000,0.85,0.9
SE_BECCS_FT_OTB_Herb,1,1,2.084117203,0,0,1,0.6914268,1,0.946887322,1,4.255612906,0,0,0,0,919440.8386,645841.512,0,0,0,0,SE_reference_naturalgas,0.406790993,1.303126024,0,1000000,0.85,0.9
MIDAT_BECCS_FT_OTB_Herb,2,1,2.084117203,0,0,1,0.6914268,1,0.946887322,1,4.255612906,0,0,0,0,919440.8386,645841.512,0,0,0,0,MIDAT_reference_naturalgas,0.406790993,1.303126024,0,1000000,0.85,0.9
NE_BECCS_FT_OTB_Herb,3,1,2.084117203,0,0,1,0.6914268,1,0.946887322,1,4.255612906,0,0,0,0,919440.8386,645841.512,0,0,0,0,NE_reference_naturalgas,0.406790993,1.303126024,0,1000000,0.85,0.9
SE_BECCS_FT_OTB_Wood,1,2,2.084117203,0,0,1,0.6914268,1,0.946887322,1,4.255612906,0,0,0,0,919440.8386,645841.512,0,0,0,0,SE_reference_naturalgas,0.406790993,1.303126024,0,1000000,0.85,0.9
MIDAT_BECCS_FT_OTB_Wood,2,2,2.084117203,0,0,1,0.6914268,1,0.946887322,1,4.255612906,0,0,0,0,919440.8386,645841.512,0,0,0,0,MIDAT_reference_naturalgas,0.406790993,1.303126024,0,1000000,0.85,0.9
NE_BECCS_FT_OTB_Wood,3,2,2.084117203,0,0,1,0.6914268,1,0.946887322,1,4.255612906,0,0,0,0,919440.8386,645841.512,0,0,0,0,NE_reference_naturalgas,0.406790993,1.303126024,0,1000000,0.85,0.9
SE_BECCS_FT_OTAB_Herb,1,1,2.083532321,0,0,1,0.4549068,1,0.946887322,1,4.255612906,0,0,0,0,1010354.567,709701.912,0,0,0,0,SE_reference_naturalgas,0.057248484,1.652083651,0,1000000,0.85,0.9
MIDAT_BECCS_FT_OTAB_Herb,2,1,2.083532321,0,0,1,0.4549068,1,0.946887322,1,4.255612906,0,0,0,0,1010354.567,709701.912,0,0,0,0,MIDAT_reference_naturalgas,0.057248484,1.652083651,0,1000000,0.85,0.9
