Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE_Trans_Cost_per_MWyr,Heat_Rate_MMBTU_per_MWh,Fuel,NG_MMBtu_per_MWh,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,CapRes_2,CapRes_3,ESR_1,ESR_2,region,cluster,LDS.1,CCS_Rate
MIDAT_conventional_hydroelectric_1,2,0,0,0,0,1,0,0,0,-1,2806.182,0,0,0,-1,-1,0,0,0,0,0,0,45648,0,0,0,0,0,0,None,0,29.853,0,0,0,0,0.083,0.083,0,0.109311313,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conventional_hydroelectric,0,0.8,0,0,1,MIDAT,1,0,0
MIDAT_hydroelectric_pumped_storage_1,2,0,0,1,0,0,0,0,0,-1,5244,0,0,0,-1,-1,0,0,0,0,0,0,39399,0,0,0,0,0,0,None,0,228,0,0,0,0,1,1,1,0.433,0,0.866,0.866,0,200,0,0,0,0,0,0,0,0,0,0,0,0,hydroelectric_pumped_storage,0,0.95,0,0,0,MIDAT,1,0,0
MIDAT_natural_gas_fired_combined_cycle_1,2,1,0,0,0,0,0,0,0,0,4026.4,0,0,0,-1,-1,0,0,0,0,0,0,16001,0,0,4.415,0,0,0,None,7.676,125.825,89.34,2,6,6,0.64,0.64,1,0.444,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0,0.93,0,0,0,MIDAT,1,0,0
MIDAT_natural_gas_fired_combined_cycle_2,2,1,0,0,0,0,0,0,0,0,31802.922,0,0,0,-1,-1,0,0,0,0,0,0,11965,0,0,3.452,0,0,0,None,6.833,588.943,89.34,2,6,6,0.64,0.64,1,0.38,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0,0.93,0,0,0,MIDAT,2,0,0
MIDAT_natural_gas_fired_combined_cycle_3,2,1,0,0,0,0,0,0,0,0,1697.696,0,0,0,-1,-1,0,0,0,0,0,0,11069.135,0,0,3.505,0,0,0,None,12.279,212.212,89.34,2,6,6,0.64,0.64,1,0.217,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0,0.93,0,0,0,MIDAT,3,0,0
MIDAT_natural_gas_fired_combined_cycle_4,2,1,0,0,0,0,0,0,0,0,20288.499,0,0,0,-1,-1,0,0,0,0,0,0,9496,0,0,3.504,0,0,0,None,7.17,614.803,89.34,2,6,6,0.64,0.64,1,0.39,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0,0.93,0,0,0,MIDAT,4,0,0
MIDAT_natural_gas_fired_combustion_turbine_1,2,1,0,0,0,0,0,0,0,0,14508.75,0,0,0,-1,-1,0,0,0,0,0,0,9573.46,0,0,5.071,0,0,0,None,11.751,116.07,115.842,3.5,1,1,0.64,0.64,1,0.505,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,0,0.93,0,0,0,MIDAT,1,0,0
MIDAT_natural_gas_fired_combustion_turbine_2,2,1,0,0,0,0,0,0,0,0,704.718,0,0,0,-1,-1,0,0,0,0,0,0,13548,0,0,5.071,0,0,0,None,10.251,14.994,115.842,3.5,1,1,0.64,0.64,1,0.403,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,0,0.93,0,0,0,MIDAT,2,0,0
MIDAT_nuclear_1,2,1,0,0,0,0,0,0,0,0,2440,0,0,0,-1,-1,0,0,0,0,0,0,266980,0,0,2.352,0,0,10.455,MIDAT_reference_uranium,0,1220,1000,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear,0,0.93,0,0,1,MIDAT,1,0,0
MIDAT_nuclear_2,2,1,0,0,0,0,0,0,0,0,17770.208,0,0,0,-1,-1,0,0,0,0,0,0,187522,0,0,2.352,0,0,10.455,MIDAT_reference_uranium,0,1110.638,1000,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear,0,0.93,0,0,1,MIDAT,2,0,0
