Conventional_ng_co2_per_mmbtu,Syn_ng_co2_per_mmbtu,Bio_ng_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
0.05306,0.05306,0.05306,1,51899,38971,19417
,,,2,51899,38971,19417
,,,3,51899,38971,19417
,,,4,51899,38971,19417
,,,5,51899,38971,19417
,,,6,51899,38971,19417
,,,7,51899,38971,19417
,,,8,51899,38971,19417
,,,9,51899,38971,19417
,,,10,51899,38971,19417
,,,11,51899,38971,19417
,,,12,51899,38971,19417
,,,13,51899,38971,19417
,,,14,51899,38971,19417
,,,15,51899,38971,19417
,,,16,51899,38971,19417
,,,17,51899,38971,19417
,,,18,51899,38971,19417
,,,19,51899,38971,19417
,,,20,51899,38971,19417
,,,21,51899,38971,19417
,,,22,51899,38971,19417
,,,23,51899,38971,19417
,,,24,51899,38971,19417
,,,25,51899,38971,19417
,,,26,51899,38971,19417
,,,27,51899,38971,19417
,,,28,51899,38971,19417
,,,29,51899,38971,19417
,,,30,51899,38971,19417
,,,31,51899,38971,19417
,,,32,51899,38971,19417
,,,33,51899,38971,19417
,,,34,51899,38971,19417
,,,35,51899,38971,19417
,,,36,51899,38971,19417
,,,37,51899,38971,19417
,,,38,51899,38971,19417
,,,39,51899,38971,19417
,,,40,51899,38971,19417
,,,41,51899,38971,19417
,,,42,51899,38971,19417
,,,43,51899,38971,19417
,,,44,51899,38971,19417
,,,45,51899,38971,19417
,,,46,51899,38971,19417
,,,47,51899,38971,19417
,,,48,51899,38971,19417
,,,49,51899,38971,19417
,,,50,51899,38971,19417
,,,51,51899,38971,19417
,,,52,51899,38971,19417
,,,53,51899,38971,19417
,,,54,51899,38971,19417
,,,55,51899,38971,19417
,,,56,51899,38971,19417
,,,57,51899,38971,19417
,,,58,51899,38971,19417
,,,59,51899,38971,19417
,,,60,51899,38971,19417
,,,61,51899,38971,19417
,,,62,51899,38971,19417
,,,63,51899,38971,19417
,,,64,51899,38971,19417
,,,65,51899,38971,19417
,,,66,51899,38971,19417
,,,67,51899,38971,19417
,,,68,51899,38971,19417
,,,69,51899,38971,19417
,,,70,51899,38971,19417
,,,71,51899,38971,19417
,,,72,51899,38971,19417
,,,73,51899,38971,19417
,,,74,51899,38971,19417
,,,75,51899,38971,19417
,,,76,51899,38971,19417
,,,77,51899,38971,19417
,,,78,51899,38971,19417
,,,79,51899,38971,19417
,,,80,51899,38971,19417
,,,81,51899,38971,19417
,,,82,51899,38971,19417
,,,83,51899,38971,19417
,,,84,51899,38971,19417
,,,85,51899,38971,19417
,,,86,51899,38971,19417
,,,87,51899,38971,19417
,,,88,51899,38971,19417
,,,89,51899,38971,19417
,,,90,51899,38971,19417
,,,91,51899,38971,19417
,,,92,51899,38971,19417
,,,93,51899,38971,19417
,,,94,51899,38971,19417
,,,95,51899,38971,19417
,,,96,51899,38971,19417
,,,97,51899,38971,19417
,,,98,51899,38971,19417
,,,99,51899,38971,19417
,,,100,51899,38971,19417
,,,101,51899,38971,19417
,,,102,51899,38971,19417
,,,103,51899,38971,19417
,,,104,51899,38971,19417
,,,105,51899,38971,19417
,,,106,51899,38971,19417
,,,107,51899,38971,19417
,,,108,51899,38971,19417
,,,109,51899,38971,19417
,,,110,51899,38971,19417
,,,111,51899,38971,19417
,,,112,51899,38971,19417
,,,113,51899,38971,19417
,,,114,51899,38971,19417
,,,115,51899,38971,19417
,,,116,51899,38971,19417
,,,117,51899,38971,19417
,,,118,51899,38971,19417
,,,119,51899,38971,19417
,,,120,51899,38971,19417
,,,121,51899,38971,19417
,,,122,51899,38971,19417
,,,123,51899,38971,19417
,,,124,51899,38971,19417
,,,125,51899,38971,19417
,,,126,51899,38971,19417
,,,127,51899,38971,19417
,,,128,51899,38971,19417
,,,129,51899,38971,19417
,,,130,51899,38971,19417
,,,131,51899,38971,19417
,,,132,51899,38971,19417
,,,133,51899,38971,19417
,,,134,51899,38971,19417
,,,135,51899,38971,19417
,,,136,51899,38971,19417
,,,137,51899,38971,19417
,,,138,51899,38971,19417
,,,139,51899,38971,19417
,,,140,51899,38971,19417
,,,141,51899,38971,19417
,,,142,51899,38971,19417
,,,143,51899,38971,19417
,,,144,51899,38971,19417
,,,145,51899,38971,19417
,,,146,51899,38971,19417
,,,147,51899,38971,19417
,,,148,51899,38971,19417
,,,149,51899,38971,19417
,,,150,51899,38971,19417
,,,151,51899,38971,19417
,,,152,51899,38971,19417
,,,153,51899,38971,19417
,,,154,51899,38971,19417
,,,155,51899,38971,19417
,,,156,51899,38971,19417
,,,157,51899,38971,19417
,,,158,51899,38971,19417
,,,159,51899,38971,19417
,,,160,51899,38971,19417
,,,161,51899,38971,19417
,,,162,51899,38971,19417
,,,163,51899,38971,19417
,,,164,51899,38971,19417
,,,165,51899,38971,19417
,,,166,51899,38971,19417
,,,167,51899,38971,19417
,,,168,51899,38971,19417
,,,169,51899,38971,19417
,,,170,51899,38971,19417
,,,171,51899,38971,19417
,,,172,51899,38971,19417
,,,173,51899,38971,19417
,,,174,51899,38971,19417
,,,175,51899,38971,19417
,,,176,51899,38971,19417
,,,177,51899,38971,19417
,,,178,51899,38971,19417
,,,179,51899,38971,19417
,,,180,51899,38971,19417
,,,181,51899,38971,19417
,,,182,51899,38971,19417
,,,183,51899,38971,19417
,,,184,51899,38971,19417
,,,185,51899,38971,19417
,,,186,51899,38971,19417
,,,187,51899,38971,19417
,,,188,51899,38971,19417
,,,189,51899,38971,19417
,,,190,51899,38971,19417
,,,191,51899,38971,19417
,,,192,51899,38971,19417
,,,193,51899,38971,19417
,,,194,51899,38971,19417
,,,195,51899,38971,19417
,,,196,51899,38971,19417
,,,197,51899,38971,19417
,,,198,51899,38971,19417
,,,199,51899,38971,19417
,,,200,51899,38971,19417
,,,201,51899,38971,19417
,,,202,51899,38971,19417
,,,203,51899,38971,19417
,,,204,51899,38971,19417
,,,205,51899,38971,19417
,,,206,51899,38971,19417
,,,207,51899,38971,19417
,,,208,51899,38971,19417
,,,209,51899,38971,19417
,,,210,51899,38971,19417
,,,211,51899,38971,19417
,,,212,51899,38971,19417
,,,213,51899,38971,19417
,,,214,51899,38971,19417
,,,215,51899,38971,19417
,,,216,51899,38971,19417
,,,217,51899,38971,19417
,,,218,51899,38971,19417
,,,219,51899,38971,19417
,,,220,51899,38971,19417
,,,221,51899,38971,19417
,,,222,51899,38971,19417
,,,223,51899,38971,19417
,,,224,51899,38971,19417
,,,225,51899,38971,19417
,,,226,51899,38971,19417
,,,227,51899,38971,19417
,,,228,51899,38971,19417
,,,229,51899,38971,19417
,,,230,51899,38971,19417
,,,231,51899,38971,19417
,,,232,51899,38971,19417
,,,233,51899,38971,19417
,,,234,51899,38971,19417
,,,235,51899,38971,19417
,,,236,51899,38971,19417
,,,237,51899,38971,19417
,,,238,51899,38971,19417
,,,239,51899,38971,19417
,,,240,51899,38971,19417
,,,241,51899,38971,19417
,,,242,51899,38971,19417
,,,243,51899,38971,19417
,,,244,51899,38971,19417
,,,245,51899,38971,19417
,,,246,51899,38971,19417
,,,247,51899,38971,19417
,,,248,51899,38971,19417
,,,249,51899,38971,19417
