,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Biomass Emissions,Biomass Capture,Synfuel Production Emissions,Conventional Fuels,Synfuels,Biofuels,Total
AnnualSum,8.461316540816613e7,358.26448208920965,10879.661554542276,2.981635930263518e7,0.0,-2.346230404257596e8,84.91157548955572,1.2018182949219334e8,363.2846631811232,0.0,-0.10048966121394187
t1,35051.611195579666,0.04087333652698722,1.1762568802536688,3403.8259686116007,0.0,-26784.35826757803,0.009338485426323666,0.0,0.03810978266199279,0,11672.3434750981
t2,35051.59566451327,0.04090171086402758,1.1763411260164403,3403.8259859867835,0.0,-26784.35838971693,0.009364495209599229,0.0,0.038320939734092285,0,11672.328189054944
t3,35051.56863129963,0.040908763429788615,1.1763859764363953,3403.8259914838463,0.0,-26784.358442051256,0.009344601825347012,0.0,0.03832566954479006,0,11672.301145743468
t4,35051.52396892149,0.04090861369510895,1.1763682014782313,3403.8259994616474,0.0,-26784.358523159968,0.00932473258107909,0.0,0.03837245373246365,0,11672.25641922465
t5,35051.42720469397,0.04090901756256621,1.176059790224293,3403.826010243036,0.0,-26784.35862800521,0.009304549084668873,0.0,0.03847770967424983,0,11672.159337998342
t6,28273.831828283724,0.04091774941127562,1.1690802135536495,3403.8260795100214,0.0,-26784.358419920616,0.009241038397507334,0.0,0.03889161397663658,0,4894.557618488468
t7,11847.009412988393,0.04091857790339507,1.166218663408204,3403.8259740229205,0.0,-26784.357639214093,0.008436262829354772,0.0,0.037096014744748676,0,-11532.269582683895
t8,0.3218855558643219,0.04093902448395277,1.282955425058498,3403.8265656223043,0.0,-26784.364596006966,0.006674291165639405,0.0,0.03148037560560776,0,-23378.854095712486
t9,0.29610630755199446,0.040940401559868105,1.2803652231646505,3403.8265991712087,0.0,-26784.364868111526,0.00665437667768031,0.0,0.03139142830786817,0,-23378.882811203057
t10,0.283817095712292,0.04094173456906747,1.280433070140667,3403.826595223707,0.0,-26784.364834420405,0.006627562639075488,0.0,0.03134233115760027,0,-23378.89507740248
t11,0.27825675095266994,0.0409430253242824,1.2819024922075009,3403.826602167779,0.0,-26784.364814406148,0.00651600493532216,0.0,0.030930772387385543,0,-23378.899663192562
