Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7
Zone,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
t1,0.0,0.0,2.627210020176362e-11,5.945172626415549e-12,1.6504450413610745e-11,5.214597258597841e-12,1.4284595101766555e-11,1.8687879912653999e-10,1.9999997179536502,15.999999636947864,0.0,0.0,0.0,0.0,0.0,1.692472013340388e-11,6.248324457073478e-12,4.5822949691736113e-11,9.371804761133913e-11,3.8386761309394184e-11,2.9999996157293682,1.9999995596295266,0.0,0.0,0.0,0.0,0.0,6.146022418043553e-12,1.0866084672113585e-11,3.269558236821107e-12,3.650959805090728e-12,1.3010374367595663e-11,1.546955139833039e-10,31.999999766523352,1.9999997561117286,0.0,0.0,7.106338800500194e-12,9.336617070444196e-12,1.6726724778894926e-11,0.0,7.096813702136705e-6,7.10707633509214e-12,9.336471149436875e-12,1.6728410751781707e-11,0.0,1.2672137206938224e-5,7.106790643284672e-12,9.336522503085651e-12,1.6739575344945436e-11,0.0,1.1420812552772404e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,2.6272606308226543e-11,5.945362362164398e-12,1.6504439748512303e-11,5.21466702144193e-12,1.4284977802451426e-11,1.8687768482967897e-10,1.999999713910427,15.999999623993931,0.0,0.0,0.0,0.0,0.0,1.6924829715078867e-11,6.248423089945531e-12,4.582310072912901e-11,9.371935629991318e-11,3.8386847271321967e-11,2.9999996108154416,1.999999554528326,0.0,0.0,0.0,0.0,0.0,6.14616758701109e-12,1.0866164755538829e-11,3.2695841238877945e-12,3.6509689255111115e-12,1.3010552390222245e-11,1.546954638668534e-10,31.999999779754344,1.999999753274272,0.0,0.0,7.106320515783699e-12,9.336778613601678e-12,1.6892114744623333e-11,0.0,7.091792604611423e-6,7.107038683367351e-12,9.336596247854915e-12,1.6893883713906685e-11,0.0,1.266445679209212e-5,7.10669050921257e-12,9.336650147690884e-12,1.6902643086161325e-11,0.0,1.141165070851248e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,2.6273160871569365e-11,5.94550540467578e-12,1.6504480387221232e-11,5.2147259442668984e-12,1.4285114373783448e-11,1.868780841739449e-10,1.9999997090071682,15.999999611339627,0.0,0.0,0.0,0.0,0.0,1.6925057746806105e-11,6.248507332187774e-12,4.5823181104340974e-11,9.372093373305925e-11,3.838696686433165e-11,2.9999996045663533,1.999999548043056,0.0,0.0,0.0,0.0,0.0,6.1462826356218535e-12,1.0866299739428433e-11,3.269597818660315e-12,3.650972190187021e-12,1.3010695993711027e-11,1.5469648036169706e-10,31.999999799311713,1.9999997497188169,0.0,0.0,7.106269767465281e-12,9.336734739559469e-12,1.9048142939577528e-11,0.0,7.085543503953476e-6,7.107003539791957e-12,9.336552053679385e-12,1.9050068046126036e-11,0.0,1.2655304675118122e-5,7.106656134070284e-12,9.33661417385001e-12,1.9053083205409888e-11,0.0,1.1400832319270748e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,2.627354487362141e-11,5.945625293519732e-12,1.6504527659813518e-11,5.214768353854101e-12,1.4285206354880692e-11,1.8687868734830032e-10,1.999999703036625,15.999999606007023,0.0,0.0,0.0,0.0,0.0,1.692522567381439e-11,6.248557238199755e-12,4.582322682416977e-11,9.372254962798208e-11,3.8387026533478076e-11,2.999999596580083,1.9999995397393924,0.0,0.0,0.0,0.0,0.0,6.146360380985372e-12,1.0866409635213162e-11,3.2696063430275324e-12,3.650974519652608e-12,1.3010792823077106e-11,1.546975472130382e-10,31.99999980374824,1.9999997452971396,0.0,0.0,7.106043412328454e-12,9.33666459193611e-12,1.6726820662839266e-11,0.0,7.0779865242769015e-6,7.10682496640893e-12,9.336519262971629e-12,1.672881480530846e-11,0.0,1.2644633974372046e-5,7.1065072039140524e-12,9.336566342608217e-12,1.6740897489829507e-11,0.0,1.138796758554789e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,2.6273699776956842e-11,5.945727763226405e-12,1.6504561628587663e-11,5.214778794108102e-12,1.4285290333641819e-11,1.8687868702486112e-10,1.9999996956780066,15.999999592045446,0.0,0.0,0.0,0.0,0.0,1.692532446150348e-11,6.24857546640994e-12,4.58232521457106e-11,9.37241852793818e-11,3.838699610832841e-11,2.9999995861848547,1.9999995288885202,0.0,0.0,0.0,0.0,0.0,6.1464372766877314e-12,1.0866482071717498e-11,3.2696150601758607e-12,3.650977365874079e-12,1.3010879652244203e-11,1.5469815806073292e-10,31.99999978241529,1.9999997397828648,0.0,0.0,7.104991333449067e-12,9.33651789737259e-12,1.6891775581942528e-11,0.0,7.06910229579603e-6,7.1057342110796076e-12,9.336452900765499e-12,1.689406255337929e-11,0.0,1.2632434464756757e-5,7.105401509137386e-12,9.336558673547511e-12,1.6902978223701964e-11,0.0,1.1373220637252027e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,2.6273718172863058e-11,5.945851256234787e-12,1.6504579180517158e-11,5.21477627825321e-12,1.428541773435047e-11,1.8687819194237691e-10,1.9999996867227996,15.999999581464216,0.0,0.0,0.0,0.0,0.0,1.6925434210135775e-11,6.248594865732716e-12,4.582328243466829e-11,9.372574417804408e-11,3.838699674934458e-11,2.999999576665717,1.9999995189651987,0.0,0.0,0.0,0.0,0.0,6.146425231840396e-12,1.0866412892019999e-11,3.2696047313748055e-12,3.650973140791796e-12,1.3010780086871956e-11,1.5469784806370588e-10,31.99999982673422,1.9999997328146086,0.0,0.0,7.104128045774015e-12,9.336498662086501e-12,1.9047911352729036e-11,0.0,7.058728414143889e-6,7.104789399945702e-12,9.33637269669436e-12,1.9050179939098752e-11,0.0,1.2619159834807128e-5,7.1044958109079765e-12,9.336488886477655e-12,1.9053121901847454e-11,0.0,1.1359681361191925e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,2.6273651061768288e-11,5.945866270048667e-12,1.6504560640551958e-11,5.214758009902613e-12,1.4285377904980591e-11,1.8687794697062828e-10,1.9999996788655676,15.999999570663016,0.0,0.0,0.0,0.0,0.0,1.6925514202847015e-11,6.248606149433061e-12,4.5823272827600334e-11,9.37267465184105e-11,3.8386952128465344e-11,2.9999995682147005,1.9999995101580121,0.0,0.0,0.0,0.0,0.0,6.146415729834668e-12,1.0866370896912916e-11,3.2695958558980592e-12,3.6509679327062704e-12,1.3010725820825036e-11,1.5469746418639887e-10,31.999999822359797,1.9999997237859088,0.0,0.0,7.1037496140125685e-12,9.336365354838335e-12,1.6726985949691142e-11,0.0,7.04670106651536e-6,7.104483310025733e-12,9.336223804225718e-12,1.672917911190495e-11,0.0,1.2607136210287498e-5,7.1042280180303575e-12,9.336369566093416e-12,1.6741445235028597e-11,0.0,1.1347318370345371e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,2.6273536836307752e-11,5.945876694430881e-12,1.6504565007899226e-11,5.214756405308244e-12,1.428536682755991e-11,1.8687793878090329e-10,1.9999996719812208,15.999999569268445,0.0,0.0,0.0,0.0,0.0,1.6925623672846934e-11,6.248614397222152e-12,4.582334054469817e-11,9.372759230108832e-11,3.838696442726483e-11,2.9999995607544623,1.9999995023847386,0.0,0.0,0.0,0.0,0.0,6.146447905894496e-12,1.0866400765643002e-11,3.2695985732616966e-12,3.650965665026888e-12,1.3010755595818601e-11,1.5469740167456335e-10,31.999999828608168,1.9999997145974047,0.0,0.0,7.10352516794056e-12,9.336219588253226e-12,1.689180561639825e-11,0.0,7.0348915798306355e-6,7.104344884161757e-12,9.336177487313709e-12,1.6894167276616914e-11,0.0,1.2596493059872254e-5,7.104101338268599e-12,9.336332443573192e-12,1.6903239124990535e-11,0.0,1.133636029744989e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,2.627335702299086e-11,5.945834641076686e-12,1.6504548997719518e-11,5.214728426099206e-12,1.4285263285392584e-11,1.8687788652272915e-10,1.9999996659409043,15.999999551610538,0.0,0.0,0.0,0.0,0.0,1.6925657239690815e-11,6.2486060447970914e-12,4.582334767404875e-11,9.37280525595657e-11,3.838695821115225e-11,2.999999554147656,1.9999994954985436,0.0,0.0,0.0,0.0,0.0,6.146455820870829e-12,1.0866413683344813e-11,3.2695986943847197e-12,3.6509636476176945e-12,1.3010762493437743e-11,1.5469725775140183e-10,31.999999847584487,1.999999706116483,0.0,0.0,7.103480380735467e-12,9.33608211841896e-12,1.9047308434316116e-11,0.0,7.024063559663289e-6,7.1043227016408655e-12,9.336060542627293e-12,1.9049715398204668e-11,0.0,1.2587038662748018e-5,7.1041391462292455e-12,9.336245963490272e-12,1.9052762165766613e-11,0.0,1.1326588189879486e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
