Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,Total
Zone,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9972469213378576e6,0.0,3.104120194010676e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9952925793271265e6,0.0,1.4557718636416397e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9112054661563225e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8125762574218333e7,31.09083836830285,43.07081876916289,14.300117441850013,1.0844463500157854e8,1.2805401515292467e8,20.230658059849663,31.824366250233023,1.2853643356638636e8,2.007831413010266e7,1.143513222153569e8,6.2258033784145825e7,2.0885409198365456e8,1.352194380923451e8,91.65169066077704,1.491250386685952e8,50.986269868094354,15.648934690699502,5.528368225981005,8.759878666459478,1.2669793134729166e8,23.81721359640323,1.7364409553649027e7,1.9485695196960807e7,7.673393355256136e6,2.602279687670073e7,3.323787212523815e7,2.2960969751376525e7,3.784034030404329e7,2.32298266752367e7,3.3597995547139645e7,917514.1552459671,1.0127664541598361e7,5.212119982346497e6,3.2331312656933762e7,210.2187016934261,2.6577201808613725e7,1.5456966305587899e7,3.347070890789193e6,6.126516760873192e6,2.0575571794754006e7,8.962936348122206e6,13.369690050347714,867299.6399004222,6.831467009751102e6,1.5749561553187368e9
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001671292611717945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015787335928507673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015787483789608814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015078829892445356,0.00015078753312991466,0.00015078823344083503,0.00015078822616487741,0.0001507882698206231,0.00015078824071679264,0.00015078814612934366,0.00015078825526870787,0.00016712671845198201,0.00016713099103071727,0.00016713047170924256,0.00016713123477529734,0.00016694769584718605,0.00016713130025891587,0.00016713073091523256,0.00015787441725478857,0.0001578751234774245,0.00015787571101100184,0.00015787527081556618,0.0001554450072189656,0.00015786956350893888,0.0001578751262059086,0.003961602024429675
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016712928299966734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001578734272698057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015787524898769334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001507882698206231,0.0001507875522293034,0.00015078821161296219,0.00015078824071679264,0.0001507882188889198,0.0001507883207523264,0.00015078815704328008,0.00015078825526870787,0.00016712673243546305,0.0001671310055826325,0.00016713048444216838,0.00016713125660317019,0.00016694450727722243,0.00016713127115508541,0.00016713073819119018,0.00015787449456183822,0.00015787520624144236,0.00015787556185387075,0.00015787534903211053,0.00015526778096892208,0.00015787016809554189,0.0001578752326167887,0.0039614229746475285
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016712935303075938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015787376537446107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015787559823365882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.715708552788179e-8,0.0,0.0,0.0,0.0,0.0001507882698206231,0.00015078753949637758,0.00015078823344083503,0.00015078835713211447,0.00015078829892445356,0.00015078826254466549,0.00015078815704328008,0.0001507883207523264,0.00016712686021946865,0.0001671310074016219,0.00016713045079086442,0.00016713129298295826,0.00016694544582421256,0.00016713134391466156,0.00016713076911401004,0.0001578747410349024,0.00015787529082444962,0.00015787581287440844,0.00015787547272338998,0.00015498084983833413,0.00015787023016855528,0.00015787541087775026,0.003961156291468671
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016712945671315538,0.0,0.00016693796971978259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001578736967076111,0.0,0.00015779912605040636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015787586380611174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016710624910842853,0.00016712633316728898,0.00016712697834009305,0.0,0.00016712748129066313,1.6014248101436896e-5,0.00016704757308616536,0.00013196134519606823,0.00010797067324230374,8.27621577336302e-5,9.268457165993282e-5,0.0001578751243869192,9.590758499271015e-5,0.0001578701308062591,0.00015078827709658071,0.0001507875058450736,0.00015078818614711054,0.0001507882188889198,0.00015078824071679264,0.00015078835713211447,0.00015078812793944962,0.0001507882698206231,0.00016712703654775396,0.00016713104741938878,0.0001671304416959174,0.00016713138757040724,0.0001669323269889167,0.000167131373018492,0.00016713086370145902,0.0001578747992425633,0.0001578754872753052,0.00015787598385941237,0.00015787569827807602,0.00015506426983441512,0.00015787051154347864,0.00015787561278557405,0.005964528587456791
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016713029890524922,0.0,0.0001671244432372987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.40334658842471,0.0,60.820303840442364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015065030778060873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.06960475095184,3.1519130217015265e-5,0.00011655770793156243,6.776914256136866e-5,0.00015078665364853805,0.00015070700084152122,0.00013018620616838707,0.00013021439803550475,0.00015078788601385895,0.00016713129207346356,0.0001671322315814905,0.00016713206423446536,0.00016713226068532094,0.0001671323407208547,0.0001640596377853673,0.00016713221702957526,0.00414148419017569,0.0018481437906143023,0.0007835133627140999,0.001332920442866555,133.93921816546936,0.0026368052980838535,100.9995465358079,0.00015078829892445356,0.0001507873412265326,0.00015078813157742843,0.00015078834985615686,0.00015078827709658071,0.000150788328028284,0.00015078803335200064,0.0001507883716840297,0.00016712780166017183,0.000167131882335525,0.0001671311647442053,0.00016713220975361764,0.00016692700169321228,0.0001671321806497872,0.00016713176228222437,71.46145766679501,71.99615610575256,86.73346984946693,75.9283645116193,0.004627462427916541,63.19181519553422,74.27801152567645,894.8416213698073
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.8620344851114,0.0,782.5700292754233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.3762273161285,0.0,465.9143422620648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015078479873409378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5959.147661603896,0.00014341453015744281,0.00014876632873437982,0.00014348687181739124,0.00015078858996275812,0.00015078872092999518,0.0001468367316214015,0.00014827242367338594,0.0001507885754108429,5156.33702649262,16692.85334925787,12100.994975726448,25309.157196037297,23251.74175631415,0.018330828193457965,21667.423804183345,0.01069159580279375,0.0045750911250353726,0.001479256251074031,0.0028802187898902846,25242.2720711875,0.0068998482545006585,6721.184386935491,0.0001507885317550972,0.00015078741080287728,0.00015078823344083503,0.00015078858996275812,0.0001507885826868005,0.00015078848809935153,0.00015078808246471453,0.0001507885826868005,383.5803371046363,3986.6522217759257,1596.9178576795427,11516.260880115122,0.05916965998987474,9097.419391955413,4301.487252024935,1030.024239704348,2244.624198210493,5330.024147996774,3657.255638528154,0.003914538665365714,277.87887611228604,3190.4309893155078,191392.5013728716
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0312992380167,0.0,1069.1060857587406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.08253179991095,0.0,603.4725943367263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040719385560805677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9447.544173281298,0.000388327497083037,0.00040061359989275805,0.00038434862203416513,0.0004072028532391414,0.0004072054289281368,0.00038852638363332664,0.0003967183354650454,0.0004072015290148556,8796.009780162574,60643.486688368575,32343.751332975044,110533.71165763901,77964.18514221656,0.025380422296345136,81287.43040011657,0.01627200436258726,0.005838000603194499,0.0016253144149395334,0.0034073039171567043,84392.88199457596,0.009059796076574651,10095.91843259362,0.00040720081597100943,0.0004071896833011124,0.0004071898156325915,0.00040720220567891374,0.0004072017145517748,0.00040720117431192193,0.0004071903213116457,0.0004072020892635919,249.15429086450064,2661.4966265655694,890.3470510114854,9099.238215231757,0.03371834379784967,6533.344761176894,2227.2361023545386,583.1939751996116,2197.8743181863515,5409.474620891111,4105.618286811059,0.0025064302989687955,188.53071456515968,3492.7652213048914,515704.9909497573
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.5908509747803,0.0,1221.475616068173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.43770069862214,0.0,645.4292696837471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008175853381544584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12699.044758672684,0.0007588317265173148,0.0007954640144691473,0.0007447386971540793,0.0008176201954483986,0.0008176326518878341,0.0007532299946544398,0.0007819740943074,0.0008176168194040656,10391.681509182055,86105.43692371799,41153.12804568485,185776.09857047023,106512.38114085086,0.026822917358407958,120087.47127197767,0.020185207185087733,0.006244658244371672,0.0018349024352158566,0.0036351825319763283,161651.48734374926,0.009741550121985049,11439.764036254004,0.000817588538666314,0.0008175089103588107,0.0008175109505828004,0.0008176040137186646,0.0008175908214980154,0.0008176075261872029,0.000817527520666772,0.0008176017636287725,238.66249820410283,2044.5717610567585,784.178334986532,8621.486130918138,0.028483940837203278,5620.238710463568,1455.9322003687835,441.2839239677898,2215.1997663118295,6966.398053159293,4927.698846063438,0.0027380914757324975,204.54085970007318,3039.030058017941,775031.761512887
