Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,Total
Zone,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0
AnnualSum,3.6967677746029706e6,0.0,80.18251524735342,3.767648375663836e7,8.83716917942406,2.2512120891609915e7,9.261443529526927,11.43337935772414,1.6383921173725493e7,1.19358587466945e8,1.0233982236059938e7,380153.95095787535,5.690367092155692e6,1.914220593126767e7,0.0,20.575137671183942,1.167035562307323e7,4.816904907677675,9.14793795583594,11.139003501898573,2.313977792035529e7,1.4338320148670083e7,9.713380076836282e6,3.4577918902981556e6,2.440345425811382e6,1.3689802158857035e7,0.0,32.50665736084842,22.89044003256126,57.216093036855945,11.978676263296357,9.265895635901362,10.113156645863436,2.3137184256928983e8,1.5567291204453088e7,337833.7338700068,1.4865894311522061e7,21.858467390083682,2.2939292957428503e8,8.622072125996032,2.096680044672863e9,75.45888422289745,22.418023036259214,2.2524083958978766e8,9.715492883971773,1.843869526181812e9,132.9295805122756,18.90977180319352,6.0574813259621374e7,9.245535229997065,6.076019707195776e8,117.73590670859514,1.4407760611967328e8,37.67486466888958,56.65744643783747,17.29023568946295,9.348765176432133e8,2.796459802350098e9,25.164766227038943,40.434595426322474,2.8687764199983644e9,5.9106367211066335e7,7.159952846753172e8,2.7601994036377645e8,2.4458069977107496e9,7.222241213887166e8,126.64353069478523,1.0955056302145207e9,69.85767133756156,20.783273860109627,6.499833239591355,10.557891801387175,1.6685912224177737e9,32.96904758188724,5.245088841636492e7,1.9491806599395597e8,4.2590443423963666e7,2.687149682787439e8,3.0002995810507023e8,2.3518852844344112e8,4.0908386399361426e8,1.9193258378864014e8,2.9591341454259455e8,4.320764438165896e6,6.774420486261816e7,2.693847660393999e7,2.2742279693631503e8,662.5346497892434,2.583371855831901e8,1.0710746491493076e8,1.8570846654521927e7,3.389280848628592e7,1.9847623153277883e8,4.736745949064275e7,31.959475553518462,3.3092209681690834e6,3.08866053438381e7,2.2381665895515434e10
t1,306.7483084567247,0.0,0.0038310560982752068,0.0068834183258079384,0.0012061665866428956,0.00506247743610394,0.0013826851832392378,0.001680081942655301,2439.9983826551725,17770.206383865283,2243.2544141256903,49.168890765323994,0.0,2804.5808995831208,0.0,0.0027353080555985176,0.0036653866701604754,0.0006370915128424311,0.0013136295958636884,0.0015885381829706946,3395.698371634216,2104.698370128469,1709.6354499251706,414.381423542954,0.0,1503.0873574181019,0.0,0.00985011111298345,0.00612927594134724,0.01774431823522654,0.0023664939982816283,0.0017057434004607089,0.001820297739641992,33632.28660896059,2227.9986328830623,38.615373978315006,0.0,0.005343839837345987,95481.70571809793,0.0016465326263240265,370852.9261698101,0.011325121556296336,0.003998341382838416,88755.94771877701,0.0013928965404795476,285958.0694172526,0.020576978870059826,0.0030843228305661996,21499.80391459144,0.0013151663806281327,70835.7584561689,0.017697394633798935,6448.016241552723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36991.48156712012,5431.766028480994,34639.89104170768,43776.00114109575,35755.39718233251,50797.993972929566,21366.615222307322,43235.64867805946,960.720321496757,15623.782152739326,5943.584212586253,43698.26594466536,0.1548027383893551,48897.24705587284,9027.816213372562,3200.332910155381,7255.040489025237,31857.622050137914,9780.730205185462,0.01027899520842429,629.154191066641,7188.870421973589,1.466530848570892e6
t2,306.74830845604345,0.0,0.0037625983213321335,0.006775713854912602,0.0011899336356831318,0.004986495527907656,0.0013578683710396972,0.00165112199519344,2439.9983531217463,17770.206354348524,2238.168279683954,49.10505327741599,0.0,2412.034205057425,0.0,0.002637834672286482,0.003564182995302187,0.0006239813295782388,0.0012782441584356236,0.0015467704647886549,3395.6983380081792,2104.6983364968587,1697.4451781534347,414.15778833038803,0.0,1503.087357245764,0.0,0.009775729640645103,0.006071858308825118,0.017651891022368915,0.002339018137615931,0.0016900556680966156,0.0018063733762644085,33632.28659204474,2227.9986167019765,38.623497065185,0.0,0.005303279627277002,95481.70563696386,0.0016345465187739203,312994.0532982335,0.011313864978919563,0.003926123970744863,88755.94732170163,0.001372096027435335,260967.4816055302,0.020554752055073622,0.0029923160345946137,21499.80330686915,0.0012840617931772075,60159.78022852105,0.01767351776329884,9900.206417677715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38923.64690813589,5527.780642112878,31843.49609938285,48912.865815318546,39717.19965916969,47541.665486711885,21964.18622802348,44065.614909874275,958.5420785069017,15344.86223369974,5854.14609669723,49626.07145558584,0.15174246905970978,47474.480193196105,8842.817376780627,3177.513468584725,7134.508787853801,29695.373023319265,9886.471880662524,0.009547700890915944,688.0673920319749,7901.2459676591825,1.3850700858311963e6
t3,306.74830845492755,0.0,0.003650782320051893,0.0065850249023141905,0.001165387169973435,0.004857008636002011,0.0013176705451296983,0.0016049737562355698,2439.9983162559306,17770.20631744467,2290.1729771055598,49.035515510771994,0.0,2019.4874814364175,0.0,0.002487818748938754,0.0033952939413346706,0.0006051567532692776,0.0012247782040670195,0.001483335284615292,3395.6982944323568,2104.698292909944,1827.534710407935,413.91780788384403,0.0,1503.0873569266137,0.0,0.00962183355105617,0.0059557615754260995,0.017450347378485054,0.002286178496277179,0.0016597348689558963,0.001780053320062834,33632.28657104297,2227.9985964535476,38.6161044214,0.0,0.005223131456378538,95481.70543542357,0.0016142271499126892,281595.92015635065,0.011300042642410912,0.003801656177979909,88755.94660306977,0.0013426035887741591,249768.15078582513,0.020527749879305168,0.0028414031457474204,21499.80217804724,0.0012416162011800007,51229.582046552765,0.01764355865270939,16007.759717711071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7171318057014057e-8,0.0,0.0,0.0,0.0,39257.45484342646,5428.50835095384,27248.480364445495,52336.74211330175,41956.33755499966,43370.75311889505,21165.31969526894,44318.01386379641,980.8141731389034,14986.278200004279,5451.599270362314,51951.39813332283,0.1523266116592641,46073.56887040617,8834.260542755403,3421.0330993061325,6664.6978009172,27692.278410215993,9639.05093835096,0.008605283364569172,681.4260273975508,8336.950331309303,1.3341536128752825e6
t4,306.74830845223414,0.0,0.0034681791300540388,0.006204996968042886,0.001130868133205152,0.004621162453205568,0.0012560997492219762,0.001535296559304622,2439.998269168876,17770.206270348117,2364.1501889601345,48.971227834584,19.929522066369085,1626.9407384183232,0.0,0.002218720249065706,0.003022958663863845,0.0005780443964666857,0.0011376766051436164,0.0013758599490079418,3395.6982005196005,2104.6981989861774,1647.059103026737,413.687790461166,46.76286595817609,1503.0873563719906,0.0,0.00934402661808259,0.0057635670734421385,0.017094239620172813,0.0022042755120962113,0.0016118016912589697,0.001739009367407042,33632.28654497346,2227.9985710952255,38.6254255049,0.0,0.005086745862883407,95481.70505737903,0.001576250088457097,275778.4181134597,0.01128334662820002,0.0035983465295425926,88755.94531770583,0.0012911829518079884,244260.21370018617,0.02049468617548278,0.002551322062470926,21499.797586788718,0.0011597853519977087,46964.085358852106,0.017556487662135467,15708.905621823395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.44475352255688,989.3725585942497,1122.228876954546,0.0,1899.5584312420374,1.715473344462992e-5,50.566412858663455,0.000744907738065681,0.00032930575028950783,0.00017137209737322356,0.00021977916182981585,6635.737322509051,0.00024033805076493966,898.7941660899947,37730.610705816696,5155.545489362951,21294.55733071294,51929.59681984666,41710.667507323786,39277.96204640054,17775.78308194923,45209.02025715503,1012.4964546389699,14550.65354190783,5158.354471315511,55268.45465791811,0.14198276263529586,44232.656622836395,9748.049815525314,3083.1938242930946,6452.238255908514,24740.20081895728,9618.93415544088,0.008884547208804605,691.7172014302535,8348.473916342473,1.312801070330298e6
t5,306.74830766984326,0.0,0.0030827374966789084,0.005184768801231532,0.0010811154670517485,0.004025593022854365,0.0011546136226343214,0.0014184148173481126,2439.998166150039,17770.206167309767,2330.2261836337602,48.893694882047996,582.1073052414174,1234.3939815449835,0.0,0.001398329903552764,0.0016009555532468939,0.0005155301176740443,0.0008733021170762197,0.0010132778544622197,2546.774623657782,1578.5246260111057,1437.9266991199115,413.46884677386805,347.63418828409624,1503.0873554913517,0.0,0.008765862238788447,0.005439515949286267,0.016333807220142105,0.00208410856049588,0.0015397964968337507,0.0016781717869286741,33632.28651166512,2227.998538989441,38.618032861115,22.86348940332436,0.004852933783226265,95481.70437029311,0.0015247790676382461,283975.4436221046,0.01126304784324711,0.0031934972205591577,88755.9402059643,0.001213861559561897,25827.92865208299,0.020395650328905335,0.0014571417613806203,0.001919963228166413,0.0007833603926751947,0.0002935323754036795,0.013768096141313024,17056.13161387702,3.75078441398394e-5,0.0004753785737117086,0.00011637345860248099,3609.892478296745,42.03942928249209,0.000922323167048926,0.0009148891606808665,8994.743271967089,5241.237122290838,46801.53046443654,22882.76302444487,50590.591927050315,56657.81692776338,0.008663072541234718,36621.311131115195,0.004540501188083759,0.0019712738847414493,0.0007851879628541537,0.0013726597287988286,109500.13185895473,0.0027412455211649894,8170.0230691617835,35010.78912242972,4231.388077050549,16310.766934196512,50130.54206747673,40176.87321480341,33690.77409709989,12339.389930955533,46366.66237440861,997.9677929139623,13760.03454489768,4446.906197105629,55478.64738570846,0.1384067221393117,42550.10282523769,10502.55971511006,2750.1679981720363,5965.275286052296,19892.81456215661,9505.79276903082,0.004763602807700301,582.3375615023513,7899.930341681533,1.3412609922522677e6
t6,207.3635964786559,0.0,0.0016744192145595124,0.001960826145755122,0.0008823951958740403,0.001837445327256361,0.0008882278120364989,0.001051129364654936,1829.999592460911,13327.655593108502,1002.5613017488755,48.829406942591994,902.508307125811,841.8472763989874,0.0,0.0012374795969839654,0.0014101577619577699,0.0004919129873746583,0.0008014166305683953,0.0009255431168157732,1697.8529049190258,1052.352900654045,602.7312756602953,413.2254482399,507.33116155262553,1503.08735191038,0.0,0.0070907576312499165,0.004717433597711165,0.012498431845738567,0.001892210254660076,0.0014224161260060764,0.0015766286049074332,33632.286467869,2227.9984973675914,38.617879925375,988.7838898381801,0.004253994046686749,95481.70251083939,0.0014444999220721358,42430.35282755058,0.011236407241523583,0.0016173045494620175,0.0020363301712868973,0.0008350916650203474,0.0003924363660523511,0.015899582357094322,0.0012945250298045732,0.001651642331641695,0.0007243838205853344,235.72177923066042,0.01043550306945068,11823.093005870236,0.002841795631323682,0.010975458779217628,0.0029060982046439088,40797.63811556569,96014.924636304,0.005624699288855617,0.008835841413931622,165602.5374706113,10015.939282636458,141300.0227244001,55695.441853524906,308764.31573194463,158108.97251016952,0.018291111091165435,172111.06822485453,0.010554198962054506,0.0045256316027170035,0.0014724645088610225,0.002849587776172585,275277.288395674,0.006895331989509812,10873.878026352539,30724.041184725436,3455.1923537663197,11375.309801974357,47710.874185957415,37523.87864280418,25125.910231369737,8180.722155644236,44344.462204083415,417.0391360655043,5848.50340649169,1908.4012166612622,35385.21604523873,0.05921804435458644,20750.96185591464,6204.642012270134,1152.8575309079606,2866.52985326235,8000.411257969644,5127.748855545672,0.0038967861078290505,295.808596053184,4567.535164653862,1.9463242087066704e6
t7,175.2116448594556,0.0,0.0014735304253261153,0.0017069139861359273,0.0008357947850711825,0.0016101784326861268,0.0008094211206686464,0.0009576487890734856,1220.0028832799385,8885.106884509847,604.0493950746283,48.755998083276,1177.2907821290985,449.30079350882926,0.0,0.0011511953756096031,0.0013075898638727282,0.0004769320599717474,0.0007583838073833664,0.0008717276375111022,1697.8507346955307,1052.3507339367513,319.0945737047498,412.994353485468,644.3417081838182,1503.0703170396075,0.0,0.0024882062488535764,0.002241130497458811,0.0028745588052843107,0.0014111497667254266,0.0011059022495739507,0.0012058775865640275,33632.28603248408,2227.998080584524,38.617803457505005,2883.4094975616345,0.0021456246396230685,0.0031837407658873995,0.0009842459633175697,0.0004116795724187581,0.010794057810667446,0.0014245926890290167,0.0017524500908109933,0.0007625073379637914,17846.095980386675,0.011881367774881801,0.001207205968152096,0.001520000336269707,0.0006774561413119065,13753.944234860479,0.008098513998132217,11886.125245303836,0.008316894466216695,0.02515251844947375,0.0069185739095583565,92266.31945205624,434206.852503772,0.008551216512512505,0.01557815337946955,439787.21775524656,11430.322280070457,143931.39504064468,55815.78247945554,517980.75756943773,174884.59763030882,0.025422634279126943,232820.81465047735,0.01621044391860116,0.005830187884142635,0.0016173078409726024,0.0033965342748245586,368061.1563248272,0.00906015566225804,10915.215667226761,12152.973762248728,2192.0183373564123,2206.286151700252,25037.090543550814,18763.59271034491,14783.093884840853,2306.123608408415,24172.11934132424,256.2398408264862,2762.654369000047,917.5121700687986,9944.218302093997,0.03371332264318605,6890.974644101742,2324.0711003862084,600.2028178767451,2372.7157430537522,5640.718976794478,4426.372565883816,0.0025064667348343866,193.97619349977586,3916.220125544962,2.7244177346235523e6
t8,156.52144639754917,0.0,0.001366128758465819,0.001575523174859185,0.0008029141471379564,0.0014896152040129867,0.0007659165722091188,0.0009013726257400823,1220.0007212216947,8885.104721844575,577.1092123463434,48.68988016795199,1347.9728879285515,269.16811116905274,0.0,0.0010968037660978418,0.0012411366500291524,0.00046718800175705663,0.000730595598031028,0.0008356086286291087,1697.850709738322,1052.3507089579052,239.84721688070275,412.774556945302,689.4934891271793,1503.0702716112653,0.0,0.0019013069003817051,0.001727486570397771,0.002026562581688582,0.0012034468657694773,0.000959102440572325,0.001067352759698801,30991.127941788323,2227.982344748977,38.618934732170004,3739.0152710172756,0.0017168889448147262,0.0021996528188630016,0.0008613885170131244,0.0022438002115834077,0.009245777371360064,0.0013229772177226415,0.001612210386384573,0.0007193083884545898,17305.603718292,0.009019533730684592,0.0011537727966520923,0.001440123252966441,0.0006489084909148454,11068.145529482726,0.007269214013278125,13991.297482829497,0.010529526866533523,0.029730997215669186,0.008394931780277337,133229.8067816593,623322.8600319686,0.009669011573372466,0.01811724422155503,604079.1083861389,12743.37507695524,138105.35115098697,55928.0564205461,573308.9240761567,171247.77305939564,0.026778590517308576,230200.74934125392,0.020096615361690606,0.006238072827374097,0.0018371016921034586,0.0036200555346674046,391815.63839296985,0.009744806634726377,10910.556607728322,4605.946111242696,1103.140298370891,1101.9130727592506,10332.727647456224,5042.068891850921,14024.349242728185,1336.4381588442122,8825.70976021921,245.1550791235109,2097.5379854496273,803.1230885599239,8953.423704411738,0.02847205649721951,5705.200327426034,1494.4178938050923,450.29224851012117,2353.197560610251,6911.936327591708,5301.903591215065,0.0027381471185701084,210.8264061893668,3215.886399967383,3.1264693738580937e6
