Resource,Liquid_DAC_1,Liquid_DAC_2,Liquid_DAC_3,Liquid_DAC_4,Liquid_DAC_5,Liquid_DAC_6,Liquid_DAC_7,Liquid_DAC_8,Liquid_DAC_9,Liquid_DAC_10,Solid_DAC_1,Solid_DAC_2,Solid_DAC_3,Solid_DAC_4,Solid_DAC_5,Solid_DAC_6,Solid_DAC_7,Solid_DAC_8,Solid_DAC_9,Solid_DAC_10
Zone,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.5333244,0.52669215,0.52159566,0.5187917,0.52832973,0.2994958,0.52401584,0.5118107,0.5767067,0.44788244,956.5233,130200.36,10.196707,55.979412,28553.7,1810.8141,175424.25,159363.84,33.430542,12853.028
t1,0.0006805202070969147,0.0006626309738217736,0.0006512749967967381,0.0006476458822556522,0.0006750478745279654,0.00039214896506417103,0.000659574767315775,0.0006524965811644414,0.0006852933044044553,0.000541852475053577,1.1762432057912786,160.14803865646948,0.012449089596995297,0.06833062157001354,35.155994022110505,2.265695045263395,217.60208268416915,196.63159556954142,0.03979972340805782,15.31033864720902
t2,0.0006841643074517576,0.0006643926286371442,0.0006540966127849193,0.0006501181916910162,0.000678477872186578,0.00037787535075097824,0.0006617954502284049,0.0006544731736839848,0.0006873626851844228,0.0005445673200295512,1.176245442648133,160.14803972484577,0.012451296800396108,0.0683322863981106,35.15599559848715,2.2656953844732652,217.60208534516158,196.63159769282214,0.03980033826669043,15.310339667143229
t3,0.0006856628659833975,0.0006655786295859569,0.0006554379087293832,0.0006514193487178863,0.0006798498765438668,0.00037262579809586085,0.000663036255440515,0.0006557792507040262,0.0006885768079068553,0.0005458180778668411,1.1762473449208226,160.14804164522178,0.01245311778733116,0.0683343531119339,35.15599787688332,2.2656946497124015,217.6020881241486,196.63159971539892,0.039802355380019236,15.310341629880629
t4,0.0006857287546474522,0.0006656117991161967,0.0006552306299908579,0.0006511736676378042,0.0006802753510208,0.0003698880256142103,0.0006627653996069222,0.0006555374884998898,0.000688529321738854,0.000545463629211156,1.1762480921946916,160.1480422477033,0.012453703079877818,0.06833489988906445,35.155998966418586,2.2656937422328682,217.60208922556356,196.63160037727135,0.03980312474423047,15.310342513467118
t5,0.000684621251978594,0.0006651591300899046,0.0006539258179276274,0.0006500744062477636,0.0006808646299103124,0.0003654803458209819,0.0006611604924156445,0.0006534665310695691,0.000687815970365012,0.0005448204858856035,1.176247533588481,160.1480416869484,0.012453002725329627,0.0683340269986634,35.155998778959095,2.265693392542041,217.60208818620353,196.63159945367255,0.039802109288996294,15.31034173846179
t6,0.0006787104129851612,0.0006659865360990065,0.000652720748152714,0.000647965970704732,0.0006777229209326997,0.0003458209000663299,0.0006543412104281169,0.0006450263295074126,0.0006890763924590918,0.0005463039722383295,1.1762433542905042,160.14804178840328,0.012452507716653422,0.06833234873442204,35.1559960751772,2.2656899098899936,217.6020836320383,196.63159472096316,0.03980271219715602,15.3103431531185
t7,0.0006663719222890995,0.0006572911920972623,0.0006379238818220809,0.0006400801950515227,0.0006612655340474177,0.0003055568971216634,0.0006261434202996467,0.0006347026305505843,0.0006864727821586227,0.0005445142618434454,1.176245308941835,160.1480370300643,0.012442829670862639,0.06832848451342097,35.15599718566201,2.265665832039683,217.60211204029196,196.63159751299798,0.039798732269146826,15.310339498655665
t8,0.0005210573909794052,0.0005695068541108539,0.0006278193226305736,0.0005764218675059689,0.0004942051371933733,6.425501669515708e-5,0.00025929743172544415,0.00046338077491744185,0.0006839508131986316,0.0005431883455118852,1.176157248304912,160.14796980252217,0.012438497777218047,0.068284439130267,35.15588222084429,1.1332049259426638,152.32267341254868,196.63150041204477,0.0397958847435098,15.31033809884557
t9,0.0004807764189893803,0.000569307967554701,0.0005895717970602467,0.0005775921062060004,0.0004469895987867316,3.534527606991661e-5,0.000185173805592441,0.00045703145222249675,0.0006889619629000714,0.0005321913178575575,1.1761408415123602,160.14797948686243,0.01241942905598836,0.06829095172855427,35.15585792018889,0.45343279882698767,43.5245733710701,196.63151614481083,0.03980125841497666,15.310333089903398
t10,0.0004724292745617377,0.00057067019282614,0.000573847384552637,0.0005799679400676382,0.000439284688102383,1.708859199763663e-5,8.804409487968242e-5,0.0004596293833046078,0.0006913961818997022,0.0005228726479230223,1.1761392704432179,160.14798268384922,0.012413320049484658,0.06829432337069262,35.15586240856661,0.4532798928339484,43.5206566638341,196.63151851491494,0.03980455945935343,15.310328722144888
t11,0.00046656889968038016,0.00056812850136976,0.0005692532447841701,0.0005782206108510356,0.0004319139494882297,1.7548680546474872e-5,8.453217584058426e-5,0.00045843931076751344,0.0006904323011481065,0.0005210508353584633,1.1761346312202443,160.14798067559838,0.012411067441354758,0.06829326954356627,35.15585730828256,0.4532816371074829,43.52066642888696,196.631516773785,0.03980449504664363,15.310327969593509
t12,0.00046901784827719465,0.0005697456584522104,0.0005692257364789114,0.0005792162504370111,0.00043254097872259974,1.7187000723079298e-5,8.402624983583705e-5,0.0004564495251765331,0.0006902715550506519,0.0005270367567624067,1.1761375928730098,160.14798192503827,0.012411452443505097,0.0682939088911088,35.155860032096584,0.45328121049780074,43.520671615350004,196.63151595239188,0.0398043653736007,15.310332264381872
t13,0.0004667917413425409,0.000569772464044635,0.0005687455015500996,0.0005789304633008319,0.0004303718012759357,1.426657635025939e-5,8.464733435091497e-5,0.00045389806584179615,0.0006900023277462249,0.0005271892738790777,1.1761345026541878,160.14798148961114,0.012411264950022658,0.06829343807863428,35.15585657986528,0.45325900987874,43.520660611922054,196.63151513885117,0.039803927566320424,15.31033177088844
t14,0.000464091232396936,0.0005685340724581182,0.0005678565757983416,0.0005778426376035178,0.00042775062635093825,1.9677672237793783e-5,0.0001016543162459087,0.00045084797778691083,0.0006888908324463508,0.0005261972347439504,1.176132344552387,160.1479797179038,0.01241039945911208,0.06829193567804757,35.155853654710015,0.453302658960944,43.520750816138005,196.63151410585937,0.03980242215105613,15.310330288252313
t15,0.0004626771809526732,0.0005708214348754817,0.0005690375454657826,0.0005784847183182321,0.0004270632677198412,2.8341131177112343e-5,0.00010376948760791531,0.00044589496115957436,0.0006870723285742102,0.0005256444800380488,1.1761223336980298,160.14797687584522,0.012408688701373596,0.06828958417846456,35.15583993082237,0.4533836052872536,43.52085317317422,196.63151172329512,0.03980014799789269,15.310328138237823
