Resource,CCGT-H2_1.0,Fuel_cell_1.0,CCGT-H2_2.0,Fuel_cell_2.0,CCGT-H2_3.0,Fuel_cell_3.0,CCGT-H2_4.0,Fuel_cell_4.0,CCGT-H2_5.0,Fuel_cell_5.0,CCGT-H2_6.0,Fuel_cell_6.0,CCGT-H2_7.0,Fuel_cell_7.0,CCGT-H2_8.0,Fuel_cell_8.0,CCGT-H2_9.0,Fuel_cell_9.0,CCGT-H2_10.0,Fuel_cell_10.0
Zone,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0
AnnualSum,11609.125,0.8941878,78222.03,1.0424372,29008.732,1.3864446,10777.192,1.1441004,1.8612094,0.7678418,296718.22,2.0902684,922693.5,1.2341019,1.9019754e6,1.8797178,0.6537071,0.48923728,6.1145544,1.9138322
t1,0.0014521687401552422,0.000827835672142314,0.0010527838298283656,0.0007321629212006014,0.0005885542154029118,0.0004501395144619699,0.000519611799901419,0.0004337250532081065,0.0006769231126179244,0.0007380700028664242,306.3350374315193,0.0029204764351337216,0.001933373863335217,0.0009856792731415167,0.0027122703033826867,0.0010138473914096996,0.00046715293026454387,0.0003578495006259706,0.00019208917832916824,0.00023937643930307056
t2,0.001645882733324863,0.0008197075589351642,0.0011137701842270362,0.0007262973268143116,0.0005754890992326076,0.00045360468809202767,0.00044979430223816694,0.0004278160672470676,0.0007288088373915212,0.0007290994660315904,349.27072013445013,0.0033116694248783276,0.00183025234045478,0.0009811544519095208,0.0024418756723421373,0.0009957238008369324,0.0004801006027692363,0.0003564353860230725,0.00019523476277664864,0.000239772803671859
t3,0.001822670689038991,0.0008197744234107835,0.0012025476307511388,0.0007187033147041216,0.0005772912250698787,0.0004587004182969068,0.0004359385958595436,0.00042438068483859986,0.0007478730903553555,0.0007217432339176553,373.84881765750134,0.0033664643842688333,0.0014967503786253715,0.0009702641730658397,0.0024496564222872687,0.0010071318355332293,0.00048668518425059665,0.0003561740149014171,0.00020081196581474525,0.00024157195620827139
t4,0.0018161537524625485,0.0008244356855525297,0.0011355213198107582,0.0007172932662717344,0.0005841737371775471,0.00046276185383620184,0.00045789442117305615,0.00042082911128601985,0.0007084900077363904,0.0007206701030887026,391.1492478281557,0.0033684952017776874,0.0013140964814363893,0.0009388261917112066,0.002194575679654189,0.001017507544652931,0.0004924130042790276,0.00035741989918291876,0.0002161022064438184,0.0002486236902387277
t5,0.001568212271063823,0.000898673214198968,0.0017197522600186118,0.0007502122560419303,0.0006088230546484846,0.0004724924621722741,0.00045836617609579114,0.00043300660530040696,0.0006831454877337921,0.0007700616083263516,411.0960075626287,0.003380797939463387,0.0011945732374238126,0.000983215935260301,0.002459561587193999,0.0011355573961368529,0.0005117567730271524,0.0003654280021345853,0.00029910963903723896,0.0003160452676127717
t6,0.016382934511934004,0.0018966966159889528,0.0013236524192096468,0.0010160568684973554,0.0006822834537729388,0.0005295940430447753,0.0005786615589007468,0.0005094204632976876,0.001999331214977696,0.0013425034455995162,473.0207789578569,0.00344068924513334,0.0015613883884240667,0.001807740560839192,2132.2238082439,0.003067758184320055,0.0005195169509486649,0.00037301127596511976,0.0013009340585400445,0.0010530850983874638
t7,571.7778702419773,0.002854024106718272,0.02568237451455455,0.002401966862057654,0.002313924167664071,0.0011500543078614483,0.003922797557063845,0.001589226038199284,0.019469306671660348,0.0023032766707894343,1077.7091024918475,0.0037704485979706865,3804.5862830305236,0.0030899991182137807,7825.6406580872135,0.0036739003071207905,0.0006136432931507847,0.0004195995957656614,0.0028205897710096893,0.001630997408472954
t8,397.5843923537524,0.003339425479495343,124.21370498516272,0.003710029736157869,0.002352372119348031,0.001220854152988076,0.0203997718069242,0.0034960773051736912,0.00622883504957775,0.002607464482597568,1240.506715623938,0.005601567037628814,5058.965850431543,0.004454493877469839,9782.352116061766,0.004817994390236928,0.00055046274370965,0.00038696428087956245,0.00041391391450050556,0.0003073977363619261
t9,0.02079009649868233,0.003329650611044013,69.318690057132,0.0035765784857556835,40.69882163386776,0.003270079325282325,0.017693264843057298,0.0034432991033635446,0.0049646543546661035,0.002605855154989948,1250.8221869063202,0.005909641291925123,8824.042618055722,0.004506420644257535,11357.53967837302,0.0048340210612013,0.0003250396960059921,0.00023635938657254102,0.001039887087409379,0.000872491409527596
t10,0.012446508888008162,0.003317159815894877,0.0019463540230042558,0.001062283034376449,0.0018928035034568391,0.0012850708681009363,0.0017560456314931964,0.001603107479997693,0.0051565235140341266,0.0026890208200552805,1250.8228984428022,0.006088538771003589,9955.609813100515,0.004962997424080821,11895.247777483093,0.00485878514709284,0.00021683729739477992,0.00016038703372568425,0.0012938449904419612,0.0012610296767857582
t11,151.56773162891227,0.0033627477725620683,0.0016262353302211588,0.0008913248742441874,0.0019595446378056314,0.0011420549471519105,0.0015769988608998935,0.0014757195047196158,0.005521477184998484,0.002787157668443183,1250.8228985737023,0.006089417781448216,9955.609812546956,0.004963367994025333,12368.557095633843,0.0048781469858370785,0.0002139218643175076,0.0001593974718142265,0.0012869296646836927,0.0012696068072790574
t12,0.014343867531250904,0.003292489365352593,0.001394088225487556,0.0008468216133989016,0.0019065412770452005,0.001132201327609339,0.0014667711634262352,0.001305105962795287,0.0008222276349009033,0.0027319322332157,1250.822899376393,0.006090017889363438,9955.609812499948,0.004963479555206986,12124.597346349312,0.004883615887473832,0.000215341018950745,0.00015897662196852035,0.0007748210578860203,0.0007203175329919441
t13,0.014914428660193445,0.003301817213555452,0.0014046418503265504,0.0008467418216772776,0.0019026417613578744,0.001131717677718388,0.0014024200189124698,0.0013213685722200624,0.002370023189338345,0.002706077987821214,1250.82293084114,0.006104131055502612,9955.609812399709,0.004963666570619955,12097.591366297422,0.004892010897618711,0.00021659998731670327,0.000158622055494948,0.0007641639078834199,0.000693565664810357
t14,0.017080560125506475,0.0032901940584748233,0.0016400376961559666,0.0008433503438239514,0.001899044314401259,0.001137792199446408,0.0013807132350420156,0.00132510795497129,0.002106640115765113,0.002653298908237148,1250.8228683016962,0.006077918156526638,9955.60976492779,0.004948822326520908,11811.016102476131,0.004872628244537351,0.00021786688447098944,0.0001582906970601047,0.0007628560711437469,0.0006936371681032093
