Resource,Zone,Capacity
Liquid_DAC_1,1,0.0037654056031319
Liquid_DAC_2,2,0.0039648925653954885
Liquid_DAC_3,3,0.0036325597447811942
Liquid_DAC_4,4,0.0037296590192205303
Liquid_DAC_5,5,0.003855875860115832
Liquid_DAC_6,6,0.0037082522010909416
Liquid_DAC_7,7,0.0038689937331195037
Liquid_DAC_8,8,0.003770298863500407
Liquid_DAC_9,9,0.0037286115531716627
Liquid_DAC_10,10,0.0032631039627718616
Solid_DAC_1,1,2.008848450732779
Solid_DAC_2,2,148.55530593207394
Solid_DAC_3,3,0.0373628034840217
Solid_DAC_4,4,0.07237627620116979
Solid_DAC_5,5,13.192943520234833
Solid_DAC_6,6,2.5258609711350117
Solid_DAC_7,7,228.45536219670305
Solid_DAC_8,8,241.49345181500675
Solid_DAC_9,9,0.055619440008577846
Solid_DAC_10,10,14.161481106440382
Total,n/a,650.5959001651269
