,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level
Pipe,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40,41,41,41,42,42,42,43,43,43,44,44,44,45,45,45
Zone,"[""z1""]","[""z2""]",NA,"[""z1""]","[""z3""]",NA,"[""z1""]","[""z4""]",NA,"[""z1""]","[""z5""]",NA,"[""z1""]","[""z6""]",NA,"[""z1""]","[""z7""]",NA,"[""z1""]","[""z8""]",NA,"[""z1""]","[""z9""]",NA,"[""z1""]","[""z10""]",NA,"[""z2""]","[""z3""]",NA,"[""z2""]","[""z4""]",NA,"[""z2""]","[""z5""]",NA,"[""z2""]","[""z6""]",NA,"[""z2""]","[""z7""]",NA,"[""z2""]","[""z8""]",NA,"[""z2""]","[""z9""]",NA,"[""z2""]","[""z10""]",NA,"[""z3""]","[""z4""]",NA,"[""z3""]","[""z5""]",NA,"[""z3""]","[""z6""]",NA,"[""z3""]","[""z7""]",NA,"[""z3""]","[""z8""]",NA,"[""z3""]","[""z9""]",NA,"[""z3""]","[""z10""]",NA,"[""z4""]","[""z5""]",NA,"[""z4""]","[""z6""]",NA,"[""z4""]","[""z7""]",NA,"[""z4""]","[""z8""]",NA,"[""z4""]","[""z9""]",NA,"[""z4""]","[""z10""]",NA,"[""z5""]","[""z6""]",NA,"[""z5""]","[""z7""]",NA,"[""z5""]","[""z8""]",NA,"[""z5""]","[""z9""]",NA,"[""z5""]","[""z10""]",NA,"[""z6""]","[""z7""]",NA,"[""z6""]","[""z8""]",NA,"[""z6""]","[""z9""]",NA,"[""z6""]","[""z10""]",NA,"[""z7""]","[""z8""]",NA,"[""z7""]","[""z9""]",NA,"[""z7""]","[""z10""]",NA,"[""z8""]","[""z9""]",NA,"[""z8""]","[""z10""]",NA,"[""z9""]","[""z10""]",NA
t1,-0.006990879795345642,0.006990879795594589,0.0,-0.28452857098855955,0.2845285709917026,0.0,0.3463225866521007,-0.34632258664823123,0.0,-0.015275093913468901,0.015275093913697475,0.0,-181.4405736174015,181.44057361740653,0.0,179.69552795328818,-179.695527953285,0.0,0.14478954744677394,-0.14478954744666922,0.0,-0.08549037360290763,0.0854903736076538,0.0,-0.2773851664061516,0.2773851664129268,0.0,-0.011175648011755836,0.011175648012038915,0.0,0.03401189375819684,-0.03401189375790834,0.0,0.11612178064477552,-0.11612178064149586,0.0,-0.2778660654726651,0.27786606547969295,0.0,0.2438972562096186,-0.2438972562044871,0.0,0.07493903339324988,-0.07493903339301514,0.0,-0.07221396137174113,0.07221396137613824,0.0,-148.59635037267822,148.5963503726836,0.0,0.030839267967589033,-0.030839267967453884,0.0,0.0969041755450165,-0.09690417554010458,0.0,-0.07076891002904491,0.07076891003598781,0.0,0.27118671963971974,-0.2711867196344646,0.0,0.1280444306216924,-0.1280444306214103,0.0,0.004214972027558578,-0.004214972027272779,0.0,-0.7954044758708179,0.7954044758744829,0.0,-0.17316695879328242,0.1731669587987706,0.0,-234.30251778514844,234.30251778515645,0.0,0.011159057245198473,-0.011159057238894113,0.0,239.87551920564997,-239.87551920564673,0.0,-0.13942567396059985,0.139425673960955,0.0,-4.75421224322089,4.754212243221269,0.0,-15.647541329199047,15.647541329204348,0.0,2.508910686578969,-2.5089106865753625,0.0,0.17350697947328322,-0.17350697947295196,0.0,-0.05203388117485258,0.05203388118146125,0.0,-0.14561889595190902,0.1456188959603951,0.0,45.53914589382507,-45.53914589382483,0.0,0.1723019262865848,-0.17230192628139068,0.0,0.05691865725623958,-0.05691865724924596,0.0,-0.0031364743963784147,0.0031364744065804414,0.0,0.14659490141432607,-0.14659490141100467,0.0,-0.15152551956986748,0.1515255195755874,0.0,-0.11966130745525258,0.11966130746396354,0.0,-0.639157216556525,0.639157216560485,0.0,-0.06685891462464448,0.0668589146307164,0.0,-1.1365008487516222,1.136500848754981,0.0
t2,-0.0079084600337688,0.007908460034005992,0.0,-0.3232136058021524,0.32321360580528535,0.0,-0.0786206393835091,0.07862063938736125,0.0,-0.0152279294560373,0.015227929456277128,0.0,-180.54203965851366,180.54203965851875,0.0,179.3843728837137,-179.38437288371045,0.0,0.05794638265049226,-0.057946382650396304,0.0,-0.09968604189002121,0.09968604189477237,0.0,-0.2995845219803262,0.2995845219871036,0.0,-0.010591504634809845,0.010591504635086103,0.0,0.003993420444368963,-0.0039934204440801105,0.0,0.14454922174811144,-0.1445492217448352,0.0,-0.2597647472650788,0.25976474727210597,0.0,0.2661104518016623,-0.2661104517965235,0.0,0.03321128610150282,-0.03321128610126939,0.0,-0.08081350718769842,0.08081350719209839,0.0,-148.58625425526336,148.58625425526876,0.0,0.009939858237313672,-0.009939858237188404,0.0,0.10517267762392334,-0.10517267761901211,0.0,-0.06885126691765803,0.06885126692460108,0.0,0.2936859466512454,-0.29368594664598124,0.0,0.06911756347709244,-0.06911756347679512,0.0,0.0034436173161418587,-0.003443617315862846,0.0,-0.7855992386166345,0.7855992386203078,0.0,0.02865064081668553,-0.028650640811206107,0.0,-0.13290880736324595,0.13290880737128924,0.0,0.08618112911292963,-0.08618112910662232,0.0,4.45877467659911,-4.45877467659587,0.0,-0.03371921395683508,0.033719213957198776,0.0,-4.5451342964530435,4.54513429645341,0.0,-15.314644855511247,15.314644855516544,0.0,2.512595052294022,-2.512595052290414,0.0,0.08847275040500162,-0.08847275040467042,0.0,-0.05850389839340535,0.05850389840001282,0.0,-0.15225041163574038,0.152250411644225,0.0,45.53805799278988,-45.53805799278963,0.0,235.9107930189855,-235.9107930189803,0.0,0.05407529106397488,-0.05407529105698289,0.0,-0.003271107932440672,0.00327110794264167,0.0,-0.020602823268326464,0.020602823271638204,0.0,-0.16978974638710015,0.16978974639281402,0.0,-0.12303149937576116,0.12303149938446926,0.0,-0.4205089880789236,0.42050898808288845,0.0,-0.3595944054796668,0.359594405485734,0.0,-0.8633762350908091,0.8633762350941736,0.0
t3,-0.007203428521548427,0.007203428521802772,0.0,-0.3028801368796817,0.30288013688281135,0.0,-0.21948694192037388,0.21948694192425622,0.0,-0.014920447600534875,0.01492044760076227,0.0,-177.59597139455153,177.5959713945566,0.0,176.59332265769552,-176.59332265769234,0.0,0.02549237162640973,-0.025492371626329682,0.0,-0.10419276005552375,0.10419276006026366,0.0,-0.29949844399733744,0.2994984440041125,0.0,-0.009090139054781135,0.009090139055053514,0.0,-0.00699681817902216,0.006996818179322684,0.0,0.14366713447429727,-0.14366713447100915,0.0,-0.2604297976594178,0.2604297976664438,0.0,0.39386747967430447,-0.39386747966917096,0.0,0.01994022968198713,-0.019940229681752582,0.0,-0.08600318606193516,0.08600318606633885,0.0,-148.6837591025181,148.6837591025235,0.0,0.0010599357558535583,-0.001059935755702436,0.0,0.10173976308068149,-0.10173976307576542,0.0,-0.06957986064666845,0.06957986065361373,0.0,0.4171909487420833,-0.41719094873682816,0.0,0.04639853017490564,-0.04639853017459979,0.0,0.0017613384339884158,-0.0017613384336997995,0.0,-0.8498036042806176,0.8498036042842887,0.0,0.08340778918479196,-0.0834077891793084,0.0,-0.10041984332951173,0.10041984333755516,0.0,0.19610181567181575,-0.19610181566550725,0.0,3.7765308484676052,-3.7765308484643656,0.0,-0.006544772454914055,0.0065447724552814,0.0,-4.248108046958208,4.248108046958594,0.0,-17.37334142425339,17.373341424258697,0.0,4.6555329793277425,-4.655532979324134,0.0,0.05871548937029672,-0.05871548936996801,0.0,-0.06069161506634771,0.0606916150729472,0.0,-0.1527331668173574,0.15273316682584306,0.0,45.52782374073387,-45.52782374073363,0.0,236.82996176879354,-236.82996176878834,0.0,0.05330710640740535,-0.05330710640041494,0.0,-0.003345394301527232,0.0033453943117274154,0.0,-0.1680913877233222,0.16809138772664922,0.0,-0.24163995376153535,0.24163995376725042,0.0,-0.2006026919896986,0.20060269199840747,0.0,-0.2622629335163677,0.2622629335203299,0.0,-0.5263184402595358,0.5263184402656041,0.0,-0.764170434396568,0.764170434399927,0.0
t4,-0.0037603213952972017,0.003760321395562753,0.0,-0.2681103142050094,0.2681103142081407,0.0,-0.15366632809958639,0.153666328103439,0.0,-0.015065263254857651,0.01506526325509628,0.0,-179.65570173906136,179.65570173906642,0.0,178.6081045610798,-178.6081045610767,0.0,0.032307731479387106,-0.032307731479264204,0.0,-0.1000558374788005,0.10005583748354373,0.0,-0.3683561496751812,0.3683561496819587,0.0,-0.010616068727185499,0.010616068727469716,0.0,-0.0037467533367735034,0.003746753337072563,0.0,0.07894143159488648,-0.07894143159160436,0.0,-0.25245411497729153,0.2524541149843204,0.0,0.24344172275830556,-0.2434417227531718,0.0,0.01950204853864191,-0.019502048538400193,0.0,-0.08818009014319814,0.08818009014760234,0.0,-148.47235228601676,148.4723522860221,0.0,0.0036388711512050365,-0.003638871151097428,0.0,0.10365584381645013,-0.10365584381153659,0.0,-0.06675980021308588,0.06675980022002592,0.0,0.29073387661786326,-0.2907338766126101,0.0,0.04733336310350815,-0.047333363103220734,0.0,0.0029422991197439047,-0.0029422991194776663,0.0,-0.6995872056689874,0.6995872056726614,0.0,0.052854996986785724,-0.05285499698129584,0.0,-0.17673434514246106,0.17673434515050665,0.0,0.1299978964941515,-0.1299978964878456,0.0,4.247752371160387,-4.247752371157152,0.0,-0.01737620471646964,0.017376204716833446,0.0,-4.463661880759607,4.463661880759989,0.0,-15.969383449865738,15.969383449871044,0.0,3.1780916688277725,-3.1780916688241567,0.0,0.06873956290933968,-0.06873956290901014,0.0,-0.06307583996730644,0.06307583997391351,0.0,-0.18106130969165873,0.1810613097001492,0.0,45.50988277045819,-45.50988277045794,0.0,236.22137792500416,-236.22137792499896,0.0,0.05236736688397251,-0.05236736687698052,0.0,-0.0034741160831434966,0.0034741160933451512,0.0,-0.09877772908304236,0.09877772908635166,0.0,-0.17921538577347235,0.1792153857791859,0.0,-0.15609053052609026,0.1560905305348012,0.0,-0.2779708277734245,0.2779708277773886,0.0,-0.561442683387306,0.5614426833933766,0.0,-0.7284809084791053,0.7284809084824644,0.0
t5,-0.007350422857663075,0.0073504228579224645,0.0,-0.29220146579510264,0.29220146579822204,0.0,-0.20078981118887662,0.20078981119273648,0.0,-0.016364993747000914,0.01636499374724585,0.0,-177.68216623002346,177.6821662300285,0.0,176.6432368798841,-176.64323687988093,0.0,0.024157960315610433,-0.024157960315529414,0.0,-0.10234583855636886,0.10234583856111765,0.0,-0.2914866407443253,0.29148664075110137,0.0,-0.008535180773782805,0.00853518077405667,0.0,-0.005348511558759178,0.005348511559041133,0.0,0.13444682539530528,-0.1344468253920078,0.0,-0.2660732593376036,0.26607325934462756,0.0,0.37817273394884604,-0.37817273394371015,0.0,0.019349896246592523,-0.01934989624636272,0.0,-0.08661638186594284,0.08661638187034659,0.0,-148.6543566412139,148.65435664121924,0.0,0.0008865733439068005,-0.0008865733437434173,0.0,0.09957970910166279,-0.0995797090967521,0.0,-0.06915603607708973,0.06915603608403761,0.0,0.39707838496881276,-0.39707838496356973,0.0,0.044256231791128156,-0.04425623179080563,0.0,0.0008659632043823418,-0.0008659632040981177,0.0,-0.8135214809827356,0.8135214809863933,0.0,0.06344390858493607,-0.06344390857944449,0.0,-0.17612727209360746,0.17612727210165113,0.0,0.185616578254106,-0.18561657824780017,0.0,4.110401613548049,-4.110401613544815,0.0,-0.013879813026736645,0.013879813027095206,0.0,-4.448111299981077,4.448111299981459,0.0,-17.418846777877718,17.41884677788302,0.0,4.66572768613019,-4.665727686126579,0.0,0.05808579829791617,-0.05808579829758108,0.0,-0.060025670999140496,0.060025671005748044,0.0,-0.1502363236520339,0.15023632366051978,0.0,45.52973372817818,-45.52973372817794,0.0,236.5329892637562,-236.53298926375103,0.0,0.053518175312541404,-0.05351817530554823,0.0,-0.003515435948270338,0.0035154359584719796,0.0,-0.17274016124073924,0.17274016124405533,0.0,-0.234714927637635,0.23471492764335117,0.0,-0.18716773332546824,0.18716773333417766,0.0,-0.2545322100859732,0.2545322100899404,0.0,-0.5065518086442372,0.5065518086503084,0.0,-0.7556380688781326,0.7556380688814841,0.0
t6,-0.009812700103344507,0.009812700103602391,0.0,-0.33892473958409847,0.3389247395872418,0.0,-0.11022028643031731,0.11022028643419268,0.0,-0.01816418795036215,0.018164187950597446,0.0,-1.4915582769343472,1.4915582769394065,0.0,0.07470020374371253,-0.0747002037405431,0.0,0.040001601090264245,-0.04000160109020933,0.0,-0.10176229382466805,0.10176229382941562,0.0,-0.054725874427308724,0.05472587443408992,0.0,-0.058847899725649425,0.058847899725928944,0.0,-0.049150627520661266,0.049150627520953574,0.0,0.012328892316425248,-0.012328892313156724,0.0,-0.09310810591308485,0.09310810592010943,0.0,0.040644916368555994,-0.04064491636341883,0.0,0.024882117225030684,-0.024882117224801485,0.0,-0.33247991415871814,0.332479914163118,0.0,-148.03614176754172,148.03614176754712,0.0,-0.0016288697561326337,0.0016288697562684556,0.0,0.0469176321680824,-0.046917632163173545,0.0,-0.03643625260532586,0.036436252612266934,0.0,0.2154491871475527,-0.21544918714230032,0.0,0.0947117466370089,-0.0947117466367069,0.0,-0.028393580912483403,0.02839358091276646,0.0,-0.7277623551165904,0.7277623551202451,0.0,0.03366721827444563,-0.033667218268955204,0.0,-0.03294966287333421,0.03294966288137936,0.0,0.08223675595923038,-0.08223675595292024,0.0,4.21805599539841,-4.218055995395172,0.0,-0.04255144186312941,0.042551441863482045,0.0,-4.493174887013034,4.493174887013407,0.0,-13.167504428325373,13.16750442833067,0.0,0.08066294947752792,-0.0806629494739258,0.0,0.03236977979575864,-0.03236977979542527,0.0,-0.026687011422673178,0.02668701142927439,0.0,-0.03300703622776175,0.03300703623625149,0.0,45.64899972134149,-45.64899972134124,0.0,0.5544198093964677,-0.5544198093912777,0.0,0.07194367646842686,-0.07194367646143465,0.0,-0.0033007552090829097,0.0033007552192842547,0.0,-0.023603113522823967,0.02360311352613985,0.0,-182.1106594584328,182.11065945843848,0.0,-0.07353204219707067,0.0735320422057763,0.0,-236.3806937889477,236.38069378895167,0.0,-0.08378335609093651,0.08378335609700747,0.0,-418.875584538376,418.8755845383793,0.0
t7,-0.011686037497087687,0.011686037497346872,0.0,-0.3383859103933892,0.3383859103965159,0.0,-0.057993844479979656,0.05799384448384715,0.0,-0.0068988306097765295,0.006898830610007468,0.0,-1.478255928909651,1.4782559289147117,0.0,0.03543126833177862,-0.035431268328621354,0.0,-0.018287042132761885,0.018287042132890573,0.0,-0.11955331102789768,0.11955331103264441,0.0,-0.014680583531808882,0.014680583538582346,0.0,-0.10443877045685657,0.10443877045713505,0.0,-0.08820229091288945,0.0882022909131827,0.0,0.011788682295953829,-0.011788682292669491,0.0,-0.022199352509054464,0.022199352516079997,0.0,0.011905258182116279,-0.011905258176971325,0.0,0.008023336292265568,-0.008023336292032024,0.0,-148.22260254737955,148.22260254738393,0.0,-0.10162661122807266,0.10162661123344019,0.0,-0.008218857378635362,0.008218857378792698,0.0,0.021404155681292076,-0.02140415567637754,0.0,-0.017793462491522694,0.017793462498464842,0.0,0.04937308397192193,-0.04937308396666632,0.0,0.10436836957021017,-0.10436836956990227,0.0,-0.1000603135888762,0.1000603135891548,0.0,-0.5312738836837981,0.5312738836874495,0.0,0.016252824025651938,-0.016252824020164033,0.0,-0.008561960209700771,0.008561960217745818,0.0,0.017709528773314862,-0.01770952876700512,0.0,0.08947674621084556,-0.08947674620760002,0.0,-0.03579083955060654,0.035790839550961205,0.0,-0.3084216684021068,0.3084216684024872,0.0,-13.149565550129237,13.149565550134541,0.0,0.02136700414629945,-0.021367004142694344,0.0,0.00029855482285961327,-0.000298554822523802,0.0,-0.009898695301650174,0.009898695308251326,0.0,-0.008481696706942399,0.00848169671542695,0.0,45.702611221010315,-45.70261122101008,0.0,0.05291170426150901,-0.05291170425631862,0.0,0.10671231233112602,-0.10671231232413413,0.0,0.002946843170064913,-0.0029468431598628168,0.0,-0.03754701185223312,0.03754701185554552,0.0,-182.46620482703648,182.46620482704222,0.0,-0.008121261986627076,0.008121261995336963,0.0,-241.188612509721,241.18861250972495,0.0,-0.017066074830937798,0.017066074837007703,0.0,-571.9113863788248,571.911386378828,0.0
t8,-0.004605774787135454,0.004605774787387051,0.0,-0.2272896627466343,0.22728966274976037,0.0,-0.05517647040940451,0.0551764704132707,0.0,0.00791431283327927,-0.007914312833054233,0.0,-172.01852957170237,172.0185295717074,0.0,170.99650163748146,-170.99650163747827,0.0,-0.02133186798847892,0.02133186798854657,0.0,-0.5850026107753606,0.5850026107801043,0.0,-0.020459972084798515,0.02045997209157084,0.0,-0.10577498135234459,0.10577498135262033,0.0,-0.08750370347364059,0.08750370347393213,0.0,0.014458240738918514,-0.014458240735630732,0.0,-0.016898032138833965,0.01689803214586372,0.0,0.0112698903329202,-0.01126989032777838,0.0,-0.0005718988121976264,0.0005718988124299058,0.0,-148.23932285013498,148.23932285013936,0.0,-0.07588410272162072,0.07588410272699361,0.0,-0.007468940213917762,0.007468940214048984,0.0,0.022362366836532793,-0.022362366831615212,0.0,-0.014035136894503343,0.014035136901447684,0.0,0.044297402580664835,-0.0442974025754049,0.0,0.06705917693068444,-0.06705917693038106,0.0,-0.11467339309092557,0.11467339309119676,0.0,-0.3700101286766647,0.37001012868031036,0.0,0.016087201087522825,-0.016087201082033323,0.0,-0.007337269218593768,0.007337269226638929,0.0,0.013197065836025248,-0.01319706582971928,0.0,0.05424324138340931,-0.054243241380160026,0.0,-0.03835416427632121,0.03835416427667919,0.0,-0.26289956222932775,0.2628995622297068,0.0,-13.122891392417516,13.122891392422826,0.0,0.022287956835295553,-0.022287956831679147,0.0,-0.009694995050413727,0.009694995050741003,0.0,-0.010265493384092387,0.010265493390697544,0.0,-0.0073802903143362665,0.0073802903228239345,0.0,45.7074683202039,-45.70746832020367,0.0,0.04390979297623884,-0.043909792971049064,0.0,0.06968077882765422,-0.06968077882066179,0.0,0.003577784855408977,-0.003577784845207997,0.0,-0.9017752195644012,0.9017752195677223,0.0,-10.689966345567651,10.68996634557336,0.0,-0.004960351701109415,0.004960351709819602,0.0,-242.15574738303178,242.1557473830358,0.0,-0.017000348933118508,0.017000348939188167,0.0,-401.6934526019251,401.6934526019284,0.0
