,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,70.43011753421904,59.391600297566015,0.23407953182863972,6.0685936751298275,10.113015975384398,0.5998142842307934,77.83412361715376,85.05381380355936,23.999430163438017,0.02584373794569391
t1,0.08793972416455728,0.07646521289322397,0.0004934495504505487,0.18134938835685224,0.008439461897288628,6.040814874070524e-5,0.06382206751573963,0.07449774725698911,0.0005857112798849383,3.111095024192903e-5
t2,0.08758033423130535,0.07645557271133363,0.0004917263158411853,0.0017038224033262123,0.008324279599493157,6.050955143749404e-5,0.0638153802712845,0.11844330274627411,0.0004991520633534489,3.090907758384533e-5
t3,0.08620362390446332,0.07650732251339433,0.0005155836106959487,0.0015663546702612112,0.009386632756465597,6.0749533123336497e-5,0.06407103298253003,0.11873768422809013,0.0004691875572661437,3.092102963250476e-5
t4,0.08724084575891973,0.076406364851356,0.00046247120055985756,0.0017821949855404212,0.008724187970837325,6.073019263445991e-5,0.06390477191666598,0.11861746086148642,0.0004566683557755563,3.102328454573476e-5
t5,0.08623015404280125,0.07649775953863694,0.0005012161014210225,0.0017702403462236539,0.009396068442337676,6.069066307203011e-5,0.06404757898751466,0.11868019899786432,0.00046569018830308015,3.107368593777468e-5
t6,0.0010114877703027083,0.07599233624721588,0.0003671864909742681,0.001431628120530696,0.006828760044259186,6.146268687628967e-5,0.10769215822723832,0.09088355686742583,0.13406959376766486,3.1972114178538706e-5
t7,0.0009248034698577798,0.06219377689948362,0.0002551317134010299,0.00013716906115206646,0.006705235782733063,1.934327466419266e-5,0.10759844012456796,0.09109599437139873,0.1829903878382752,3.872771171201748e-5
t8,0.08326964233282995,0.062180168447309996,0.00019442645673877846,0.0001190412024848377,0.0066903806802648055,1.292953184507289e-5,0.06588181443312445,0.09143514730613418,0.1285692218138914,3.9615916547484494e-5
t9,0.0009005225313274015,0.06219175726330032,0.0003364242879153954,0.00012575387773110708,0.006718789541174451,1.1619501864764166e-5,0.10755857407415403,0.09108846018540803,0.18300121721666296,4.0913662963794186e-5
t10,0.03157169814703625,0.06220425635316871,0.0006229787547253221,0.00014741059452371238,0.006699102705152496,2.3891124652702814e-6,0.028880423417674765,0.09109948501880924,0.14624329123016844,4.2518184154810835e-5
