Resource,Zone,Capacity
GEO_SEQ_INJECT_1,1,0.0
GEO_SEQ_INJECT_2,2,0.0
GEO_SEQ_INJECT_3,3,0.0
GEO_SEQ_INJECT_4,4,0.0
GEO_SEQ_INJECT_5,5,0.0
GEO_SEQ_INJECT_6,6,481.06504520613953
GEO_SEQ_INJECT_7,7,0.0
GEO_SEQ_INJECT_8,8,0.0
GEO_SEQ_INJECT_9,9,0.0
GEO_SEQ_INJECT_10,10,587.188655594734
GEO_SEQ_GAS_INJECT_1,1,0.0
GEO_SEQ_GAS_INJECT_2,2,0.0
GEO_SEQ_GAS_INJECT_3,3,0.0
GEO_SEQ_GAS_INJECT_4,4,0.0
GEO_SEQ_GAS_INJECT_5,5,0.0
GEO_SEQ_GAS_INJECT_6,6,0.0
GEO_SEQ_GAS_INJECT_7,7,0.0
GEO_SEQ_GAS_INJECT_8,8,0.0
GEO_SEQ_GAS_INJECT_9,9,0.0
GEO_SEQ_GAS_INJECT_10,10,0.0
Total,n/a,1068.2537008008735
