Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0,Total
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,0
AnnualSum,0.0,0.0,0.0,4.428538,0.0,0.0,0.0,674.5532,0.0,0.0,0.0,2.1197426,0.0,0.0,0.0,3.0995483,0.0,0.0,0.0,271.07208,0.0,0.0,0.0,5.188018,0.0,0.0,0.0,30.750996,0.0,0.0,0.0,3.4121666,0.0,0.0,0.0,3.8137197,0.0,0.0,0.0,1098.8724,2097.3105
t1,0.0,0.0,0.0,0.005239518653526732,0.0,0.0,0.0,1.0886064640340116,0.0,0.0,0.0,0.003698577337716124,0.0,0.0,0.0,0.004542433966475865,0.0,0.0,0.0,0.016298518264298373,0.0,0.0,0.0,0.0026946282936662186,0.0,0.0,0.0,0.08405812937591091,0.0,0.0,0.0,0.0017203020827413556,0.0,0.0,0.0,0.004181656004572534,0.0,0.0,0.0,0.0006264854247598915,1.2116667134376795
t2,0.0,0.0,0.0,0.005479956534769674,0.0,0.0,0.0,1.0594162527048494,0.0,0.0,0.0,0.004079060421120675,0.0,0.0,0.0,0.004704697558005477,0.0,0.0,0.0,0.018150823361842074,0.0,0.0,0.0,0.003103163746835405,0.0,0.0,0.0,0.08406859177126713,0.0,0.0,0.0,0.004439164590489192,0.0,0.0,0.0,0.004251681566252809,0.0,0.0,0.0,0.0006359072022850761,1.1883292994577168
t3,0.0,0.0,0.0,0.005921922363168101,0.0,0.0,0.0,1.0699165067882443,0.0,0.0,0.0,0.004358761517789193,0.0,0.0,0.0,0.005005228367741495,0.0,0.0,0.0,0.02142626072850163,0.0,0.0,0.0,0.0036869868931536294,0.0,0.0,0.0,0.0840630541489334,0.0,0.0,0.0,0.005337059577663027,0.0,0.0,0.0,0.004175083325549831,0.0,0.0,0.0,0.0006492082733386526,1.2045400719840833
t4,0.0,0.0,0.0,0.006921203556792438,0.0,0.0,0.0,1.307837784560092,0.0,0.0,0.0,0.004742107298078602,0.0,0.0,0.0,0.005851627935987095,0.0,0.0,0.0,0.06085101609110197,0.0,0.0,0.0,0.00447180924678805,0.0,0.0,0.0,0.08404018478963858,0.0,0.0,0.0,0.0059614743886907025,0.0,0.0,0.0,0.004031379318344949,0.0,0.0,0.0,3.8762924785980175,5.361001065783531
t5,0.0,0.0,0.0,0.007654028446886127,0.0,0.0,0.0,1.572950825421419,0.0,0.0,0.0,0.0053522271696697255,0.0,0.0,0.0,0.006541116933039624,0.0,0.0,0.0,0.05686895912009975,0.0,0.0,0.0,0.005695674641815746,0.0,0.0,0.0,0.08401757799718826,0.0,0.0,0.0,0.007006369915082242,0.0,0.0,0.0,0.006076154355165914,0.0,0.0,0.0,9.966541125109476,11.718704059109843
t6,0.0,0.0,0.0,0.003707520521769021,0.0,0.0,0.0,2.4895635262355267,0.0,0.0,0.0,0.004465386583317612,0.0,0.0,0.0,0.004873623860221598,0.0,0.0,0.0,0.003933638049005224,0.0,0.0,0.0,0.007819560391454507,0.0,0.0,0.0,0.08406957865554189,0.0,0.0,0.0,0.00389700676539104,0.0,0.0,0.0,0.0065555295736979624,0.0,0.0,0.0,3.7948485597325714,6.403733930368498
t7,0.0,0.0,0.0,0.000437837323935904,0.0,0.0,0.0,0.0008146177957720517,0.0,0.0,0.0,0.0007604737851068197,0.0,0.0,0.0,0.000567856219815587,0.0,0.0,0.0,0.0007275182553669512,0.0,0.0,0.0,0.0012299343553669956,0.0,0.0,0.0,0.0007333138293523185,0.0,0.0,0.0,0.0003771778385064092,0.0,0.0,0.0,0.0032232327293063596,0.0,0.0,0.0,0.0007564976783737267,0.009628459810903125
t8,0.0,0.0,0.0,0.0005341518282666861,0.0,0.0,0.0,0.00047431033276384694,0.0,0.0,0.0,0.0007421328397696513,0.0,0.0,0.0,0.0006106007397600878,0.0,0.0,0.0,0.0008618718294116849,0.0,0.0,0.0,0.0003324887526530393,0.0,0.0,0.0,0.0005748254311446134,0.0,0.0,0.0,0.0004861813446282636,0.0,0.0,0.0,0.003812704654543468,0.0,0.0,0.0,0.0008425656933173951,0.009271833446258737
