Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Small_Electrolyzer_1.0,1,0,1.8700434610749455e-7,0.0022107147256742936,0.002210527721328186,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_1.0,1,0,0.0,0.003964398583381129,0.003964398583381129,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_1.0,1,0,0.0,1.4860663012094812,1.4860663012094812,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Above_ground_storage_1.0,1,0,0.0,0.0,0.0,0,0.0,0.03942474638028963,0.03942474638028963,0,0.0,0.011136791885140497,0.011136791885140497
Small_Electrolyzer_2.0,2,0,1.8701311617971229e-7,0.0015845232004414681,0.0015843361873252883,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_2.0,2,0,0.0,0.00297939325459013,0.00297939325459013,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_2.0,2,0,0.0,117.31444627598883,117.31444627598883,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Above_ground_storage_2.0,2,0,0.0,0.0,0.0,0,0.0,36.33214660360693,36.33214660360693,0,0.0,2.4963187199076495,2.4963187199076495
Small_Electrolyzer_3.0,3,0,1.8703072645620765e-7,0.0008881967688413207,0.0008880097381148645,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_3.0,3,0,0.0,0.002293155439208175,0.002293155439208175,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_3.0,3,0,0.0,0.023913497908167367,0.023913497908167367,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Above_ground_storage_3.0,3,0,0.0,0.0,0.0,0,0.0,0.027582477498370776,0.027582477498370776,0,0.0,0.008182620328240362,0.008182620328240362
Small_Electrolyzer_4.0,4,0,1.870195837391451e-7,0.0011715783484483573,0.0011713913288646182,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_4.0,4,0,0.0,0.002298668210136385,0.002298668210136385,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_4.0,4,0,0.0,0.034953477892451276,0.034953477892451276,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Above_ground_storage_4.0,4,0,0.0,0.0,0.0,0,0.0,0.030436058186497156,0.030436058186497156,0,0.0,0.009517574024139448,0.009517574024139448
Small_Electrolyzer_5.0,5,0,1.8699726792863163e-7,0.003265506940021816,0.0032653199427538876,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_5.0,5,0,0.0,0.0030789371593584755,0.0030789371593584755,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_5.0,5,0,0.0,10.206825590170322,10.206825590170322,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Above_ground_storage_5.0,5,0,0.0,0.0,0.0,0,0.0,17.15107981138397,17.15107981138397,0,0.0,1.3517544436386608,1.3517544436386608
Small_Electrolyzer_6.0,6,0,1.8698558844323412e-7,0.29492437973370994,0.2949241927481215,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_6.0,6,0,0.0,0.0028631531657424365,0.0028631531657424365,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_6.0,6,0,0.0,2.0230215921418573,2.0230215921418573,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Above_ground_storage_6.0,6,0,0.0,0.0,0.0,0,0.0,0.05069782524268435,0.05069782524268435,0,0.0,0.013379942608683916,0.013379942608683916
Small_Electrolyzer_7.0,7,0,1.869944457477247e-7,0.004428549932985536,0.004428362938539788,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_7.0,7,0,0.0,0.003447699364131857,0.003447699364131857,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_7.0,7,0,0.0,232.41876491414502,232.41876491414502,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Above_ground_storage_7.0,7,0,0.0,0.0,0.0,0,0.0,9.886826484400855,9.886826484400855,0,0.0,0.08459175999684057,0.08459175999684057
Small_Electrolyzer_8.0,8,0,1.870277333032974e-7,0.0009355727981110691,0.0009353857703777658,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_8.0,8,0,0.0,0.004377514362192524,0.004377514362192524,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_8.0,8,0,0.0,288.9337843400542,288.9337843400542,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Above_ground_storage_8.0,8,0,0.0,0.0,0.0,0,0.0,0.040871129405032965,0.040871129405032965,0,0.0,0.010211385567792199,0.010211385567792199
Small_Electrolyzer_9.0,9,0,1.8698221255150493e-7,17.400429347950556,17.400429160968343,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_9.0,9,0,0.0,0.0015202375309132576,0.0015202375309132576,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_9.0,9,0,0.0,0.008680369057472385,0.008680369057472385,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Above_ground_storage_9.0,9,0,0.0,0.0,0.0,0,0.0,0.018250890083431365,0.018250890083431365,0,0.0,0.009834224809497291,0.009834224809497291
Small_Electrolyzer_10.0,10,0,1.8700867342295416e-7,0.0019938590525756944,0.0019936720439022713,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_10.0,10,0,0.0,0.0022570675315507,0.0022570675315507,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Large_SMR_wCCS_90pct_10.0,10,0,0.0,11.397727909614305,11.397727909614305,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Above_ground_storage_10.0,10,0,0.0,0.0,0.0,0,0.0,59.19876453906811,59.19876453906811,0,0.0,11.037696008988696,11.037696008988696
Total,n/a,0,1.8700636938799065e-6,681.5890967222348,681.589094852171,0,0.0,122.77608056525617,122.77608056525617,0,0.0,15.032623471755342,15.032623471755342
