Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10
t1,0.0,0.0,0.0,0.02891704449478512,0.0,0.0,0.0,28.862815861594495,0.0,0.0,0.0,0.02018337494053349,0.0,0.0,0.0,0.021968322990876244,0.0,0.0,0.0,17.026397107818507,0.0,0.0,0.0,0.04284620920460898,0.0,0.0,0.0,9.469036805975952,0.0,0.0,0.0,0.02860001634433821,0.0,0.0,0.0,0.011841287251575416,0.0,0.0,0.0,45.718347199721435
t2,0.0,0.0,0.0,0.029128960936990737,0.0,0.0,0.0,29.91514572204607,0.0,0.0,0.0,0.019808703267958694,0.0,0.0,0.0,0.021388094486317656,0.0,0.0,0.0,17.034506895167354,0.0,0.0,0.0,0.04160863181682736,0.0,0.0,0.0,9.552576379477914,0.0,0.0,0.0,0.029553802231627305,0.0,0.0,0.0,0.01158240251951731,0.0,0.0,0.0,43.64070995415662
t3,0.0,0.0,0.0,0.030090187481969587,0.0,0.0,0.0,30.977607604588734,0.0,0.0,0.0,0.020293165147079142,0.0,0.0,0.0,0.021722773290170503,0.0,0.0,0.0,17.04710013087742,0.0,0.0,0.0,0.041523971935909613,0.0,0.0,0.0,9.636060781497001,0.0,0.0,0.0,0.031043940025703265,0.0,0.0,0.0,0.011175604215284712,0.0,0.0,0.0,41.5625966640666
t4,0.0,0.0,0.0,0.03279329002291193,0.0,0.0,0.0,32.2779277639956,0.0,0.0,0.0,0.02174839801571793,0.0,0.0,0.0,0.023636718676428328,0.0,0.0,0.0,17.100509354444206,0.0,0.0,0.0,0.04267719425462832,0.0,0.0,0.0,9.719586677417608,0.0,0.0,0.0,0.03354325529875472,0.0,0.0,0.0,0.010374568453548557,0.0,0.0,0.0,45.438217683416326
t5,0.0,0.0,0.0,0.037422162594864555,0.0,0.0,0.0,33.84391329318677,0.0,0.0,0.0,0.02456678655785261,0.0,0.0,0.0,0.027179649242329514,0.0,0.0,0.0,17.150259401398536,0.0,0.0,0.0,0.045426771213245905,0.0,0.0,0.0,9.803069721816955,0.0,0.0,0.0,0.03807644858962078,0.0,0.0,0.0,0.013837091308866744,0.0,0.0,0.0,55.40420521002154
t6,0.0,0.0,0.0,0.03938164649155925,0.0,0.0,0.0,36.331993962005654,0.0,0.0,0.0,0.02748752838216428,0.0,0.0,0.0,0.030325382141898505,0.0,0.0,0.0,17.150998281488267,0.0,0.0,0.0,0.050651464408313085,0.0,0.0,0.0,9.886746969208186,0.0,0.0,0.0,0.04082353858561777,0.0,0.0,0.0,0.018137482456226144,0.0,0.0,0.0,59.19845060212961
t7,0.0,0.0,0.0,0.036743797184856195,0.0,0.0,0.0,36.32601820991038,0.0,0.0,0.0,0.024340495032651357,0.0,0.0,0.0,0.026018315283231064,0.0,0.0,0.0,17.149778069731198,0.0,0.0,0.0,0.05062601637444706,0.0,0.0,0.0,9.88655779744487,0.0,0.0,0.0,0.036981170258221535,0.0,0.0,0.0,0.013825592079197868,0.0,0.0,0.0,59.193278950247404
t8,0.0,0.0,0.0,0.03490864927217409,0.0,0.0,0.0,36.32301098550121,0.0,0.0,0.0,0.023128018068158385,0.0,0.0,0.0,0.025168187349542695,0.0,0.0,0.0,17.14953632247052,0.0,0.0,0.0,0.047168000202786824,0.0,0.0,0.0,9.886257850154992,0.0,0.0,0.0,0.035223799359506314,0.0,0.0,0.0,0.012532240549063482,0.0,0.0,0.0,59.19057768360942
t9,0.0,0.0,0.0,0.03400773395031549,0.0,0.0,0.0,36.31986983327049,0.0,0.0,0.0,0.022366229130454836,0.0,0.0,0.0,0.024568878787786172,0.0,0.0,0.0,17.150755378244224,0.0,0.0,0.0,0.04500827816777968,0.0,0.0,0.0,9.88610004476603,0.0,0.0,0.0,0.03119011214689294,0.0,0.0,0.0,0.01206313255520418,0.0,0.0,0.0,59.18906796693263
t10,0.0,0.0,0.0,0.0318702328179301,0.0,0.0,0.0,36.31953245389516,0.0,0.0,0.0,0.021694597034044243,0.0,0.0,0.0,0.024133743349247082,0.0,0.0,0.0,15.843102209276628,0.0,0.0,0.0,0.04241927828250025,0.0,0.0,0.0,9.885594424719857,0.0,0.0,0.0,0.030999815514633936,0.0,0.0,0.0,0.012494164649447722,0.0,0.0,0.0,59.18669388336523
t11,0.0,0.0,0.0,0.03012211879068102,0.0,0.0,0.0,36.31906701096616,0.0,0.0,0.0,0.02128463892367468,0.0,0.0,0.0,0.024010756010801906,0.0,0.0,0.0,15.083824423558386,0.0,0.0,0.0,0.04001300257481255,0.0,0.0,0.0,9.885240996417409,0.0,0.0,0.0,0.029864260549974524,0.0,0.0,0.0,0.0119684587739834,0.0,0.0,0.0,59.18523410454763
t12,0.0,0.0,0.0,0.02884704418324786,0.0,0.0,0.0,36.31904226904102,0.0,0.0,0.0,0.0209617447267424,0.0,0.0,0.0,0.023900054263286497,0.0,0.0,0.0,14.541634895366336,0.0,0.0,0.0,0.03773808634518581,0.0,0.0,0.0,9.88497384494559,0.0,0.0,0.0,0.02742181980673737,0.0,0.0,0.0,0.011844620829114985,0.0,0.0,0.0,59.1840350954958
t13,0.0,0.0,0.0,0.027759274026218726,0.0,0.0,0.0,36.319019286974765,0.0,0.0,0.0,0.020760217040165528,0.0,0.0,0.0,0.02392232053322153,0.0,0.0,0.0,14.05752139795669,0.0,0.0,0.0,0.035532117988508145,0.0,0.0,0.0,9.884775309964283,0.0,0.0,0.0,0.026322282798167045,0.0,0.0,0.0,0.01185311640902142,0.0,0.0,0.0,59.183195991880886
t14,0.0,0.0,0.0,0.026742035298677965,0.0,0.0,0.0,36.31909223876585,0.0,0.0,0.0,0.02066259811914765,0.0,0.0,0.0,0.024073681668491154,0.0,0.0,0.0,13.648428353970937,0.0,0.0,0.0,0.033384780745522015,0.0,0.0,0.0,9.884713204800805,0.0,0.0,0.0,0.025906821514852622,0.0,0.0,0.0,0.011978831686296498,0.0,0.0,0.0,59.18268159111374
t15,0.0,0.0,0.0,0.025753935295685516,0.0,0.0,0.0,36.31930419872746,0.0,0.0,0.0,0.02092330194045947,0.0,0.0,0.0,0.024358942950073688,0.0,0.0,0.0,13.297537958341398,0.0,0.0,0.0,0.03125990018831561,0.0,0.0,0.0,9.884730003706512,0.0,0.0,0.0,0.02503093712281723,0.0,0.0,0.0,0.012448755715851155,0.0,0.0,0.0,59.18247222791408
t16,0.0,0.0,0.0,0.02531427211934806,0.0,0.0,0.0,36.31989320892817,0.0,0.0,0.0,0.02138826064951252,0.0,0.0,0.0,0.024882453801522018,0.0,0.0,0.0,14.212592433625842,0.0,0.0,0.0,0.029074650379692413,0.0,0.0,0.0,9.885553902845508,0.0,0.0,0.0,0.023934646669087463,0.0,0.0,0.0,0.012179857792610545,0.0,0.0,0.0,59.18481992554448
t17,0.0,0.0,0.0,0.024751985930118067,0.0,0.0,0.0,36.32087718772102,0.0,0.0,0.0,0.021747220994473637,0.0,0.0,0.0,0.02567920326333635,0.0,0.0,0.0,15.143273122417346,0.0,0.0,0.0,0.026840860193853882,0.0,0.0,0.0,9.886708170062487,0.0,0.0,0.0,0.022547193941380703,0.0,0.0,0.0,0.012538607032374501,0.0,0.0,0.0,59.18781086614523
t18,0.0,0.0,0.0,0.024118359207273374,0.0,0.0,0.0,36.32194976207884,0.0,0.0,0.0,0.022309170857686602,0.0,0.0,0.0,0.02693930668570657,0.0,0.0,0.0,16.100646293389744,0.0,0.0,0.0,0.024418212118208417,0.0,0.0,0.0,9.88669606958513,0.0,0.0,0.0,0.021221489579742448,0.0,0.0,0.0,0.013777655714217438,0.0,0.0,0.0,59.19163164615926
t19,0.0,0.0,0.0,0.023486003199195093,0.0,0.0,0.0,36.32305620090735,0.0,0.0,0.0,0.02385352126143731,0.0,0.0,0.0,0.029473831970606774,0.0,0.0,0.0,17.14790177690679,0.0,0.0,0.0,0.021835896079166535,0.0,0.0,0.0,9.886674621218017,0.0,0.0,0.0,0.019787106300085417,0.0,0.0,0.0,0.016944592253678597,0.0,0.0,0.0,59.198541872234586
t20,0.0,0.0,0.0,0.022157366978035862,0.0,0.0,0.0,36.32430488618221,0.0,0.0,0.0,0.023834314886561007,0.0,0.0,0.0,0.028111699867968222,0.0,0.0,0.0,17.145734280474127,0.0,0.0,0.0,0.01911061597560039,0.0,0.0,0.0,2.9662354076389916,0.0,0.0,0.0,0.019724568958260913,0.0,0.0,0.0,0.015637931822783408,0.0,0.0,0.0,59.19643331473296
t21,0.0,0.0,0.0,0.02086336114193493,0.0,0.0,0.0,36.32497239787341,0.0,0.0,0.0,0.023923083299286746,0.0,0.0,0.0,0.02760412579258213,0.0,0.0,0.0,17.145142121136896,0.0,0.0,0.0,0.015643362150287835,0.0,0.0,0.0,2.966300582230423,0.0,0.0,0.0,0.01984230921019158,0.0,0.0,0.0,0.013574024616520824,0.0,0.0,0.0,59.195625246905635
t22,0.0,0.0,0.0,0.019330211325042725,0.0,0.0,0.0,36.32631100690199,0.0,0.0,0.0,0.02462147653466498,0.0,0.0,0.0,0.027743014436482416,0.0,0.0,0.0,17.144886040491738,0.0,0.0,0.0,0.015413513637859923,0.0,0.0,0.0,2.966852951242558,0.0,0.0,0.0,0.01976648488488083,0.0,0.0,0.0,0.013745759816308836,0.0,0.0,0.0,59.19594177785461
t23,0.0,0.0,0.0,0.017669511779393545,0.0,0.0,0.0,36.32857893643148,0.0,0.0,0.0,0.026145160421188245,0.0,0.0,0.0,0.02916419073159405,0.0,0.0,0.0,17.145718570665384,0.0,0.0,0.0,0.01705324064774058,0.0,0.0,0.0,3.04374770376954,0.0,0.0,0.0,0.019542266644873598,0.0,0.0,0.0,0.014857726007211521,0.0,0.0,0.0,59.197781494928336
t24,0.0,0.0,0.0,0.02011901134909382,0.0,0.0,0.0,30.851491403306728,0.0,0.0,0.0,0.02100251920699447,0.0,0.0,0.0,0.025440095121950525,0.0,0.0,0.0,12.61767287619174,0.0,0.0,0.0,0.017528609016524827,0.0,0.0,0.0,3.117446596845141,0.0,0.0,0.0,0.022948797296742464,0.0,0.0,0.0,0.012841618308110803,0.0,0.0,0.0,51.168908630225395
