Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,23.77497,35.43794,39.00244,0.0,7.1118946,0.0,0.0,0.0,0.0,0.0,0.0,25.55879,25.46591,0.0,11.548327,0.0,1.374234,0.0,0.0,0.0,9.403564,9.002224,9.2555485,1.1936736,0.0,0.0,0.0,0.0,0.0,20.784172,20.59807,0.0,18.940502,0.0,0.0,0.0,0.0,0.0,35.59726,40.49754,0.0,31.154325,0.0,19.99238,0.0,0.0,12650.121,12533.268,0.0,14651.947,1.8274868,0.0,0.0,0.0,0.0,0.0,14374.837,17365.764,0.0,45.41446,0.0,2.2113106,0.0,0.0,0.0,0.0,20.403774,20.172789,19.767923,2.52399,0.0,0.0,1.5414021,1.9422528,2.675975,0.30727363,0.0,0.0,0.0,0.0,0.0,0.0,1.5349401,2.1413665,0.0,2.6570852,0.0,0.36410847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72087.12
t1,0.07016208168023862,0.0136299262904307,0.040675097604434995,0.0009683862502833087,0.016985511467282777,0.0,0.0,0.0,-2.842170943040401e-14,0.0,0.03879041427961295,0.008677035645588747,775.2686283041112,0.0013834419370061545,0.0013105060940564739,0.026647114853403764,0.04031546236183203,0.0400995932236583,0.0020141478883115823,0.02058191246484714,4.547473508864641e-13,0.0,0.00803487700837461,0.02140746033683172,0.0016652385847744453,0.021547503191413853,0.02144184293001672,0.02140123965591556,0.0,0.0038895992327345127,0.03780765908452446,0.009789810471396659,297.58129473777035,0.0015330431226642967,0.041727810350266736,0.04161949439156842,0.0020827290082528994,0.040570254146587104,0.004626088587166795,0.04706860438833049,0.008760415046170877,0.0013017411521267686,0.022022690027370118,0.03079817437618071,0.03111563565488107,0.0012104799847686407,0.025811870141296822,9.094947017729282e-13,0.0,0.020275697549311744,0.0012081765901884008,0.0045372539092625175,0.004877330372536903,0.001186070217187485,0.005843758227058515,0.0,0.028379278688952334,0.007322854648613129,0.01624390736105852,0.0011798001154229225,0.01048531048309087,0.020181879878123254,0.010305679972020698,0.0018604463035874798,0.01784726750486243,0.0,0.0,0.10372278159446356,0.010154601907786505,0.0013753937321901912,0.0023705682867216638,0.006154289569387572,0.005359213217616343,0.005485843533278967,0.0,0.0065218627535181106,0.004670434296304624,0.0013107188855924616,0.0017710322759696426,0.0022226316371758564,0.0,0.0008507706518990745,0.001032479425996085,0.004765094995693544,0.001471209928126882,0.0009508827156304387,6183.900000000001,0.0025594626671900256,0.0030969322706821817,0.001323573606269926,0.003386251748452196,0.0,0.0,169.42551979341647,-3228.2156799403006,0.0,-6552.929681516993,489.7364917414434,8479.671743953402,3888.347979403725,0.3935092811356412,0.0,0.0,1.2109025927226273,0.13276312252572114,30.221064702932992,1.5495662071538783,0.13974532588030694,6.901984311846601,2501.049335458917,278.0143938768751,0.03883017954595093,0.049353906291791524,13323.579511076834
t2,0.07015326069149147,0.013626464043920332,0.04089034991829976,0.000967984767617211,0.017184676550641598,0.0,0.0,0.0,-2.842170943040401e-14,0.0,0.03879358218682941,0.008678250400012393,3976.2009994832188,0.0013835825346263843,0.001310628102895554,0.027104482764116256,0.040564646683833416,0.040345704929677595,0.002014444739941588,0.022530751474966283,4.547473508864641e-13,0.0,0.008038016009381905,0.021688676605663204,0.001665602923300231,0.02158251072251005,0.02148043541563993,0.021435205354009668,0.0,0.003998468956406927,0.03781575655340033,0.009791432087936276,0.1052111626045189,0.0015325789659111498,0.034860690722894105,0.034760458553023454,0.002082496851077984,0.03397003304917234,0.004556355119633749,0.047069684778511825,0.008760389852636523,0.0013014597252169373,0.021084624517243356,0.029491493383903444,0.030566776218204916,0.0012113914735166803,0.02505856461039002,9.094947017729282e-13,0.0,0.02027984786062032,0.0012062394273336411,0.004593236776219811,0.004917574493653376,0.0011829511302231719,0.005794610195835048,0.0,0.028383718975165992,0.007324325633994083,0.016146188099810388,0.001179707997910557,0.01042215715006023,0.01984568942327769,0.010144504051936565,0.0018607207252862102,0.01765975693172095,0.0,0.0,0.10390671843351038,0.01024326200116414,0.0013887473126582388,0.0072518718495189205,0.015784773089436044,0.01551395690330537,0.014822471159845918,0.0,0.006520526990235654,0.004670376882478294,0.001309999351691767,0.001367578018586456,0.0024478180980942454,0.0,0.0008507738033730642,0.0010111706713194796,0.0047664234172415465,0.001466817695586542,0.0009508942722789176,6183.900000000001,0.00258452174216065,0.0031010196432146447,0.0013236607320355823,0.0033747758029676334,0.0,0.0,315.8099072439345,-3230.833940487268,0.0,-6051.9529115514615,756.649643198105,8479.700771897706,4111.848316128043,0.41285598592685074,0.0,0.0,1.4783725132379886,0.13847825060221253,30.21370712223896,1.0733936721621613,0.1496998112329394,6.946943436134141,2576.72938785146,574.3789186988074,0.04007247480462412,0.05001900108334416,17734.144797191555
t3,0.07015258652620807,0.013626670128775005,0.04458650088781724,0.0009680878612516749,0.018409684271318838,0.0,0.0,0.0,-2.842170943040401e-14,0.0,0.03879464893437153,0.008678157995736456,6494.595938670893,0.0013835981439062435,0.0013106399077699965,0.027629218037873216,0.04058433541422346,0.04042229018659782,0.0020144774608073274,0.02467221115316177,4.547473508864641e-13,0.0,0.008039086485098323,0.021186794296454536,0.0016656015373620317,0.02154486833046576,0.021399052057972767,0.021399468600634464,0.0,0.003994273613878677,0.03781956369891032,0.009792650267375186,0.6104977645475174,0.0015326030827868837,0.03477666784073108,0.03465265654887162,0.002082708018233935,0.03388848841586878,0.004557300742705845,0.04707336174143229,0.008761516781254548,0.0013013819240964147,0.02166420862340601,0.027899257318646953,0.030100993387576713,0.0012119832754220639,0.025997728228958294,9.094947017729282e-13,0.0,0.020278385487719278,0.0012059192945650067,0.004627417036708437,0.0049035892061226605,0.0011824221594058902,0.005715820334444288,0.0,0.028380602650266235,0.007324471334641882,0.025128828106971923,0.0011801414480194015,0.013393273874498846,0.02403615135574455,0.012469165611150856,0.0018614729073180925,0.021409397293837173,0.0,0.0,0.1039245598342492,0.0102522765200889,0.001391880858660322,0.01038568734185219,0.021347242900375818,0.02096295531009673,0.019864517664927916,0.0,0.006519497651658905,0.004670171374781779,0.0013629108304119184,0.001317828784137349,0.002675672454416284,0.0,0.0008507675438255272,0.0010008193152751602,0.004766861966770369,0.0014715328647980641,0.0009508856001574232,6183.900000000001,0.002609969123868374,0.0030941426253025713,0.0013236752494949493,0.0033620356393839756,0.0,0.0,346.1881835561146,-3232.7481077408156,0.0,-5650.289571143042,892.560097109359,8479.698372699784,4173.6396375041,0.44802931843050714,0.0,0.0,1.5576498950957833,0.14204328343797373,30.2119047418042,1.0737735519792517,0.16069559402331107,6.960537730632856,3391.0379731603393,574.3646806831626,0.04051309896780348,0.05040669813153656,21695.356034448232
t4,0.07015942980675478,0.013629709652643807,0.08995655730814178,0.0009681033480305259,0.023231106956700387,0.0,0.0,0.02534390792186869,-2.842170943040401e-14,0.0,0.03879565550462317,0.00867862472098494,6547.20611920044,0.001383398430160338,0.0013104518436493416,0.02821030860013707,0.0408180190343046,0.04071703463296217,0.0020142013719381107,0.02575500674928045,4.547473508864641e-13,0.0,0.008038884540910191,0.020806377489179795,0.0016654128576340291,0.021510924538915788,0.021320521365225886,0.02137137002455347,0.0,0.0039152360566983395,0.03782068722135491,0.009795027816638175,318.87518863356104,0.001533445251770943,0.04857625606689453,0.04847210847617589,0.0020837678827617867,0.04726080853106396,0.004605882524684666,0.04707831741147084,0.008764268962254922,0.0013014379680200533,0.027746893152652774,0.03158776413415798,0.03427779981585877,0.0012125921674682036,0.03073762241683653,9.094947017729282e-13,0.0,0.020276694720150996,0.0012057619117090625,0.004641572625782686,0.004813143494097005,0.0011820110554808905,0.005629021062787842,0.0,0.028331956401509404,0.007303509308464934,0.02279599609755678,0.001178336053208231,0.012374342318253184,0.022684901533466473,0.01179147244079104,0.0018576160940887284,0.020708085415662936,0.0,0.0,0.10392270368311007,0.010251968138275787,0.0013919925706523998,0.010975210895708187,0.02159984937972581,0.021493204545549816,0.020973262028974204,0.0,0.006518481117092615,0.004669837664718341,0.0013628143981322988,0.00161629036450173,0.002902615102105495,0.0,0.0008507408678197475,0.0009956449036885202,0.004767122985815,0.0014798294803313183,0.0009508770538496259,6183.900000000001,0.0026338784234574315,0.0031170900010841843,0.001323688392064188,0.0033601557647671143,0.0,0.0,331.5787485348036,-3233.9723433630793,0.0,-5505.466050490666,780.96073093412,8479.698733960726,4189.38820748819,0.4408475424963992,0.0,0.0,1.6607837003049049,0.14611146525881527,30.211596808261408,1.6029067584245134,0.17518529856946632,6.967508532558606,3391.0253054239115,574.3431585896261,0.04077810491722839,0.050735556608116725,22100.120639279885
t5,0.07015053225215936,0.013627403434503768,0.04477276135003194,0.0009655409313793222,0.018234117192150734,0.0,0.0,0.021536943899686634,-2.842170943040401e-14,0.0,0.0387947943161875,0.008677866383357546,541.1336793671362,0.0013815363038207854,0.0013087249637205455,0.02785821132692945,0.040701793412154075,0.040598697532004735,0.002011130606518422,0.026288859503753495,4.547473508864641e-13,0.0,0.008037509634000904,0.019681152100929467,0.0016639607144721905,0.021259642426684877,0.020946514505226332,0.021148992753296625,0.0,0.003625951881157056,0.03782203439257965,0.009795411773797318,318.2337464744645,0.0015322045282160452,0.048552049474892556,0.048494921186545525,0.0020820262159895095,0.04734545660494405,0.00425241464043408,0.04707656432479717,0.008764780825281628,0.0012992078776833337,0.021678091427020263,0.027423850206376388,0.02946597986986227,0.0012102280052037825,0.025556353132287768,9.094947017729282e-13,0.0,0.020281098523314264,0.00120504901778356,0.004625587951718302,0.004604232305297273,0.0011803844971658077,0.0056566947044700555,0.0,0.028314459302614656,0.007296534104544562,0.02228644884598907,0.0011758538164675864,0.012128116811254586,0.02188304477942893,0.011617390768947189,0.0018531328275142914,0.01976521397284614,0.0,0.0,0.10392329357273314,0.01025235042911388,0.0013895682285570464,0.010489212046195462,0.021381699067035242,0.02122530751694285,0.02070148369296021,0.0,0.0065167243021050465,0.004669511227071967,0.0013092923735142227,0.0017159121718864313,0.0029000612230213716,0.0,0.0008507050330112532,0.0009924825000442311,0.004768796431502738,0.0014861753910508924,0.0009509028817512311,6183.900000000001,0.0026421508035157047,0.0031301909308434177,0.0013237759996011966,0.0033604676914364973,0.0,0.0,165.29109525346712,-3234.830163957908,0.0,-6198.451987365538,52.6927921655315,8479.682050996058,4189.369773019854,0.44509646644916817,0.0,0.0,1.643145176100978,0.15018284680225896,30.211493841447947,1.597924773069381,0.1759831578400426,6.972760212658081,3391.0239374234543,574.335581213932,0.041184874537407504,0.051062287724290986,14504.874815744739
t6,0.07000706470950567,0.013562544493453696,0.003697160433148383,0.0009508813382571569,0.0034062865997839253,0.0,0.0,0.004971404285768699,-2.842170943040401e-14,0.0,0.03872965957499411,0.008634407009014588,0.005053562301327474,0.0013690180543848756,0.0012972247716521016,0.0044789346065954305,0.009637591682349012,0.009628547629290551,0.0019883582289147855,0.008893547728743456,4.547473508864641e-13,0.0,0.007991317023766658,0.0052685029936583305,0.001652441285397847,0.009713445033241896,0.009498579486773906,0.009705551332444884,0.0,0.002557995934508041,0.03773751327619489,0.009753743299025203,0.006584016176134355,0.0015203035925570522,0.011399034747910264,0.011387058228194746,0.002061669276317609,0.01124978355892381,0.0027909641256303463,0.04697515523214104,0.00872255512495473,0.0012852784456504579,0.003921725903637707,0.007414849650686062,0.007758596244937965,0.0011891890700685645,0.006401967786587193,9.094947017729282e-13,0.0,0.020281508609514068,0.0011984933178037205,0.004488925848436409,0.004610614318764306,0.0011674258279857166,0.005710133582567778,0.0,0.028235995449223374,0.0072525924458235035,0.004182054595730733,0.0011613445778519051,0.003774027720282902,0.00794425312290059,0.004475411848716249,0.0018258393724439564,0.007353932555929532,0.0,0.0,0.10375012221095872,0.010156683864109749,0.0013692782274887217,0.002366514349830595,0.006018980790457817,0.005930384431849234,0.0056655695194649525,0.0,0.006517589387240657,0.0046698021850756916,0.0012563976441331646,0.0017189351922915392,0.002896647596380282,0.0,0.0008507428118361901,0.0009928847243227922,0.004773060034463976,0.0014912518189476032,0.0009510058233154562,6183.900000000001,0.0026512969631518266,0.0031342181646247247,0.0013240587937256758,0.0033521490800012543,0.0,0.0,2.3394254090385402,-3235.3493843903434,0.0,-9618.840166865659,-1606.0580153590736,8479.750067179408,4189.46798191557,0.44937346603859735,0.0,0.0,1.6850836194352639,0.14749811169515542,30.21320664055484,1.618173661617725,0.17656698769773382,6.97893176525862,3391.043618117661,574.3593423472604,0.039671514291013614,0.04982182592859595,8402.657543503465
t7,0.06872199947102504,0.013168761723316064,0.0009850729220488574,0.000912859429168899,0.0009853281580944895,0.000694720529853754,0.0015050330046832983,0.0014889890838531983,-2.842170943040401e-14,0.0,0.03805918183386929,0.008388335699785228,0.0011986376048298553,0.0013345294513870069,0.0012659133281886859,0.0011930972095797188,0.0029736975420746603,0.0029730642031609023,0.0019204566579210055,0.002904622763086513,4.547473508864641e-13,0.0,0.007857224985403942,0.0017845698148448719,0.0016270266931475335,0.004031204449404413,0.0038689267218785517,0.004044861790816867,0.0,0.001384763897231165,0.03720925477867483,0.009539065163745036,0.0013885341836612497,0.0014889806692203154,0.0034810230782227336,0.003470731749018796,0.002001302926932398,0.0033465217725279217,0.0011777505825182992,0.04614337102805244,0.00843467232288811,0.001246451990828592,0.001123052257753443,0.0022980142753894484,0.0025112087419216778,0.0011220684204010438,0.0019123206357107847,9.094947017729282e-13,0.0,0.01798571218036088,0.0011440984541040205,0.0014177033922297966,0.0014154852985583943,0.001069838225938723,0.0017517721861963764,0.0,0.02732083242313547,0.006921319541816354,0.0008047320952755399,0.0011092535581112223,0.0008100929280772107,0.0017351215942653653,0.00107734528171477,0.001718300305051347,0.0015116825113068444,0.0,0.0,0.10293447631764652,0.009837853352172927,0.0013276167959290395,0.0008518203713947514,0.0021647323380022954,0.002142705870937789,0.002085696894710054,0.0,0.006514917786054732,0.004669408380790226,0.0012558059113100643,0.001920479185312458,0.002892050456185383,0.0,0.0008507036024204403,0.0009914147675557754,0.004777535538205287,0.001498280598752899,0.0009510942751368083,6183.900000000001,0.002661724603857083,0.003135348377221365,0.0013242965216719487,0.003349711194914562,0.0,0.0,2.295876550849016,-3235.698264758894,0.0,-10925.740725806001,-5711.943867879726,8479.78323032739,-465.465957953832,0.4667497615490828,0.0,0.0,1.6945303627676385,0.15509741669838592,30.230047526316646,1.6428111354912291,0.18712293301447686,6.986417451758034,3391.067121249156,574.367548850945,0.04046493082827482,0.05032137200947029,-1665.4523783630152
t8,0.06901724892024402,0.013250730989073391,0.0011009254403688828,0.0009095556985554668,0.001098472439480247,0.0008211917382823231,0.0016712062808821315,0.0016230775754486615,-2.842170943040401e-14,0.0008985173067075137,0.03769842541171642,0.00828504780164857,0.0009928614017553627,0.0013199527832800195,0.0012526811006842932,0.000981824156951916,0.002488357740730862,0.0024644399884437007,0.0018913747732432545,0.002442462400441013,4.547473508864641e-13,0.0005997854045899588,0.007800203260995972,0.0014667206476133288,0.0016163349825927121,0.0034137483526137657,0.0032574736985111485,0.0034386872935101565,0.0003010740045483128,0.0011459355702008213,0.03697203437250471,0.009461215020764892,0.0011533145975590742,0.0014763155347289549,0.0029650681457269457,0.0029508769446238148,0.001976715250072005,0.002813777315623156,0.0009633075418562682,0.045629739306148234,0.008312491285864611,0.0012299901791695766,0.0009613789807190187,0.0019656574399646853,0.0021762562781640904,0.0010930219610785566,0.0015652067102109868,9.094947017729282e-13,0.0021750164981995113,0.009234974338700897,0.0010767387312511064,0.0009302376978430615,0.0008947258966394145,0.0009520013687268239,0.0011106934627207465,0.0,0.02552265906573179,0.006681328109518013,0.0006191026550368406,0.0010570711752975366,0.0006171912827994674,0.0013761301154886496,0.0008274078785461825,0.0016093549704671141,0.0010930847487315987,0.0,0.0,0.10324486908871305,0.009872066204692852,0.0013185418361007593,0.0008673888943349084,0.002144984499267366,0.002125399269061745,0.002098984735994236,0.0,0.0065131290417304415,0.004669070230514525,0.001202498354201629,0.0021206934150819396,0.0028893628797782914,0.0,0.0008506632706696405,0.0009903320641413988,0.004779239786027678,0.001502189581174207,0.000951142853400352,6183.900000000001,0.002669083141090184,0.0031359319422096105,0.0013244257799267852,0.0033579173391444783,0.0,0.0002519993623553063,2.2481829449723136,-3236.080316948285,0.0,-11557.859722827212,-6486.052432925889,1839.55323562186,-465.48978701986744,0.46915120542391886,0.0,0.0,1.698269366680464,0.10835478234193112,30.222565758396488,1.3822473573471938,0.07421864177205287,6.989254208022235,3391.069219807507,574.3778140519777,0.04066666365118577,0.0506002693615569,-9712.786906726345
