Zone,1,2,3,4,5,6,7,8,9,10,Total
CO2_Price_1,-2231.793866218145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,-2245.428783108717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,-2094.8167424523863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_4,0.0,0.0,0.0,-2173.368781115063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_5,0.0,0.0,0.0,0.0,-2239.98109388167,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_6,0.0,0.0,0.0,0.0,0.0,-2149.3751760191503,0.0,0.0,0.0,0.0,0.0
CO2_Price_7,0.0,0.0,0.0,0.0,0.0,0.0,-2260.3278406046093,0.0,0.0,0.0,0.0
CO2_Price_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2277.796998265426,0.0,0.0,0.0
CO2_Price_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2011.9285523592023,0.0,0.0
CO2_Price_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2174.8443374457775,0.0
AnnualSum,0.01709222258302473,0.01565634632932613,0.004911110134396261,0.013860029380210206,0.014053691958723141,0.007097823448211584,0.011069585510307612,0.021916707345879465,0.004765912333520032,0.004785274128136736,0.11520870315173587
t1,1.8869850673539946e-5,1.7635427110498905e-5,5.601972874827069e-6,1.5499853775449134e-5,1.56407214208264e-5,8.109416383275076e-6,1.2300350583938337e-5,2.4235339831767684e-5,5.673008425886599e-6,5.6578693325925154e-6,0.00012922381041260167
t2,1.887506265828131e-5,1.763326205913353e-5,5.599985342499025e-6,1.5496812476173252e-5,1.5640032964886693e-5,8.111827939144544e-6,1.2297964694051876e-5,2.4113377766134815e-5,5.673492989112439e-6,5.657347028429822e-6,0.00012909916591784728
t3,1.8875089359962766e-5,1.7632898086220063e-5,5.599424385461018e-6,1.5494709232166595e-5,1.5637869155771765e-5,8.112970786576231e-6,1.229806224682074e-5,2.4099620333793072e-5,5.673959174240997e-6,5.657195489943501e-6,0.00012908179825095673
t4,1.887113550574324e-5,1.7632856248473054e-5,5.599705924753992e-6,1.549160245766902e-5,1.5634278307553547e-5,8.113963725913215e-6,1.2329917996450782e-5,2.410031392204715e-5,5.674507298567798e-6,5.657105512590503e-6,0.0001291053868997623
t5,1.887777619292493e-5,1.763895576853476e-5,5.601778560250467e-6,1.5493227497949328e-5,1.563822308009237e-5,8.114178068513021e-6,1.2344799976478912e-5,2.4102165803169792e-5,5.675313578100146e-6,5.656451493094415e-6,0.00012914287001910814
t6,1.8974595893390047e-5,1.7721708047375985e-5,5.636753373962939e-6,1.5568374561203845e-5,1.5721775499830504e-5,8.128572437318827e-6,1.2426009497768682e-5,2.4230572864944782e-5,5.674829436071929e-6,5.654711845066844e-6,0.0001297379034569344
t7,1.9656763429552512e-5,1.8187170522111558e-5,5.73081810606498e-6,1.5930432670154538e-5,1.6237580340728555e-5,9.028738124830874e-6,1.3031805660511144e-5,2.471603818703209e-5,5.675987441467467e-6,5.6529424665293916e-6,0.0001338482769489831
t8,1.951569567514569e-5,1.8410264295593296e-5,5.770710917191762e-6,1.608033014228077e-5,1.6511833658456515e-5,1.2164189174196343e-5,1.3892983784665917e-5,2.4600236006185594e-5,5.676814986946768e-6,5.652229622503588e-6,0.00013827528826316623
t9,2.0088168785349e-5,1.840307219927009e-5,5.7698671391920435e-6,1.6090955539371024e-5,1.6420174914400762e-5,1.3744150744749822e-5,1.655580151263664e-5,2.533877823396169e-5,5.677284601232443e-6,5.6523472499580365e-6,0.00014374060092012155
t10,2.0017892482041803e-5,1.840526165483757e-5,5.808121516960363e-6,1.607166525474114e-5,1.647340836087701e-5,1.6321064689340448e-5,2.71247285253446e-5,2.5016313466132716e-5,5.677517178006709e-6,5.651218919239027e-6,0.0001565671920475214
t11,1.99745676877053e-5,1.8398612297576183e-5,5.814410163666367e-6,1.609975686085566e-5,1.6452124917183013e-5,1.641085093232589e-5,2.7263829220467898e-5,2.4694444510978513e-5,5.676044635696818e-6,5.660239008328831e-6,0.00015644488023478447
t12,1.952424879963288e-5,1.841619542379134e-5,5.807078564542852e-6,1.607599409527798e-5,1.614361607474942e-5,1.64196141006723e-5,2.7271522420503474e-5,2.425656130605169e-5,5.676180014921017e-6,5.652638582187748e-6,0.0001552436493823307
t13,1.9498357028011077e-5,1.841331631373151e-5,5.806246042067981e-6,1.6077161681621927e-5,1.612375833583362e-5,1.642864295075167e-5,2.726678026389972e-5,2.434602904354972e-5,5.676305420007391e-6,5.652818672758831e-6,0.00015528941575223342
t14,1.9529066689429555e-5,1.8411561328400117e-5,5.8044288962937956e-6,1.607568011666219e-5,1.6125402868265805e-5,1.6423473990223944e-5,2.7074300117002087e-5,2.4572693990448395e-5,5.676610458739854e-6,5.653001646521329e-6,0.00015534622010198706
t15,1.9575582426735514e-5,1.840902624671848e-5,5.763508572546998e-6,1.6076019340289735e-5,1.6158605652300783e-5,1.6454805818055978e-5,2.7061303629639718e-5,2.4724075346204383e-5,5.677055182570471e-6,5.653050292584669e-6,0.00015555303250764675
t16,1.9590437692435373e-5,1.8411822990802667e-5,5.770532431513003e-6,1.608455418699669e-5,1.617844565979848e-5,1.636067929212952e-5,2.7068595050656792e-5,2.4827614415486457e-5,5.675908414403508e-6,5.653760840701294e-6,0.00015562235097492375
t17,1.959094452735268e-5,1.8405322555880793e-5,5.816290949194236e-6,1.6104128341720237e-5,1.616674802601193e-5,1.637180535812168e-5,2.7134082827634994e-5,2.485553581543775e-5,5.676409677729577e-6,5.666296111921989e-6,0.00015578756419100588
t18,1.953930047936057e-5,1.839376274578328e-5,5.81586831106672e-6,1.6103152240134512e-5,1.648969344187146e-5,1.683756187500624e-5,2.800272484446293e-5,2.4847576921369114e-5,5.6768062190195345e-6,5.666170240519694e-6,0.00015737261731859405
t19,1.9446164806714157e-5,1.8411732880418296e-5,5.768256735699114e-6,1.6080562666118086e-5,1.607613919966371e-5,1.688813271299253e-5,2.8095481785640037e-5,2.4869750671146434e-5,5.676918049250451e-6,5.653879543832009e-6,0.00015696701905147482
t20,1.950995419653874e-5,1.840311945861433e-5,5.761362760446903e-6,1.6061549880916026e-5,1.6158040550993156e-5,1.6810984262356e-5,2.7993629787925e-5,2.4900576633070898e-5,5.677026712549338e-6,5.653746112628175e-6,0.00015692999035603857
t21,1.954397837657115e-5,1.828570610377459e-5,5.743900102557913e-6,1.5996614324760418e-5,1.6150283009124707e-5,1.2289056323042556e-5,1.6005787923768287e-5,2.488274954720775e-5,5.675453525654098e-6,5.654468835045445e-6,0.0001402279980715069
t22,1.9496660827932737e-5,1.826869846130774e-5,5.7403640076596435e-6,1.5985721790328773e-5,1.6163313150723208e-5,9.772846574684938e-6,1.3425141356157925e-5,2.488479213738079e-5,5.675446576826553e-6,5.655804955280881e-6,0.00013506878983828317
