Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10,0
AnnualSum,33.793365,7.3304744,4.1585705e6,1.797704,4.4677775e6,352192.25,404244.28,455127.78,83090.3,14.627294,19.30822,5.0869446,4.9091224e7,2.295344,2.1824496,6.134167e6,1.5058526e6,1.7704294e6,3.2590833,20.062565,2.283946e6,1.9093916,4.604373,1.3739556e6,2.680382,133381.6,151644.28,566739.7,3.4790902,21.20999,18.800104,5.5855737,767119.5,2.4805355,175315.23,211884.19,3.3520045,1.7394671e6,22.462208,22.94929,5.061431,2.188245,4.3974096e7,1370.3389,1724.4438,2.3079822,2.3363505e6,3.4198138e6,962994.6,11.041187,2.068767,44170.965,49393.363,2.140212,652145.1,5.495561,14.33547,4.3500576,2.4813694e7,2.0400581,5.9114945e6,1.9610065e6,2.3035162e6,3.0398335,3.3994035e6,624069.1,6.0070457,48.943535,5.768846,2.2897296,365034.03,418957.7,7.851166e6,1.1136089e6,4.506367,4.477212,3.168368,1.571211,1.5104468,2.327836,0.32449782,1.6869704,8.712217,4.0473285,555619.4,1.8474269,0.0,5.1246066,11.165186,2.5822861,1.4478554e6,0.0,0.6811399,862585.8,2.3815538e6,0.0,9.411055e6,5.917718e6,1.0810311e6,569802.44,33.53936,0.0,0.0,175.69339,26.340853,1656.4637,116.86009,36.73919,580.7973,310302.03,45560.22,7.7111964,6.6755905,1.9861621e8
t1,0.036998377224843504,0.008090214758423503,6655.158420558657,0.0021001320233669384,5348.685245222548,0.0,0.0,0.0,158.39998914212222,0.0,0.021184701798772375,0.005637290444836565,66923.38804983979,0.002675360049314605,0.0025450929421946046,7302.576111375576,3148.429674739826,2868.5661613608827,0.0037848861683787063,0.01819732086499496,3295.2914109011595,0.0,0.005131878788334532,1645.0443987291674,0.00312532922454852,278.235215883715,301.4234581755055,1047.7673195662162,0.0,0.023712913475265652,0.02056850642544481,0.006173457073704076,657.6731789052265,0.00288665014472697,381.6515648208242,394.66384521266735,0.0038862909241807395,4029.871472673795,0.025457881510312665,0.025087184026271785,0.005587237672162971,0.002549413036997149,55233.24326355334,1.2292028135578725,0.6888829155299587,0.002681172833496716,2324.2694282142756,4385.258538936988,0.0,0.012296268209263321,0.0024337267628082777,28.840651041686428,65.55231101373583,0.002512580283225496,412.2273810970205,0.0,0.01548170792957651,0.004760817456677915,35080.441258788094,0.0023749801864514936,7252.352759765966,801.1132030176714,640.8960304113273,0.0035175998627689185,979.0508718253591,1314.858847623073,0.0,0.053643668862256924,0.006429487559901086,0.0026794201458293677,436.49773393736655,53.02636291136938,3663.3264149239335,202.4945385297644,0.0,0.005328681229193659,0.0037714198126586745,0.0013205774658781892,0.0014105452829690254,0.0017845848692034797,0.0,0.00200829217035759,0.010355922105251884,0.00473948172203738,661.4515120952207,0.0021938383174302406,0.0,0.012501399089859722,0.024114830862666196,0.003063673726300718,2704.588231708827,0.0,0.0,1131.0676441276476,6654.954911280723,0.0,12305.258604697756,6270.522467211897,0.12805143480902298,301.15199875051906,0.08079080494196238,0.0,0.0,0.5023261769106728,0.03476092297413506,0.02821369997415597,0.11080793809529282,0.060391397337022756,0.0968630263999408,890.0264606371874,296.37101586695934,0.010790825790796849,0.009028935011886039,248529.05485476207
t2,0.03700719821359066,0.008093677004933872,6655.158205306343,0.002100533506033036,5348.685046057464,0.0,0.0,0.0,158.39998914212222,0.0,0.021181533891555915,0.0056360756904129195,63722.455678660684,0.002675219451694375,0.0025449709333555245,7302.575654007665,3288.3614251200456,3148.429940708114,0.0037845893167487007,0.022065366854352127,3295.2914109011595,0.0,0.005128739787327235,1645.0441175128985,0.0031249648860227344,278.2351808761839,281.5479316697165,995.3778495602244,0.0,0.023604043751593237,0.02056040895656894,0.0061718354571644604,955.1492624803923,0.002887114301480117,372.98358438065213,325.271941223089,0.0038865230813556547,3566.6697920985766,0.02552761497784571,0.025086103636090457,0.005587262865697325,0.0025496944639069805,55233.24420161885,1.1405094239834317,0.5544320466194775,0.0026802613447486764,2169.3171655141787,4385.258538936988,0.0,0.012292117897954745,0.0024356639256630373,23.596015368711164,60.30769570208604,0.002515699370189809,314.0766624223737,0.0,0.015477267643362854,0.00475934647129696,35080.441356507356,0.002375072303963859,7252.352822919299,694.2957545551196,587.4873302463058,0.003517325441070188,856.6674694493244,1314.858847623073,0.0,0.05345973202321011,0.00634082746652345,0.00266606656536132,436.49285263380375,84.83624274841259,5328.467066606225,323.98521652611646,0.0,0.005330016992476115,0.003771477226485005,0.0013212969997788838,0.0011260908789600677,0.0019601200589230245,0.0,0.0020082890188836003,0.010377230859928489,0.0047381533004893775,661.4515164874532,0.0021938267607817617,0.0,0.0128833903326472,0.024434693051245022,0.003063586600535062,2884.89435104881,0.0,0.0,984.654991434054,6654.961397114378,0.0,11801.999873178274,6001.247223388718,0.09902349050553397,77.6516620262009,0.061444100150752856,0.0,0.0,0.2348562563953116,0.029045794897643668,0.03557128066818708,0.5869804730870098,0.0504369119843903,0.051903902112400334,814.3464082446446,0.006491045026977232,0.009548530532123659,0.008363840220333405,245369.80921012585
t3,0.037007872378874054,0.008093470920079199,6655.1545091553735,0.0021004304123985722,5348.6838210497435,0.0,0.0,0.0,158.39998914212222,0.0,0.021180467144013795,0.005636168094688856,61204.06073947301,0.002675203842414516,0.002544959128481082,7302.575129272392,3078.463406084503,3113.44686094049,0.003784556595882961,0.027679753842125062,3295.2914109011595,0.0,0.005127669311610817,1645.0446193952077,0.0031249662719609337,278.23521851857595,255.04736250200287,995.3778852969778,0.0,0.023608239094121488,0.02055660181105895,0.006170617277725549,954.6439758784493,0.002887090184604383,381.65851596333374,281.8978221342075,0.0038863119141997037,3520.3490455635792,0.025526669354773615,0.02508242667316999,0.005586135937079301,0.002549772265027503,55233.243622034744,1.05210158948197,0.4648980105520007,0.002679669542843293,2169.31622635056,4385.258538936988,0.0,0.012293580270855788,0.002435984058431672,19.662546420869443,53.751990852962734,0.0025162283410070907,255.18628051862834,0.0,0.015480383968262608,0.0047592007706491616,35080.43237386735,0.0023746388538550146,7252.349851802574,640.8826717666838,587.4850055847465,0.003516573259038306,734.2801299223541,1314.858847623073,0.0,0.05344189062247129,0.00633181294759869,0.002662933019359237,436.4897188183114,127.25669403935267,6494.067182106002,404.98018422893045,0.0,0.005331046331052865,0.00377168273418152,0.0013736373751175588,0.0010898515307351563,0.0021329873532389197,0.0,0.0020082952784311373,0.010387582215972808,0.004737714750960555,661.451511772284,0.002193835432903256,0.0,0.013468518427576626,0.023793670946934516,0.003063572083075695,3065.2004716530123,0.0,0.0,954.2459109912411,6654.9625513441615,0.0,11398.0464153301,5862.982778774806,0.10142268842774482,15.860340650143597,0.026270767647096464,0.0,0.0,0.1555788745375169,0.02548076206188247,0.0373736611029488,0.5866005932699194,0.03944112919401861,0.03830960761368568,0.03782293576522008,0.020729060671829988,0.0091079063689443,0.007976143172141011,242273.6019250634
t4,0.03700102909832734,0.008090431396210396,6655.109139098953,0.002100414925619721,5348.678999627058,0.0,0.0,23.635662718847787,158.39998914212222,0.0,0.02117946057376216,0.005635701369440372,61151.45055894346,0.0026754035561604213,0.002545147192601737,7302.574548181829,2903.5481729452054,3043.480559831309,0.003784832684752178,0.030474881578990597,3295.2914109011595,0.0,0.005127871255798949,1645.044999812015,0.003125154951688936,278.2352524623675,235.17195311939219,1030.304204089083,0.0,0.023687276651301825,0.020555478288614357,0.00616823972846256,636.3792850094358,0.0028862480156203237,390.319563934907,372.96987915313997,0.003885252049671852,4029.8647821194104,0.025478087572794794,0.025077471003131444,0.005583383756078926,0.0025497162211038644,55233.237539350215,1.0034130473831,0.4157212946746661,0.002679060650797153,2169.311486456372,4385.258538936988,0.0,0.01229527103842407,0.002436141441287616,14.417952575172063,41.951787396735256,0.0025166394449320905,196.29590662429317,0.0,0.01552903021701944,0.0047801627968261096,35080.43470669936,0.002376444248666185,7252.350870734131,587.4751306900029,587.4856832779169,0.00352043007226767,734.2808312342323,1314.858847623073,0.0,0.05344374677361041,0.006332121329411804,0.002662821307367159,436.48912929475756,169.68245519362432,6827.096813141963,566.9790949832046,0.0,0.005332062865619155,0.003772016444244958,0.0013737338073971784,0.0013073214464148838,0.0023067663561876428,0.0,0.002008321954436917,0.010392756627559448,0.004737453731915924,661.4515034756685,0.0021938439792110534,0.0,0.013851659445745668,0.025714420937820646,0.003063558940506456,3155.353527464906,0.0,0.0,968.8236696260707,6654.92543154224,0.0,11250.904743108458,5972.220852949516,0.1010614274860602,0.11177066605338597,0.033452543581204405,0.0,0.0,0.052445069328395315,0.021412580241040917,0.03768159464574074,0.057467386824657726,0.024951424647863367,0.03133880568793536,0.050490672193031244,0.04225115420830211,0.008842900419519387,0.00764728469556084,242764.1676485884
t5,0.037009926652922756,0.008092737614350436,6655.154322894911,0.002102977342270925,5348.683996616823,0.0,0.0,23.63946968286997,158.39998914212222,0.0,0.021180321762197828,0.0056364597070677645,67157.52299877677,0.002677265682499974,0.002546874072530533,7302.574900279103,3078.463288626505,2903.5486654389415,0.0037879034501718664,0.03187999049100966,3295.2914109011595,0.0,0.005129246162708236,1645.0461250374033,0.003126607094850775,274.9229232279689,221.92200185071655,1100.157007853412,0.0,0.02397656082684311,0.020554131117389622,0.006167855771303416,637.0207271685323,0.0028874887391752216,385.9821643615993,429.3563512985809,0.0038869937164441293,3983.543869391705,0.02583155545704538,0.025079224089805112,0.00558287189305222,0.002551946311440584,55233.24360815194,0.9625769260275225,0.37553320517161015,0.002681424813061574,2014.3636517200289,4385.258538936988,0.0,0.012290867235260803,0.0024368543352131186,11.795678714791974,30.15170240598455,0.0025182660032471733,157.0355718215803,0.0,0.015546527315914188,0.004787138000746482,35080.43521624661,0.0023789264854068297,7252.351116959638,534.0670402202535,587.4858573595887,0.003524913338842107,611.8981842190672,1314.858847623073,0.0,0.05344315688398735,0.006331739038573709,0.0026652456494625125,436.4896152936071,190.89568022431254,6494.066919753795,607.4793716362002,0.0,0.005333819680606723,0.0037723428818913322,0.001322003977956428,0.0013796768043782188,0.002309320235271766,0.0,0.0020083577892454113,0.010395919031203738,0.004735780286228186,661.4514971297577,0.002193818151309448,0.0,0.013843387065687395,0.02699711825250657,0.0030634713329694475,3155.3535271529795,0.0,0.0,1135.0761964375272,6654.94651233261,0.0,11941.562050174336,6698.126192997597,0.11774439215367852,0.13020513439022777,0.029203619628435446,0.0,0.0,0.07008359353232213,0.01734119869759722,0.037784561459199624,0.06244937217979003,0.02415356537728711,0.02608712558846039,0.05185867265042648,0.04982852990241472,0.008436130799340278,0.007320553579386583,249792.0190456551
t6,0.03715339419557645,0.008157596555400508,6655.195398495828,0.0021176369353930902,5348.698824447415,0.0,0.0,23.656035222483887,158.39998914212222,0.0,0.02124545650339122,0.005679919081410725,67698.6516245816,0.0026897839319358838,0.002558374264598977,7302.598279555823,3008.5283530459637,2623.7156101299074,0.003810675827775503,0.0492753022660197,3295.2914109011595,0.0,0.005175438772942482,1645.0605376865105,0.0031381265239251183,278.2470499418732,231.87119374238674,1117.6315966415975,0.0,0.025044516773492124,0.02063865223377438,0.0062095242460755325,955.2478896268207,0.0028993896748342146,386.0193173763263,429.3934591615392,0.00390735065611603,3566.692512348067,0.027293005971849114,0.02518063318246124,0.0056250975933791175,0.00256587574347346,55233.261364517464,0.9825859265832129,0.30724076989842947,0.0027024637481967923,2014.3828061053746,4385.258538936988,0.0,0.012290457149060996,0.002443410035192958,7.862380609314024,20.973689655795912,0.0025312246724272644,117.77521125363101,0.0,0.01562499116930547,0.00483107965946754,35080.45332064086,0.002393435724022511,7252.359471048729,480.6720866854068,694.3107220203922,0.003552206793912442,611.9105955004841,1314.858847623073,0.0,0.05361632824576176,0.006427405603577841,0.0026855356505308373,436.49773799130344,190.91104294258912,6327.567134034284,607.4944075503737,0.0,0.0053329545954711125,0.0037720519238876077,0.0012696468532786601,0.0013766537839731109,0.0023127338619128557,0.0,0.0020083200104204744,0.010395516806925176,0.004731516683266948,661.4514920533298,0.002193715209745223,0.0,0.014037766064930325,0.026993091018725265,0.0030631885388449683,3245.50658940361,0.0,0.0,1297.9921907581715,6654.99394650535,0.0,15359.643247521684,8354.504144049875,0.04972820880435774,0.031996238674104636,0.02492662003900624,0.0,0.0,0.028145150198036255,0.020025933804700764,0.03607176235230896,0.04220048363144614,0.023569735519595878,0.019915572987921102,0.03217797844343357,0.026067396574091264,0.009949491045734164,0.008561015375081613,255077.63016318416
t7,0.038438459434057076,0.00855137932553814,6655.198110583339,0.002155658844481348,5348.701245405857,20.28532577156161,30.427497924065417,23.659517637685802,158.39998914212222,0.0,0.02191593424451604,0.0059259903906400836,67698.6554795063,0.0027242725349337525,0.0025896857080623926,7302.60156539322,3253.416016178052,2168.9432242425605,0.003878577398769283,0.05720318889816875,3295.2914109011595,0.0,0.005309530811305198,1645.0640216196894,0.003163541116175432,281.5653126989678,248.4397299895712,1100.1741119843746,0.0,0.026217748810769,0.02116691073129444,0.006424202381355699,955.2530851088131,0.0029307125981709514,381.68981160809625,429.4013754880184,0.003967717005501241,3335.096275211696,0.02890621951496116,0.02601241738654984,0.005912980395445739,0.002604702198295326,55233.26416319111,0.9877027619585095,0.31248815740144575,0.002769584397864313,2014.3872957525255,4385.258538936988,0.0,0.014586253578214187,0.002497804898892658,6.554306909243154,18.354597251051786,0.002628812274474258,98.14901605049178,0.0,0.016540154195393373,0.005162352563474689,35080.45669796336,0.0024455267437631938,7252.362434983521,427.26940349043207,801.1318427688424,0.0036597458613050514,489.53284786392067,1314.858847623073,0.0,0.05443197413907397,0.006746236115514663,0.0027271970820905195,436.4992526852819,222.73440751160484,5994.540760427649,647.9979922976579,0.0,0.0053356261966570374,0.0037724457281730728,0.0012702385861017604,0.0015190641216482643,0.0023173310021077547,0.0,0.0020083592198362242,0.010396986763692193,0.004727041179525637,661.45148502455,0.002193626757923871,0.0,0.01423086358310412,0.026991960806128625,0.0030629508108986955,3245.5065918414953,0.0,0.0,1297.9978626849604,6654.998463899124,0.0,16664.241413722957,12458.002276158462,0.016565060820865278,4654.965936108076,0.007550324528520801,0.0,0.0,0.01869840686566175,0.012426628801470283,0.01923087659050007,0.017563009757942106,0.013013790202852833,0.012429886488507392,0.00867484694854121,0.01786089288944677,0.00915607450847296,0.00806146929420728,264394.70898569486
t8,0.0381432099848381,0.008469410059780812,6655.197994730821,0.0021589625750947803,5348.701132261575,40.571219792444644,60.85633470785932,23.659383549194207,158.39998914212222,0.0016512350244448624,0.02227669066666891,0.006029278288776741,67698.6556852825,0.00273884920304074,0.0026029179355667852,7302.601776666273,3078.5015020621763,1679.1816883136348,0.003907659283447034,0.05766534926081425,3295.2914109011595,0.0007820180298031187,0.005366552535713168,1645.0643394688566,0.003174232826730253,281.56593015506456,274.9409919936658,1065.2484274653432,0.00032952839355077296,0.026456577137799343,0.021404131137464564,0.0065020525243358425,955.2533203283992,0.002943377732662312,381.69032756302875,429.4018953428228,0.003992304682361634,3427.7384641154163,0.029120662555623192,0.026526049108454047,0.006035161432469236,0.002621164009954341,55233.26432486439,0.9880351187939342,0.3578230193142558,0.0027986308571868,1859.434626860823,4385.258538936988,91.91484604819735,0.023336991419874168,0.002565164621745572,5.243649452410463,18.355118010453705,0.002746649131686157,78.51950356467967,0.0,0.018338327552797053,0.00540234399577303,35080.4568835928,0.0024977091265768795,7252.362627885166,427.26976248191085,801.1320927062455,0.003768691195889284,367.14967657507526,1314.858847623073,0.0,0.05412158136800744,0.006712023262994737,0.0027362720419187997,436.49923711675893,243.94743413981905,5494.995535806457,688.4979838844762,0.0,0.005337414940981328,0.003772783878448774,0.0012182942891513697,0.0016628042225748547,0.0023200185785148464,0.0,0.002008399551587024,0.01039806946710657,0.004725336931703246,661.4514811155676,0.0021935781796603273,0.0,0.014427030204750068,0.02699137724114038,0.003062821552643859,3155.353529703332,0.0,0.0002716065916413803,1297.9981805970915,6654.998645533761,0.0,17294.060810359224,13229.762975751859,6640.246559766351,4654.989765174111,0.005148880653684713,0.0,0.0,0.01495940295283623,0.059169263157925076,0.026712644510659984,0.2781267879019773,0.12591808144527683,0.00959313022430652,0.006576288597489413,0.007595691856758293,0.008954341685562008,0.007782571942120667,271172.925157911
