,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,952.9872378918968,61211.432341465894,108.48873047233351,157.16182778420443,8202.48347377977,986.4269365359571,148937.0347353095,195844.1406400821,68.9927184720524,9875.070177369102
t1,1.1681490697335395,75.40088807591793,0.13064320675341468,0.19074835870594084,10.1014943359589,1.181735113749834,177.94321256856392,236.41100670324232,0.0820015996621975,11.76307433259094
t2,1.1681036979298351,75.40088802600029,0.13064917741517423,0.1913075383543452,10.101511949042239,1.1817325273032233,177.9432408161342,236.41060984647555,0.08204665413796647,11.763083540736782
t3,1.167877418208025,75.40095090625276,0.13064718185583904,0.1913155522232814,10.101168383687597,1.1817675311055196,177.94303594723743,236.4104448787613,0.08208235294899216,11.763086075766521
t4,1.1678777822522923,75.40095473581255,0.1306468217876124,0.19073406610718752,10.101136951679468,1.1817694645600016,177.94305378659956,236.41012800411127,0.08210333923797034,11.763088535536186
t5,1.168128067689136,75.4009176488897,0.13064564987982913,0.19079552282404647,10.10152493556042,1.1817697788039658,177.9430165100455,236.41045842248457,0.08207336134034529,11.763088904276604
t6,1.1693191263970018,75.402607628957,0.131202879859165,0.1925181126194901,10.103236636116085,1.1817314269901358,177.94349701863806,236.4110242432117,0.08189466919069201,11.763075356405261
t7,1.1693689453274445,75.40295651175346,0.1314387371869919,0.19277321576949447,10.103421156819323,1.1818760889693964,177.94377225614357,236.41106461898988,0.08180942481956868,11.763018722043512
t8,1.1692988528575157,75.40289318401848,0.13142956557616883,0.19275579599690756,10.103339228715178,1.1818388168004803,177.94364456246453,236.41107151857935,0.08177338602806886,11.76299914249025
t9,1.169295145510325,75.40288505653429,0.13142220480838337,0.19274586211467074,10.103325790031082,1.1817298552887563,177.9436411634517,236.4109556604104,0.08176712558493224,11.762988466743156
t10,1.1693584193781872,75.40293701210494,0.13141658941288964,0.19273494089337326,10.103385074848296,1.1754438966810181,177.9386139569503,236.4110734331008,0.08177295702303736,11.762978680772099
t11,1.1693923195868905,75.40293103831885,0.13145099156484744,0.19273265462212685,10.103416213137058,1.1749121362554436,177.93777392395816,236.41114940273727,0.08176671285632502,11.762976560315932
t12,1.1693416838367905,75.40292163385249,0.13144342095891176,0.19271249457109385,10.103361024654884,1.1748576675072964,177.93779984677784,236.41113108953098,0.08176808511755511,11.762966648389714
t13,1.1693315958155595,75.40292342805999,0.13144731367043816,0.19271781913870284,10.10335759194622,1.1748412013683744,177.93837940182257,236.41107209646714,0.08177307943940773,11.762970569712351
t14,1.1693200258394143,75.40292383141445,0.13145098705381533,0.19272330331474838,10.103359452147274,1.177972153422524,177.93946995831058,236.41103923205267,0.08177620117649895,11.762974465272084
t15,1.1693189766983652,75.4029397939419,0.1314214201627995,0.1927307426237142,10.103363088017236,1.1778171986511792,177.93949961702572,236.4110379801993,0.08177863558038932,11.762977116895462
t16,1.1693241682464834,75.40293957772754,0.13142614664250152,0.19273980151319886,10.103376219389228,1.1769583131733912,177.93934743999884,236.41104403802302,0.0817791418536143,11.762981951691724
t17,1.1693374596776198,75.40293752601228,0.13146030783207924,0.19275049477451173,10.103392120496892,0.8199111319986964,124.55832580397865,236.41105585822385,0.08177224903613489,11.762995590129108
t18,1.1693664877068288,75.4029475432867,0.1314606783888827,0.19275430229753462,10.103426297942365,0.2366983890986928,35.5881769083684,236.41106435095853,0.0817690562621254,11.763000745517981
t19,1.169368168743357,75.40295574100875,0.13142481338650658,0.19274393034891082,10.103418533455839,0.23593027095306737,35.59018759306715,236.41106426623796,0.0817709099888048,11.762991539602451
t20,1.169356743627926,75.4029579208593,0.13142936672963587,0.19274660377685457,10.10340492260502,0.23817549411041597,35.58987211333854,236.41106720160937,0.08177097196692118,11.762991840505942
t21,1.1693848786519254,75.40295121765912,0.1314276007759542,0.19277856755499553,10.103411912219228,0.8288765141287365,124.56177825956374,236.4110747917764,0.08177859918206848,11.763002534133665
t22,1.1694171650778094,75.40295292827575,0.13143547886646642,0.19278873755167705,10.103444393811502,1.1818229621490723,177.94357960499593,236.41107718927466,0.0817890644512988,11.763009917315916
t23,1.1694224655672456,75.40294081086721,0.13146416697833144,0.19279180120662368,10.103439600390896,1.1818400794879438,177.94382082320564,236.4110478334558,0.08179466704383727,11.763021256518236
t24,1.16873047757584,75.40216153035796,0.13105286722511136,0.19228666875827044,10.102358650247185,1.1818472798269908,177.94267169644226,236.41057264186364,0.08202924730047303,11.7630681530201
t25,1.1678021074534972,75.40095297473826,0.13095667861199986,0.19136927366942202,10.101054010648607,1.1818407025113653,177.94166009533035,236.40969012072284,0.08214948299179965,11.763070603743955
t26,1.167579556414597,75.40098833985093,0.13095695151344153,0.19134488109767941,10.100682880217231,1.1818398990183963,177.94161613831255,236.40947377813987,0.08216307118233641,11.763071809270453
t27,1.1675879751796527,75.40097207142169,0.13101529001096376,0.19140143640375187,10.100613088187249,1.1802829346957566,177.94164461151743,236.40958267455792,0.08226024037814479,11.763090137879919
t28,1.1675859288256158,75.4009700022652,0.1310164247072394,0.19140350223665664,10.100607602309799,1.1800810260235322,177.9416484660818,236.40959322427645,0.08226015329941525,11.76308814979571
t29,1.1676191659076876,75.40098501749252,0.13101526361029836,0.1914337348705497,10.100653185992226,1.180025785475346,177.94164370009074,236.40962642179366,0.08225614297568602,11.763086463311312
t30,1.1694003224703118,75.40296714968838,0.1314724962604322,0.1928022495048222,10.103424655384023,1.1797209696937978,177.94161593596112,236.41111238110847,0.08190923478304471,11.763054958532086
t31,1.1693801716043188,75.40293298191699,0.1315144550937464,0.1927910203081537,10.103422539465871,1.1797234424097196,177.94162165649004,236.4111015904987,0.08188306324338585,11.763061463796111
t32,1.1693569197841744,75.40291748214892,0.13149252708598275,0.19277905028295503,10.103414331184227,1.1817804172814022,177.94387286700587,236.4110893815314,0.08178399304553072,11.763025162616783
t33,1.1693534222280135,75.40291985442252,0.13148777567990952,0.19277170484972952,10.103400324355643,1.1817861226074409,177.94384255564208,236.41108545614023,0.08177483579821833,11.763011305976043
t34,1.1693517948897365,75.40291954166341,0.13149020327719294,0.1927669333803435,10.103386649465257,1.181788579392149,177.9438651384937,236.41108742981612,0.08177087320599417,11.763008058326825
t35,1.1693507511149948,75.40291933644806,0.13150188042077934,0.1927676046254914,10.103394616666716,1.1817897435333051,177.94387383455813,236.41108403054358,0.08177181485774046,11.763007862355094
t36,1.169348459877174,75.40291322624739,0.13149695670770303,0.19276642775428948,10.103396543644061,1.1817908518463647,177.9438835966827,236.41107822093184,0.0817713130766831,11.76300491399014
t37,1.1693480094765398,75.40290768338018,0.13149628157096915,0.1927674738759133,10.103396701430443,1.1817924380782239,177.9438862215594,236.41107607721824,0.08177099700529016,11.763004955318259
