Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
GEO_SEQ_INJECT_1,1,0.0,0.0,0.0
GEO_SEQ_INJECT_2,2,0.0,0.0,0.0
GEO_SEQ_INJECT_3,3,0.0,0.0,0.0
GEO_SEQ_INJECT_4,4,0.0,0.0,0.0
GEO_SEQ_INJECT_5,5,0.0,0.0,0.0
GEO_SEQ_INJECT_6,6,2692.421847664285,4340.585609415411,7033.007457079697
GEO_SEQ_INJECT_7,7,106340.25155992719,171436.3468054091,277776.5983653363
GEO_SEQ_INJECT_8,8,142987.28266835117,230516.82707822337,373504.10974657454
GEO_SEQ_INJECT_9,9,33796.12166203413,54484.38901487068,88280.51067690481
GEO_SEQ_INJECT_10,10,9495.789589217386,15308.629172189436,24804.41876140682
GEO_SEQ_GAS_INJECT_1,1,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_2,2,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_3,3,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_4,4,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_5,5,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_6,6,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_7,7,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_8,8,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_9,9,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_10,10,0.0,0.0,0.0
