,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0,0.0,0.0,0.0,0.0,3223.542659510567,197246.19183708643,261889.63816722433,59100.62792692618,16029.018383207487
t1,0.0,0.0,0.0,0.0,0.0,4.590265162631444,235.77989039064178,315.62973870676217,73.04731488202174,19.41866184497011
t2,0.0,0.0,0.0,0.0,0.0,4.702594581499017,236.0742708669248,314.8496856544109,73.29676960274848,19.54281273029197
t3,0.0,0.0,0.0,0.0,0.0,4.862185184757486,236.010092225312,314.62630723892454,73.3134654656636,19.653328121758907
t4,0.0,0.0,0.0,0.0,0.0,4.950665158134568,236.09629228617658,314.23121509282066,73.45037831012598,19.7359434337831
t5,0.0,0.0,0.0,0.0,0.0,4.767664382153251,235.98571485182848,314.735039338945,73.37222726310998,19.604789543663482
t6,0.0,0.0,0.0,0.0,0.0,2.6121634489540706,236.29650322092226,317.9107234652689,74.50212842308935,17.151288622210853
t7,0.0,0.0,0.0,0.0,0.0,1.9951682550456087,235.95137324414074,319.5221533852607,75.00950837080777,15.994502814233494
t8,0.0,0.0,0.0,0.0,0.0,1.997712085884593,235.69934897514594,319.6340039937544,75.14310677195652,15.997552725202803
t9,0.0,0.0,0.0,0.0,0.0,1.9975258803669016,235.67524843800678,319.68340674600347,75.136304452617,15.978506714775415
t10,0.0,0.0,0.0,0.0,0.0,2.0826814541529197,236.01612313745164,319.457062971122,74.96211622069352,15.933807107096683
t11,0.0,0.0,0.0,0.0,0.0,2.0822564167315596,236.01891628529287,319.4468849692738,74.98853249922077,15.912756575851597
t12,0.0,0.0,0.0,0.0,0.0,2.079589951744218,236.00972954990817,319.45256954782843,74.9982266833761,15.908774904693129
t13,0.0,0.0,0.0,0.0,0.0,2.0788137225329013,236.00563478227588,319.4586516401474,74.99876010358749,15.907745476154542
t14,0.0,0.0,0.0,0.0,0.0,2.080109834994899,236.00702847258836,319.4601781543621,75.00009274577344,15.908944309636864
t15,0.0,0.0,0.0,0.0,0.0,2.0875996579469485,236.01846547549718,319.4625096944943,74.95413217352318,15.933483585468215
t16,0.0,0.0,0.0,0.0,0.0,2.0865049150630885,236.02938854195114,319.45245933495346,74.9515106520086,15.934800605229922
t17,0.0,0.0,0.0,0.0,0.0,1.631480259847289,168.80873107907757,319.41264567576735,74.95755318882455,15.903738905204438
t18,0.0,0.0,0.0,0.0,0.0,0.9303897530882337,56.666932383507636,319.39915547378945,74.93023252975512,15.89602072355415
t19,0.0,0.0,0.0,0.0,0.0,0.9350504809640497,56.66781268383984,319.4077014502775,74.89525779559045,15.91814869767315
t20,0.0,0.0,0.0,0.0,0.0,0.9356500090548399,56.667598671882374,319.4092478672945,74.89495364912862,15.919299068419662
t21,0.0,0.0,0.0,0.0,0.0,1.6223667963147106,168.75960057221522,319.3942237462197,74.9474076348196,16.011435110097434
t22,0.0,0.0,0.0,0.0,0.0,2.057866754790493,235.95998895622677,319.4281214961167,74.9925640723659,16.033895960929538
t23,0.0,0.0,0.0,0.0,0.0,2.109157955512357,235.93287793603733,319.3613422564317,74.9937950115996,16.07591028826539
t24,0.0,0.0,0.0,0.0,0.0,3.9772920900086683,235.96127800484044,316.2032252039544,74.06629597076395,18.261594780716877
t25,0.0,0.0,0.0,0.0,0.0,5.168108578833707,235.80597081339815,314.04679978576075,73.59878322078796,19.843894764809054
t26,0.0,0.0,0.0,0.0,0.0,5.273405672142084,235.8814141846699,313.7710320612206,73.59387677259745,19.94304438157029
t27,0.0,0.0,0.0,0.0,0.0,4.354877122757967,236.01399897866062,314.23139629187716,73.7861742498022,20.075125861461892
t28,0.0,0.0,0.0,0.0,0.0,4.230583612913987,236.03717226953947,314.29146262504406,73.81463801243339,20.087505748077252
t29,0.0,0.0,0.0,0.0,0.0,4.152497593401435,236.0549898251247,314.32932580309733,73.84340193160492,20.081190123167463
t30,0.0,0.0,0.0,0.0,0.0,1.2245145034066756,235.12563173086488,319.88784211653746,75.35178848360917,16.879486404425858
t31,0.0,0.0,0.0,0.0,0.0,1.2347985489733837,235.1167657041074,319.92161735822356,75.3802111209539,16.815633955621532
t32,0.0,0.0,0.0,0.0,0.0,1.9515965460478175,235.90380262826616,319.5508766653733,75.06757393678917,15.998976055872134
t33,0.0,0.0,0.0,0.0,0.0,2.0152896717620994,235.9721962706961,319.49741704162017,75.0318584097119,15.955834540817516
t34,0.0,0.0,0.0,0.0,0.0,2.0096484017733003,235.97614141413973,319.4995315933553,75.03244460061421,15.954833708243429
t35,0.0,0.0,0.0,0.0,0.0,2.0103359224043644,235.9745748924269,319.4998294322043,75.03294247580422,15.954950315764046
t36,0.0,0.0,0.0,0.0,0.0,2.010713772763545,235.97314161104921,319.50084432280295,75.03333390694745,15.954579457261174
t37,0.0,0.0,0.0,0.0,0.0,2.0105762144866484,235.97246516654445,319.50102752440375,75.0341335549359,15.954396704456133
t38,0.0,0.0,0.0,0.0,0.0,2.010258675650899,235.97262352888237,319.50073951023717,75.03461977160546,15.954351460984764
