Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10
AnnualSum,4.8858395,2.2508137,842.3159,19.974691,3.7969136,1.2411648,61727.15,766.858,1.0327834,1.5508844,77.69318,10.114275,2.4083273,1.932925,86.51922,14.683283,7.744559,2.0578809,8214.914,327.21127,26.077793,2.092965,940.4497,32.529926,6.493662,2.1408975,150213.38,57.940273,1.4352303,2.3281019,197424.03,13.302664,10843.004,2.0134113,29.71094,14.714004,0.5942314,2.0451663,9924.855,1203.045
t1,0.00699257124629604,0.0018477365078640954,1.052156371343477,0.027531533819658324,0.005762476932938559,0.000935240932908197,95.34660061846357,0.026464248746410055,0.0026442593508274608,0.001390351461080411,0.09265714144065308,0.021759903566579353,0.0044818567032362585,0.0018263435586651751,0.10435526649575842,0.027902570799947363,0.010923470992296703,0.001766605638777711,9.981580955013511,0.03140038058247453,0.000982630666162018,0.0017810196387119286,1.1338477934398319,0.03035627916180454,0.0037908177629269353,0.00177491926733297,170.1259895510591,0.0032026673426587935,0.00027349669745970286,0.0018585605866097994,131.25586382313978,0.01097482333014592,14.506528239847562,0.0020849899286139923,0.03511734085639592,0.02175334134567792,0.00020074352896199584,0.002012731659192331,11.932533340142696,2.9521786375459604
t2,0.007028181483383029,0.0018472577580283575,1.0557769246689859,0.027305868355443106,0.005705402229567777,0.0009345008706443931,95.34704985479844,0.026480245423302393,0.0027189298276858054,0.0013901752148329915,0.09315666261729434,0.018952861759318342,0.004332729155570068,0.001826430605665428,0.10467820789335167,0.02339835304895844,0.01088433797169627,0.0017647122072183652,9.984041708649272,0.03210291817631013,0.0008701254247987059,0.001782171065183422,1.1356325184850928,0.02699019497422079,0.0030153907743592414,0.0017742136538506773,170.10274238333338,0.0030951874193452344,0.000955347714458113,0.0018596199833451122,316.1963404210481,0.015371302155601535,14.506545115672488,0.0020876559424071895,0.03530357513820759,0.019227153062109835,0.00019643892439857546,0.0020200818811225455,11.933159372567308,2.954442294813092
t3,0.007096679556627213,0.0018514573432627237,1.0613314333951478,0.023503674331605218,0.005661381802439236,0.0009359157601995554,95.34819918022846,0.02461512059966265,0.0027314175794393835,0.0013934723505113968,0.09391176309872452,0.016656469464666878,0.00426879354722474,0.0018298360021992018,0.10530902113406987,0.019978157930329685,0.01092858109000167,0.0017677093025740198,9.991499856669629,0.036918330096453206,0.000870782318813164,0.001789672902489482,1.1393149029628542,0.024208160952681145,0.005799856925020648,0.001777193357842484,175.1015800043011,0.0033782513040310617,0.0013977213427509932,0.0018648074747034749,316.35817834732114,0.01497465905770171,14.50656030843344,0.002090892203423835,0.03551596991942708,0.0197491732290607,0.0001965441887926639,0.002013914244508544,11.933144784176948,2.957703292626156
t4,0.007013245833681779,0.0018734763549706367,1.0789696989365605,0.018994998314077832,0.005694233265569528,0.0009455742505683805,95.3550033138623,0.025828334021296664,0.0027445140609505957,0.001406297021191452,0.09556985854167466,0.014237300701292668,0.00444953618499991,0.0018452264141658181,0.10689804786043494,0.017033147418793998,0.01103074694987849,0.0017858835043928806,10.001461458066723,0.020842312406558323,0.0008695715547553433,0.0018190206127350146,1.151440765078495,0.02177776410921045,0.005952248998777346,0.001798963645989493,173.0412529741259,0.003633936650160211,0.001830619630656813,0.0018875841641993933,316.458871492771,0.013571775335595872,14.506420153507205,0.002104522035372677,0.03596106951903498,0.019667768449014918,0.00018670164781804378,0.0019946209438692387,11.931758402074074,0.0029918446688709244
t5,0.006143971480841743,0.001926803576124296,1.0983833264938638,0.014817876191361488,0.005470851239964382,0.0009681333936994629,95.36311482827014,0.025594933296541687,0.0025862099077403385,0.0014352441660287285,0.09778300313068333,0.011287429492735195,0.004343519842074795,0.001880988002140746,0.10904403744242688,0.012217991299278528,0.010501693441680893,0.0018313674297520896,10.018472422272943,0.026432322693167705,0.0008700415610668528,0.0018980917842382876,1.1651961170256604,0.019257384211842855,0.005241113682932978,0.0018638271203324332,173.0771681541244,0.004170853960269813,0.0013267377409592286,0.001941554256160335,316.5029140861353,0.01120084157896774,14.505159501500389,0.002139072791859299,0.03659961731642257,0.009588678159529032,0.00018646392416984988,0.0019924996696036607,11.93192135248141,0.0028031343850757314
t6,0.0005324510750885817,0.0020395244542377546,1.121164853659884,0.007678168439406795,0.0011088249706899028,0.0010156284576378644,95.37314410155527,0.011018367616362861,0.0009391445665469653,0.0014942944790702207,0.10081798212464503,0.009542126477878216,0.0016252085601982946,0.0019540923995487918,0.11214326503046666,0.011873779048132058,0.0008413803842267536,0.001927217134359989,10.059007624353894,0.012404865443266936,0.0008704233293566553,0.002082798184819044,1.1815769856623015,0.016387408804223035,0.0006969303262721606,0.0020118181766420797,169.36644677916993,0.0030079494529282494,0.0002847948618952782,0.0020545332193521726,290.5879581431787,0.005611124279543439,14.505228863381355,0.0022198931515057313,0.037571438568676986,0.008808938486151678,0.00018140815588970548,0.002008932685544731,11.93130666269716,0.0017589953687123401
t7,0.00015356272856812027,0.0022972914768077508,1.1887709561724809,0.016183419491136955,0.00012840899539647298,0.0011198150398944035,95.40102125042588,0.043235501878917365,0.0002032479473746241,0.0016122494229049349,0.10734547140110157,0.015510505768491435,0.0001529768315704805,0.002096660755516406,0.11822323818168888,0.01670556891436361,0.00017948865766224145,0.0021334426703182416,10.091652586978398,0.008922007346308162,0.0003283816077349646,0.0025882167330337487,1.2329798453534624,0.009670490874123746,0.00013428569719551645,0.0024267298309985676,233.0820358484271,0.004229816701627646,0.00010639993399730889,0.0023094512113191242,316.7771559699666,0.025634655779881797,14.510053757177152,0.002400320709301984,0.03985791921005602,0.029708429836154505,0.00021519140275712636,0.0020741237936602133,11.935969576108082,0.027838986477803994
t8,0.00010509818314296924,0.002439413093038737,1.1900839651787065,0.007606965637176212,0.0001380914460585206,0.0011660749001246406,95.40231069560194,0.008697422100067178,0.0002164015859641606,0.0016779461291957644,0.10838783907952432,0.009267733663107588,0.00015797192468030088,0.002173664233190042,0.11922008497669452,0.011092446241296986,0.00012116620630293559,0.002267993030133039,10.093216087366514,0.00487558583156044,0.0001925573935397376,0.0033047484668553683,1.2353291090242005,0.020129952877744692,0.00010452042766423074,0.00304482999672665,233.0848808674463,0.005110670217782147,0.00011901230547989463,0.0024244750281722646,316.7784765932301,0.01171045764371032,14.510056097340248,0.002498056293439033,0.040466645024346354,0.01803315904773064,0.0002134237377083876,0.0021092742820722986,11.936785159648398,0.011909156628485608
