,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level,Source_Zone_H2_Net,Sink_Zone_H2_Net,Pipe_Level
Pipe,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40,41,41,41,42,42,42,43,43,43,44,44,44,45,45,45
Zone,"[""z1""]","[""z2""]",NA,"[""z1""]","[""z3""]",NA,"[""z1""]","[""z4""]",NA,"[""z1""]","[""z5""]",NA,"[""z1""]","[""z6""]",NA,"[""z1""]","[""z7""]",NA,"[""z1""]","[""z8""]",NA,"[""z1""]","[""z9""]",NA,"[""z1""]","[""z10""]",NA,"[""z2""]","[""z3""]",NA,"[""z2""]","[""z4""]",NA,"[""z2""]","[""z5""]",NA,"[""z2""]","[""z6""]",NA,"[""z2""]","[""z7""]",NA,"[""z2""]","[""z8""]",NA,"[""z2""]","[""z9""]",NA,"[""z2""]","[""z10""]",NA,"[""z3""]","[""z4""]",NA,"[""z3""]","[""z5""]",NA,"[""z3""]","[""z6""]",NA,"[""z3""]","[""z7""]",NA,"[""z3""]","[""z8""]",NA,"[""z3""]","[""z9""]",NA,"[""z3""]","[""z10""]",NA,"[""z4""]","[""z5""]",NA,"[""z4""]","[""z6""]",NA,"[""z4""]","[""z7""]",NA,"[""z4""]","[""z8""]",NA,"[""z4""]","[""z9""]",NA,"[""z4""]","[""z10""]",NA,"[""z5""]","[""z6""]",NA,"[""z5""]","[""z7""]",NA,"[""z5""]","[""z8""]",NA,"[""z5""]","[""z9""]",NA,"[""z5""]","[""z10""]",NA,"[""z6""]","[""z7""]",NA,"[""z6""]","[""z8""]",NA,"[""z6""]","[""z9""]",NA,"[""z6""]","[""z10""]",NA,"[""z7""]","[""z8""]",NA,"[""z7""]","[""z9""]",NA,"[""z7""]","[""z10""]",NA,"[""z8""]","[""z9""]",NA,"[""z8""]","[""z10""]",NA,"[""z9""]","[""z10""]",NA
t1,-0.32974990620477884,0.33310857820778594,6.00276967468413,-0.33740559551426935,0.3603066952013808,9.779791912345875,-0.13629570406142796,0.14049683479931285,5.467915049765588,-48.58148385565794,75.76739250215593,1074.7250701897174,-0.03158699270703837,0.031369904026165844,9.052770662961837,-0.002820124538193171,-0.013900949039074708,22.702616399969553,60.75716705851852,-13.127337676407215,4519.645748346111,-0.05115823256243342,0.062140988060429656,3.384360132993217,-0.1300551331294644,0.13861256044237294,7.568622173067977,-0.23483760177807034,0.4149476090619653,79.61837286108644,-17.484624358834186,14.494543990387408,307.9202440715863,0.26432332516995777,-0.2497276481979255,9.991554118153475,-0.00972530781996411,0.010555845517268476,6.413962243262022,0.09319307409970691,-0.030165302162593645,13.47171705192786,135.9787467942179,-8.97745601881996,2129.8897503424314,-0.020951472276041716,0.029457434477755274,2.4495976865541316,-0.4793629420741015,0.49595045672252336,20.768423424444364,-1.2909965306519007,1.415967343222202,16.473455305376067,0.0275151514752228,-0.04124259201475117,3.1704734555372287,-0.011799284416908286,0.004356615663769001,3.226496251743739,0.05316768902174657,-0.04462293930198539,5.616698445302936,5.604766060536385,-0.02165519447261334,142.1139687559058,-0.26168265637732646,0.7651509270449045,195.34170539428976,-0.6333786777025655,0.6544840000743368,18.61321278200404,0.03106531604235175,-0.0412868408261821,3.693528403102073,-0.016439067037540347,0.00465369688975632,2.829024727414491,0.019261606140435573,-0.02471071965878395,4.393195873401785,0.1296159314841255,-0.008571236764162292,6.169844771811405,-0.008328360770187067,0.045820824741522395,2.5774063752785077,-12.988289503619182,13.01058056243989,305.0351959722531,-0.015511589318638247,0.021775181483114442,9.65164013792592,0.0346293797558333,-0.03977835435820663,771.5217467489938,0.017867432230033634,0.004805300772600572,6.7075163318224895,-0.019589669049455406,0.008874641064181493,2.0676350009742914,-0.046546634278247255,0.02676624912100789,3.2943926034425184,12.940795945721081,-0.20616995159236667,4519.869683942231,0.015887399644157068,0.0030542505474531224,7.16618970332243,0.0035910806518046428,-0.0027898147897752763,2.2471695331962165,-0.020918349993368706,0.0016598367539618333,2.472182934633135,-0.01903564754919055,0.012040170845289029,3686.550812657594,-0.03284253901896744,0.04312049672206587,3.7943045462748897,-0.059259912509598126,0.02463359120218303,4.185319544739702,-0.004956529910702555,3.1546884638305768,100.90720402021047,-0.2982856716024847,1.9652597241258503,89.31856160144903,-3.7106494695071843,3.7619449898197344,97.73814170993153
t2,-0.33731552558531697,0.32816241068058455,6.0119227895888585,-0.3504630523880062,0.3522079718009896,9.778046992932886,-0.14345418281551095,0.1364742091017655,5.474895023479336,-61.63197316091826,75.8244071543837,1060.532636196252,-0.040462022895089496,0.028899234043244054,9.064333451813686,-0.010119324102360758,-0.014885053273566123,22.727620777345436,73.85825575821583,-95.71439791663165,4541.501890504526,-0.05716659556960201,0.05877385824801072,3.3827528703148118,-0.1319598350108647,0.13828263062703458,7.562299377451808,-0.2805149332022121,0.2885498420352371,79.6103379522534,-17.49101134113056,14.599422777684088,310.8118326350328,0.24628113700680715,-0.2696223784742974,10.014895359620978,-0.01643859984294386,0.009597781258501548,6.42080306184646,0.07710604615311914,-0.0322020005274323,13.426813006302174,136.19981631463267,-168.72349815998197,2162.4134321877805,-0.025875822993932603,0.024822991193384075,2.450650518354678,-0.481748609086915,0.4957516954555732,20.754420338075704,-1.3630486982851249,1.3299062142681513,16.50659778939304,0.023829584281021613,-0.04495737758187891,3.1916012488380905,-0.014730548166237535,0.003866448871500827,3.237360351038474,0.04689489623320952,-0.04899660546525584,5.618800154534982,5.8322399899228685,-8.15478754995363,144.43651631593656,-0.2633170106799206,0.7936409759894782,194.81138142898024,-0.6362266546455836,0.6543655994093912,18.595073837240232,0.02943802037990722,-0.04529701203042913,3.709387394752596,-0.014367107511663642,0.00421263712634188,2.8391791977998175,0.019466472846989644,-0.027021862598504996,4.400751263153307,0.12293958361304078,-0.20380093281199083,6.250706121010346,-0.011075543861195546,0.03529974962899624,2.5531821695107073,-12.990584806714065,13.010428351682785,305.01535242728437,-0.023881043415541384,0.0200235045029329,9.655497676838529,0.0328361305689551,-0.03827168751575051,771.5271823059406,0.007321681177074692,-0.022871248045240492,6.723065898690656,-0.02098463140887112,0.007396606335321082,2.081223026047844,-0.046623407027231306,0.025648334854571873,3.315367675615178,18.560526466326113,-0.16965807164537278,4501.478815547551,0.014492940626311939,-0.010306254853248781,7.162003017549372,0.003019210043201111,-0.004844569271770592,2.2489948924247942,-0.021217483215672964,0.0015887244604611689,2.4918116933883523,-0.020178924078798795,0.006239795676168291,3686.564751785997,-0.03616648425916089,0.03950728245516468,3.7909637480788865,-0.059277015600109145,0.02364310451918263,4.220953455820631,-3.3253397172962087,3.1637766136859584,101.0687671238207,-1.96312023870566,1.965263076735868,89.31641876341882,-3.71912963652888,3.7618531535672535,97.69541819289314
t3,-0.3440917484495709,0.31959772881990567,6.036416809218519,-0.3628492953830284,0.3424620580610996,9.798434230254808,-0.15108096105717803,0.1285744418367041,5.497401542699814,-76.22921595392239,76.23257370921114,1060.5292784409633,-0.07691615643071105,0.02625591226435331,9.114993695980052,-0.0334320082507628,-0.04438010018413777,22.805432885780323,88.54942917905488,-95.67209597689438,4548.624557302365,-0.06351479347944405,0.05479807726806454,3.3914695865261857,-0.13277188153162267,0.13797048888495625,7.557100770098472,-0.3343803536710969,0.2208532616147845,79.72386504430972,-17.49044577953464,14.758628332901736,313.5436500816657,0.22062499963661183,-0.3014576630241982,10.095728023008553,-0.02438004451579054,0.008555762252063816,6.436627344110186,0.06504314435586714,-0.14683364569779142,13.508603507644109,136.4715092418868,-168.7266591629774,2194.6685821088713,-0.030471859883269233,0.020341495200215536,2.4607808830377325,-0.4830703243464535,0.4955777217788861,20.74191294064327,-1.4307474967660037,1.2218100445962137,16.715535241562833,0.01889298499468757,-0.049987472291344606,3.2226957361347455,-0.018818834230800503,0.003236318358937154,3.252942866910329,0.04055630591461543,-0.08772486690400973,5.665968715524384,6.010366594291071,-8.170230762970252,146.59638048461574,-0.27624960225469236,0.8163493279211459,194.27128170331378,-0.6380070684961585,0.6542656193157568,18.578815286420635,0.024230640123718762,-0.05092903978883468,3.736085794417707,-0.0169660927841936,0.0036703153210947827,2.8524749752629197,0.01582679651566376,-0.04771728219632511,4.4326417488339676,0.10862403360637934,-0.22571469495105212,6.367796782355012,-0.021947432288622316,0.02680875684382622,2.548320844955506,-12.993117593796173,13.010296825347343,304.9981731957332,-0.04669685939363888,0.01821920695952866,9.683975329272636,0.032520761662510486,-0.21126682048795584,771.7059283647662,8.502855554058664e-5,-0.05275898501374347,6.77573985514886,-0.022706643023104975,0.005722958710902807,2.0982067103600452,-0.046681833285366056,0.02425861680477574,3.3377908920957733,21.33336010246549,-4.734874548369376,4484.880329993454,0.01314559472998543,-0.026135732229831156,7.174993155049202,0.0023595533270990557,-0.007049444652101578,2.2536847837497955,-0.02162275035067337,0.0015016518595803966,2.5119327918794485,-0.06372017949775687,-0.0010573140272038956,3686.629529279521,-0.052247221461524794,0.035802200817942456,3.8074087687224756,-0.05971432200640379,0.022444266755561347,4.258223511071476,-3.432657158365878,3.1692152052360587,101.33220907695053,-1.9638786297505055,1.965271462051804,89.31502593111752,-3.72379297542709,3.7617825197088357,97.65742864861141
t4,-0.3485334108265295,0.29996580187011523,6.084984418174934,-0.36812382094444573,0.3244321362148978,9.842125914984356,-0.15443375702243448,0.11316294625389184,5.538672353468357,-76.23220112533521,60.03617161874603,1076.7253079475524,-0.10011595690762298,0.02334867757381727,9.19176097531386,-0.04910536574271061,-0.05579848173260817,22.91033673325564,86.15343066055271,-103.12300316013459,4565.594129801947,-0.06638541685420359,0.04490718564318774,3.412947817737198,-0.1332881336343399,0.12221495552806791,7.568173948204745,-0.5403395719163423,0.17112307003145596,80.09308154619461,-17.5088595957671,14.374025210744113,316.67848446668876,0.1739000279716388,-0.3449542877760013,10.266782282812922,-0.03724909701354453,0.007525898577797007,6.4663505425459284,0.04804158708812012,-0.18045341578614454,13.64101533634213,94.84537663798832,-168.7290151255343,2268.5522205964176,-0.03642644632488891,0.012656422018835687,2.4845509073437912,-0.48429338726693305,0.48600246318187623,20.74020386472833,-1.5367372356175302,1.0458663332230254,17.20640614395734,0.01283347403168033,-0.05701551007447146,3.2668777721775326,-0.024273700259054037,0.0025998818831290006,3.2746166852862504,0.033049326652126454,-0.09350643316119527,5.726425822033444,5.367899891798865,-8.177374294712545,149.40585488752936,-0.3089581352343071,0.08961922152868018,194.4906206170194,-0.6393707668419999,0.6459177734483965,18.572268279814235,0.011878847111863908,-0.05787432822448535,3.7820812755303215,-0.024519829041296737,0.0031219585615434257,2.8738728457426648,0.003970882496200218,-0.05171708413110836,4.480387950468878,0.0848217832664738,-0.2357189328915796,6.5186939319801125,-0.047870045812493565,0.012008556733881872,2.584182334034118,-12.996110558234257,13.003364687092382,304.99091906687505,-0.0964750243397076,0.01640395512526476,9.764046398487082,-0.03771478944863493,-0.26568214395632295,772.0093252981712,-0.08241194541404978,-0.19007078817992248,7.0482225887428385,-0.0249266260464069,0.0027243285903606595,2.1204090078160927,-0.04684351397739854,0.0048760934577923905,3.3797583126153747,22.03210186192411,-36.44504496481446,4499.293273096344,0.011943017672867848,-0.09229215762838576,7.255342295004719,0.0017510479525003472,-0.010658059823843378,2.262591795621135,-0.022042287599468982,1.8982124006518015e-5,2.5339560973549182,-0.08573164810112946,-0.013597450968574312,3686.728858378591,-0.055215090001739756,0.027509369606032924,3.835114489118183,-0.059685042123054415,0.004393655889652393,4.313514897304877,-3.457467765839492,0.961350621346142,103.82832622144387,-1.9644034010920313,0.8106014227312707,90.46882790947826,-3.7310255548196065,3.7534648512633715,97.63498935216764
t5,-0.35276883862201464,0.2453891291325031,6.192364127664453,-0.371376947597155,0.27425700130090397,9.939245861280602,-0.1570092456645758,0.08155774181596577,5.614123857316964,-68.39254413223405,42.70612806235571,1102.4117240174307,-0.10897082970695893,0.0189638538754619,9.28176795114535,-0.053494862008098186,-0.11287459837015959,23.076706193633854,75.88588982261565,-110.92222225695757,4600.6304622362895,-0.06786224524844472,0.009011915485301149,3.471798147500343,-0.13405511523948252,0.11313450005542736,7.589094563388805,-1.2783207869833009,0.15760013499988873,81.21380219817802,-17.514258099663504,14.097607768221518,320.0951347981307,0.10134232857789191,-0.32243876359117896,10.4878787178262,-0.058527891792783615,0.006133848309397762,6.518744586029311,0.03300151283047261,-0.22413936900613102,13.832153192517785,54.51970469271421,-168.72729636503266,2382.759812268736,-0.04162831604986766,-0.00945457245917154,2.5356337958528252,-0.4853508840685431,0.4812781251057029,20.744276623691167,-1.626793656861324,0.7656857861421811,18.067514014676483,0.0032632179822664475,-0.05861818367321649,3.322232737868484,-0.03272479486044831,0.0016449799750447025,3.3056965001716527,0.023076977916328956,-0.10082087372299722,5.80416971784011,4.713412055885998,-8.171267246240859,152.86371007788426,-0.3392206357516659,-1.75897548392648,196.5888167366976,-0.6403696500789011,0.6425574347119822,18.570080495181156,-0.0018767363425900366,-0.059063633661750534,3.843021645534658,-0.02839837701044199,0.0022412969938621513,2.9000299257592417,-0.006041548727718109,-0.0572045099688413,4.543634009165434,0.0537588401258114,-0.23158770900825465,6.696522800862553,-0.05901726112820274,-0.043926447584973924,2.6871260427472947,-12.997268765734432,13.000733435987586,304.987454396622,-0.10390508881406743,0.013557511198535464,9.854393976102607,0.0011369801081362318,-0.5467922383149165,772.5549805563778,-0.05803627546929083,-0.11781099263048123,7.224069856842611,-0.025334540163973955,-0.00646960567282091,2.152213153652883,-0.04692315901097202,0.00431030534818849,3.42237116627816,22.07975761996257,-69.8727789994077,4547.086294475789,0.009445063300009195,-0.061578216345832215,7.307475448050535,0.0009831060119498145,-0.02073739327013422,2.282346082879317,-0.022679093958445373,-0.00020303222156298878,2.556838223534912,-0.20085212861383347,-0.009780108055180654,3686.9394906152615,-0.05840563991929782,0.004015539473125076,3.88950458956436,-0.05969142296834961,0.003948379456992802,4.369257940816227,-3.4330258846363453,0.014587890403949474,107.24676421567627,-1.9641276766226894,0.4920001854341591,91.9409554006668,-3.745733755393293,3.750885144641552,97.62983796291938
t6,-0.05635872228304134,0.02255612159379053,6.226166728353693,-0.06720314532244505,0.04804868050654977,9.9584003260965,-0.041764133788184846,0.028012819693245115,5.627875171411902,-0.9102465648107966,0.8962548434053729,1102.4257157388363,-0.012470700464269095,0.0023414708896011245,9.291897180720015,0.010386176770525184,-0.06053094803863284,23.126850964901973,4.912532789766107,-102.4120154539792,4698.129944900501,-0.007520177428019564,-0.014411368673400746,3.4937296936017614,-0.03762660416062927,0.010829718024259487,7.615891449525176,-0.12093156361581697,0.09050374831336695,81.24423001348049,-13.05559753526213,13.006830905025371,320.1439014283674,-0.00864070752985863,-0.00359849310242312,10.50011791845848,-0.010126240779972796,0.0005684842485743427,6.528302342560712,0.013105418616387372,-0.04134306184023345,13.860390835741642,2.8121408869538556,-42.45208382695883,2422.3997552087403,-0.0051967794175927385,-0.026055942945148656,2.5668865182155653,-0.1322611154580153,0.05101619451460612,20.82552154463458,-0.5188410212572208,0.5054198784674276,18.080935157466275,-0.0021622237797986107,-0.008287272048469164,3.332682233696751,-0.011236471589806162,-0.0017604247087351236,3.3186933964701857,0.02924411240759041,-0.061903548668757094,5.836829154101283,2.0439044150966086,-2.0792472653904044,152.89905292817804,0.18709365184978147,-4.614813438865218,201.016536523713,-0.2126434789943665,0.08959501900129166,18.693128955174235,-0.00015122803651766367,-0.008508451495733805,3.8516813250669153,-0.009391366570717697,-0.0009054121701218129,2.910326704500072,0.016291653841200047,-0.03750451251151161,4.5648468678357474,0.06454468067245156,-0.08694256296030728,6.718920683150407,0.02722364267370393,-0.07381478016358223,2.7337171802371683,-12.412524621618848,12.297741692607227,305.10223732563355,-0.006976955839821419,-0.000810563153908846,9.862181495096333,23.123030508386115,-23.149216090783657,772.5811661387754,0.03498221032211246,-0.058267072896196856,7.247354719416683,-0.0030404933744244637,-0.016173649458390227,2.1714272964856978,-0.041795013282759245,0.0020090995962065428,3.462157079964717,24.924534315600752,-77.9101831326239,4600.071943292815,0.0006669674012011522,-0.012413109386614558,7.319221590035946,-0.0005039445454425671,-0.026110619134773805,2.3089606465595387,-0.02382444412860087,-0.001079845617053159,2.5817425132805676,-0.066905528409056,0.006706426957973287,3686.9996897167125,-0.03541479332006475,-0.005322628842930029,3.9302420117273584,-0.05853057438551232,0.0019465486524805518,4.4258419665492585,-0.01305412517953851,-0.02375604042806118,107.28357438128387,-0.7646105794339769,0.009734147775581351,92.69583183232518,-3.745505644505047,3.4998747077102528,97.87546889971419
t7,0.06221026834408816,-0.006052339330618102,6.1700087993401995,0.38193512806800645,-0.33163078756513775,9.9080959855936,0.09111970316333558,-0.016642956536327854,5.5533984247849055,1.6428331507816227,-1.6210074499330454,1102.4038900379874,0.0005277732021747913,0.0030626430714892332,9.288306764446345,0.00814762114130247,-0.005338421948912346,23.124041765709535,-2.330404927771451,16.094385139220467,4684.365964689053,0.08787554078160296,-0.06527993899276648,3.4711340918129276,0.08300496480342058,-0.020099003623699714,7.552985488345449,1.5762770951440095,-1.07737232925518,80.74532524759161,14.023353581754629,-8.754058993706584,314.8746068403194,0.0074689847315915535,0.002095177329628338,10.490553756397267,0.0006597118028139515,0.004438721339477663,6.523203909418418,0.0031663735066540695,-0.00017474138320212364,13.857399203618172,-90.15476301269896,111.66899901910666,2400.8855192023325,0.06517164509569205,-0.03657694061839031,2.5382918137382635,0.2672066189406518,-0.04937501467388703,20.607689940367802,0.039522669441029064,-0.0009835633909495729,18.042396051416198,0.0004133175969545126,0.00806037694318014,3.324208539156615,-0.002963111353054151,0.007213299278133526,3.3144432085450997,0.00022300668102658667,0.00244033312512873,5.834165814295115,-8.160947824071476,8.196478310006613,152.86352244224292,9.778571691597712,-9.549186409040967,200.78715124115627,0.07233214992142596,-0.018976645544531028,18.639773450797335,0.0003739319057089138,0.006971633652474472,3.844335759508723,-0.0006761949616320916,0.007679266715526531,2.9033236327461833,0.0003332808271490958,0.0023476470329895954,4.562165939975608,-0.14487817252864435,0.2399565664025837,6.623842289276476,0.026269431209947722,0.014649599315702047,2.6927981497115243,9.098120566614368,-6.847783408572534,302.8519001675918,-0.0020763276982497586,0.0045158120614321815,9.859742010733157,0.001879751608419176,-0.0003994666854948378,772.5796858538524,-0.021976545873533666,0.036824738188946333,7.23250652710128,0.02783976284687243,-0.00956192907812089,2.1531494627169403,0.011992477193266234,-0.000949932479133081,3.451114535250581,57.92341966628172,-57.923793406990555,4600.072317033513,0.0026709147565213026,0.0024931736012566716,7.314057501678169,0.036666334161689414,-0.016993270335274126,2.289287582733116,0.015360681005348494,-0.0015477218229898886,2.5679295540982094,-0.009608120875630271,0.012777085993595554,3686.9965207515916,0.04798369398858831,-0.03698770542073676,3.9192460231595057,0.005076165610981839,-0.0011450497784159176,4.421910850716696,3.4918917771070572,-3.465602059566163,107.25728466374298,1.954153740840481,-1.8870380942124014,92.62871618569713,0.09153852431835136,-0.021438147768360703,97.80536852316418
t8,0.018646637695956977,-0.006962900251437259,6.158325061895663,0.360770899188719,-0.3502011919527295,9.897526278357606,0.027158028023009637,-0.018916367586193875,5.545156764348086,0.011137955082183739,-0.0073592203517868,1102.4001113032568,-0.0008718109939414287,0.2361988912828891,9.052979684157377,-0.0027708228041462765,0.9401468410628133,22.186665747450952,-0.2833337511282172,209.13795397528312,4475.511344464897,0.08692431389056832,-0.07283501500537291,3.4570447929277366,0.03871408887175315,-0.027593513928500294,7.541864913402203,0.13812554301123725,-0.38061511857146985,80.98781482315185,4.793373831863037,-6.113572565681613,316.194805574138,-0.00010499709107849968,0.001431620516216031,10.48922713297213,-0.0012893850672066056,0.11903852083901593,6.405454773646613,-0.0032517542739654566,0.34409918414364515,13.516551773748477,-79.31012457924588,136.96681779364323,2343.228825987935,0.06261551256025734,-0.0471797194306438,2.5228560206086583,0.13946354277145623,-0.04963159414555165,20.517857991741906,0.015507880251936815,-0.00439559657474446,18.031283767738998,-0.003047128917410921,0.005392958093666087,3.3218627099803615,-0.013227368603109657,0.06062427785510073,3.2670462992931055,-0.10984272065368157,0.14019781225213432,5.803810722696653,-8.18157996728953,8.198763597275121,152.84633881225733,9.308220093396729,-9.385988287787761,200.8649194355473,0.038818773695732334,-0.02977822867792397,18.63073290577952,-0.001746178097336301,0.004570698190524837,3.8415112394155244,-0.0017196526027759285,0.0456449049240719,2.859398380424894,-0.005812407045634003,0.0898962366459452,4.4780821103752935,-0.16951164327518553,0.24590411888610111,6.547449813665507,0.019043306048377884,-0.004580790464182808,2.6783356341273272,6.510678536887777,-6.7769334096439415,303.1181550403479,-0.003069363107519451,0.23916260003098436,9.623648773809688,-1.6032106385477558,27.65632504766429,746.526571444736,-0.007284354361223308,0.012348466615650647,7.227442414846826,0.027393843058243102,-0.017648354041629982,2.1434039737003276,0.007815398160223946,-0.00232452878012293,3.445623665870474,64.26022559197939,-8.641847872492718,4544.453939314029,0.18114537898585525,-0.0005251693418212755,7.133437292034138,0.04174174277302632,-0.024237377627035622,2.271783217587122,0.03154900509210788,-0.0021331945922763796,2.5385137435983816,143.79861402166455,-0.003808390145849184,3543.2017151200753,0.08673161022438315,-0.06642616579899256,3.8989405787341136,0.06275528751186255,-0.007489875937660065,4.366645439142488,3.4924114526150136,-3.473664247777937,107.2385374589059,1.957968118297748,-1.9158799937701239,92.58662806116953,0.033326825215315,-0.03241459192417877,97.80445628987304
