Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
BE0 0 CCGT,1,3641.0,3640.470041437184,0.008575062601715205,0.5385336254175854,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 OCGT,1,3641.0,3640.829848608602,0.08202803381697928,0.25217942521521763,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 biomass,1,672.0,3.590933635302158e-5,5526.972916204956,6198.97288029562,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 coal,1,0.0,0.0,0.015685701525572547,0.015685701525572547,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 nuclear,1,5943.0,1.6731429549593648e-5,0.012429876281278387,5943.012413144852,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 offwind-ac,1,1127.0,0.0003192749490644953,0.00014811042158130406,1126.9998288354725,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 offwind-dc,1,1127.0,0.0002264263884712234,0.004282868045512639,1127.004056441657,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 onwind,1,2629.0,0.00024432092325249216,0.0014014494726442555,2629.0011571285495,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 ror,1,176.0,2.1825344191668444e-5,0.0,175.9999781746558,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
BE0 0 solar,1,4788.0,4765.867180767023,0.0314895441755586,22.164308777152655,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 CCGT,2,15971.0,15970.880965824133,3.8769804425607e-5,0.11907294567026838,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 OCGT,2,15971.0,15970.969728186905,0.00018397326070889955,0.030455786356469616,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 biomass,2,8400.0,3.544728664465937e-5,65264.69172957111,73664.69169412383,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 coal,2,23499.0,23498.99150609419,5.8276933654305834e-5,0.00855218274591607,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 lignite,2,20487.0,20486.991831635798,4.4649117963931184e-5,0.008213013319618767,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
