Zone,1,2,3,4,5,6,7,8,9,10
t1,-0.00015661385428500225,-1.7823091800267307e-5,-0.000515312642656207,-0.0006610813326236514,-1.7938554691102654e-5,-0.001354675748813484,-2.6071995434070636e-5,-9.490748532017086e-5,-9.671041244100205e-5,-8.251815568717905e-5
t2,-0.00016276844203457855,-1.82410711130919e-5,-0.0005210442170395123,-0.0006733127986920747,-1.848285644270943e-5,-0.0013647618156963218,-2.6295422347097536e-5,-9.815119760361011e-5,-9.691763951548411e-5,-8.314928054067042e-5
t3,-0.0001673637177810832,-1.8350249805261812e-5,-0.0005145788955484763,-0.0006599536673226755,-1.9055919665433376e-5,-0.001389404022242107,-2.6797153309534214e-5,-9.862154949023004e-5,-9.70591390131511e-5,-8.286027478919276e-5
t4,-0.00016943610439026165,-1.836610888876278e-5,-0.0005121886312399787,-0.0006548085940553207,-1.9175506699985218e-5,-0.0014527062598822683,-2.8111934339748748e-5,-9.942068728744903e-5,-9.611663187845783e-5,-8.153193923948572e-5
t5,-0.0001629797143004601,-1.7622720510084848e-5,-0.0004936748202714786,-0.0006281247563329575,-1.8199888215966604e-5,-0.001505572652029149,-2.9243052629292123e-5,-9.619398115860627e-5,-9.28501825780233e-5,-7.663944968680801e-5
t6,-0.00014862647540301403,-1.5442446074370596e-5,-0.0004363734184458993,-0.0005444911178150184,-1.6583621422068616e-5,-0.0014883015935341839,-2.8885772756711233e-5,-8.333485645228789e-5,-8.45172946644544e-5,-6.548807293377265e-5
t7,-0.00014056868453176337,-1.4176098891951002e-5,-0.00038910263508777415,-0.00048079050709000056,-1.6036692173877422e-5,-0.0013269480111100939,-2.5585686620642728e-5,-6.694091335259044e-5,-7.651296079026495e-5,-6.138101387854969e-5
t8,-0.00014061347202621604,-1.362003902233558e-5,-0.00037594499057417425,-0.0004644592357020502,-1.588117073868455e-5,-0.0011607750160787004,-2.232092828422022e-5,-5.753382033597545e-5,-7.242690397216886e-5,-6.10347257610792e-5
t9,-0.0001379556438751467,-1.3436990624100624e-5,-0.0003733016605128038,-0.0004611831729013888,-1.606160536999455e-5,-0.0010785699105059039,-2.073325640712367e-5,-5.666232815678719e-5,-7.13342975741332e-5,-6.0966595114780974e-5
t10,-0.00013501811862482916,-1.2968498666285558e-5,-0.00036637712778920894,-0.00045274077720715804,-1.6326952847358157e-5,-0.001025166080194925,-1.971978428039129e-5,-5.622333366794978e-5,-7.165665595893873e-5,-6.0694107019201476e-5
