Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10
AnnualSum,14137.84,0.0,0.0,282.11575,69475.87,0.0,0.0,2298.3352,19.427916,0.0,0.0,157.18944,106.639694,0.0,0.0,227.96202,57220.75,0.0,0.0,818.2422,1151.9287,0.0,0.0,202.27141,115120.26,0.0,0.0,292.79376,39.845554,0.0,0.0,182.97498,52187.63,0.0,0.0,190.39275,12.979708,0.0,0.0,1807.9371
t1,20.60820796949449,0.0,0.0,0.2546056816687315,102.74145633064946,0.0,0.0,0.5859552290954888,0.05033276107463221,0.0,0.0,0.315247684483478,0.19059935646897108,0.0,0.0,0.3201919772425916,85.12974040935735,0.0,0.0,0.2007486653332653,0.0013483531675677564,0.0,0.0,0.06986100128595299,120.75588528903047,0.0,0.0,0.5013726057993075,0.017893078648980917,0.0,0.0,0.21335615035284974,140.25853936741052,0.0,0.0,0.29902779270383545,0.08074854629354723,0.0,0.0,10.334501858632777
t2,20.606821871068306,0.0,0.0,0.2034047516456657,102.74134706166839,0.0,0.0,0.5823564488294442,0.050402458707630556,0.0,0.0,0.2649539235601453,0.190778667856272,0.0,0.0,0.2697348823129503,85.12943518937574,0.0,0.0,0.19713512916125508,0.0012005596330858213,0.0,0.0,0.048601226035071464,143.7398869431481,0.0,0.0,0.4378110548875941,0.08085687309744796,0.0,0.0,0.17437470088025137,140.25853296509382,0.0,0.0,0.2596919626912546,0.08089281317661526,0.0,0.0,11.127270530497652
t3,20.608168517953928,0.0,0.0,0.18931265477769668,102.74153826908967,0.0,0.0,0.5809629002367743,0.05042759945610561,0.0,0.0,0.23552704519601225,0.19097688040642988,0.0,0.0,0.32641048588113925,85.12928300049066,0.0,0.0,0.25621389932415195,0.001207969222034401,0.0,0.0,0.0383310511238822,156.07216321011376,0.0,0.0,0.18942373128033216,0.08059093798893739,0.0,0.0,0.15102872139495646,140.25853045509166,0.0,0.0,0.24955009071259635,0.08076575475684096,0.0,0.0,11.771204897373584
t4,20.608162836913,0.0,0.0,0.1740009985174059,102.74148729382955,0.0,0.0,0.12500370563125646,0.050360714489297645,0.0,0.0,0.205879553061123,0.19072647011269425,0.0,0.0,0.3136059905352524,85.12912928832097,0.0,0.0,0.111308030563906,0.0012183869324116376,0.0,0.0,0.031972056028284485,190.532304197338,0.0,0.0,0.04157405217263443,0.08085870919443955,0.0,0.0,0.12962946121922747,140.25852858519775,0.0,0.0,0.24506956782437578,0.0804703007292198,0.0,0.0,6.875052208234697
t5,20.607663621949136,0.0,0.0,0.11274348049442162,102.74133636921289,0.0,0.0,0.12241167364197596,0.05037662944554962,0.0,0.0,0.17561086854886707,0.1906640018941301,0.0,0.0,0.25894904414352926,85.12975717876242,0.0,0.0,0.09725469340783602,0.0012397070340643402,0.0,0.0,0.027146389245098303,199.89130829779353,0.0,0.0,0.04540434625638947,0.08098481817271488,0.0,0.0,0.09599649954287472,140.25852636001568,0.0,0.0,0.2310196788147716,0.08013478876555703,0.0,0.0,2.600999962832099
t6,0.013715354646839588,0.0,0.0,0.0832152810328273,102.70310163637248,0.0,0.0,0.049196708167783855,0.048073817430427324,0.0,0.0,0.12561087243639524,0.18675276663715903,0.0,0.0,0.07802808150721151,4.492387494575408,0.0,0.0,0.1056813106974757,0.00130281664212182,0.0,0.0,0.022334440810512276,130.2071447891365,0.0,0.0,0.0350934456668679,0.005482263084311076,0.0,0.0,0.05247465674234943,140.25852901298603,0.0,0.0,0.2585692749219445,0.0783090995345565,0.0,0.0,0.05770369002584235
t7,0.0034984226479255988,0.0,0.0,0.06474646714383787,0.01452263180424495,0.0,0.0,0.1898737061406753,0.041317523921788175,0.0,0.0,0.09798347107372518,0.05861458044463294,0.0,0.0,0.07257388368844149,0.0062332140136482925,0.0,0.0,0.16921126279065474,0.0010962124768444986,0.0,0.0,0.028395222230519778,23.38798914840161,0.0,0.0,0.07007137983968219,0.0011218890189233501,0.0,0.0,0.03273337405498236,140.2585267212001,0.0,0.0,0.21927970142396508,0.07798622127017059,0.0,0.0,0.04884331584376178
t8,0.0015648890291437316,0.0,0.0,0.10615686424831777,0.012808930009417713,0.0,0.0,0.34961355003790945,0.04079300867935547,0.0,0.0,0.17027789477460512,0.04296168912390266,0.0,0.0,0.07410481860433125,0.001828005636436403,0.0,0.0,1.149042737517961,0.000866374159956758,0.0,0.0,0.2700192284345124,0.0007624074576721916,0.0,0.0,0.029289394938045697,0.001050501495296517,0.0,0.0,0.19511095997396982,140.25854316750448,0.0,0.0,0.2927568928000513,0.07814760275811243,0.0,0.0,0.050102475272551766
t9,0.0015686376487607766,0.0,0.0,0.08423794258183613,0.012772454863715827,0.0,0.0,0.2350553410842156,0.04155647161660448,0.0,0.0,0.1474174115527841,0.04446147342219102,0.0,0.0,0.07534439518295082,0.00183893193883559,0.0,0.0,0.7993670400063216,0.00095432095270958,0.0,0.0,0.16797588235071673,0.0007270107401149076,0.0,0.0,0.05601770656570725,0.001050556043050542,0.0,0.0,0.12405966761467659,140.25854116790953,0.0,0.0,0.2567350311766631,0.07837026482526105,0.0,0.0,0.050146782091549436
t10,0.003934268831560469,0.0,0.0,0.1321899321292614,0.013061257035850355,0.0,0.0,0.18363033570594336,0.025064198151886402,0.0,0.0,0.09059018512864657,0.04859099732509862,0.0,0.0,0.08222178985019664,0.006825045995937122,0.0,0.0,0.6952364450556614,0.0006485852051122049,0.0,0.0,0.1537068209866416,0.00026599106408112467,0.0,0.0,0.05150090136083803,0.001058674709104547,0.0,0.0,0.03181909037575373,140.25853980982112,0.0,0.0,0.23398042873248115,0.07860455039822019,0.0,0.0,0.05027230841896191
