Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10
t1,0.0,0.0,0.0,1.5666981858718205,0.0,0.0,0.0,111.30675804511671,0.0,0.0,0.0,1.0563984833979063,0.0,0.0,0.0,1.0863660308137537,0.0,0.0,0.0,52.593392756915335,0.0,0.0,0.0,2.965703651095043,0.0,0.0,0.0,18.378052851544865,0.0,0.0,0.0,1.7013553127606964,0.0,0.0,0.0,0.634572053553188,0.0,0.0,0.0,75.73110000756215
t2,0.0,0.0,0.0,1.5203889991685147,0.0,0.0,0.0,110.90689756225005,0.0,0.0,0.0,1.0220033897336678,0.0,0.0,0.0,1.052073373198652,0.0,0.0,0.0,52.57847505562492,0.0,0.0,0.0,2.945101542244621,0.0,0.0,0.0,17.987863733977292,0.0,0.0,0.0,1.654793611802958,0.0,0.0,0.0,0.621765581517598,0.0,0.0,0.0,64.65514369038047
t3,0.0,0.0,0.0,1.5431575877802275,0.0,0.0,0.0,110.55230140752138,0.0,0.0,0.0,1.037323770942767,0.0,0.0,0.0,0.9739135431801866,0.0,0.0,0.0,52.5111818230698,0.0,0.0,0.0,2.939881167266587,0.0,0.0,0.0,17.84807686336301,0.0,0.0,0.0,1.6814200806653186,0.0,0.0,0.0,0.624269259103651,0.0,0.0,0.0,52.93517836243866
t4,0.0,0.0,0.0,1.7217131762802138,0.0,0.0,0.0,115.73938997979265,0.0,0.0,0.0,1.103235405034314,0.0,0.0,0.0,0.9077161154030072,0.0,0.0,0.0,53.722366799263455,0.0,0.0,0.0,2.9484503218464178,0.0,0.0,0.0,18.38432841664977,0.0,0.0,0.0,1.8678108153332786,0.0,0.0,0.0,0.632878658877264,0.0,0.0,0.0,46.111405910288
t5,0.0,0.0,0.0,1.9508470131092392,0.0,0.0,0.0,120.56288311958258,0.0,0.0,0.0,1.2441931918180265,0.0,0.0,0.0,0.8861535284485856,0.0,0.0,0.0,55.24873940190249,0.0,0.0,0.0,2.9751565076353725,0.0,0.0,0.0,18.916469184728047,0.0,0.0,0.0,2.035741055600376,0.0,0.0,0.0,0.6626614172701512,0.0,0.0,0.0,43.56142380638751
t6,0.0,0.0,0.0,1.9306509398501017,0.0,0.0,0.0,125.55789666781763,0.0,0.0,0.0,1.2390330856055614,0.0,0.0,0.0,0.980108596686673,0.0,0.0,0.0,55.207643480971726,0.0,0.0,0.0,3.057747852449075,0.0,0.0,0.0,19.53723436603654,0.0,0.0,0.0,2.052580721821155,0.0,0.0,0.0,0.6494385869492315,0.0,0.0,0.0,44.70381372661543
t7,0.0,0.0,0.0,1.9142596972004524,0.0,0.0,0.0,125.41664837468261,0.0,0.0,0.0,1.2371048405239335,0.0,0.0,0.0,1.0067017544933992,0.0,0.0,0.0,55.07679072283925,0.0,0.0,0.0,3.0608217376401594,0.0,0.0,0.0,19.54053635422804,0.0,0.0,0.0,2.0518119899619105,0.0,0.0,0.0,0.6990423617600006,0.0,0.0,0.0,51.25973891241915
t8,0.0,0.0,0.0,1.8306773436627353,0.0,0.0,0.0,125.11071096681025,0.0,0.0,0.0,1.1338289827813928,0.0,0.0,0.0,1.0282832976714271,0.0,0.0,0.0,53.9494362937656,0.0,0.0,0.0,2.8026686568257984,0.0,0.0,0.0,19.529218736415018,0.0,0.0,0.0,1.873835954499287,0.0,0.0,0.0,0.6259374295421122,0.0,0.0,0.0,57.05873961752886
t9,0.0,0.0,0.0,1.7701878892743388,0.0,0.0,0.0,124.9224919938019,0.0,0.0,0.0,1.058327465045748,0.0,0.0,0.0,1.0475927083510956,0.0,0.0,0.0,53.171920027224175,0.0,0.0,0.0,2.6468974010127955,0.0,0.0,0.0,19.4843872277851,0.0,0.0,0.0,1.7673456321069643,0.0,0.0,0.0,0.6071445699019902,0.0,0.0,0.0,62.66402257938628
