Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
Sum,-2.084046e6,1.7935678e6,1.0086966e6,-1.7341012e6,927348.8,1.4029109e6,-4.3284e6,0.0,58953.656,0.0,-880878.7,312914.44,-177161.53,0.0,77778.95,0.0,56695.145,56695.145,-131892.62,-320282.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-385772.78,-4.3469745e6
t1,-4839.0421712769985,4754.499057546123,-650.2877622169176,5838.831784516246,4754.389693901056,2377.102969706104,-5152.850958544988,0.0,186.93276422244526,0.0,-1999.878379876535,-43.369560388551804,227.14272442069444,0.0,-699.8657165526697,0.0,249.94058357855056,249.94058357855056,-249.8762757428186,-599.8510704558344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-315.8600353920432,4087.8982310224105
t2,-2887.3920943246085,3418.2165414743795,-267.86268844002416,4466.305727307549,4753.247318955133,2377.1252720934644,-5152.850958160908,0.0,-999.9674184656816,0.0,-1999.9026516738074,-3.5686033330106284,125.05919789416362,0.0,-699.5968542613637,0.0,249.93729849576403,249.93729849576403,-249.88693466710004,-599.8659561167599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-309.6535719415465,2469.280923331408
t3,-567.8461613634272,1653.8665739335984,-185.5111032267364,3778.099435826901,4753.218078404849,2377.1461642406002,-5152.850937143741,0.0,-999.608152003217,0.0,-1999.8974142093527,1.7660845378359227,87.28381538019107,0.0,-699.4915074592747,0.0,249.9353126580658,249.9353126580658,-249.89111871404967,-599.8726839991908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-373.86387398018644,2322.417825540931
t4,42.30261901983067,1223.7806201157127,-580.0023242192874,4141.676481257059,4685.125250406445,2377.119645778249,-5152.85087720298,0.0,-999.522148240431,0.0,-1999.8995937222503,1.4574345753075022,217.99408714008075,0.0,-698.9720004430009,0.0,249.9342858881463,249.9342858881463,-249.8861594860876,-599.867432970293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-375.8859770531186,2532.438196731529
t5,-826.1118317150531,1664.403402065971,-546.6900881797746,4704.503259403772,4753.2517229142795,2377.1179515999784,-5152.850898531229,0.0,-999.9415164479327,0.0,-1999.863893115175,-9.530440088181308,190.27698829436815,0.0,-699.5920516421835,0.0,249.93677789299767,249.93677789299767,-249.89313010603644,-599.8771548005952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-477.2764464913595,2627.799428946843
t6,-837.8057484729225,1744.0368298528228,-2311.2617462811845,4275.661632987299,4754.122516435997,1.0033037437710846,-5152.850925651756,0.0,999.62161075111,0.0,11.696006478008258,-221.86732425636137,299.5021962574016,0.0,-699.8835507397622,0.0,249.92900684914696,249.92900684914696,-249.57618811684466,-599.5447428233608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.821184667685,1572.890699194826
t7,-4868.646274850511,4754.391372230202,-2382.980003628495,6038.687407718345,4754.490190326389,-449.8739160673215,-5152.850896222144,0.0,999.8828635437833,0.0,60.12088665863712,-538.5800151800138,320.2364597333153,0.0,-699.9244145343306,0.0,249.94615866492472,249.94615866492472,0.07612169995070417,0.1967307899720936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.8808630474489,2395.237966500179
t8,-2788.7324112176257,3069.6650235843745,-2137.0319084435714,6739.8831712447145,4754.509697467369,-615.7722381001645,-5152.850847245853,0.0,-999.070918377031,0.0,-1999.906839852002,-116.61805368867039,302.8996405153714,0.0,-699.9191659630177,0.0,23.04694533675371,23.04694533675371,0.10272370161226263,0.13137867479588294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.8820395664537,-536.4988965926437
t9,-4200.88064125444,4136.361099749634,-2147.349539803895,6739.869519013767,4754.5105263079095,-811.1676301017119,-5152.8507945346255,0.0,-999.8864887005543,0.0,-1999.9084787771494,-25.611649269070085,311.6283502475666,0.0,-699.9164386759704,0.0,62.148534319164185,62.148534319164185,0.02886226376554646,0.05097399397641311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.8755697676095,-910.7008306700794
