Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,2,5,7,9,10,2,5,7,9,10,1,2,3,4,5,6,7,8,9,10,0
Sum,0.0,0.0,364.64294,0.0,0.049213782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87927,0.0,0.0,0.042818803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0083619,0.0,0.0,0.0,0.0,0.0,0.008105892,0.0,0.0,15.521512,0.0,0.0,0.0,0.0,0.0,0.010134595,0.0,0.0,0.0,0.3039243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.90979,0.0,0.029002616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0292737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00451382,0.0,0.17792438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.6168
t1,0.0,0.0,0.0001631890633250672,0.0,4.725345591505551e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019327924041361553,0.0,0.0,5.513834247260885e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002546170827687793,0.0,0.0,0.0,0.0,0.0,5.890571624740549e-6,0.0,0.0,0.00023909141081258084,0.0,0.0,0.0,0.0,0.0,5.551922475449498e-6,0.0,0.0,0.0,4.8164081765492324e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.389952149501952e-5,0.0,6.421710662963604e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.461703781690217e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.645920342481168e-6,0.0,0.00022088131528304503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011512055114040807
t2,0.0,0.0,0.0001508661442562523,0.0,4.618934323127347e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017533454748360364,0.0,0.0,5.3686015665031745e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002314618397830487,0.0,0.0,0.0,0.0,0.0,5.757172988819545e-6,0.0,0.0,0.00021581621500074293,0.0,0.0,0.0,0.0,0.0,5.421951127695524e-6,0.0,0.0,0.0,4.720391350086369e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6147314970401734e-5,0.0,6.262484362246288e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4433791942793287e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6346630574434986e-6,0.0,0.00021888332735481352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010641007308930422
t3,0.0,0.0,0.00014160329372558272,0.0,4.531581903923113e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001611688377909017,0.0,0.0,5.235025100676545e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021010805721194173,0.0,0.0,0.0,0.0,0.0,5.615058767611711e-6,0.0,0.0,0.0001948893110702769,0.0,0.0,0.0,0.0,0.0,5.2835257136935284e-6,0.0,0.0,0.0,4.643144079292997e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03389500804487e-5,0.0,6.109505375982193e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3493622953326364e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6233824750267665e-6,0.0,0.0002173935429336508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000990394023685958
t4,0.0,0.0,0.00013150700836616388,0.0,4.433480401986447e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001474649319312005,0.0,0.0,5.087659892381263e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019147883339287215,0.0,0.0,0.0,0.0,0.0,5.471278329507357e-6,0.0,0.0,0.0001750721866912498,0.0,0.0,0.0,0.0,0.0,5.1335883590580625e-6,0.0,0.0,0.0,4.556859510687045e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5729938696491208e-5,0.0,5.962093808843905e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.249367939927998e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.611275009669951e-6,0.0,0.0002161083340310075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009215009519330876
t5,0.0,0.0,0.0001207789768701081,0.0,4.323989591529065e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001358012238880818,0.0,0.0,4.945956212103623e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017650382231062335,0.0,0.0,0.0,0.0,0.0,5.337706693087191e-6,0.0,0.0,0.00016021504174845404,0.0,0.0,0.0,0.0,0.0,5.000321024932913e-6,0.0,0.0,0.0,4.474488900320231e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1830233361980838e-5,0.0,5.818358679519679e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1418956775101915e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5985338421684295e-6,0.0,0.00021496775367815072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008635017796670024
t6,0.0,0.0,0.00011264902696819315,0.0,4.233860849225243e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012654963944084706,0.0,0.0,4.81859841557757e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016252079073692078,0.0,0.0,0.0,0.0,0.0,5.204524416974404e-6,0.0,0.0,0.00014781553434028448,0.0,0.0,0.0,0.0,0.0,4.877802495848125e-6,0.0,0.0,0.0,4.394877293309812e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8304250870815413e-5,0.0,5.67528423110664e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05258798722974e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.584846775478045e-6,0.0,0.0002143530869027852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008149269559165997
t7,0.0,0.0,0.00011376828616257817,0.0,4.275428160918202e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012974731301631885,0.0,0.0,4.837460480771005e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016243075045992413,0.0,0.0,0.0,0.0,0.0,5.1849834537891225e-6,0.0,0.0,0.00014876197052685785,0.0,0.0,0.0,0.0,0.0,4.879946393419395e-6,0.0,0.0,0.0,4.438533295714275e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4790101157773275e-5,0.0,5.538514440021376e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0423697876770056e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.564766687634906e-6,0.0,0.00021398052858980242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008162562896171808
t8,0.0,0.0,0.00011879753501144592,0.0,4.3502326599881015e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013717227394451136,0.0,0.0,4.920250053678635e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001689204160720267,0.0,0.0,0.0,0.0,0.0,5.227652294732179e-6,0.0,0.0,0.00015574027717231702,0.0,0.0,0.0,0.0,0.0,4.945135981528999e-6,0.0,0.0,0.0,4.513020112577799e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2247230457368192e-5,0.0,5.408000709249092e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1451388561011714e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.543424665591502e-6,0.0,0.00021413825578378885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008402016431365814
