Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
GEO_SEQ_INJECT_1,1,36.34292376966798,58.59021388329328,94.93313765296126
GEO_SEQ_INJECT_2,2,42.667746104109334,68.78677087186531,111.45451697597466
GEO_SEQ_INJECT_3,3,30.18425229908548,48.66151686966658,78.84576916875206
GEO_SEQ_INJECT_4,4,32.74588499857828,52.79125086423815,85.53713586281643
GEO_SEQ_INJECT_5,5,39.68836378017015,63.983562172806515,103.67192595297666
GEO_SEQ_INJECT_6,6,54.349424035271156,87.61937808971798,141.96880212498914
GEO_SEQ_INJECT_7,7,45.596245095302436,73.50794804898102,119.10419314428346
GEO_SEQ_INJECT_8,8,37.5291010048523,60.50250851190944,98.03160951676173
GEO_SEQ_INJECT_9,9,30.426506700757873,49.052067098869685,79.47857379962755
GEO_SEQ_INJECT_10,10,34.29813965540899,55.293716899206814,89.5918565546158
GEO_SEQ_GAS_INJECT_1,1,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_2,2,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_3,3,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_4,4,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_5,5,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_6,6,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_7,7,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_8,8,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_9,9,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_10,10,0.0,0.0,0.0
